1697935988# #已然如此，不如接受
1692516012# #西班牙最大的斗牛场，建筑非常有清真的味道
1689813188# #我这个好吃之人，一听Yvonne说四季试菜，就欣欣然早到，台风过境之后，广州成了巴黎，云朵美丽，从傍晚到深夜，享受了愉粤轩新上任的主厨Leo的手艺，哗，真的刮目相看。。小帅哥名字是黎明同款，长相张艺兴同款，云浮人，利苑出身，南京丽思游埠，懂粤菜擅潮菜明客家菜淮杨菜湘菜，所以昨晚菜式极为丰富
1703130427# #鎏金闪耀，优雅不羁，我爱伯爵，真的好香。今日开箱记
1697081111# #米勒精萃洗，水晶杯果然洗得晶晶亮，折服了强
1697278649# #湖南的秋天就这点好，不管天晴于否，空气中总有一丝幽幽的桂花香……
1691823040# #转发微博
1700121435# #今天练完瑜伽，想加件外套出门，寒风凛冽，十九度，发现这件G.OD的外套刚刚好，厚度，又挡风，但可惜太短，满柜子正式的衣服，呢子的羊绒的，却没有一件适合最日常生活，可以任意揉令又料子保暖柔软的衣服，真的是购物狂的失败，又上淘宝一顿乱找，结果没找到，因为我的要求很奇特，不要呢子，不要正式
1697536217# #舅舅的家宴和表弟的豪宅，小城顶配了
1692947519# #妈耶
1695559445# #圆满的一天，聊天，哂太阳，走云道走得一身透汗，又去四季酒店榆粤轩吃饭，菜品一如既往的好（当然我也比较会点）色上次记忆犹新的那道不加一滴水的甲鱼又香又美，羊肚菌浸菜苗清脆有加，石锅海胆豆腐超香，尤其遍野芝兰，原材料绝佳，鲜嫩可口，适合高血脂患者，用了卡，二人五折，价格我都惊呆，偶
1698497258# #买了一件住好啲，喜欢这个标签：住好啲係自己世界各样物件啱啱好调皮
1692367362# #在加油站买到了巴塞罗那的纪念品，一个小对杯，很高迪，盛惠7.9欧
1692112746# #有这么个看海的一刻就觉得此行不虚调皮
1703900517# #可以说这个冬天我最期待的木槿暗提花中式小袄，又轻又软又暖，在家披披嘛舒服，出门见人自有一种隐隐的贵气，第一时间入两色，还帮偶像买一件，好东西，真的靠抢！
1702391731# #天哪，没想到周海媚居然去世了，非常震撼，因为她是真真实实印刻在我们这一代人脑海里的大美人，1989年TVB《义不容情》风糜全国，周海媚让人眼前一亮，浓眉方脸、圆额星眼，似笑非笑，似颦非颦，又端庄又美艳又带着些许天真的无辜，这是美得要死人的…确切地说她定义了那个时代的大美人标准，所有中
1695969763# #总有些美好常驻心间，祝福各位花好月圆
1700185062# #光影最美
1689237856# #为什么地上有头发丝……这种婚姻比较像公司，老公，更是老板，妻子是妻子，更是下属职员，老公的脑回路是，你都不出去工作，这点小事都干不好……妻子不是身份，更是一种职务，只是这种职务，在男性社会，属于事多繁琐无休息，而且没有工资……哼
1700875131# #武志红老师又出新书，这段时间因瞎忙，所以每天只能看上几页，看到塑面上写着的“一切美好都是深度关系的产物”，深深地赞同这句话，也是要活到一定年纪才能懂得的人生况味，因为深度关系绝对是我们人生的奢侈品，是非常难以到达的境界，需要跨越起伏的无常，跨越人性的幽谷，而且还要良善、成长与强韧
1702821213# #活泼的周深老师腾讯视频星光大赏
1691511579# #今天去办澳门签证，换了两台机器才识别岀来，已经胖得完全变形了么？好伤感啊
1689075546# #昨日傍晚，赌城有种不切实际的纸醉金迷，那是一场又炎热又荒凉的海市蜃楼
1698155636# #可以说今天是累疯了，累到手发抖，从六点忙到现在，没停，虽然有那么多人帮，但还是到极限了，人想要过好的生活，还是要付出努力滴捂脸
1703319018# #为什么刘青云会演这个片子？
1695346528# #喜见CARITA护肤世家，璨金焕亮“活黄金”面霜，第一次，黄金被赋予生命……今日开箱记
1696130843# #我说我怎么留着这份报纸，原来还给《南方周末》写过这种报屁股捂脸一晃眼，是23年前的事了……
1690542865# #很难说，艾小羊老师在我生命中的地位，朋友闺蜜自不必说，关健是我最重要的作者，支持者、智慧明灯，以及和我在职场并肩战斗了20多年的战友，很难忘记我们联手合作，奋力写满小半本杂志的青春往事，半是为了银子，半是为了友谊，我得说艾小羊老师是我见过的最出色的杂志写作者，没有之一。。昨天艾老师
1690265150# #面料这东西，真的要摸过才算。
1695434069# #今天拎完最后一箱，书总算是搬得差不多了，处理了差不多三分之一的书，不想新家里充斥着东西，这次选书有三个标准，－，这本现在还想再看一遍么？二，对未来的写作有用么？，三、是有纪念意义的么？有一个Yes才能留下调皮
1703851462# #这一生，董明珠杀伐决断，英明神武，也够无情，才攀到如今的位置，一切皆来我用，甚至是我反对的。
1693487872# #在上海的美好𣊬间，吃了，玩了，买了，看了，聊了，备受朋友们的照拂，感觉自己还沒有失去和这个世界的联系，感恩的心抱拳抱拳抱拳
1693390631# #和蓝小姐在嘉里中心吃完饭，最繁华的地方，下着雨，也是凄凉的，过街的时候不知聊起什么，我感叹：我们这些写字的人算是完了，她安慰我，还没完，还没完，所以到底是完了，还是没完，真的不知道，但我看到很好的文字的时候，我觉得没完，其他的时候，我觉得完了，至少快完了捂脸所以结论是：如果大家
1695994237# #你也有这一天，今天在公园里快走的时候我对自己说，转念一想，做一个每天必须运动一个小时的社会闲散人员，也挺好！简单，平凡，平静而又坚强地活着，谁还不是呢？挺好，挺好。
1690619601# #历尽劫波姐妹在，相逢一笑话从头挤眼心心心心
1702641307# #泡椒配花胶，好好吃！真是没想到坏笑
1691199737# #每当变幻时，原来她叫小白阿玛
1698444830# #鲜花
1695785332# #麦卡伦的秋色如此迷人，酒香、月明爱心
1703168584# #晓燕寄来严明老师的新书《迷墙》，文字好，照片更好，全凭一腔孤勇，在西北的荒漠田野、小镇县城中奔走，用镜头开天辟地，就算我这样一个不懂摄影的人也能够在照片里读到无尽废墟里的诗意与荒谬，那些无心插柳和神出鬼没营造出的荒谬的诗意以及诗意的荒谬，莞尔一笑之后又想哭。我喜欢他在书里的1⃣️
1695729057# #人生无常，二十年前你激赏的老钱阔太，二十年后也许被赶去女佣房间悲伤
1690360735# #梁启超的家出人意料的豪华，两栋豪宅，－栋生活，－栋读书议事，他不是革命者么？咋这么富裕？谁能科普一下我
1688996860# #卡尔拉格斐酒店里老佛爷的因素蛮多的，甚至细到洗漱用品和餐巾上的小黑墨镜，每位住客还贴心赠送一个老佛爷行李牌，原本我最想去的是博览廓，据说陈列其中的4000本藏书也都来自其名下的7L书店，甚至包括他本人的心爱藏书，惟一遗憾是只是摆设，不能翻捂脸此行最大的遗憾
1701853520# #自从想到可以一帮朋友可以在八仙桌上打麻将之后，就从我妈家搬来一副麻将，上次盛一到家里来，看了我的塑料麻将沉吟半晌，说你这个麻将还要升级一下……又多一个购物名目，太好了，马上想起“上下”就出麻将，就各种找人，今天麻将终于寄到啦，和我想象的一样，小巧精致，真喜欢！真开心！麻将打不打的
1697280747# #感觉湖南哪个馆子的菜都好好吃，小南乡尤其，每个菜都超好，紫苏鱼肉、芋头丝，丝瓜、红署叶都超级香……这种不能多吃，又很难不吃的心情谁能懂……
1697273098# #价值280的酱油，酱油中的奢侈品
1691549064# #要去欧洲玩，十几天行程发愁收拾行李，这么多年生活实践下来，内裤就真的只有我们这条最好，透气、速干，头天洗好，第二天早上准干，不用一路带着粘乎乎的湿衣服了，商务女士恩物啊
1700302123# #good
1697336757# #古老小城，最古老的一条街，真的蛮时髦哎
1698313320# #忙极，还没缓过神，人已经到了西九龙，一到香港，就放松下来，因为知道有文华东方接住我。下火车即有司机在门口举着牌子迎候，无缝衔接到干诺道中五号，checkin有专人入房间办理，套房绝美，格调让人赞叹，开心至极。今天香港传奇酒店文华东方60周年，大门口已然是晶灯闪烁，红毯耀眼，酒店遇见的每个
1692543875# #昨天马德里深度游，碰上了一个很好的中国女导游方方，红色上衣，黑白条纹的裙子，晒得黝黑，是西班牙化的大美人，讲解特别有激情，她早年在海南带团，后来嫁给一个西班牙足球教练，现在生了两个孩子，带我们属于兼职，后来我才知道跟着我们的她的一个朋友推着混血小BB是她的儿子，两个小时我们在市中
1697377381# #进门就流口水，在别的地方没见过这种泡菜，万物皆可泡的感觉捂脸
1689045426# #澳门郑家大屋，最大的感慨是富不过三代，三代之后便是七十二家房客，最喜欢二楼的连廊，通风透气，风凉水冷，有半米长的座榻，有鸟笼，有砖地，可供仕女们休闲玩笑，同时看顾孩子们地上玩耍，非常人性，非常南国，这样为内闺女性而存在的设计，别的地方没见过强
1697450090# #去棋梓桥刘师傅家吃饭，桂鱼汤绝了！
1693930653# #今天奔袭百数公里，来深圳君悦主席楼参加董克平餐桌，满桌俊男靓女，还有卡露伽7年、8年、9年、10年、15年、20年的鱼子酱与4款帝堡香槟加持，场面阔绰。是夜见识了君悦新主厨财哥的手艺，在厨师里少见财哥这种文质彬彬款，乍一看有窦文涛即视感，出手又利落稔熟，与主席楼的霸气倒也相得益彰，晚宴上
1698048109# #活久见，八年之后，离了，完全把群众们蒙在鼓里good子怡还是很悍的
1689182624# #转发微博
1702796848# #李雪琴居然穿女明星礼服了坏笑腾讯视频星光大赏
