1703649657# #冬月和情歌更配哦～。《忍受》MV，别走开，马上来^^。张杰新EP冬月初七
1704101990# #连续唱了七天，演出了三天，。个人跨年五小时记录，挑战自己成功✌️。甚至……还有点没唱够！。“加班”诉求已收到，答应你们的都会实现^^。2024，我们很快还会见面的！！航天员话筒。张杰未你好吗跨年演唱会
1692266845# #初心如歌，星聚东方。第30届东方风云榜。音乐盛典&amp;东方风云榜三十周年庆典。8月28日、29日与你一同开启^^
1703949775# #今晚成都第二场太好玩！。《逆战》脱衣耍帅“失败”、《忍受》进唱“重来”……。三个半小时又完美一战！。明天五小时live直播。这哪是演唱会，明明就是“运动会”允悲航天员话筒。张杰未你好吗跨年演唱会&nbsp;微博演出大赏
1695265312# #外南街小孩们，都收到专辑了吧？开箱咯……。我知道你们很喜欢，记得带着TA来见面哦^^。张杰实体专辑外南街1982
1694408412# #台上三小时。台下三分钟。张杰未LIVE巡回演唱会
1702864878# #惊喜！下雪了❄️。冬日如歌。已经准备好送你一张《冬月初七》了❄️。张杰冬日全新EP预告
1695736804# #
1689646265# #世界有我们，青春的样子。还有10天就是蓉宝的天下了，。期待成都大运会精彩开幕^^。。成都大运会倒计时10天蓉宝来了
1703044805# #
1697357375# #少年明媚似骄阳，用阳光与朝气书写青春华章把青春华章写在祖国大地上
1695348921# #电影坚如磐石。从《年轻人》到《坚如磐石》，。很荣幸能再次为张艺谋导演的电影演唱，。这一次，在磐石之上，安放理想。。电影坚如磐石同名主题曲MV。。
1691029983# #深圳MAYBE。
1689476798# #南京体育场🏟️。涅槃的火鸟。通透的安忍。穿越人海来见你你你。好自如的三个…多小时心航天员。。今晚的加场也有惊喜。南京的梧桐会更绿^^。张杰未LIVE巡回演唱会
1701945949# #『外南街1982』。我的第二张黑胶大碟话筒。。张杰外南街1982黑胶
1695706049# #以乐之声，焕心之力。自由自在，穿梭云朵。今晚见^^
1701247270# #张杰点歌台&nbsp;【周三加油站】。。🔔🔔🔔。累了就来听听你喜欢的歌吧^^。时光不负有心人。不见面的日子里也要一起努力加油。时光音乐会。。
1702792827# #我演唱会的抢票经验（仅供参考）：。一秒也不要思考，哪里还亮着，就点哪里！。见证洛希极限，珍惜彼此相遇。我在成都，跨年，只和你们一起^^。张杰未你好吗跨年演唱会
1694273312# #每个人都有属于自己的《天下》。这一次是饭桌版随时可能打嗝的《天下》😎。时光音乐会
1703905577# #孤岛潜行，探真相。拨开云雾，筑天地。张杰献唱天启异闻录主题曲。。QQ音乐：
1688914931# #很开心来到2023TMEA。腾讯音乐娱乐盛典。争取未来的我们。再“杰”再厉、“杰杰”高升、“杰”报频传😎。好了我要去准备下一站歌单了。大家早点休息，晚安^^
1703610232# #彩排完……我应该回哪个门？。杰门？。星门？。忍门？。狂门？。灯门？。冬门？。。QQ音乐：
1700317304# #20年前，我作为大学生张杰唱了《As&nbsp;Long&nbsp;As&nbsp;You&nbsp;Love&nbsp;Me》成为了大学的“风云人物”^^。今天又再次唱起这首歌，时间的参照物开始变得具象，能够跨越时光的事物，除了爱还有音乐……。时光音乐会
1688998619# #是星光照耀下的我们。是坚定追梦的我们。是一起走向《新征程》的我们^^。留下这个有意义的时刻。张杰未LIVE巡回演唱会
1688569310# #真的应该多关心身边的朋友们……。因为不知道各自在经历着什么……。多一个信息问候，可好？。多一个电话寒暄，可好？。多一次见面拥抱，可好？。R.I.P蜡烛。。
1695722445# #十二年了被称为——“丝婚”。查了一下感情坚韧甜蜜永恒。继续吧心杰和娜^^
1700714498# #去时少年身，归来英雄魂。山川同念英雄回家
1694249947# #时光音乐会。有朋友有天聊就很好^^。你有没有朋友一直standbyme。。
1693206926# #在北京鸟巢🏟️。尽情唱了3小时的最终“张”。其实还可以继续唱3小时话筒。这三天，来的、没来的你们都释放了很多能量。我爱和你们大合唱的默契。我爱每次上台前你们的呼喊。我爱我们彼此为对方流下的每一滴泪汗。我爱看我们台上对望时你们捂嘴藏不住的眼。我感恩我们“张杰未·LIVE—「曜·北斗」巡回演唱
1701839911# #张杰点歌台&nbsp;【周三加油站】。唱针落下，跨越时空。1982年的外南街。就在脚下。张杰外南街1982黑胶。《外南街1982》：
1697898155# #你负责“追”。我负责“光”。我们都是一群追光者^^。时光音乐会
1699588724# #时光不就是这样。不会每次都碰上。但每次都放心上。来吧和我一起唱：。风筝有风海豚有海我存在……心。QQ音乐：。网易云音乐：。酷狗音乐：。酷我音乐：
1693974604# #时光音乐会老友记官宣。两年后回归时光音乐会。又会与谁重逢？与哪位好友相伴？。听我们讲述属于我们的“老友记”。9月9日起每周六22:00。同步播出~
1689223338# #听说茉莉花也能做成很多美食。走，去尝尝。南京见^^。张杰未LIVE巡回演唱会
1691762201# #深圳8.11的圆满。上车一刻的懒散。睡前想着今晚。醒来期待明天。巡演第83场纪念航天员心。张杰未LIVE巡回演唱会
1691584969# #来深圳就要感受深圳速度🔜。快练💪🏻。快唱🎤。快来🚶🏻‍♂️。快「曜」见到你^^。张杰未LIVE巡回演唱会
1703671243# #我们都该～yiai～yiai&nbsp;，忍～ren～ren&nbsp;，受～呜～喔&nbsp;。你们学会了吗？一起来挑战吧^^。张杰新歌忍受回音挑战
1699415786# #张杰点歌台【周三加油站】。翻出了我十几年前。一段上台前临时学的舞剑表演。也有可能变成“舞断剑”表演笑cry。今天立冬天冷了记得要多做运动哦^^。。《Maybe》:
1696397928# #谢谢你为自己也为年轻的他们特别点播这首歌🎶。会继续激励年轻的你们✨。也会给自身更多鼓励🏅。听吧！我们都在为你们骄傲鼓掌👏。张杰点歌台。
1697355711# #青春华章。唱华夏耀青春。我们一起把青春华章写在祖国大地上。。
1692624598# #歌单有点满。排练不间断。最终章之战😎。张杰未LIVE巡回演唱会
1695866600# #唱起来：Layla～我早～就～“累啦”。签售了10个小时～可我还是。跟你们总有说不完的话。这是代表1982的爱。相信一定给你们留下了最难忘的外南街记忆^^。张杰外南街1982签售会
1690710149# #我的第81场个人演唱会。长沙。你们的爱都藏在了一针一线里。这份特别的礼物我也带上。今晚换我来给你们惊喜吧^^。张杰未LIVE巡回演唱会
1704001679# #是谁又要幸福了？。如果你还没嗨够！。那就今晚再来5小时^^。张杰未你好吗跨年演唱会&nbsp;
1703728810# #
1704038408# #叮叮～🔔2024的Flag立下了^^。新的一年，一起迎接新挑战。一条plog告别2023
1701092485# #时光音乐会。第一次推开时光之家大门的画面仿佛昨天，收官这一刻的到来让我感受到了时光真的如“泡沫”一样易逝，也印证了那句“岁月才是最大的小偷”。。很开心可以在《时光音乐会·老友记》留下好听的音乐作品，也在时光之家与老友们留下了很多的故事和欢笑，虽有不舍，但我们还有更久的未来，持续的
1699075856# #过了一遍……从感冒的嗓音里。接受不完美。不要太在意是与非。要记得爱自己崇拜自己。。时光音乐会
1695781942# #蕾拉是内心美好的向往🌹。累啦是圆不愿向前的谎。我幻化为蝶。终会成为想成为的那道光。外南街小孩回来了成都一会儿见^^。张杰蕾拉MV上线
1702429523# #铭记历史，吾辈当自强！
1692956007# #你们今晚都坐在哪里？发上来看看嘻嘻。我想看看你们视角的舞台长什么样！航天员。张杰未LIVE巡回演唱会
1690602116# #长沙偶遇大北斗✨。今晚我要唱个够🎤。。张杰未LIVE巡回演唱会
1695204008# #
1692789075# #归巢倒计时𝐃-𝟐。。·-&nbsp;··。。张杰未LIVE巡回演唱会
1697329962# #孤勇者Jason。翻唱了Eason。唱自己。唱别人。都唱给追光的你们航天员心
1700878626# #都是泡沫。别在意太多
1704175619# #2023下班了！！。。2024“未·LIVE”系列巡演全新主题。全国体育场，等我来打卡！！！。张杰未你好吗跨年演唱会张杰未LIVE巡回演唱会
1699247035# #为全国学青会加油打call。任青春光彩熠华章。任吾辈晔晔如扶桑。张杰全国第一届学青会加油曲任我。。酷狗音乐：。酷我音乐：。网易云音乐：
1690774284# #特别的日子。特别的地点。特别的准备。特别的天气。…。很多地方不完美，。有些遗憾可能也是一种与别不同。不过很开心，我们在一起度过了三个小时。未LIVE还有很多未来。我们的青春在飞腾。我们都是外南街小孩。。张杰未LIVE巡回演唱会
1696515028# #中国女篮74:72战胜日本。这是我们中国女篮夺得的。第七个亚运会冠军🏆🏆🏆🏆🏆🏆🏆！。心心心心心心心。
1692973247# #从鸟巢。回。我的巢^^。张杰未LIVE巡回演唱会
1690732752# #有太多话想在台上讲。因为不能再超时。所以只能下舞台第一时间写给你们。长沙对我来说就是我的第二个家。我的福地我的加油站。2004年在上海初出茅庐的我。在2007年的长沙加好了油再次出发。那里面的故事很励志。也是鼓励我们前进不忘初心的精神粮食。我和你们度过了一年又一年。每次都是你们陪我战斗在最前
1693230168# #😐。两只鸟。是啥？。求解……
1696475930# #给你力量！。势不可挡！。一路高飞！打call。亚运健儿们冲冲冲！。张杰点歌台。。
1696083826# #时光沉淀。6年打磨。一切都刚好。时光音乐会
1699107343# #爱并接受每一个自己鲜花心。这首《崇拜》送给每一个人^^。时光音乐会
1691474853# #按下时光机按钮。回到了外南街。发现了好多童年宝藏🕹️。你们拥有通往外南街的秘密宝藏了吗？^^。张杰实体专辑外南街1982
1692961204# #
1692875371# #归巢倒计时𝐃-𝟏。。-·&nbsp;··。。明天见^^。张杰未LIVE巡回演唱会
1695098029# #还有4天亚运会就开幕了！。家里女子足球加油小队的三个替补整装待发⚽️。我这个边裁不好当啊⚖️抓狂
1690618209# #图里找惊喜笑而不语。一会儿台上见^^。张杰未LIVE巡回演唱会
1700922918# #哈哈她能唱，但听她说更期待我唱😆。破碎的是泡沫，不变的是那些时光记忆，未来见^^。时光音乐会
1703844003# #
1690451020# #插播一条💥消息。深圳➕。。张杰未LIVE巡回演唱会
1703768423# #「未·你好吗」2024跨年演唱会加载中。▓▓▓▓▓▓▓▓▓▓▓▓░99.9%。明天见^^。张杰未你好吗跨年演唱会
