1702694799# #掌阅ireader米小圈上学记
1692943598# #414
1693218972# #张杰我要唱得再久一点对，一直唱，气死那些眼红的，不努力只知道抱怨的打call打call打call
1700651891# #更好的你，遇见更大的世界，新东方大愚图书祝祖国极地科考事业蓬勃向前。和四季沐歌一起为中国第40次南极考察队出征助威评论区留下对祖国南极科考事业的祝福关注并11月30日将抽取1名幸运宝子送出【100元京东E卡】
1698455832# #转发微博
1688222546# #巧了，杰哥的每首红歌都朗朗上口送花花送花花送花花
1691210062# #街电助力，大运雄起拉低
1702695017# #万师傅十周年庆转评
1693634769# #整了一下家里不少日货，用完之后再也不买了怒骂怒骂怒骂
1690814668# #亚运好茶畅享一夏好喝
1695973286# #朴朴超市7周年盛典，
1703496069# #
1702106529# #一起来2023微博演出大赏进行音乐演出的回顾与盘点！我推荐了张杰未·LIVE-「曜·北斗」巡回演唱会，你也一起加入吧～年度演出推荐
1690814642# #轻喜到家轻喜到家8周年感恩壕送8000万庆生礼！多重优惠享不停！保洁保姆低至￥38/小时起，VIP包年最高赠送价值4784元服务，￥199限时抢4大家电家居清洗服务，限时限量超省钱！转发关注我和8月1日抽1位送【50元京东卡】@微博抽奖平台
1692356206# #拉低
1700096952# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1702608734# #那还用问，肯定是出于嫉妒和心痛自家没有呀吃惊
1688566486# #李玟去世难过😔难过😔
1699093493# #打call
1697082726# #章若楠独特艾琳品牌代言人转发
1700874063# #微博视界大会热爱·同行！我正在微光荣耀入围影视音乐为《云之羽》荣耀推荐！你心中的微光荣耀是哪个？一起来参与推荐吧
1691296680# #终于来了
1700129702# #张杰时装男士十一月封面太帅了吧
1694080059# #张杰张杰未live巡回演唱会未来不远
1702522154# #这个太难了
1692961368# #张杰未live巡回演唱会仪式感
1690643128# #转发微博
1703762878# #灯门永存！看完泪崩了
1692542594# #dengwei
1702617501# #《霸王别姬》
1697637560# #爱美尖子生买海澜之家上京东！
1703852824# #码
1703949737# #灯门啊
1693973801# #张杰时光音乐会老友记
1688315041# #转发微博
1688195948# #转发微博
1691209992# #炎炎夏日，用音乐来消夏！暑假戴上HAYLOU骨传导耳机一起唤醒大脑快乐因子，跟着节奏，尽情放肆吧！关注我和转发说说关于你的暑假有趣回忆，8月7日抽1位送【50元京东卡】@微博抽奖平台
1695097251# #来了来了
1687789358# #拉低
1698125235# #张杰前面的阿姨在听红尘录抱一抱
1695790739# #张杰张杰合肥园博会主题歌满园芳华
1692356244# #是我的
1693059705# #码
1702810711# #官宣3天
1692408191# #这个好
1695047270# #转发微博
1700887884# #试试
1691758675# #张杰未live巡回演唱会开不起玩笑太上头了
1690887793# #拉低了
1700923141# #等风来不如破风去以车轮丈量世界，用速度冲破束缚，每一步全力以赴！小意祝行家来了》第4期——骑行篇上线！关注我们，12.1抽2位幸运鹅平分200元京东卡爱你
1692943306# #我只是来拉低
1692879454# #岸田声称要求中方撤销进口管制措施有人科普日本制造吗？我自觉抵制举手举手举手
1702694653# #给我一个大大的拥抱，
1703035399# #转发微博
1692758057# #我没有小作文的能力吃瓜
1700210526# #拉低
1687789317# #生快
1691296507# #20周年开启🔛
1701334561# #只能说没人文关怀的公司做不大……
1692701998# #唯粉来拉低一下
1692601533# #以热辣·致所爱川娃子
1692356071# #乐摩吧北京电影展试试
1688223258# #张杰带万人唱响新征程下一次是28年的7.1送花花送花花送花花
1689334942# #拉低
1687444936# #张杰音乐节现场只想带图
1703824489# #我参与了发起的投票测试，我投给了“《柔光灯》”这个选项，你也快来表态吧~
1703496166# #SSS运动伴你转
1691210153# #拉低了
1693815721# #打工的比老板还佛系，咋滴？你们老板在同行业给你们发少工资了？还是请你们来吃干饭的？一天天的摆不正自己的位置，处处拉跨，全靠老板自身血厚@行星文化PlanetCulture
1687256601# #中国赞
1687327846# #张杰演唱会深圳长沙站官宣来啊！一起蹦迪啊
1697242548# #双节喜加喜桂人礼上礼转发
1687789342# #送花花
1697082641# #来接好运
1687414893# #许愿演唱会
1697242871# #不可取代现任咋来的？就是自己给自己加戏吃瓜
1700550793# #暖冬聚汇双汇美食嘎嘎炫分享一下
1696174472# #张杰好稳好正
1692065115# #张杰未live巡回演唱会开心，刚接到杰哥电话啦......
1688195957# #转发微博
1693888880# #张杰打call打call
1702310652# #带货的明星真的不怎么样
1688195920# #好奇
1700887869# #拉低中奖率
1700873420# #今天谢谢礼转发
1697507079# #转发微博
1697777450# #0卡乳酸菌梅冻+九阳找乐子保温杯414
1691209981# #宋佳的木系生活转发
1692406068# #笑cry笑cry笑cry
1692839151# #来飞碟为东榜过生日看张杰
1687500039# #费解费解费解你们有没有遇到那种熊孩子（周深粉），你（张杰粉）在那忙自己的事，有熊孩子故意在你旁边扒拉你，还说些挑衅式的语言，你受不了了稍微一回击，熊孩子马上倒地爆哭，说你欺负小孩二哈二哈二哈
1697864097# #转发微博
1694429114# #双重能量领跑新学期开吧
1692601842# #蜀大侠虾滑节卷1
1700043558# #张杰时装男士十一月封面好帅
1700874088# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1695142251# #小桃你是真能送哇我来了居然还有一万只野生虚拟蚊子，还有合影偷笑转+关小度揪一个送包！万一中了还能带出去装装东西呢！淘宝生活锦鲤
1697242606# #硬派臻藏金标矩献转
1693793450# #杨幂啊
1689423417# #转发微博
1703215906# #冬至牙疼
1691208713# #针对骂他的歌迷微笑
1687789223# #试试
1700210563# #拉低
1701864019# #拉低
1690814609# #我
1700887903# #试试吧
1695566215# #张杰好牛
1687789241# #佳能EOSR7青春出邮季佳能R7R10潮生活话多啊打call打call打call
1700873337# #1123闪送骑士节路路畅通！
1703602948# #又来打call打call打call彩虹屁彩虹屁彩虹屁
1690113727# #好的
1697242723# #转发微博
1692943339# #我来试试
1702616359# #这种字眼我都看不下去，正常是个人能这么多脏话，义务教育下.....
1701061676# #转发微博
1688830853# #畅饮一夏，无茶不欢转
1695916070# #转发微博
1694256905# #张杰每日一问？为什么张杰广场又有脏东西？狗屁膏药自己没家吗？
1688195905# #支持
1702947652# #甘肃地震已致111人遇难天呐，让人好好的渡过2023不行吗？希望不要再有不好的消息了.....
1697294865# #张杰今天物料多多忙不过来了
1687789448# #川崎叶刃好评
1697871418# #适合我
1687266860# #笑cry笑cry笑cry实在忍不住不笑
1700873206# #冬季暖阳凉山游、舞动凉山沐光而行转发
1692959649# #张杰未live巡回演唱会有此时的场内照片吗？
1702617053# #《科学大众·小小博物馆》
1688196991# #转发赠书年少时，你把我护在羽翼之下。长大后，我终于能和你并肩，成为你的依靠和骄傲～转赞评揪一位送《温柔童话》一本。
1694128360# #配置升级，快乐加倍！新视界已经解锁，小明的征途是星辰大海~转发并关注和，聊聊你对小明新品的期待和感受，9月11日抽一位柚粉送【50元京东卡】。
1700873310# #健康照明转发
1700182807# #笑cry
1690197640# #张杰古偶ost没有不好的团圆兔送花花打call中国赞
1698555150# #码
1700550773# #暖冬聚汇揪我
1689863580# #有家就有佛山造我需要一个
1693488571# #张杰外南街1982签售会转，轮不到我了
1697171057# #刘暖曦朋友发声还有朋友疑问
1700096942# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《云之羽》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1700873041# #拉低
1690501899# #哪里来？
1702988184# #海信洗衣机活水洗除真菌生活中没有仪式感
1699195026# #看张杰直播，把淘宝对战给忘了，损失一个亿允悲除非唱两句今天的新歌
1690814621# #转
1692943439# #“李”的爱心早餐青春甜不甜？喝瓶李子园！甜
1688830883# #酱酱的好友「君莫笑」已上线！西伯利亚联合全职高手，打造荣耀专属耳机——S21联名全职高手定制款，正式与大家见面啦！快来拥有吧~【关注】+，带话题【转发+评论+点赞】本博，7月20日抽1位粉丝送出【50元京东E卡】！
1694238098# #题轻轻一折美丽加倍转发
1697242927# #阅享银河之辉，沐光书香之下转
1703394316# #我推荐《万物不如你》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1693958520# #张杰一起为中国文艺志愿者协会全国代表大会点赞
1701426752# #好👌🏻
1704206556# #太暖心了
1695693961# #张杰合肥园博会主题歌满园芳华一城一园一故事，永不落幕展芳华。
1695910358# #专业能力太牛了，现在都可以一遍过的水平了加油加油加油
1690730725# #表情好酷😎
1697242648# #安心款款，欢度双节转发
1694218189# #张杰太厉害了
1700097099# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1701863594# #JAKI佳奇胡桃夹子转发
1700873722# #双11囤货攻略Uni爽到飞起拉低
1695876330# #转发微博
1692073263# #张杰电话没票了
1689353913# #转发微博
1696842914# #来凑热闹
1692601633# #来三福，得三福转发
1697242541# #双节喜加喜桂人礼上礼转发
1700096864# #用电影让爱升温转发
1700129392# #张杰时装男士十一月封面
1701352820# #开前再试试
1697082503# #歌瑞家冬装上新天气渐渐冷了
1703950914# #灯门啊
1700651863# #转发这条微博三天后抽一个小米手环8NFC版打call
1692943570# #特种兵游亚运佑美送亚运会门票【转评】
1703844163# #送花花我八花哥长红不倒送花花送花花
1700353638# #张杰AsLongAsYouLoveMe送花花送花花送花花
1700278703# #张杰汗流浃背了吧龚琳娜老师最尴尬二哈
1691595986# #转发微博
1692356116# #说啥啊
1692356290# #纸要Uni，每天都是情人节我来了
1698457871# #转发微博
1704106705# #存
1703240320# #一切顺利
1702695010# #万师傅十周年庆转评
1701566970# #202311202珠海音乐节，全程
1689863302# #漂流
1700353618# #张杰AsLongAsYouLoveMe抱一抱抱一抱抱一抱
1695693919# #张杰合肥园博会主题歌满园芳华杰哥出品，必属精品
1688216733# #张杰带万人唱响新征程祝福我党，生日快乐！
1694128344# #闪耀吧打call团转
1688860934# #转发微博
1690814597# #看了
1693708562# #真的好久没见Allen👨🏻‍🦱了打call
1687498860# #这“莅临”得笑好长时间了笑cry笑cry笑cry
1692851858# #日本核污染水排海正式开始这个国家一直反人类……
1691762304# #送花花打call送花花打call
1696826920# #我看累死了笑cry笑cry笑cry
1690501879# #什么书？
1701863720# #开前试试
1688830830# #拉低
1690456514# #转发微博
1693377843# #海信洗衣机活水洗除真菌转评
1695142189# #淘宝生活锦鲤我试试
1695802760# #真的很真诚啦，会抬头回应每个歌迷，看着歌迷的眼睛说好几句话，签完还双手归还专辑.....心心心
1687922748# #演唱会22.30结束，最晚一趟车22.30？观众会遁地术吗？作为合肥本地人真的觉得当地的安排有问题
1697242588# #我有亿种潮能力❤️意尔康国潮季点石成金笑cry
1700923162# #3Q
1701426769# #围观活动！只动动嘴就能打印标签的汉印语音标签机也太省事了吧，图图不允许你的精致生活里没有它！转发+关注和，飞机12.7揪2个宝子送出【汉印飞盘套装】，还有机会获得视频同款标签机哦！事业单位考试公共基础知识转发抽奖
1700182641# #拉低
1700874051# #微博视界大会梦想和弦，热爱前行。我正在微光荣耀入围影视音乐为《万物不如你》荣耀推荐！跟随梦的节拍，助力荣耀时刻~
1688314981# #转发微博
1688221826# #张杰带万人唱响新征程中国🇨🇳🇨🇳🇨🇳🇨🇳
1697172904# #豆力续航，元气出发！
1688314996# #好书
1688916124# #上不了台面的小动作吐吐吐
1694250609# #中考分流40%的孩子去哪了作为初中生的家长已经很焦虑了……谁敢生？
1690371471# #我在场内打call打call打call打call
1703844445# #张杰未你好吗跨年演唱会一切顺利抱一抱
1692542625# #拥抱新生力，挥杆向未来2023
1690501857# #试试看
1697242680# #节后请假的钱塔斯汀来付转发
1694079791# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《外南街小孩》，快来和我一起为更多优秀音乐内容助力！
1687279682# #反到忘祖，看了真可怜！
1700550965# #有AI有好礼送花花
1693035146# #张杰未live巡回演唱会有实力才敢说打call打call打call打call
1700873438# #拉低
1690814845# #那就让我不一样没有
1700873772# #咔嗒积木太阳神超跑转
1701566946# #好家伙真是好东西
1703496100# #暖冬先暖胃转
1688916293# #彩虹屁彩虹屁彩虹屁
