1692980047# #-1# #128# #0.004756588937006201
1701739544# #3# #691# #0.049744321296351826
1694776885# #0# #654# #0.589286633888337
1700395811# #7# #5# #0.726232516372246
1695999447# #0# #769# #0.3778126805582949
1688210598# #0# #424# #0.4972185294360264
1689512769# #0# #622# #0.018705622508133103
1690272079# #3# #883# #0.9377140951556534
1696051429# #3# #3# #0.01449281282989165
1691406251# #7# #3# #0.6079510067478304
1688977051# #0# #24# #0.9207278041382329
1689433801# #3# #60# #0.01411680298348905
1702123620# #0# #208# #0.6864272042699083
1699445383# #3# #104# #0.02124719478715644
1700968437# #2# #83# #0.267179108985448
1696216538# #3# #13# #0.11967588195135503
1694310804# #0# #159# #0.8442019752193838
1703678985# #0# #14931# #0.10176160497725152
1691578387# #3# #7# #0.16390574120621748
1689682071# #3# #5523# #0.1495444576389313
1689409922# #3# #97# #0.25772499484792255
1696042850# #3# #94# #0.029834379463943118
1690270824# #0# #307# #0.46385494176056347
1700585157# #7# #208# #0.04473420781637485
1695895271# #0# #2541# #0.21709473853268318
1691555681# #0# #49# #0.3097708962502706
1688230586# #0# #2# #0.02355824066947522
1693452214# #0# #27# #0.01978422594023037
1702034351# #0# #21# #0.08370860911160895
1691260469# #0# #175# #0.06194434930809424
1701698975# #0# #203# #0.2277224317517066
1701526382# #0# #306# #0.008239421821274984
1699777527# #0# #226# #0.33921047686407796
1688394587# #0# #153# #0.06606581140695189
1690291746# #0# #25# #0.06550000050461281
1703442220# #0# #36# #0.8273815284033088
1691499423# #0# #24# #0.05549992385805724
1688930419# #0# #125# #0.056984016366806396
1693462099# #0# #165# #0.10220878973670927
1688928252# #0# #126# #0.021479412364532654
1702303478# #0# #34# #0.016874954364485797
1690200082# #0# #125# #0.03406099139514297
1694316666# #0# #238# #0.1099666220760366
1692708662# #0# #12# #0.025913765936780006
1702709998# #0# #113# #0.02974119732315005
1699338159# #0# #213# #0.17796050254714302
1701927765# #0# #253# #0.43434852540122193
1702272079# #0# #200# #0.7297380573881985
1689852933# #0# #53# #0.05362563669980619
1699026974# #0# #203# #0.004739985546850263
1688369802# #0# #56# #0.9996695247789419
1696509325# #0# #33# #0.6822952430811481
1704200012# #0# #316# #0.548786857806009
1694251223# #0# #322# #0.09728853666844363
1703691615# #0# #117# #0.059760093078724874
1692240924# #0# #49# #0.07044568710561187
1696238590# #0# #359# #0.16926727046983486
1692944104# #0# #121# #0.9687209877785715
1691837643# #0# #51# #0.36998331139567636
1688485077# #0# #190# #0.037628054830327246
1700149235# #0# #31# #0.6874443589017226
1692159623# #0# #7# #0.05866111690981249
1695382242# #0# #132# #0.9927921473201317
1704550352# #0# #9# #0.16681317938736717
1698737054# #0# #38# #0.05311779165742528
1697381542# #0# #224# #0.8045987751838207
1704815931# #0# #1# #0.1866086162282586
1694915715# #0# #123# #0.9784071230463917
1691503107# #0# #48# #0.48038105808485526
1688213087# #0# #3# #0.08864213991476004
1695353405# #0# #118# #0.2273135099513989
1695652964# #0# #158# #0.2865038543363782
1688401853# #0# #19# #0.04840092255063689
1699615047# #0# #36# #0.06016561757977049
1692432263# #0# #912# #0.10337843557199382
1702904229# #0# #36# #0.1462443820802774
1695970512# #0# #7# #0.6896033738408825
1702649611# #0# #115# #0.2763646740952796
1692852753# #0# #2288# #0.6046957680835069
1691074988# #0# #32# #0.06305401032969699
1691412333# #0# #373# #0.0544050864295581
1699024820# #0# #10# #0.023183427105945186
1699345257# #0# #175# #0.13034100939085203
1704425940# #0# #318# #0.3087414580767233
1697381122# #0# #2# #0.4120924945605651
1696424807# #0# #40# #0.22971430367897613
1689432915# #0# #2185# #0.19808000867996806
1698679579# #0# #37# #0.05687764990951623
1694957087# #0# #95# #0.9621748181499626
1691421992# #0# #258# #0.11559843692657666
1703337783# #0# #30# #0.597219402919365
1704815628# #0# #2# #0.05502991571670716
1691501325# #0# #130# #0.38868840483385503
1692348368# #0# #313# #0.38068762182021376
1694860815# #0# #218# #0.9781261066863826
1697783100# #0# #138# #0.08765725800358849
1694867716# #0# #65# #0.02220766667225802
1702465846# #0# #122# #0.1070091608666511
