1689300563# #羊羊：你说话怎么有口音呀？
1703469071# #据说再温顺的狗狗，只要被摸到这一块肉都会“龇牙咧嘴”的...
1690080840# #朝着游乐设施飞奔而来的棕熊，虽然个头不小，但依然还是个宝宝呀！
1688871998# #树懒妈妈：刚~~刚~~好~~险~~啊~~~
1696171419# #世界最大球型建筑，拉斯维加斯新地标MSGSphere里面长啥样？9月29日，U2乐队带来馆内的演唱会首秀：未来感+梦幻感的视觉效果，戳视频沉浸式体验一下超超超大屏！
1703769324# #独居小哥吐槽：一个人生活真的很辛苦，如果可以，还是找个伴吧！
1697368334# #来看看18岁的摄影小哥LucaMartinez镜头下的佛罗里达大沼泽地，居然这么好看的吗？
1699931632# #外国小哥第一次吃“真正的”中餐，居然有鸡肉蘸草莓酱，还有炒苹果...行吧，他觉得好吃就行吧！
1702218983# #深夜放毒之户外美食系列，食材新鲜工具齐全，配上这花哨的厨艺，光是看着就是一种享受~
1694861494# #自带眼罩造型的猫中“佐罗”，还生了一只“小佐罗”...这花色还能完美遗传呐？
1688048178# #老哥在街头给猫劝架，一边往回拉一边“教育”它...。猫猫：别拉我，我还要骂！笑cry
1690468054# #意大利南部卡普里岛的蓝洞，进洞=进入另外一个世界憧憬
1696222950# #用4K镜头下的“巨型蛀牙”，模拟根管治疗和补牙。代入感很强，牙齿已经开始酸疼了...
1692151113# #老婆打开自拍摄像头，假装在看美女...好呀，这下被我抓到了吧！
1695969061# #砌一间迷你版砖头房，该有的建造工序一道都不少，屋内的灯光、楼梯、木地板、吊扇也都安排上了，手工迷看得一本满足！
1687944045# #很机智的渡鸦，借助工具轻松解决问题...你们鸦科动物都这么聪明的吗？
1704835981# #【五谷渔粉多口味渔粉*3盒19.9💰】。拍原价¥29.9的选项，番茄渔粉、酸辣渔粉、麻辣渔粉三种口味，还有组合装可选，折¥6.6/盒，还有麻辣烫渔粉、麻辣鱼块粉、金汤鱼丸粉等口味到手是2盒装，汤鲜料足，营养均衡，天然好渔味，暖胃又舒心。
1700922980# #网友在宿舍里做的感恩节晚餐，这个复杂程度是我没想到的...
1695824667# #一位阿根廷艺术家制作的“曼陀罗动态雕塑”，转起来的那一刻，明显感觉脑子不够用了。
1704359976# #3d打印的小摆件，把它们合在一起再抽开...妙啊！
1702303684# #小金毛宝宝从到家的第一天起，就承担起了“带娃”的重任，还不止一个，是两个噢！
1700727718# #迈阿密水族馆一个不对外开放的水池里，住着一只67岁的海牛，它已经在这里孤独地游了66年...
1704089115# #见证眉毛从无到有的过程，懂了，原来这才叫做画眉！美妆V赏
1694100941# #92岁的哥哥和病床上的弟弟告别，也许他们都知道，这辈子可能不会再重逢了...
1702646205# #周末在家可以琢磨一下这些美食做法，解决一人食，也适合朋友小聚，偶尔换个口味也还不错噢~
1703207865# #满墙都是“猫爬架”的猫猫快乐屋，各位铲屎官就照着这个程度卷起来吧！
1690949975# #化石挖掘现场，挖到了一块1.8亿年前的菊石。没想到平平无奇的大石头里，居然还藏着这样的宝贝...
1703088858# #【武汉蔡林记热干面5人份18.9‼️】。夏天去不了武汉，那就吃一份蔡林记热干面。。武汉老字号非油炸的手工面，更健康好吃！馋嘴。。⚡有原味和卤肉味，每一份都是独立面条和酱包～面条真的非常劲道好吃！几分钟煮完放入调料拌匀就可以吃啦，敲方便！做宵夜或正餐都可以，健康不怕胖！
1690597512# #以防你没见过小水獭打哈欠...还真是个嘤嘤怪呀！
1702905968# #网友设计了一个防蜗牛装置，防止它们啃食花盆里的蔬菜。蜗牛：糟了，是触电的感觉！微盘点V笑年度大赏
1698924160# #老婆喜欢随身带一个大容量吸管杯，胜负欲爆棚且幼稚的老公，就弄了一个plus版...微博喜剧现场
1696676832# #【104岁老奶奶玩跳伞】104岁的老奶奶DorothyHoffner，在约4100米的高空中一跃而下，整个跳伞过程持续了7分钟。她也一举打破了世界纪录，成为年纪最大的跳伞者。。。老奶奶马上要迎来105岁生日了，她目前计划坐热气球来为自己庆生。
1696560422# #本来是和好兄弟分享一个消息，但剧情一波三折...兄弟你是真敢说啊！
1691400813# #小哥决定每天拍张自拍，直到自己找到女朋友了为止，没想到拍了700多天还没拍完...
1690683816# #小浣熊：抓到你啦，现在换你来抓我咯！
1690372520# #奄奄一息的狗狗倒在后院里，被发现后及时得到了救助。治疗的过程很痛苦，但它都撑了过来，最后蜕变成了帅气的大狗勾，是真的很帅！
1697420250# #网友养了一只爱跳舞的狗狗，这节奏感相当可以啊！
1702374072# #一些莫名让人尴尬的事，很真实，光是看着脚趾都要把地板抠穿了...
1696476764# #网友的母亲因为白血病，没办法出席她的婚礼，只能默默陪着她试婚纱，仔细帮女儿整理每个细节...没过几个月，家里的小天使平安降临了，妈妈也该回天堂啦。
