1700806478# #刘诗诗舞剑变装能武能舞任如意憧憬憧憬憧憬刘诗诗不愧是我最爱的女演员
1689759899# #老婆，你丰收了啊
1695287143# #舔屏舔屏舔屏刘诗诗绝美，我说累了
1689644655# #刘诗诗蓝色长裙好优雅刘诗诗超话刘诗诗的腰是要我命的腰求关注求关注求关注
1694181171# #一念关山超话为何屏蔽我在本超话的所有发帖？连自动生成的七天铁粉帖也被屏蔽了，实在不理解苦涩苦涩你是单单欺负我一个呢？还是所有女主粉都欺负啊泪
1693571609# #刘诗诗沈月东方姐妹路透抓狂所有人都过来看我们的粉嫩淮竹，还有人没看见这三张图，我会伤心的并不简单并不简单刘诗诗超话
1703593417# #跃动青春小美真的好善良好可爱啊亲亲亲亲妈粉要疯了，就算是恋爱失败也会用公平客观的态度看待，好强大开学季小美事业批改不了了
1703323130# #好喜欢好喜欢今晚7点继续相约爱奇艺
1701683985# #老公姐击中了我的心巴
1702975196# #🙏平平安安
1691321066# #刘诗诗个人名义捐款这很奇怪吗允悲河北人感谢所有捐款的朋友心
1701768179# #这件衣服好适合刘诗诗好适合任如意啊啊啊啊
1702211004# #柠萌破大防偷笑偷笑
1693980086# #天很蓝，猫咪很慵懒心
1703222675# #🙏踩
1689601139# #心心姐姐好美，我爱刘诗诗
1690945317# #理解若曦成为若曦若曦一生，做人做事都问心无愧，对待亲人，友人，爱人，都做到了尽善尽美，人与人之间的关系是复杂的，但是感情是真的泪泪泪我真的哭死
1700397546# #🦁们要注意安全啊
1700839154# #犬夜叉戈薇戈薇就是这个世界上最善良的女孩子憧憬憧憬憧憬不接受反驳，犬夜叉和戈薇两个人都非常好，不想再吵下去了，犬夜叉不是渣男，戈薇也不是小三，是这条船自己裂开了呀苦涩
1691811093# #刘诗诗的人生她自己不能做主吗？到底有没有人在只为了刘诗诗，只守护刘诗诗，守护她的一切泪刘诗诗超话
1702086268# #心任如意是一棵树，改一两句台词是无法抹杀演员演出来的气质的，在我的心里，任如意是一棵树，每个女人都是一棵树。
1701658240# #刘诗诗刘宇宁史密斯夫妇一姐是任如意的1️⃣
1701161537# #刘诗诗超话真爱粉在线发帖求翻牌啦泪泪泪感冒求抱抱求贴贴
1702128484# #刘诗诗真的为任如意做了很多准备，天天熬夜拍戏，还要保证自己的状态在线，没有人比她更爱任如意，我爱的任如意也是刘诗诗演出的任如意，没错，我超爱的。
1695724612# #南北双joker这把真的太喜剧了，双Joker意外的互认身份哈哈哈哈哈哈这游戏真的太好玩了
1701310846# #刘诗诗正能量给你小心心刘诗诗任如意
1689150423# #因为明白自己的粉丝位置，所以一直以来谨言慎行，谁不想“自由发言”啊，因为爱才会克制。刘诗诗
1700706145# #锦鲤附体锦鲤附体祝贺生日快乐
1700211176# #啊啊啊啊泪泪泪奥妙直播有汉服，奥妙爸爸了不起
1694181701# #一念关山超话本人稳定时间在线，遵纪守法，公开公正，也从未对本剧任何演员有任何意见，也达到了申请小主持人的要求，如果驳回我的申请，请给出驳回理由。权限是用来守护这个地方的，不是用来欺负别人的苦涩为什么我的贴都没了呀
1695616264# #刘诗诗超话超话星愿池老婆身体健康
1691751370# #求关注求关注求关注老婆好美
1698848246# #中国女足无缘巴黎奥运会评论区楠别犯贱了ok一次成绩不好和次次成绩烂还是不一样的
1695307292# #哈哈哈哈哈哈众所周知，只有糊才会破防ok
1703115239# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1702730620# #俞敏洪董宇辉合体直播有多少对着老员工说降本增效，然后不断招新员工的揣手打工人虽然很生气，但又因为只是一份工作的话忍了的。
1702635767# #一念关山安都副本决胜局最好的刺客任如意
1701918267# #一念关山今日19：00更新哇哇哇难熬的两天终于过去了，可以继续追剧了，刘诗诗任如意是真的好好看，女杀手女刺客抓狂抓狂不要太爱了
1693296733# #舔屏舔屏老婆你真好看
1703115256# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1693317563# #🙏单身无所谓，主要是喜欢大舅
1690768904# #老婆超美心心心心
1695304922# #早日相见心心心
1702105999# #死耗子不是内娱活人吗？今天不直播就是耗子孙子嘻嘻
1700712697# #憧憬憧憬憧憬我要和任如意一起吃火锅，一起快意江湖
1688957494# #太美了，对着刘诗诗这张脸，我完全想不出任何挑刺的话求关注脸是名画，性格是童话，人生是电影，存在即神话
1701356925# #别偷了别偷了，再怎么双强也是不一样的人设，天天这么偷，有什么意思挖鼻也不看自己合不合适就偷
1701827476# #一念关山超话别来犯🗡️，我那么大的“关山”去哪了了？？？给爷吐出来yueyueyue昨天晚上刚领完奖，今天就是翻脸不认人吐
1689239570# #爱宝奶爸辛苦了求关注求关注昨天的爱宝视频里都没有我方奶爸身影泪就算再喜欢姜爷爷和宋奶爸，也要清楚每个熊猫都是我国的游子，是会回家的心心
1697513775# #刘诗诗谢娜和TODS总监合影谁懂啊，家人们舔屏舔屏舔屏舔屏刘诗诗超话
1692350816# #求关注求关注求关注姐宝超可爱
1695876498# #恭喜运动员们憧憬憧憬憧憬开开心心过中秋，迎国庆
1701697920# #嘘但是听说只有100块，够你吃吗
1701316671# #刘诗诗这让人怎么镇定演技太好awslawsl看得我脸红心跳，刘诗诗任如意我也需要上课，这个上课不太正经舔屏
1701162067# #我爱任如意更爱刘诗诗给你小心心给你小心心给你小心心
1690254135# #我一直有个疑问🤔️为什么会有那么多人不爱孩子又强烈的争抚养权呢？就是为了让爱孩子的一方伤心痛苦吗？国内外也有很多男的，不爱孩子，但是一定要抚养权，拿到了抚养权又不好好抚养。
1703674045# #搬好小板凳了亲亲
1702949476# #刘诗诗去年跨年夜骑着马拍了一小时🍋和🐀不得好死
1689728214# #橘猫困了就去床上睡觉嘛单身狗非挡着人家看电视
1704637650# #刘诗诗靠张云龙肩膀路透好喜欢好喜欢真的超级无敌期待狐妖小红娘竹业篇，东方淮竹速速与我见面awslawslawsl刘诗诗美的让人安心。
1698973121# #啊啊啊啊抓狂抓狂抓狂老婆好美
1689214462# #刘诗诗T锦绣7月刊封面刘诗诗风格无限
1702090075# #刘诗诗戏份辛辛苦苦拍了几个月起早摸黑的是刘诗诗，也就是刘诗诗一上线就破纪录的给你小心心给你小心心抛开男主一念关山真的很好看，欢迎大家来看，任如意很好很值得，演出来的气质是无法修改的。
1694138721# #刘诗诗超话Lss刘诗诗香奈儿品牌形象大使lss刘诗诗狐妖小红娘竹业篇。。这两张我真的好爱awsl好精致，好标准的一张美人脸awslawsl我的老婆，我命中注定的老婆。。
1702635843# #一念关山安都副本决胜局听说用猫可以获得翻牌
1701481888# #11集刘诗诗演技大赏🙉🙉刘诗诗为什么这么会演戏，把我玩的团团转
1703760893# #刘诗诗奋斗到如今的地位，全凭自己的努力和对演戏的真诚，强大的路人缘是刘诗诗自己二十来年的积累爱你永远臣服于真诚
1689908609# #陈妍希忘了删文案允悲还不如交给工作室的人来发。
1695699049# #一镜到底是刘诗诗的实力好爱哦好爱哦好爱哦影片虽短，感动常在泪泪泪
