1694181741# #哎呀，我宝给我打视频电话了舔屏
1689916374# #林一白崖光影大片林一聚光杂志七月刊封面太帅气啦！
1692099774# #清爽男高舔屏
1703668778# #林一太棒啦！
1692184126# #送花花送花花送花花
1691303440# #小室干得漂亮！
1697287934# #期待林一送花花林一超话🐯林一你好星期六是阳光开朗大男孩林一☀️期待下周的你好星期六‼️
1693630913# #林一NewJeans跳了supershy。哇～帅哥去韩国宣传电影，还交到了新朋友！玩得开心哦！
1692700877# #哈哈哈～男朋友证件️照🈶️
1688519416# #林一顾寻🐯林一祁连。你是大西洋暖流，我是摩尔曼斯港，因为你的到来，我的世界成了不冻港
1692348611# #来啦来啦！
1691211408# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1693824456# #期待林一，期待祁连！
1690873550# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1703757935# #今晚继续看祁连！
1701829609# #期待祁连既然是喜欢的事情，尽管大胆去尝试，不用拘泥。脱轨定档1214电视剧脱轨优酷预约：微博预约：
1692099878# #送花花
1701833509# #终于等到了！
1695267221# #林一玫瑰故事🐯林一何西。我一直是个怀揣泥土的人，遇见你，它就有了瓷的模样💙
1690434113# #「聚光」聚焦于身上的每一个瞬间让记录少年散发光芒的时刻，绽放出最灿烂的光💙
1702287188# #林一祁连🐯林一脱轨。环游遍了整个星系，找不到比你更亮的星星💫。
1693494640# #💙💙💙
1691241531# #下次见啊！今天很开心！谢谢你！
1691420244# #未来可期！下次见！@我是林一同学
1701963495# #林一祁连🐯林一脱轨。终于等到祁连啦！12月14号不见不散
1693186868# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1689563247# #哇！好期待！
1692364983# #每天爱林一多一点🐯林一谢谢你温暖我。我羡慕，还能与你不期而遇的风💙
1703858000# #好帅！
1700187574# #💙
1689570186# #期待林一！
1693630210# #帅哥舔屏
1703587057# #祁连，我给你擦
1689162617# #迪奥二零二三秋冬成衣深圳秀🐯迪奥品牌大使林一。我的白马王子来啦！好帅！
1695020378# #铭记历史！勿忘国耻！
1697299146# #转发微博
1693817656# #满杯茅台去咖啡液，谢谢！
1703125901# #脱轨你好香啊。林一你好香舔屏舔屏舔屏
1698136538# #什么时候播，我要看！
1700040229# #期待林一
1696593256# #虽然是男香，但是我尊嘟好喜欢，和秋冬季节好配
1702088620# #祁连太帅啦！
1691469287# #每天爱林一多一点🐯林一谢谢你温暖我。回到家感觉这几天像一场梦一样不真实，还好拍了很多照片和视频，记录了这些幸福的时刻。才见过面，但是又很想念林一同学啦！立秋快乐送花花
1689323461# #太帅气啦！迪奥品牌大使林一
1689610188# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1693023478# #期待林一！帅气高冷&amp;诙谐灵动？8月27日12:00一起解锁“阳光新青年”！
1701865876# #💙
1704431569# #期待林一！
1691227803# #林一翻跳ENHYPEN的biteme。是谁在现场看帅哥跳舞啊！原来是我！哈哈哈哈！林一太帅了！
1695750384# #中秋快乐呀宝送花花
1703147405# #哈哈哈～话少人也不恨呀！我们祁连内心柔软
1704080171# #林一顾寻元旦快乐！@我是林一同学
1696925769# #怎么今天才星期二裂开裂开裂开
1692929745# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1696596420# #他从火光中走来结局。什么玩意儿？我刚看三集，你给我说男主嘎了？！
1704198139# #真诚的演员林一来啦！
1702824781# #一起堆雪人吧⛄️
1696222955# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1696683139# #中国女排vs日本女排。我们是冠军！🇨🇳🏆
1692083537# #舔屏🐎住
1689171019# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1696129050# #国庆节快乐！期待林一，期待顾寻！@我是林一同学
1702525175# #王子驾到，通通闪开！
1700908598# #抱一抱
1695954943# #中秋节快乐呀！@我是林一同学
1690724280# #🎂
1687324733# #我在森林驿站帮助了东北虎，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1689661784# #你是我的光送花花
1689935245# #这小伙子怎么这么帅呢舔屏
1693432708# #转发微博
1693111167# #热情上进☀️，积极正向☀️，感谢温柔地对待世界，赤诚地面对人生。ELLEMEN新青年林一封面林一绝美侧颜
1694012789# #林一玫瑰故事🐯林一何西。我想和你一起种下向日葵和玫瑰。我想和你一起披落日和秋风。
1701276114# #林一祁连🐯林一林拓。立如芝蘭玉樹，笑如朗月入懷
1689758859# #转发微博
1693025043# #十点才起床，怎么又困了晕
1703239630# #翻我（祁连语气）
1700666724# #林一祁连🐯林一林拓。我见众生皆草木，唯有见你是青山
1693111667# #太棒啦！用镜头留下美好回忆！
1697854600# #今晚看祁连！@我是林一同学
1691038876# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1689176776# #宝子太帅了！
1702520617# #来啦来啦！就是今天！一起来看祁连！
1693432028# #转发微博
1693890724# #好期待舔屏
1703490261# #转发微博
1701916835# #唱给我听偷笑
1691471925# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1695395358# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1694181608# #小伙子老帅了抱一抱
1697858097# #期待
1698021506# #一大早就看到了帅哥送花花
1698987088# #期待林拓送花花@我是林一同学
1702012311# #期待祁连
1703154932# #祁连
1689925617# #宝子好帅！
1693305324# #哇～好幸福！
1696563018# #林一玫瑰故事🐯林一何西。仿佛过去重叠又重叠。只剩下一个昨天，月亮永远是那么圆。
1690808850# #爱了
1704198189# #未来可祁，好运连连
1703663479# #祁连，我保护你打call
1695206372# #宝藏男孩儿林一！送花花送花花送花花@我是林一同学
1700039072# #期待何西！
1693800427# #前几天家里有事，没怎么看手机。今天疯狂收图，宝子你好帅舔屏
1702898626# #世界纷纷扰扰，我陪祁连到老
1689159237# #宝子太帅啦！一会儿见@我是林一同学
1691912933# #好帅！
1690870583# #致敬人民子弟兵！
1689342927# #贵州也太凉快了吧舔屏
1693146605# #ellemen新青年林一封面🐯林一绝美侧颜。他给我的光芒，被我藏起来。这好意我不敢挥霍。我希望下一个春天照到我。还原这相遇的美意。
1689660219# #感谢的封面邀请✨让我们与一起追逐夏天的脚步，享受阳光的温暖，释放心灵的自由。💙
1704421736# #恭喜林一梁代文杀青快乐！期待林一同学的精彩表现，《失笑》提上日程！@我是林一同学
1695625824# #@丶Liberty丶
1687750393# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1687406502# #端午安康粽意你
1703579318# #林一正式确诊ei人林一无法绕开的troublemaker林一林一打call
1697862877# #期待林一！今晚不见不散！@我是林一同学
1701084355# #南海归墟。来得很突然，但是我喜欢哈哈哈偷笑
1697705158# #为祁连打call送花花
1702043077# #帅哥，加个微信喵喵
1692184370# #送花花送花花
1689060657# #宝子辛苦啦！一切顺利！
1702895889# #哇！期待！
1690174951# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1697686478# #祁连快来送花花送花花送花花@我是林一同学
1692001454# #在家看相亲综艺，突然放了想见你，又勾起了我的回忆，想阿一泪泪泪
1694748413# #来啦来啦！
1689561255# #林一顾寻🐯林一GLASSMAN封面预告。新的一周，新的期待！新杂志来啦！送花花送花花送花花
1695471423# #我爱你中国。我爱你中国！🇨🇳
1693312911# #转发微博
1703668899# #林一祁连🐯林一脱轨。宝子们快来百度地图使用林一的语音包，以后一路都有林一陪伴啦打call打call
1699801453# #林一祁连🐯林一林拓。二两桃花酿作酒，万杯不及你温柔
1688096363# #转发微博
1702281850# #祁总好！
1690460632# #八嘎牙路苦涩苦涩苦涩苦涩
1704168986# #今天给小室加鸡腿！
1700044145# #期待和何西一起飞行✈️
1703069296# #让我仔细听听doge
1696302525# #💙
1691492502# #下次见！送花花
1697985627# #妈呀妈呀
1697985714# #送花花
