1687658389# #本来是一个温馨的场面，没想到……我拿你当兄弟，你却想占我便宜允悲消防蓝朋友
1687474944# #深圳一女子洗澡时因触电身亡【电热水器使用安全提示】热水器是家家户户必不可少的家用电器，但如果使用不当将有诸多风险。热水器使用安全注意事项有哪些？一起戳图了解吧！
1687658296# #【消防员看队友拍婚纱照羡慕到入神】近日，四川成都，消防员看队友拍婚纱照时看得都入神了，这呆萌羡慕的小表情也太可爱了，身旁调皮的队友一秒打破这美好，叫醒他的样子多少有点无情了~
1698940992# #【跟消防员一起打卡健身操】没有场地限制、没有繁琐动作，一张椅子、四个动作，超强瘦肚子的方法来喽，赶紧跟随蓝朋友做起来，轻松“想瘦”。跟蓝朋友一起健身打卡
1702570816# #【货车途中起火好心司机这一举动亮了】近日，江西景德镇，一小货车行驶途中突然起火，司机并不知情。后车司机见状后，狂按喇叭提醒。货车司机得知车辆起火后，立马停车远离。火势被赶到的消防员扑灭。ps:为鸣笛司机点赞~消防蓝朋友
1697405932# #辽宁消防超话【洞房花烛无人看管婚房起火变毛坯】近日，贵州松桃，一婚房的主人在点燃象征喜庆的洞房花烛后，便匆匆离开房间去参加婚礼，红烛点燃屋内易燃物品，引发大火。消防员接警后赶赴，破拆防盗门后只见熊熊大火充满房间，黑烟滚滚向外涌出，赶紧架设水枪扑灭大火，但屋子已是一片狼藉，
1699757131# #【迷路狗子赖在消防队好几天不想走】近日，浙江嘉兴，狗子上街遛弯不慎迷路，在消防站的大门口左右徘徊，浙江消防蓝朋友好心将狗子领进站里，好吃好喝地招待。几天后，狗主人闻讯来接狗子回家。没想到，这家伙死活不想上车，几度挣扎逃脱，最终还是拗不过主人，乖乖回家去了。话说暖心的蓝朋友还真
1700582613# #辽宁消防超话【这首原创歌听了会涨知识哦】“关了吗，暖炉上发烫的衣袖。关了吗，插座拔了再去旅游。关了吗，当心燃气偷偷泄露....”全国消防宣传月，想单曲循环啦~
1698517504# #【消防漫画小剧场】原来工厂防火也可以像恋爱那样酸甜！消防温馨提醒：企业要壮大，安全是基石。
1692995811# #学校超市已经准备好迎接新生了【校园防火安全指南】校园是同学们日常学习、活动的乐园，也存在发生火灾的危险。因此，大家都要掌握校园防火安全知识，遵守学校防火要求。戳图了解校园防火安全指南呀
1697841357# #【迷路老人下意识走进消防站】近日，福建三明，老人散步找不到回家的路，便来到附近消防站求助。蓝朋友了解情况后，将老人带至室内休息，送上矿泉水并暖心帮助老人拧开瓶盖，同时帮忙联系其家属，聊天陪伴至老人被接走。提示：老人家以后出门要多注意～
1695342401# #【消防员一个飞扑拽回轻生女子】天津津南区一女子因财务纠纷一时想不开，爬上6楼窗户欲跳楼轻生。消防蓝朋友与民警第一时间赶赴现场，女子跨坐在窗户上，情绪激动，民警不断与女子说话转移她的注意力，消防员做好防护措施，慢慢靠近，趁其不备，一个飞扑上前抱住，将其救回安全地带。
1692470816# #【看着揪心！老人戴仨戒指肿胀到戒指陷肉里】近日，湖南邵阳，一名老人左手无名指佩戴3枚戒指，肿胀多日，戒指几乎和肉融合在了一起，无法取出。消防员赶赴，立即拿出钳子、镊子等工具，帮老人剪开。经过30分钟的救援，3枚戒指被成功取下。看着老人流血的手，真心疼啊。
1693955334# #没想到现在取快递这么高级了【快递包裹消防安全小贴士】各位剁手党们，收快递时一定要注意消防安全哦～蓝朋友的提醒
1693264692# #【高层建筑火灾逃生“三要诀”】高层建筑结构复杂、人员密集且疏散困难，一旦发生火灾，火势难以得到有效控制，易造成不可预估的生命财产损失！如果遇到高层火灾，如何才能让自己“全身而退”？往上跑？往下跑?还是原地等待救援？高层建筑火灾逃生“三要诀”，一起学起来↓↓高层火灾如何逃生
1688778404# #辽宁消防超话【新郎接亲团被困电梯这真是有惊有喜啊】近日，山东淄博，新婚当日新郎携一众亲朋前往接亲，不想浩浩荡荡一群人都被困电梯里了，无奈报警求助。消防员赶赴，快速破开电梯厢门，帮众人脱困。电梯：俺也想沾沾喜气~
1692572177# #【如何防范群租房火灾】如今越来越多的人选择租房居住，出租屋的数量随之增多。但是很多出租屋存在消防设施设备老旧、电线私拉乱接等问题，加之租住人员多，管理薄弱，消防安全隐患突出！小编提醒：租房者平时要注意防火安全，虽然房子是租的，但安全是自己的！
1696357666# #【这像不像一看就会一做就错的你】近日，四川成都，消防员开展冬季雪域救援训练，蓝朋友单脚踩板，超认真听讲，频频点头之间看来是学到了单板滑雪的要领。然而，真正上板后，实属摔得有点可怜了。网友：像极了那个“一看就会，一做就错”的我啊~
1692572219# #【邻居以为着火报警竟是装修打磨墙】近日，山西太原，邻居发现对面楼浓烟滚滚，顺着窗户冒出，疑似发生火情，立即报警求助。消防员赶赴，走进房间才知闹了一场大乌龙，所谓“浓烟”是装修打磨墙面摩擦出的粉尘。ps：好在虚惊一场。
1689206717# #【夜以继日奋战消防员披上了泥铠甲】近日，甘肃甘南，泥石流发生后消防员第一时间赶赴现场救援，现场泥泞不堪，消防员的救援服上沾满厚厚的泥土，仿佛披上了“泥铠甲”，短暂休整后他们再次投入清淤工作中。消防蓝朋友
1697654406# #【守护儿童安全大家一定要知道这些】近日，四川崇州，一小区中有烈犬撕咬女童，致其全身多处咬伤及右肾挫裂伤。目前，咬伤女童黑狗的主人被刑拘。小朋友的安全意识相对薄弱，不仅要靠家长多多教育更需要大家一起用心守护。蓝朋友送上一份安全知识小贴士↓↓时刻关注儿童动态，提醒孩子远离危险，
1698451452# #亲历者讲述欢乐谷过山车追尾事故【游乐园游玩注意事项】游乐园里的惊险游戏，凭借其独特的魅力吸引着越来越多的都市一族。众多的游乐设施，如过山车、云霄飞车、海盗船等都对孩子们有着极大的吸引力，游乐场成了大家寻找快乐的地方，但在享受快乐的同时也要注意安全问题，一起来戳视频看看吧！
1692995846# #黑龙江消防快讯【大爷被救后看热闹消防员劝快回家】近日，天津滨海，积水致部分车辆被困河道，一大爷驾驶老年代步车故障抛锚。消防员赶赴，立即指导大爷控制方向盘，帮其将车推至安全地带。话说大爷真淡定啊，自己安全后还不忘操心其它车呢，蓝朋友劝大爷快回家。ps:安全第一啊~
1697654184# #辽宁消防超话全民素养提升v计划【叮～这份秋季消防安全请您查收】秋高气爽危险多，严禁电动车入楼入户，切勿堆放杂物在楼道，注意用火及用电，野外行动勿明火，生命安全有保障！更多戳视频↓辽宁消防云科普
1703779388# #【仓储物流场所如何做好防火工作？】仓储物流场所堆放的物资数量多、密度大，可燃物种类多，火灾隐患大。因此，各物流仓储企业一定做好火灾防范工作，排查消防安全隐患，避免事故发生！
1695156909# #12306最多候补20个车次【乘列车出行小贴士】你抢到票了嘛？火车高铁上人员密集且封闭的空间，消防安全尤为重要。今天来说说高铁列车消防那些事。火车高铁上有哪些消防设施？遭遇火车高铁火灾该怎么做？戳图学习啦！
1688602180# #【男子沉迷海景忘记涨潮被困礁石】近日，福建福州，男子海边游玩时，一时沉迷于眼前美景没注意涨潮，发现时为时已晚过不来了，被困海边礁石无奈报警。消防员赶赴，为其做好防护后，利用长绳将人营救至安全地带。
1702834470# #【消防员拉住轻生老人紧紧不放】近日，山东济南，老人一时想不开情绪激动，翻出窗台，倒悬5楼防盗窗外欲轻生。山东消防夜幕下赶赴，蓝朋友救援却遭老人排斥，只好紧紧拉住老人，最后和队友配合用救援绳将其安全救回。ps：有啥大事过不去呀，生命只有一次千万要珍惜~
1697927574# #【消防员暖心救助摔倒老人】暖心一幕！近日，陕西西咸，消防员在上班路上遇见老人摔倒在地上，身体很虚弱，不能自行站立，消防员第一时间拨打120并上前询问老人情况。等待医护人员到场后，在确保不会给老人产生第二次伤害的前提下缓慢将老人扶起，得知老人无大碍后，消防员才慢慢离开。
1698176590# #【女子探洞不慎掉坑消防深夜前往救人】近日，贵州黔南，一女子与朋友结伴探洞，意外坠落至深约20米的洞穴里，双腿及左臂受伤无法动弹，只好报警求助。消防员赶赴，查看女子伤势做好前期处理后，将其转移到担架上并固定，小心翼翼地将被困女子从洞底拉出来，送往医院救治。ps：冒险有风险，须谨慎！
1691973765# #家长请注意！又一起儿童被电动指甲刀夹嘴唇！重庆消防守护人间烟火气你可以永远相信中国消防
1702247522# #【110秒内电瓶车从自燃酿成大火】近日，湖北武汉，一电动自行车在车棚内深夜突发自燃。根据监控显示，电动车发出第一声爆炸声响后，开始多次发出爆炸声、燃烧火焰、火势越烧越烈发出白光、火势大到引燃车棚不断有火种掉落……110秒内，小火酿成大火。提示：购买合规电动车、规范使用电动车、规范给电
1698768112# #黑龙江消防快讯【井口再小为了救人他们说下就下】近日，江西吉安，一名工人在消防水池作业时突然昏迷不醒。接警后赶赴，由于工人意识不清无法配合，需要下井施救，井口直径仅有80厘米，消防员做好防护后迅速进入，成功将其救出并送医治疗。
1691625529# #【地震发生如何科学避险】地震随时可能发生，掌握科学避险方法和逃生技巧，有助于减轻灾害带来的意外伤害。以下这些地震逃生常识，要记牢！四川山东两地凌晨地震
1699113669# #【消防员帮村民收稻谷这一幕好治愈】近日，江苏淮安，这一幕给秋天添了一丝暖意～
1691536834# #【蓝朋友也有痛苦面具】实拍蓝朋友高强度训练后的肌肉放松，这也太酸爽了吧！蓝朋友：说实话我也不想叫，但是真的好疼啊！网友：话说可爱的蓝朋友也有痛苦面具啊～
1695156931# #【海口一临街商铺起火1人遇难】9月18日00时49分，海南海口，一临街铺面突发起火，着火物质为日杂百货，过火面积约180平方米。接警后，消防、应急等部门迅速赶赴处置，3时许，明火被扑灭。此次火灾造成一名市民不幸遇难，无人员受伤。火灾具体原因正在调查。
1703373823# #【救援队吃饭付钱被面馆老板霸气拒收抱一抱】近日，救援队在青海民和灾区吃饭后要给钱，牛肉面馆老板霸气拒绝，用最刚的语气说最暖的话，“收你们钱我们成啥了！不收钱，全部不收钱！”
1695580039# #【大爷做饭睡着了醒来都是消防员】近日，天津滨海，大爷灶上做着饭，一时困意席卷便回屋睡着了，群众发现浓烟弥漫立即报警。消防员、民警赶赴，正在焦急之际，其家人赶到将门打开，消防员第一时间冲进屋内，将睡眼惺忪的大爷救出，所幸老人没有受伤。消防蓝朋友
1703088055# #消防员已营救甘肃地震被困人员78人地震的紧急避险指南，每个人都要知道！面对地震，应该如何紧急避险。戳图学习地震自救知识，关键时刻能救命！能救命！能救命！重要的事情说三遍！
1696627344# #【男子猛怼门把手被卡消防员上电锯】近日，浙江宁波，男孩猛怼门把手，不成想食指被卡进门把手锁芯中，无奈报警求助。消防员赶赴，这造型实在是清奇，蓝朋友拿出电锯，切割把手帮男子“恢复自由”~门把手：俺何辜~
1699432922# #浙里不上火【医疗机构如何进行消防安全管理】医疗机构是人员密集场所,一旦发生火灾,人员疏散逃生困难,容易造成严重的生命与财产损失。为确保医疗机构的消防安全应做到什么?中山二院苏士成正常坐诊
1689983408# #【男孩被困半山腰消防员攀山救援】近日，山东青岛，男孩独自上山玩耍，不慎被困半山腰。消防员赶赴，山壁陡峭，怪石嶙峋，救援人员做好防护措施，攀至男孩被困位置，缓慢索降，将其带回安全地带。
1701299149# #【消防员从反锁屋内救出个佛系宝宝】近日，吉林辽源，21个月大的小奶娃不慎把自己反锁在卧室出不来了，家长找不到备用钥匙，无奈报警，救援过程中，一直隔着门喊话孩子，生怕娃害怕，没想到开门瞬间小家伙相当淡定，不哭不闹在床上玩耍，看这神态相当“佛系”啊~消防蓝朋友
1695744108# #黑龙江消防快讯【司机车祸现场找手机消防暖心劝慰】近日，江西宜春，司机开车玩手机追尾大货车，车辆严重变形，司机被困。消防员赶赴，将司机救出。好在司机身体并无大碍，竟心大的还在找手机，蓝朋友暖心劝慰小心玻璃碎片扎伤，并将其领到路边。
1693844645# #【住宅建筑火灾预防常识】家中安装独立式火灾报警器，随手关上防火门，楼梯楼道勿堆放杂物，管道井按规定进行封堵，室内消防器材保证完好有用。记住这五点，安全伴您行
1695744076# #【国庆出行消防安全提示】你会怎么度过国庆假期呢？景色正好，外出旅游已成为人们的首要选择。但如果不注意安全，旅途可能会变成“囧途”甚至“险途”，这份消防安全锦囊，请收好↓↓消防小超人
1697483610# #【消防空降到眼前的一刻无助感消失】近日，贵州松桃，一男子上山采蘑菇，返回时因抄近道被困陡坡进退两难，鞋也不知道在什么时候蹬掉了，只好报警求助。消防员赶赴，利用绳索将其救至安全地带。提示：上山采菌注意路线安全，提前规划以免发生意外。
1698003083# #【跳河救人的白发大爷找到了！出差民警遇女子落水跳河救人】近日，江苏临近退休的59岁民警周锦万出差北京办案时，路遇一女子落水，他毫无犹豫跳入冰冷的河水里，成功将女子救回岸上。经过简单抢救，女子恢复意识，身体并无大碍。周锦万表示，自己是人民警察，见到群众水中遇险，想的就是一定要把人
1694127255# #【工人下井作业车轱辘把井口封印了】近日，天津滨海，一司机手法犀利，开着车一个寸劲儿将车轮卡入井口，而井下有位工人师傅正在施工作业，车主赶紧报警求助。消防员赶赴，询问井下工人确认身体无恙后，使起重气垫将车辆抬高，将工人师傅成功救出。网友：求师傅的心理阴影面积
1702397076# #【小伙实力证明消防科普是有道理的】近日，山西晋中，消防员组织居民开展安全知识宣传，科普现场演示起油锅起火如何处置，哪料其中一名围观的小伙突然想到自家油锅还在灶上，蓝朋友赶紧提起灭火器前去查看，好在并未酿起火情。网友：看热闹看到自己头上了~消防蓝朋友
1700953254# #【这小菜腌的一吃一个不吱声】来咯来咯，今天的蓝朋友为大家揭秘超下饭的爽口小菜是怎么腌制的~咱自己种的新鲜豇豆、爽脆的萝卜、有点儿辣的青椒，配上蓝朋友特调的料汁，通通放进玻璃缸密封起来，等上几天就能享受美味啦~腌小菜虽简单，但用心做也会有好味道~消防员的美食有多馋人
1698270434# #【栏杆刺穿男子身体119和120接力救援】近日，江西南昌，一男子在家中干活时不慎从凳子上踩空，整个身体被一旁铁栏杆刺穿，背部隆起，皮肤被钢筋撑得红肿流血，情况紧急。赶赴，用液压剪扩钳将铁门护栏的钢筋逐一剪断，救出被困男子并立即送往医救治。
1702656368# #【他们顶风冒雪训练只愿能护你周全】近日，山西阳泉，多地普降大雪，为应对极端雨雪冰冻天气可能出现的险情，看着蓝朋友顶风冒雪苦练救援本领，安全感满满。愿暴雪中的你平安
