1697730967# #转发微博
1704005763# #期待2024继续在央视看到韩东君
1689301358# #Bgm好好听！太浪漫了！
1687435448# #粽子上的五彩线粽意你粽意你
1703060633# #我投给了“恶意退票不可取”~
1703983435# #祝贺韩东君
1701610257# #试试？
1693654663# #有一定的知识壁垒，不适合所有人，要了解量子物理和世界史，麦卡锡主义，很推荐高中生和喜欢量子物理的人看。没有少儿不宜，该遮的都遮了，未成年可以由家人带领观看，很震撼，暂时看不懂但可以种下科学的种子。可以说好几十年没看过这么好的影片了！一部巨震撼的长篇史诗，导演很尊重历史！喜欢！
1703823727# #转发微博
1700654237# #好野性，心脏碰碰跳允悲
1695721695# #图一图二图三都是东坡肉（不是拍的黑，是本身就是黑的）。图四腌笃鲜。偏甜口，高能饮食。。。“人家住院都不能吃，你咋好像在生孩子这么能吃！？”doge。。能吃说明我需要允悲。。贼能吃！感觉饿一辈子了！跪了。。水岸清溪的闲逸时光
1700050809# #这身真好看！谢谢宝宝分享爱你爱你
1702566735# #🎀今天有一点点像《蓝色生死恋》里的宋承宪的感觉。
1702565167# #视频比图片好不止一万倍！今天风衣雪中，有一点韩版风格。
1689840642# #哈哈哈
1700926533# #感谢邀请韩东君，自然洒脱表现不俗赞
1697261018# #韩东君主动要求勒紧绳子。你给化妆师留口饭吃，别啥啥都玩儿真的！
1700143952# #微博视界大会微光所向，热爱同行！我正在微光荣耀入围作品推荐情满九道弯！为热爱助力，一起来推荐你最喜欢的作品吧~
1699011994# #今天一直这样婶儿滴～
1691687274# #转发微博
1697370178# #“爱不是个名词，是个动词。”。。韩东君许子诠。。导演好会拍，阳光斜斜的打过来，照在许子诠侧颜上，照在这对年轻情侣各自一半的面颊上！温暖，浪漫，充满了诗意的幸福……。。再搭吧，再合作！
1702532599# #转发微博
1703329050# #先转后听允悲
1703677816# #很搭@韩东君ElvisHan
1692973462# #自己发的博，真好！虽然我来晚了哈哈哈@韩东君ElvisHan
1703998887# #好会表达，祝愿新年更好！
1703921739# #这是啥？龙吗？在哪儿？
1701174508# #有风度，衣裳架子韩东君
1702048686# #转发微博
1695397701# #松茸硬生生涨了100块💰，我哭死，后悔的眼泪流成了河裂开他家松茸特别好，没虫子🐛，伞没开，粗壮，分量足，🐳东上买的有虫子🐛泪泪泪泪泪泪泪泪泪泪。。（才发现今日编辑还剩7次，什么鬼？谁发明的吃惊）
1701932746# #长期饮用养生茶或引起肾衰竭我每天喝陈皮水算不算养生茶doge
1703750570# #邪门儿！咋总满座呢疑问我看不上了吗？我不喜欢用手机看，我喜欢电影院的那种感觉笑cry
1701769050# #很帅！有气质！@韩东君ElvisHan
1703495918# #好会拍！韩东君📷！这是在啥上拍的？天上吗？飞机上？思考2024更加值得期待了！
1695428506# #救人一命胜造七级浮屠，给他最好的报答！（看他奔跑的姿势，义不容辞！是个有担当的人！）
1703085730# #我获得了微博之夜纯真卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1693058471# #啊，好好看呢，这里不是诠砸，这是韩东君偷笑
1702365657# #期待
1695257382# #早晚温差大，要套一件外套不能单穿短袖了，昨天穿长衣长裤晚上都觉得后背冒凉风了！。。谢谢朋友们，昨天应该是第二名，感谢🙏🙏作揖作揖作揖
1703028949# #转发微博
1703292463# #转发微博
1692030157# #我喜欢的！
1693208106# #挖藕！喜心欢心
1701166057# #三十一岁的韩东君成熟了，不同于以往的直播。
1697531985# #♣️♥️故事还行，但拍摄手法不行，当半喜剧片看吧允悲看得我这个急呀笑cry还没有任何一部谍战剧超过《悬崖》在我心里的地位doge
1693156573# #好不容易有时间看了第三集的前20分钟，不行了，困得💤
1702799907# #泪目！这届粉丝起点高！韩东君，我最喜欢的角色是平河心看到依然会激动💗单纯地喜欢中国人民解放军心韩东君，再演解放军吧，期待你有更多的军人角色，期待大银幕！
1695549174# #因为觉得交了一个真心朋友很开心，所以非常用心地在欧亚买了一个女士包包送给新朋友，结果今天发现教练拿着那款包包，不禁好奇地说了一句：“这个包包好面熟。”。。教练：“小＊送我的，怎么样是不是挺好看？”。。我一时结巴不知道该说啥，楞在那里……“挺好看……好看，好看……”。。一颗真心喂了狗狗
1704034171# #跨年健身，吃火锅，看电影，给摩羯庆生。
1691922435# #转发微博
1691534917# #🐴一个
