1702972307# #愿平安🙏🏻
1700020996# #好美的姐姐泪
1699972188# #刘诗诗挂了好久的职黑都已经转yxh开共享了，谁惹的事请精准点草，你怎样说它都与狮髦无关，狮髦没必要为它们的言论负责。所以有怒气请直接找它，支持肆意开口上升到它的言论，它们肆无忌惮，以后争议性言论还会更多，难道它们点评百家说的言论都要由狮髦买单吗？上来殃及整个粉圈的，难道你的圈子喜
1703393773# #狐妖小红娘竹业篇。东方淮竹对任如意说：如意姐你就放心把刘诗诗交给我吧，我会带着她跟你顶峰相见哇
1700793464# #白月光带着她的一念关山回来了苦涩苦涩
1702864845# #𝐐𝐞𝐞𝐥𝐢𝐧首位全球代言人来喽好喜欢【长情相伴】✖️【相互成就】麒麟与诗携手共铸辉煌，亦将再创全新品牌华章🎊Qeelin全球品牌代言人刘诗诗哇
1703563977# #豆瓣乐子人票选最终结果感谢大家对一念关山刘诗诗任如意的喜欢和认可，关山已过，竹业再会，可以期待一下刘诗诗狐妖小红娘竹业篇，看看跟任如意不一样的刘诗诗东方淮竹心
1701140025# #刘诗诗光剑变人怎么做到让她配合拍这个的哈哈哈哈哈哈哈哈doge，狠厉任如意秒变温柔刘诗诗哈哈哈哈doge
1700022149# #我投给了“刘诗诗✿刘诗诗一念关山✿刘诗诗任如意”~
1702650167# #方逸伦评论男主粉的狂欢，转发内涵一条龙把男二架火上烤，拉男二站队，一时竟不知道是女主粉莫名其妙全自动挨骂来的搞笑，还是男二戏里戏外都被男主粉当做工具人来的更可笑，姐粉解释完就散了吧，最后抱走刘诗诗最喜欢的于十三。
1702096237# #爱奇艺转发刘诗诗微博谢谢你们对刘诗诗的认可和喜欢泪是戏份问题吗？不是的，删戏会为任如意感到不值，但真正让人愤怒的是为了捧其他人让剧本逻辑不通，强行修改任如意的立意和内核，试图让原本一个独立自强的人物角色，从非常清醒且立体的人变成一个衬托其他角色的工具，好在还有刘诗诗的精彩演绎
1700730002# #刘诗诗片场叫刘宇宁远舟哥哥不能错过的红衣舞，好想快点个如意见面，刘诗诗你快点把如意拉出来跟我们见面！苦涩
1702605449# #男人需要20多集完成的事，刘诗诗任如意只需要3分钟，用最慢的速度谈恋爱，最快的速度做剧情。铺垫了20多集的复仇大计我如意姐一出手3分钟完事，还得是我如意姐啊，谈情说爱绊脚石男人只会影响我姐搞事业。刘诗诗任如意并不简单
1698751688# #今天狮髦吃得好饱心
1698729079# #刘诗诗超话心刘诗诗时光生长大片。像不像中世纪名画的画中灵从沉睡到苏醒！。万年等待只为与你相见！。是不是绝了！这一眼万年的宿命感！打call
1701872349# #是热烈又优雅的品牌代言人刘诗诗啊憧憬
1700888847# #若曦公主抱玉檀刘诗诗的任如意可是能抱也能打哟，看看这行云流水的打戏哇
1700910933# #刘诗诗孔雀蓝露肩礼服这一股微风扑面而来的清新感是怎么回事哇原来是11月28号，晚上7点，刘诗诗任如意要在在🥝一念关山等着大家，不见不散，一定要来哟憧憬
1701346021# #一念关山替身马赛克老师这个话题我们一念关山刘诗诗任如意就不参加了，孩子带着🔥热度破9500🔥的奖状回来还气的把眼睛都哭肿了，说是学校里天天有同学黑她，天杀的，老子恁亖你微笑花絮你是一点都不看啊！
1701230127# #刘诗诗扛剧女王原创剧本无ip底盘,在🥝只有一屏推广，首更周二非休息日，在这么多限制条件下泪，刘诗诗成功带领一念关山满广开播，并且开播首日力破🥝2023年度热度记录，拿下第一！刘诗诗不愧是国民爆剧女演员！这号召力！这扛剧能力真的好牛！
