1701620698# #我好废啊每晚都在想自己真的很废没错我很废我的仅有的天赋就是做饭
1701868864# #我好困啊啊啊啊
1702823445# #人在过的开心的时候是不会发微博写日记的
1701234331# #一念关山六集看完了，我最喜欢任如意和李同光，莫名喜欢李同光感觉这个角色还蛮有魅力。如意是真的帅，那个公主也是真的拉胯。
1704195419# #上班真的是催人老。今天吃席，不认识的我跟我妈的人把我俩认成了姐妹伤心我妈的嘴角就压不下来，我的嘴角快掉到地上。
1702459302# #还真是
1701603975# #什么鬼啊我以为今晚能听见李同光那句师父的啊啊啊啊啊啊
1702594315# #说好的暖冬呢？？？
1701069934# #我想起来了！就是今早我时隔很久称了下体重，连我的加厚保暖裤保暖衣一起一共110斤。开心的点在于我最近大吃大喝以为我要胖了结果还在我可控范围内，所以很开心。
1701355561# #刚刚又去看了最新情报，虎杖出来了，但是我一看见追加共同被告我当年背行政法民诉刑诉的痛苦回忆就出现了。
1701910069# #别人（45岁以上）在会场：咖啡橙汁。我：保温杯白开水
1702904696# #一念关山癫剧编剧你没事吧？你没事吧？任如意怎么可能殉情啊？？？冒出来个宁十三还有个妹妹是什么鬼啊？没事吧没事吧？
1701442625# #woc好阴暗好喜欢师徒单向恋速速给我抬我要看啊啊啊啊
1699511900# #老天爷嘞大中午的太阳那么好，结果冷的脑袋里像塞满冰棍一样，冻得我脑仁疼。中午买的橘子，回家放了半个小时，冰的我牙疼。好久没完整的体验过老家的冬天了，这么冷的吗我的天
1702915719# #我靠甘肃没事吧我直接被手机喊醒了
1702540145# #我就要听凶杀案的播客，我就是变态，我就看看罪犯到底是什么犯罪心理什么犯罪手段，我不光要听中文的，英文的我也要听。我就要在饭桌上听火葬场肢解的案子，谁也不能管我！！
1701781457# #我是真的讨厌在外面住…
1700663493# #非凡医者好看的，我看有人吐槽张晚意演的夸张，但是这个病就是这样的，我幼儿园碰见过一个这样的，长的特别好看但是沟通不了一点。郑/云/龙的怼脸镜头有点好笑（不是嘲笑）。剧情我也不知道合不合理，我也不学医，反正看的很想哭是真的。
1701782919# #好烦啊就是胸口心脏那莫名其妙的压迫感和紧张
1702119205# #我好多好多年前的QQ钱包里的钱终于有用的地方了谢谢节奏大师
1703494698# #这该死的熟悉的头疼感我已经四年多没看过数学了还记得怎么通分已经不错了
1702178731# #零下二十二？闹呢
1703575216# #我以后要在自己家里装蹲便，防止我上厕所时间太长并且我感觉蹲便上的更爽。
1699326314# #就这个地方夹一个暖宝，两个膝盖都是暖的，巨暖真的
1702634018# #吐槽+小鸡毛奔跑
1700450582# #女爱豆麦麸，虽卖的大但糊，男爱豆麦麸光眼神能磕生磕死，但不敬业
1699597383# #一觉睡醒下雪了❄❄❄
1699270093# #下载希望之村，下载成功，随便乱点，看不懂思密达，跳转B站搜索希望之村新手教程，点击，up前言：入门难度较高，退出B站，长按，卸载希望之村。
1700527439# #受不了了！我困死了啊！！
1700799519# #现在这小男孩真的是一个赛一个的讨厌，人家狗狗在二楼被栅栏关着，一楼大门还锁着根本出不来。人家小狗碍着你了就拿石子砸小狗？让我看见还不承认？我下次再抓到你俩我直接把你俩扭送到主人家去给道歉去！打小就坏，我祝你俩天天被爸妈双打tui
1703832243# #元旦不用值班，暗爽一下
1702300268# #fatherordaddydaddy？daddy？天呐daddy
1700889250# #在干嘛啊在干嘛啊啊啊啊当着张遮和燕临的面亲？？太歹毒了太歹毒了啊啊啊啊啊
1701955610# #磕疯！辛光就是最好磕的！
1700464172# #每天中午睡醒，都要先骂一句，上尼玛这个破班，然后赶紧爬起来走人
1701052150# #哭死我了算了
1699938252# #我爸今天说让我生个不听话的孩子以后给我气疯气的不成人样。我说首先我肯定不会生，其次我还会养猫猫狗狗我还要带回家看最后气死的是谁
1699447620# #测了个塔罗牌，说我这辈子是上天选中下来历练，经历磨难然后顿悟最后逆风翻盘八面威风。升级打怪情节，这辈子拿的是孙悟空剧本吗笑cry笑cry笑cry
1700106412# #两眼一黑
1700637568# #咒术回战乙骨忧太出手。羂索下线了吗？乙骨犹太出来了是不是意味着我又能接着追了
1701948578# #米卡GQ让你发疯你发癫我觉得这组还挺好的哎展现出男人也能带孩子搞事业只要是合法合理的孩子当地的计生委是会高兴的
1699259269# #这个游戏呢就是关也过不了，但是又不想删，因为一删就记不起哪个账号登的了又得从头打，每次心血来潮打算过一关然后又因为不小心双击闯关失败，最后气急败坏说垃圾游戏我再也不玩了
1701352049# #老天爷我压根不知道这一段啊上一次见这么歹毒的吻戏还是在姜雪宁和谢危当着燕临张遮的面亲嘴啊啊啊啊啊啊太歹毒了太歹毒了啊啊啊啊啊
1700055847# #捏妈我封神二三还能上么也对嗷后面就是特效妆了
1702477414# #我开心不起来我觉得当人一点也不好我希望去当鬼
1703081682# #这几天爆冷（明早零下二十二我先哭），冷的我们这一片的暖气好像是坏了，暖气就等于没有。于是在每个卧室里放了插电的热暖气片和暖风机，为了防止热气散出去卧室门都是紧闭。我跟我爸妈隔了一个小走廊，晚上有事说话全靠微信电话：请打开麦克风交流
1701937510# #我靠真的好小心眼那我就去给公主玫瑰投票去了
1702703419# #我爸开创了新的饮食理论体系我感觉他好像更适合在英国饮食文化下生存
1702097427# #没关系啊本来我的生活就是糟糕的呀大不了就是一了百了有什么可难过的
1699356483# #我要开始去看宁安如梦了祝我好运
1700653759# #我特别喜欢听老一辈的人讲故事。我第一次听我姥爷说他有个妹妹，六岁因为感冒去世了。说那会人感冒了就拔火罐，根本没有药，感冒再严重就用一点点ya片化水喝掉。还有的人就刮脚底板的脚汗掺水喝，我震惊的要死，还有点想吐。姥爷说说现在人的脚汗都不叫脚汗，那会的脚汗是厚厚一层的那种。这是一九五几
1699860764# #今天按照老家习俗大家伙都去上坟去了，连周一的会都取消了，我在想是不是除夕我也能不上班了
1702770994# #我其实不懂我爸妈关系，好的时候还真给人一种你俩好像很爱的错觉。像现在这样多好，谁也不要讲话，安安静静让我吃顿饭最好了。
1701473257# #昨晚梦了一晚上自己给自己剪头发。前天看见wendy头特别心动，但是好不容易头发留长了，二十来年头发第一次留这么长有点纠结。前半年剪过一次到锁骨的微鲻鱼，真的超好看，老适合方圆脸了。
1699184982# #永远不要想着说买几件最后看哪个更好留哪个，百分之八十我会全留伤心
1704162593# #真他妈6我懂个屁啊我懂个屁啊让我弄知识性问题我可以学程序和一堆文件我懂个屁啊
1703250517# #今天去送东西，多多见我去了，里面跑我身边蹭蹭，然后去叼他的小白熊想找我玩。（变稳重了都不随便chuang我了）但是我只能摸摸他狗头说今天忙下次玩嗷。
1703491168# #我已经放弃朋友圈点赞这件事了
1701774146# #好离谱驾照都拿了两年了，车也开不少，一坐车还是晕车，晕的天旋地转的
1704155463# #不良人好好看啊啊啊啊昨天看了整整一天看的眼睛都要瞎了
1701696128# #我好想养一只小狗啊啊啊边牧也喜欢柯基也喜欢德牧也好喜欢啊啊啊啊想养小狗的心达到了顶峰，我甚至都在家里脑补规划空地该咋合理利用了啊啊啊，但是我妈看见狗肯定大棒子连人带狗给我赶出去了泪
1702193402# #我最喜欢澄清bo
1701169061# #有点好看
1701767398# #头儿：去吧去吧对你学习考试有好处。行政复议？我这还真的一点也不考
1700318069# #李承鄞真的好忙啊，每一部古装剧播出，李承鄞就得在B站站岗好久。李承鄞欠小枫的，就让他在B站打工还吧。
1702254969# #为什么现在下雪连学生都要停课！我小时候比这下的还大还要去上学呢！我不允许因为我没体验过雪休啊啊啊
1701130754# #我接
1701394699# #睡醒看见大学时候的舍友给我发来这些。小时候做自己是傻不拉叽的天然钝感，现在做自己完全是对我爸这些年pua的逆反。。宗旨就是：我内耗就内耗我活该，我爱咋咋地我想干嘛干嘛，除了那些专门挑剔我的，谁还趴我脸上专门关注我馋嘴
1702097374# #美好你大爷男的都给我去死吧
1701565627# #突然想起还有个去年今日。去年的今天我好像在记录那个荒谬的一个月，寝室隔离，酒店隔离，寝室送的饭一点也不好吃，酒店隔离的饭超棒。在零下二十的天气里站了八个小时，无聊的找小狗玩踩树枝玩，羡慕别人有防护服可以坐车暖和。现在时间过得好快，一切都已经过去了。
1702530422# #现在的父母真搞笑，你发展个兴趣爱好他们说你的定位在哪，你的正事是什么。然后他们跑去羡慕别的孩子会模型会唱歌会跳舞，羡慕完之后指责你连个兴趣爱好都没有。太好笑了
1699691324# #崩溃的是我度数时隔六年又涨了我囤的那么多日抛怎么办裂开
1699196399# #早八零下骑电动上班。每个词都足以压垮我
1700837116# #天杀的天杀的天杀的裂开
1699797266# #什么啊尤芳吟怎么嫁给吕显了呢我滴个天爷
1702625159# #今天最好听的话是从办公室的哥嘴里说出来的：主任她们商量下午不来上班了，我也不来了你也不用来了。
1701691615# #可以说吗师徒相见李同/光的演员演的总感觉差那么点意思配音不出戏演技要是再好点就好了
1701223617# #我真的很喜欢逃避哎我才是最适合当寄居蟹的那个
1701442801# #啊啊啊啊啊偶像剧就应该二十来岁的人演嘛awslawsl
1704043625# #越到晚上越觉得觉得不出来算了睡觉
1703575415# #我这就去看看到底多恶心，买的夸克会员不能白买
1702034443# #我终于回家了金窝银窝不如我的狗窝
1701416778# #唇膏界欢宜香说实话就是那凡士林的小罐二十块钱晚上厚涂第二天死皮就下来了超好用我用了两罐了
1702381882# #我正在这样戴着耳机然后刷到了这个视频
1703328710# #分享图片
1699690236# #让开！真霸总来了！
1701850133# #古代有美人盂咋的现在还有小狗盂了好离谱小狗没惹
1702510844# #我妆都画完了！下大雪了！我怎么上班去啊啊啊啊啊啊第一次感觉小地方一下大学交通就是直接瘫痪
1701421601# #又到了把柏子养心丸当饭吃的时候了没有这个我真的感觉会死掉
1702903546# #初月于十三哭死我得了啊啊啊啊
1700273034# #跟爹妈沟通真的是一件很费劲的事情，我妈要退快递，买了四件红色的衣服要退三件，我说哪三件，她说就红色的那三件。我：…………。她又说你别拆快递，就那样拿过去退。我：不拆开我怎么知道你要退哪个啊，一共拿回来五个，我透视眼吗。我又说：你点了退货看看是哪个衣服对应哪个号。她：我怎么知道。我：你
1699543145# #睡前在想一个问题，道德感太重到底是不是好事。
