1703848494# #杰哥跨年演唱会心心心心
1693579249# #心心
1693398494# #2023暑假。。未来可期
1699540050# #张杰超话广州十年之约。掐指一算36岁的我51岁的你。哈哈哈哈哈哈哈哈广州首场见
1702555599# #张杰超话洛希极限RocheLimit
1704002517# #张杰超话歌迷又幸福了心心心
1692972203# #在直播看了一场演唱会苦涩苦涩苦涩苦涩苦涩
1700023537# #张杰超话张杰时装男士十一月封面张杰觉得现在就是最好的时候，他不知道未来怎么样，但当下就是最好。
1703675137# #张杰超话这转音太难了苦涩
1702872611# #张杰超话山有木兮木有枝，心悦君兮君不知💗
1701480949# #张杰超话十二月是一个好的开始～～珠海欢迎杰哥的到来抱一抱张杰时装男士十一月封面
1697882305# #心心心
1703848476# #分享视频
1691335131# #2023.7月。记录着成长。做大做强努力
1700532874# #张杰超话抱一抱抱一抱抱一抱抱一抱抱一抱抱一抱
1701854672# #张杰超话张杰时装男士十一月封面。很认真的把两本杂志看完了哈哈哈
1703848733# #分享视频
1704199455# #📝
1703845008# #张杰超话张杰超话张杰未你好吗跨年演唱会。曜红曜火更曜相见。爱热情似火，LIVE酣畅淋漓。一定唱到嗨，一定唱到燃🔥。。今晚，静等「蜀」于我们的浩瀚星海。。祝「未·你好吗」2024跨年演唱会圆满成功^^
1691859024# #张杰演唱会超话
1699027100# #张杰超话杰哥你在彩排。星星们也一起陪着你💗心心心心心
1702872549# #为什么杰哥不是广东人呢苦涩
1696827779# #张杰超话:张杰是亚运bgm的mvp吧正能量爆棚…张杰的歌，适合任何场合！@张杰
1694208668# #张杰超话成都下次见心心
1699975273# #张杰超话张杰时装男士十一月封面。surprise～期待正刊求关注。成年人不做选择A/B版本都要抱一抱抱一抱抱一抱。坐等收货啦送花花送花花
1703839950# #张杰超话张杰张杰演唱会。293031成都跨年演唱会。圆满成功！送花花打call
1701137799# #张杰超话北斗星的爱。“天亮后我才明白，是眼泪汇成这片海”
1702994139# #益路杰伴星公益张杰粉丝捐款150万驰援甘肃张杰粉丝捐款150万张杰超话同心抗震，共渡难关，甘肃加油，愿平安心
1698306166# #张杰超话这周有音乐节又有直播心🤗🤗饭团提供的新“小鲜肉哈哈哈”
1703518377# #张杰超话
1703904302# #张杰超话张杰外南街功略之前打卡的时间段就我一位🌟🌟在街上溜达着，安静享受片刻同时也很心疼苦涩从小地方到大舞台的杰哥付出是多么的不容易吧心心我们都会越来越好的心心心心
1701964226# #没有文案。那就快乐吧。哈哈哈哈哈哈
1699751125# #张杰超话
1698245896# #心心心
1697904187# #每当我很焦虑的时候，我就会想起一位前辈和我说的话：只要你一直在自己擅长且喜欢的道路上积累，成功只是或早或晚罢了。很多时候我们喜欢一个人，并不是喜欢他成功的结果，比如年薪百万，家产千万，那只是一瞬间能唬住人的数据。我们更喜欢的，是一个人的某种肯定将来会成功的品质，比如守时，勤奋，靠
1703654425# #张杰超话滴滴滴
1700877870# #张杰超话新歌来了哈哈。开始新的一轮追新剧听新歌憧憬憧憬
1701535009# #张杰超话“卖命”唱歌的我杰哥心心心心。不管如何，都会都把最好的状态给予歌迷们。北斗不是孤星我们互为点亮
1701503050# #张杰超话我们都在风雨中奔忙流着泪却笑着说无妨我知道总有些路无法阻挡身后的那道光
1692693275# #张杰超话哇哇哇哇哇
1697635647# #张杰超话真的来啦心心我家哥哥每晚睡眠无限循环歌曲终于换成杰哥版的啦心心
1691940335# #每个视频都不舍得删掉苦涩苦涩苦涩
1692435035# #张杰超话深圳场的后遗症苦涩苦涩每天晚上睡觉都把视频看听个够
1693208548# #谢谢曜北斗张杰超话。谢谢你带来的顶级live现场。谢谢你给的每一场惊喜哇哇哇。遗憾的没能赴约鸟巢😭收官我没有在现场，但是未来还会再见！签售会见！新的主题见，大广东等你哟～～心
1703903717# #张杰超话张杰下雪了&nbsp;。下雪了～局部大雪航天员。“这是我为你们下的第一场雪”打call
1693144963# #张杰超话只能在直播看了场鸟巢收官苦涩苦涩。“我们还会见面吗”。“什么时候”。“永远”
1701698748# #转发微博
1704249091# #张杰超话被轰炸消息的一天🌟🌟🌟🌟
1700807555# #张杰超话周五…离周末不远。是不是还可以点个台见打call打call
1693027181# #张杰超话在应援会群看了一波鸟巢第一场苦涩苦涩苦涩
1703848618# #分享视频
1699851123# #张杰超话大北斗是真的棒呀抱一抱抱一抱抱一抱
1703746433# #张杰超话这几天的微博总结打call打call。保持保持dogedoge我们都爱看🤗🤗🤗🤗
1691335453# #2023暑假
1699974897# #张杰超话。海港一远一近摇晃回巢的海鸟不理会人群离去的人念念不忘试过被爱的甜背叛多凶险⭐
1703487085# #张杰超话益路杰伴星公益甘肃加油💪
1701176240# #张杰超话张杰热血战歌立剑太燃了。任天地坠落再历练我，。我只是涅槃了自我不说。
1688832683# #期待吴一凡有天会变成世界钢琴家哇
1704039022# #张杰超话2024年心心心。愿我们都能实现自己的小目标
1700646538# #心心心
1694485188# #川A
1700807743# #张杰想见你只想见你未来过去我只想见你穿越了千个万个时间线里人海里相依锦鲤附体心心心心心心心心心心心
1701616385# #张杰超话八花你每次直播一次，我们又多了几十万的抢票对手了dogedogedogedogedogedoge
1700878457# #张杰超话纯白空间，初冬暖阳倾落；。收敛锋芒，歌者剑不出鞘。。给时光以生命，给未来更多想象。
1700873912# #张杰超话开启美好的周末啦打call打call打call打call。周六晚的🫧周日电台坐等污污污污
1693396747# #张杰超话想更多的星星一起扒杰哥的曲子哇也希望有一天杰哥的曲目都能出现在经典书籍里
1702518518# #你好星期六期待杰哥打call打call打call
1702872153# #张杰超话❄️心心心心心
1691858232# #张杰未live曜北斗巡回演唱会张杰演唱会超话张杰谢娜超话我也想鸟巢继续见苦涩苦涩
1700808043# #张杰超话中华民族团结进步宣传推广大使张杰&nbsp;石榴花开美中华，最美相遇在怀化。杰哥出席“中华民族团结进步宣传推广大使”发布仪式并在“民族团结进步文艺宣传活动”中演唱《少年中国说》。一起铸牢中华民族共同体意识，共同推进民族团结进步事业。
1700923132# #张杰超话张杰时光音乐会老友记。以歌会友，再以歌传情，我们在彼此的陪伴下，成为了更好的人！凡尘过往，人生跌宕，都随泡沫消散吧，未来，我们继续追光前行！
1692845497# #默默看着大伙在倒数鸟巢场的苦涩苦涩。做梦梦到自己赶上了27号场的允悲。他说：。我要唱的更加久一些。让那些还没能力来赴约的星星慢慢长大。我也希望那些还在工作的星星。能够闲暇下来听我的演唱会。我更加希望那些还没钱买到前排座的歌迷朋友。希望你们继续努力在学习生活里面。慢慢的我们越来越近。无论
1700233176# #张杰超话张杰时装男士十一月封面
1702259286# #张杰超话
1697023717# #📝2023.10月
1700959685# #张杰超话张杰时光音乐会老友记美丽的泡沫，在阳光下释放一刹花火，留下曾经绚烂纷繁的印记。在深沉隐忍中蕴藏巨大能量，待谎言戳破，看透爱情泡沫，一切将破茧重生。
1697695299# #张杰超话
1701947576# #张杰超话打call打call打call打call打call打call
1699277599# #心心
1692927415# #张杰超话一打开微博就是杰哥的开屏广告哇哇哇
1691918704# #🌟🌟不在未来在未·Live。「曜」奔赴蓝色的约会。曾经听过的演唱会都是以路人粉。第一次以星星角色进入苦涩苦涩苦涩。07年那场夏天的风吹了16年。这次我摘下耳机你走出屏幕。✨是耳机传递不了的情绪。✨是屏幕感受不到的氛围。我以为是去圆梦苦涩没想到这是梦的开始。不说再见爱心爱心
1704039000# #张杰超话
1700287921# #张杰超话✨张杰时装男士十一月封面✨。北斗照亮前方路，星星无惧岁月长
1701441420# #张杰超话遇见你是银河馈赠给我的🍬。12🈷️您好，在顶端相见吹风车心心
1700895465# #张杰超话抱一抱张杰张杰时光音乐会老友记时光音乐会收官。把歌唱成礼物和祝福，希望好友可以永远自由地唱污一起来听吧打call
1693497685# #超级充实的暑假。终于过去了🤗🤗。九月您好我们都很好心
1698328337# #张杰超话
1699974779# #张杰超话心中华民族团结进步宣传推广大使张杰。风已经有冬天的味道了，这一年又接近尾声了，接下来的日子安穩于日常，浅喜于光阴，悦已，阅已。
1700665482# #张杰超话美图｜沙漏旋转，时空交叠！。新鲜奶黄杰包，看起来好好rua的样子！
1700959485# #张杰超话“在遥远的追梦途中你成为了我的光”。𝓘𝓷𝓽𝓱𝓮𝓭𝓲𝓼𝓽𝓪𝓷𝓽𝓹𝓾𝓻𝓼𝓾𝓲𝓽𝓸𝓯𝓭𝓻𝓮𝓪𝓶𝓼,𝔂𝓸𝓾𝓫𝓮𝓬𝓪𝓶𝓮𝓶𝔂𝓵𝓲𝓰𝓱𝓽.污污
1699373531# #张杰超话怎么可以这么帅
1699630064# #张杰超话记录
