1702219003# #一直都停留在abandon，哈哈哈哈哈哈
1700908464# #啊啊啊啊啊啊啊啊！尖叫！
1697346167# #钓系男孩名不虚传，哈哈哈哈哈哈哈哈
1693537380# #羡慕现场的uaena🍋
1703940713# #香水舞哇哇哇
1697691764# #心心心
1695479828# #啊啊啊啊啊啊啊！
1687910758# #啊啊啊啊啊啊啊啊！张陆让你太会了！
1702378450# #快接！快接！
1702527699# #啊啊啊啊啊啊啊！票等我！！！！！
1700833715# #送花花送花花
1704007006# #张杰超话张杰一个人pk所有卫视张杰未你好吗跨年演唱会准备就绪！坐等杰TV！鼓掌鼓掌鼓掌（话说今晚的场控能控到我吗喵喵）打call打call打call
1700917251# #哇
1703921724# #我来听你的演唱会啦！打call
1697904661# #大合照刚好被挡了，哈哈哈哈哈哈允悲
1690706845# #下次旅行快安排上！太开心太开心太开心
1689260324# #哇哦！憧憬
1702178561# #成都吗？成都吗？成都吗？！太开心太开心
1701955471# #啊啊啊啊啊！快抬上来！！！！
1703866819# #哈哈哈哈哈哈哈哈，我的是小雪❄
1700829528# #哇哇
1703408914# #29号会首唱新歌吗？太开心太开心
1703940586# #啊啊啊啊啊啊！正面的竹！！！！打call打call打call
1703688152# #听着歌入睡，晚安！月亮
1704024155# #是谁接到这个星星⭐了泪泪泪泪
1703771922# #明天见鼓掌鼓掌
1703891757# #睡不着！起来嗨！
1687359629# #心
1691915129# #小黄人惊讶小黄人惊讶
1693659245# #新鲜的丽姐哇
1703940490# #岁月神偷太开心太开心太开心
1691914687# #给你小心心给你小心心给你小心心
1702787756# #张杰超话爱死我朋友了！！！！啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！！！！！！杰哥29号见！
1695480178# #啊啊啊啊！应该是空杯的首live吧鼓掌鼓掌鼓掌
1687357732# #哈哈哈哈哈哈哈哈
1704007244# #准备好了！坐等开场！打call打call打call
1692577899# #哇哇
1697549742# #哇哇
1690082775# #允悲
1687879264# #复制粘贴偷笑
1703514158# #太开心太开心太开心
1690287350# #太开心太开心
1695737715# #哈哈哈哈哈哈哈哈哈
1698829154# #恭喜恭喜！鼓掌鼓掌鼓掌干杯干杯干杯
1703866637# #啊啊啊啊啊啊！万人蹦迪场意犹未尽！还想继续！打call打call打call打call
