1703234683# #快看看我
1703791084# #十大剧集名场面
1702786321# #毛不易真的有在好好表达自己，唱你想唱的歌，加油！举手
1703612086# #我推荐毛不易幼鸟指南巡回演唱会为微博网友喜爱演出，一场精彩的演出为我们带来的是无与伦比的视听享受和精神满足！一起来微博之夜推荐更多印象深刻的演出吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1702024045# #我在2023微博音乐大赏推荐了《生生》。用音符描绘你的2023故事，一起来推荐你喜爱的音乐作品吧！年度歌曲推荐举手举手举手举手举手
1702824535# #毛不易现场真的好听啊，咬字好舒服，演唱会音乐节哪个不夸
1703528284# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1696919481# #在飞碟感受甜蜜多巴胺啊，好想听第一次爱的人
1703528302# #我推荐《生生》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1703087665# #转发微博
1703528347# #十大单曲循环音乐
1697254982# #三专才是棒棒的，真的好听，幼鸟指南@毛不易
1703424810# #毛不易超话想听毛不易唱啥歌，我感觉在超话给他许愿就行，他这个5g冲浪选手肯定会看到，人多力量大，这种许愿感觉在年底特别有用，不如搞个许愿楼吧，一定会满足我们对于舞台的愿望的举手
1695725238# #难受了，退出微博一段时间，直到毛毛手伤恢复
1703528422# #转发微博
1697711585# #毛不易的剪影太有辨识度了吧，哈哈哈又有新歌咯
1702024036# #我在2023微博音乐大赏推荐了《生生》。用音符描绘你的2023故事，一起来推荐你喜爱的音乐作品吧！年度歌曲推荐
1703696654# #我推荐《生生》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1696919419# #转发微博
