1700711524# #新版本四费卡真难追兔子云顶之弈
1703422393# #祝好兄弟幸福长久鼓掌
1690458488# #36酒！逆版本桶子玩的太到位了，左手在被重点照顾的情况下也发挥完美。jdg拿下赛点馋嘴2023lpl夏季赛
1690711111# #全力模式下的jdg太猛了，navi的瞎子也是拉满！1:0！2023lpl夏季赛
1699008055# #blg被磨住了啊，多兰你是谁，这么猛晕英雄联盟s13
1697971640# #寄！英雄联盟s13
1696757174# #单排超凡简单酷
1703560714# #家里做的肉夹馍就是扎实！
1697807226# #两组生死战，dk有点格格不入英雄联盟s13
1689520139# #fisher首秀并不简单
1691315856# #野辅开团果断，3c团战发威。edg扳回一局！2023lpl夏季赛
1691314113# #米勒赛事速递JDG说到做到，新时代开启？S赛最后两个名额花落谁家，冒泡赛见！s13资格赛
1699789096# #faker还是faker，世界赛的舞台永远是选手的试金石。最后wbg加油，期待决赛！英雄联盟s13
1702260003# #我们，为什么如此热爱电竞？。因为那个征服一切的高光时刻？。因为看起来很酷？…。但，我们最感慨的，似乎总是一路【狂奔】的那些年！。在每一个热血滚烫的瞬间，总有Leader陪你，与热爱同频！。尽管【狂奔】吧，少年！。生活养成伙伴Leader
1698214711# #wbg给点力，LPL加油！哈哈
1693473019# #xdm收到你们的力量了，洋房计划已成，解说杯KTV悟道再接再厉进军虹桥！解说被s4
1689317885# #海钓出发，钓点金枪鱼大石斑吃瓜海钓
1697177178# #解说米勒超话大家好我是米勒，很高兴来超话聊天。英雄联盟S13我不仅会在官方解说，也会在直播间二路，以更放松的状态和大家一起看比赛。欢迎来直播间一起玩，这里我也准备了一点小福利。【有奖话题】你最看好哪些战队打进八强？为什么？。我会翻牌3个水友，由平台官方送出100Q币~。斗鱼全程直播S13
1699268527# #恭喜
1689460003# #给大伙儿汇报一下，本次海钓的渔获哈哈（两人版海钓
1693829948# #👀看看好不好玩博德之门3
1692674717# #啥意思？解说杯
1690893703# #恭喜lng！打得好啊！这个版本lng的英雄池和状态都更佳！期待和jdg的决赛馋嘴2023lpl夏季赛
1690455565# #刚拍完片子，有没有课代表总结一下前两局笑cry笑cry笑cry2023lpl夏季赛
1691405054# #今天比赛太尽兴了，tes从落后七千到领先三千，只需要五分钟doge2023lpl夏季赛
1688779751# #Letsgofishing哈哈路亚
1691312403# #lng的运营和大龙决策依然顶级1:0！2023lpl夏季赛
1688896768# #直接碾压，fpx这么肿啊！2023lpl夏季赛
1688987992# #夏季末真有意思doge2023lpl夏季赛
1697938200# #米勒赛事速递Day3,河道剑魔名场面再现，左右手携手进入八强！LPL继续加油BLG加油WBG加油英雄联盟s13s13赛评营地
1704448802# #和泽元比一比舞，老年组代表尽力了.....跟时代少年团学拜年新姿势做峡谷里的幸运王～妙会新愿日进斗金
