1689430922# #我天，这也太好看了吧憧憬憧憬
1701923888# #笑死人了
1694001271# #格局有
1700225141# #歌手张杰超话wx小橙旭『小芒庄园』一起为公益助力，我们在给你小心心星星基地给你小心心等你哦~
1704266324# #张杰超话。星星蓄满的摇篮里总挂着你的温柔
1694358513# #张杰唯粉实时号测试也不知道到底在不在，啊啊啊啊烦人
1701788021# #快来wx小橙序『星饭乐园』一起为公益事业助力，我们在给你小心心星星乐园给你小心心等你哦~
1696166779# #张杰国庆晚会致敬每一位守护者祝福祖国繁荣昌盛，张杰唱得好好听心心
1703391486# #我投给了“张杰未live曜北斗巡演”~
1696166947# #张杰国庆晚会致敬每一位守护者致敬守护者心
1698941471# #十四岁咯
1703663851# #张杰新ep冬月初七打call张杰跨年演唱会抢不到票的有福了救命🆘救命🆘舔屏爱慕爱慕太帅了，张杰歌迷太幸福啦张杰跨年直播张杰超话
1697194956# #期待华语live王张杰打call打call打call
1701619858# #我在森林驿站帮助了大象，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1693066062# #杰杰，一路高飞航天员航天员
1702951960# #心心益起来
1692529666# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1703858625# #未我不好因为我没票苦涩苦涩
1695693713# #张杰合肥园博会主题歌满园芳华。一城一园一故事，永不落幕展芳华，来听唱歌啦张杰
1695192934# #张杰未·LIVE「曜·北斗」巡回演唱会打call打call打call
1697282081# #🐮🐮🐮
1702763298# #我在2023微博音乐大赏推荐了《Layla蕾拉》。用音符描绘你的2023故事，一起来推荐你喜爱的音乐作品吧！年度歌曲推荐
1693997372# #哇喔
1692685133# #张杰超话张杰实体专辑外南街1982。今日开心事有：专辑终于发货啦。这是最好的礼物🎁
1692872403# #让他赔dogedoge
1692772354# #东方风云榜微博网友期待舞台初心如歌，榜上有鸣。东方风云榜三十周年庆典开启，为你喜欢的舞台打call，我们一同见证！
1693152813# #云还在唱歌
1697389440# #ZJ只吃糖不吃苦“我就是你们最好的礼物你们也是我最好的礼物”
1700230444# #超酷超帅超喜欢😍
1700482733# #张杰呀送花花送花花送花花送花花
1691331132# #平安顺利真的是很真诚很真诚的祝福悲伤悲伤祝三位少年未来平安顺利，都能成为自己想成为的人心心心
1690500914# #张杰超话北斗星空十九周年一定曜顺顺利利的见面航天员心
1692027806# #张杰超话张杰深圳演唱会唱身骑白马。是谁还没有现场听过《身骑白马》呀。现场真的绝了憧憬憧憬憧憬憧憬。我们未LIVE再见航天员航天员心心。张杰未live巡回演唱会
1702793537# #捂好钱包👛，谨防被骗
1703896674# #张杰未你好吗跨年演唱会追光者爱慕爱慕爱慕
1703768958# #哇喔，太棒了
1703751885# #谢谢张老板给我打钱
1693964719# #微博音乐盛典年度推荐启动乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的style，快来和我一起为更多优秀音乐内容助力！💙
1697337957# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐人物中pick了我喜欢的音乐人，快来和我一起为更多的优秀音乐内容助力！
1695885844# #张杰歌迷就是最幸福的心
1696344688# #理智追星航天员
1697249648# #张杰超话今日份速来‼️‼️
1696686754# #期待开学季开学季
1694700835# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1694084200# #滴滴
1690733121# #我爱你心
1693132787# #这深V多来点色色色
1701523196# #张杰1220生日快乐来啦来啦
1696333000# #看看小白航天员
1701866890# #歌手拒绝假唱名场面别人家的不知道，我家这位稳稳的很安心送花花送花花
1697860992# #滴滴
1697173777# #张杰超话张杰歌迷只吃糖不吃苦，她们永远都是小孩子。Jasonfansonlyeatsugarwithoutsuffering.Theywillalwaysbechildren.💙💙💙💙张杰
1698139928# #首页的朋友们助力一下
1693495901# #这次签售会的意义在哪费解费解费解费解
1691760831# #啊啊啊啊啊啊啊啊
1703908621# #我在森林驿站帮助了雪豹，掉落一块拼图碎片，据说集齐有奖励呦。熊猫守护者们，快加入驿站一起玩吧！
1694267301# #期待华语live王张杰💙💙💙💙💙💙马上可以听到张杰唱歌啦打call打call打call打call打call打call
1700351841# #哈哈哈哈哈哈哈
1694069712# #打call打call打call打call又可以听张杰唱歌啦
1703995630# #张杰未你好吗跨年演唱会这也太酷了，谁能帮打卡啊苦涩苦涩
1692025633# #张杰深圳演唱会唱身骑白马你好会唱啊，好喜欢听你唱歌🎤
1697386587# #心动时刻爱你
1693243182# #每次看都好戳心泪泪泪
1704034640# #新年快乐
1703847578# #张杰未你好吗跨年演唱会哇喔
1689497988# #好帅好帅
1693312491# #请尽快处理该违规用户，共同营造良好的网络环境，谢谢！
1697384679# #张杰歌迷最幸福爱你
1695183251# #张杰唯粉实时号测试回来了吗可怜
1694531706# #晚安。好想好想你
1697771257# #明年见心
1692238064# #哇喔，超期待
1701799170# #别人有的你也要有，别人没有的，你也要有，就想给你最好的
1701182530# #哥哥晚上好啊
1693030865# #勿忘心安，真的好爱好爱
1697357923# #直拍来了打call打call打call
1694966635# #马
1697357091# #把青春华章写在祖国大地上今朝唯我少年郎心
1688790485# #大麦直接没有参与感允悲允悲允悲
1704267518# #牙疼不是病，疼起来要人命泪泪
1692009389# #抱抱宝贝抱一抱抱一抱
1701056496# #喜欢张杰好幸福好幸福抱一抱抱一抱
1691802191# #这肌肉线条，斯哈斯哈色色色
1697389068# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐人物中pick了我喜欢的音乐人，快来和我一起为更多的优秀音乐内容助力！
1703848111# #啊啊啊啊啊啊啊啊啊啊
1695493153# #张杰时光音乐会老友记好好听好好听哇哇哇
1696693565# #期待张杰打call打call打call打call
1701273622# #每日一善超话抱一抱阳光信用送花花每日‎一善。人之初，性本善。上善若水，大爱无疆。慈心为民，善举济世。无缘大慈，同体大悲。众善奉行，诸恶莫做。慈善的行为比金钱更能解除别人的痛苦。怀有仁爱之心谓之慈，广行济困之举谓之善，慈善是仁德与善行的统一
1696515056# #祝贺中国女篮⛹🏻‍♀️
1692533616# #。您好，我要举报以下用户（禁点进主页）。
1703048550# #张杰1220生日快乐生日快乐蛋糕
1693218096# #显眼包来啦，哈哈哈哈哈哈
1696090292# #遇见你，一切都值得！
1693567598# #。您好，我要举报以下用户（禁点进主页）。。
1693108685# #场外的观众也排排坐
1696427216# #哈哈哈哈哈哈哈哈哈哈哈哈大牛一起跳起来哈哈哈哈哈哈哈哈
1692092115# #张杰时光音乐会这个少年好帅啊
1694094235# #乐享心声，纵情旋律~我在2023微博音乐盛典pick了我喜欢的《张杰未LIVE巡回演唱会》，快来和我一起为更多优秀音乐内容助力！哇憧憬打call
1694876243# #张杰时光音乐会老友记心张杰唱我们的歌感慨落泪直拍来啦哇哇
1699690395# #好幸福的杰杰彩虹屁
1704004216# #晚上见哥哥抱一抱抱一抱抱一抱
1688793783# #张杰超话长沙见，杰哥
1688741642# #铭记历史，吾辈自强
1697711859# #乐事品牌代言人张杰送花花送花花送花花
1697383306# #张杰超话张杰slowdown。他说公主请听歌哎。🐙🎀哥哥晚安
1701520865# #歌手张杰超话快来wx小橙序『咪咕星球』一起为爱心公益助力，我们在给你小心心星星星球给你小心心等你哦~
1697547699# #公主收到了哇
1689473890# #今晚一切顺利！长沙见航天员
1697355730# #你太棒啦开学季
1700914260# #快来wx小橙序『咪咕星球』一起为爱心公益助力，我们在给你小心心星星星球给你小心心等你哦~
1704034067# #本周我完成了连续7天铁粉打卡，与的铁粉值额外增加1分！
1702696765# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊。怎么会这么冷🥶啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊不想动啊
1702205291# #哇喔，期待！
1698575975# #好甜的杰杰送花花送花花
1691470144# #老北🐮啊
1697692610# #期待期待送花花送花花送花花
1695348119# #张杰张碧晨合唱坚如磐石同名主题曲来听新歌啦打call打call
1700297605# #啊啊啊啊晚上见呀送花花送花花送花花
1703851359# #张杰未你好吗跨年演唱会一路之下爱慕
1691762668# #你好帅啊，好爱好爱
1693152677# #哈哈哈，大牛终于上台了
1702699186# #鹿晗关晓彤吵架吵架都知道了二哈二哈
1703814597# #我推荐《万物不如你》为微博网友喜爱音乐，它让我感受到了音乐的力量和魅力，在享受片刻宁静和愉悦的同时不由得惊呼“耳朵怀孕啦”！一起来微博之夜推荐更多打动人心的音乐吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1697354104# #张杰唱少年中国说太热血了心把青春华章写在祖国大地上
1697249270# #未来可期，追光前行~我在2023微博迎新之夜年度大学生推荐歌曲中pick了我喜欢的音乐作品，快来和我一起为更多的优秀歌曲助力！
1699712661# #张杰时光音乐会老友记好好听好好听送花花送花花
1690600601# #已累趴，待在酒店不想动了苦涩苦涩
1692942648# #张杰超话张杰实体专辑外南街1982终于拿到了心心念念的专辑。我好爱啊好喜欢好喜欢好喜欢。祝杰哥今晚鸟巢一切顺利航天员张杰未live巡回演唱会
1691845662# #女人那个年龄都爱张杰色色色
1692984929# #好嗨啊憧憬憧憬
1692149860# #哇喔，有花絮，好可爱的杰杰
1695795996# #张杰外南街1982签售会乖宝宝
1692708349# #七夕快乐，杰杰好帅好帅
1690607889# #晚上见呀
