1701976670# #船夫：我好害怕好无辜悲伤
1700886463# #易烊千玺4%vol的河艺术家悲伤我天呢每次小宝各种创意真的都好有意思，这个拍摄角度真的很艺术啊啊啊我真的被戳到了，常人想不到的角度，用不同的角度看这个世界，而且这个氛围感真的好贴微醺感，色调也有冷有暖…天呐易烊千玺就是艺术家抓狂
1701149630# #我敲悲伤真的会被记录易烊千玺二三逢时戢鳞风起
1702622656# #抱一抱一起期待👸抱一抱
1698195362# #想念开学季那么快四周年了心
1703160254# #张婧仪！！你美到我心脏了抓狂@张婧仪
1701920425# #抓狂期待乔青雨抓狂抱一抱宝宝好美啊啊啊舔屏@张婧仪
1692802350# #悲伤
1699263508# #天呐开学季泪舔屏不允许有人没看过这个背影泪
1691236274# #TFBOYS彩排喜欢你泪起猛了鸡皮疙瘩一身泪
1703756212# #耗子药首页无意刷到哆啦A梦害怕。文案好笑程度100%，。转发区好笑程度100000%。。哈哈哈哈哈哈哈哈哈哈哈哈果然是没人带着玩破防了哈哈哈哈哈哈哈哈哈哈哈哈哈
1699610752# #易烊千玺二三逢时戢鳞风起期待天猫唯一代言人易烊千玺和粉丝的爱相互奔赴美好又浪漫给你小心心给你小心心给你小心心给你小心心易烊千玺二三逢时戢鳞风起
1702649421# #一念关山哇哇哇好带感抓狂明天晚上一起来看刘诗诗任如意啊啊啊啊啊抓狂抓狂抓狂好刺激刘诗诗任如意
1704034180# #啊啊啊啊啊啊好好听泪一听到bgm火光又重现了泪
1700653404# #保暖的玺玺舔屏抱一抱
1704439062# #刘诗诗任如意超喜欢如意姐这套抱一抱
1703756486# #好红舔屏@Johnny黄景瑜
1701781864# #刘诗诗东方淮竹啊啊啊啊啊期待刘诗诗东方淮竹抓狂抱一抱开学季
1702128924# #刘诗诗一念关山求关注任如意宝宝继续冲求关注是一匹孤狼舔屏一棵树求关注刘诗诗任如意
1704424055# #刘诗诗超话恭喜再度登封新视线wonderland，刘诗诗任如意还在热播期！欢迎各位来爱奇艺品鉴刘诗诗任如意！刘诗诗任如意
1703858324# #刘诗诗一念关山抱一抱任如意宝宝继续扛一下抱一抱再打一下抱一抱我身边还有朋友最近才看呢抓狂刘诗诗任如意
1699171110# #江歌妈妈一句话概括拯救嫌疑人。江歌真的好惨…妈妈真的好伟大泪。刚看到这部电影的一小段。鸡皮疙瘩一身…惠英红老师演得超好开学季
1692675663# #悲伤真诚的玺
1702185840# #刘诗诗任如意悲伤诗诗姐说希望大家都好泪姐你真的很善良泪但我们的善良要带锋芒悲伤刘诗诗一念关山
1699337865# #怒代拍好离谱别太过分怒还有拍立得怒
1694917276# #又想害谁呢费解趁着有人的“努力”话题热度又企图把他放在大众的对立面微笑
1696689078# #他从火光中走来我的评分：星星星星星星星星星星。🌟亮点推荐：。1⃣️消防线真的很还原现实生活…现实出任务就是那么残酷泪那么伟大悲伤看到其他平台也有部分消防员对这部剧进行点评！！他们都在表达这部剧很真实…这些就是他们的日常生活悲伤。2⃣️虽然男主和女主的情感线很少，
1698743919# #张婧仪乔青羽泪越素越美舔屏好爱舔屏@张婧仪
1703507025# #易烊千玺是艾佳妮心目中的女婿标杆。谁能拒绝易烊千玺呢悲伤。千玺已官宣待上映电影🈶️
1702832821# #现场被美晕泪
1702284632# #🍋临近倒闭了吧awsl
1702723145# #好可爱嘟姐宝抱一抱比耶最后那个被烫到了真的太可爱了
1702667338# #哇酷酷滴王哥比耶衣服有点诱惑了哥馋嘴@王子奇是演员王子奇
1691138767# #大麦12315管不管的费解还有看台位置被升旗台遮挡的单身狗吃相真的很难看
1702772907# #刘诗诗说一念关山不是古偶抱一抱公主们请继续看刘诗诗任如意呀～抱一抱刘诗诗任如意
1698808666# #舔屏我的妈呀举手我姐这大长腿舔屏@刘诗诗
1695274975# #好飒啊啊啊啊想看刘诗诗一念关山
1702352203# #刘诗诗超话和刘诗诗一起做公益刘诗诗任如意
1703569505# #东方淮竹抱一抱任如意功成身退干饭人看你咯东方淮竹来
1702637553# #哈哈哈哈哈哈哈哈哈哈我更期待了害羞玩游戏好难允悲我感觉我还是不太适合苦涩辛苦主持团和小分队的同学们了作揖作揖作揖
1698942463# #刘诗诗超话救命啊啊啊啊我姐这不是妥妥的18岁少女嘛！！！好仙女啊啊啊啊啊啊舔屏舔屏舔屏刘诗诗你真的别太美！！！我会发疯的啊啊啊啊！！🍠（两段合并了一下）
1701770066# #想拥有抓狂转发微博
1693283903# #易烊千玺深夜散步遛弯期待作品哇
1699669844# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐你给我的喜欢！来参与推荐，共同见证它的荣耀时刻吧！
1699255347# #刘诗诗优雅黑天鹅。救命啊啊啊啊啊。我姐最近真的是各种狂🦈。啊啊啊啊啊啊啊气质太好了吧啊啊啊啊啊动图真的好绝啊啊啊啊
1704115650# #啊啊啊啊啊啊啊抓狂抓狂抓狂抓狂抓狂好喜欢抓狂抓狂抓狂抓狂@王子奇是演员王子奇
1703689318# #哈哈哈哈哈哈哈哈哈哈真的好搞笑
1693982406# #好帅悲伤开学季还是周年的发色哇把毛衣找个线头，一拽~偷笑
1703402702# #一念关山编剧回应争议男主粉到底破防什么疑问还要歪曲编剧原话的意志可怜
1703938926# #怎么也飞不出～美四得世界亲亲酷今天还看到有宝马一起嘟哈哈哈哈哈哈哈哈哈哈哈哈笑死
1692349015# #哈哈哈哈哈哈哈哈哈哈哈哈受不了了哈哈哈哈哈哈哈想看🙋
1702560806# #刘诗诗任如意up抱一抱刘诗诗任如意
1702088088# #求关注发动图@王子奇是演员王子奇
1699003197# #好举手姐粉好幸福舔屏等图舔屏@刘诗诗
1704115763# #好耶抱一抱等待刘诗诗嘟晚安信息抱一抱
1702726671# #鼠系帅哥“我这次不反抗”～。一边说不反抗一边炸词条。一边拉别人共沉沦比耶。是谁我不说比耶。都🐭了还帅比耶别洗咯～
1692598703# #呜呜呜太用心了悲伤泪是的，这个博主的开箱拍得不错，主要是视频封面就很有质感了舔屏舔屏感觉还免费获得了一个很有品味的家居装饰品舔屏易烊千玺专辑实物
1704373114# #跪了真的有担心过若曦的腿会不会风湿…
1703502098# #刘诗诗超话抓狂蹦蹦跳跳嘟姐宝好可爱舔屏
1697798362# #张婧仪超话好美好美好美好粉好粉好粉@张婧仪
1697819698# #哈哈哈哈哈哈哈还把眼镜戴上了
1699086203# #嗷嗷嗷泪舔屏是温柔的小香诗@刘诗诗
1703567747# #好正呀舔屏
1699940260# #我真的很想见玺玺悲伤
1695441723# #呜呜呜呜公主太好看了
1703569524# #好美舔屏
1702028914# #可爱宝宝抓狂求关注我的宝宝易烊千玺代言波司登
1701194686# #刘诗诗任如意一姐带飞整部剧不接受反驳举手刘诗诗一念关山
1699844825# #易烊千玺二三逢时戢鳞风起每次舞台都是惊艳的悲伤有种舞台剧的效果泪真的很用心很优秀抱一抱红不仅是他的应援色，也是他的命易烊千玺二三逢时戢鳞风起
1702289793# #刘诗诗一念关山海外应援。刘诗诗任如意/任辛。🍵🐭们。真正的护剧不是嘴上喊口号空瓶awsl。刘诗诗一念关山
1703570664# #舔屏好爱面具之下是更美的脸老师爱你
1691985568# #泪腿快快好起来悲伤
1690001524# #悲伤悲伤悲伤悲伤悲伤悲伤悲伤
1699024390# #绝了啊啊啊啊啊终于舍得放图了泪舔屏是中国风的姐宝举手
1704253536# #刘诗诗任如意姐宝这臂力爱了泪步哥，我也想被你妈妈抱悲伤你累了，下来一下步步哥
1701587367# #抓狂17岁的宝宝抓狂👶🏻宝宝你是一个宝宝👶🏻易烊千玺4%vol的河
1700742213# #易烊千玺复古红皮衣妈妈啊泪悲伤我的玺总泪vogue时尚之力盛会
1691380082# #泪泪泪太好听了
1700465456# #王子奇黑白密码为楚一寒发疯的王哥举手
1702721778# #刘诗诗任如意妈呀背景声音都是“好美啊啊”悲伤姐姐尊嘟美得很心安泪@刘诗诗
1700135935# #易烊千玺二三逢时戢鳞风起天呐悲伤软萌萌
1704024476# #好耶好耶抱一抱
1704041722# #公主宝宝抱一抱新年快乐抱一抱爱你
1692764298# #易烊千玺向4⃣️讨饭的电影话题🐦们别给热度微博都删了也许这也是他们PLAY中的一环莫名其妙（这些买的投稿微博都看不见了现在广场都是🐦不知道这些资本又有什么算盘）易烊千玺超话
1700840798# #舔屏明天见刘诗诗颈肩、腰臀身材完美比例，私服也好看不俗
1701048151# #啊啊啊啊啊啊啊全球品牌代言人舔屏好好好天天喝瑞舔屏恭喜玺玺喜提新代言抱一抱易烊千玺二三逢时戢鳞风起
1703145877# #期待合作抱一抱
1695780879# #易烊千玺超话。想玺玺悲伤进组失踪人口泪。
1699629424# #啊啊啊啊啊悲伤等不及了泪玺玺快来@TFBOYS-易烊千玺
1704001272# #抱一抱新的一年抱一抱继续加油抱一抱一起期待抱一抱@王子奇是演员王子奇
1701969770# #是真的🥹
1701970285# #刘诗诗任如意人间清醒任如意抱一抱天选大女主刘诗诗抱一抱刘诗诗一念关山
1701749103# #姐姐杀青快乐杀青快乐姐姐污
1694067087# #发现一个比鸟姐还关注玺的职黑偷笑。还转发电影偷笑好搞笑…
1698943633# #哈哈哈哈那天逛街买的新衣服抱一抱辛苦啦早点休息晚安😴哥辛苦了新衣服好好看
1702079668# #泪姐宝凌晨发的泪
1699290334# #好哥晚安😴求你多营业你不管对你来说是新鲜货
1702899912# #好伟大的一张脸泪我靠这脸太绝了吧
1691397085# #不行了真的太搞笑了哈哈哈哈哈哈哈
1699502114# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐你给我的喜欢！来参与推荐，共同见证它的荣耀时刻吧！
1703127304# #谢谢然然抱一抱抱走和公主嘟合照啦抱一抱期待焕羽舔屏
1700042659# #我也好喜欢这段抓狂我玺飞高音巨稳舔屏而且青筋都出来了抓狂谁要说我玺不是真唱跟他拼了二哈只能说我玺太优秀了心已经标准到被怀疑是不是真唱的份上了易烊千玺二三逢时戢鳞风起
1703220141# #刘诗诗任如意抓狂刘诗诗10天6封什么概念啊抓狂又是开年刊～好爽啊啊啊啊啊啊抱一抱这就是爆剧扛剧女王抱一抱【有的人却只能超点结束了还在🐎和皂💊合作演员摊手】
1698750214# #我姐绝了舔屏每一帧都让人狠狠心动💓
1703521271# #女子遭未婚夫强奸曾逃出房呼救被拖回。好可怕啊哆啦A梦害怕
1699633910# #泪玺宝回去好好休息抱一抱泪听他唱歌我心疼死了泪
1701783016# #呜呜呜呜开学季悲伤姐一点都没变
1700750540# #vogue时尚之力盛会我的天啊‼️生图！易烊千玺这状态也太好了吧悲伤抓狂舔屏超级绝！生图直出打call
1693737476# #开学季玺的新电影有周姐？！才知道！我可太期待了！！！
1701229305# #刘诗诗任如意舔屏刘诗诗带飞整部剧舔屏还有走出国门了嘛污导演也真的很不错耶耶耶污大家一起关注任如意呀！！看起一念关山！刘诗诗一念关山
1701322863# #呜呜🥹玺宝真的好温柔泪魂穿哈琳
1703263497# #真的好佩服跪了苦涩理论知识的积累，丰富的阅读量和阅片量，沉淀的人生经历和丰厚的专业实战经验，要想做到他这样，这些都缺一不可，23岁的男孩儿，可真是让人佩服
1699322813# #跪了是真的佩服换位思考我会发疯被一只疯🐶追着咬
1696505817# #我哭死泪泪泪
1696944026# #有效播剧开学季泪@Johnny黄景瑜
1703172918# #抓狂感受公主的美抓狂
1702527588# #一念关山今晚继续看一念关山呀哇刘诗诗任如意
1700739163# #vogue时尚之力盛会妈妈啊要是配上粤语很绝了泪泪泪易烊千玺复古红皮衣
1701142202# #易烊千玺二三逢时戢鳞风起就知道就知道泪肯定还有！！但是想要vlog抱一抱jsy举手@TFBOYS-易烊千玺
1698134959# #啊啊啊啊啊好帅啊啊啊舔屏（下戏偷偷发微博开学季
1702704627# #刘诗诗任如意天选古装美人抓狂
1699496964# #举手期待更多的惊喜@刘诗诗
1702104838# #电视喂什么观众就吃什么。回应某粉热门的微博微笑。不要歪重点！！不是戏份的问题！！。全员上桌是刘诗诗所希望所支持的！刘诗诗扫楼和采访都说一部好的作品离不开团队的努力！。关键是改人设！！！把独立人格的任如意改成了娇妻任如意！！
1701835029# #好好好抱一抱姐姐抱一抱九宫格抱一抱任如意
1695485023# #有想法的玺玺舔屏哇哇啊啊啊啊小网站打call期待易烊千玺世界设计之都大会青年大使
1702563455# #20号尊嘟好想在广州见姐啊啊啊啊。好宝宝悲伤。能不能公开呀悲伤
1702352168# #刘诗诗任如意哇红色系刘诗诗任如意
1697818529# #泪图二梦回朱韵公主泪@张婧仪
1695274866# #啊啊啊啊啊想看
