1701233970# #哇好暖啊泪泪泪
1703936584# #刚刚刷到一个直播间！很震惊，现在剧院都这样了麽？
1702646451# #一念关山我有钱！终于可以送走刘诗诗一念关山我真的累了
1700794042# #她好好看刘诗诗一念关山
1700811192# #刘诗诗一念关山好看心
1696754634# #加油
1701496165# #真不错啊刘诗诗一念关山刘诗诗磨皮
1702308424# #好好好，去优酷看怪侠一枝梅赞刘诗诗一念关山刘诗诗任如意
1701657896# #啊啊啊啊刘诗诗任如意苦涩苦涩苦涩刘诗诗任如意
1701657498# #早安刘诗诗任如意
1701687733# #恭迎大小姐东方淮竹刘诗诗任如意
1702136589# #刘诗诗任如意！大胆的向前走！刘诗诗一念关山
1701785170# #刘诗诗一念关山
1701793449# #张若昀刘诗诗武侠风合影有点东西啊！女频和男频演员牛
1703425382# #平安夜编剧大团建闹起来吧！辣鸡资本不把观众当人，那就别怪剧粉掀桌二哈二哈二哈一念关山
1703775359# #转发微博
1695958807# #刘诗诗一念关山真好看哇
1702918751# #刘诗诗如意此生五愿晚安刘诗诗任如意心
1703426838# #祝贺心
1703208662# #我靠刘诗诗
1701319822# #刘诗诗一念关山优越哇，一起看刘诗诗任如意
1702718050# #哈哈哈好勇啊刘诗诗任如意心刘诗诗一念关山
1690608650# #上海一直下雨，无处可去，准备居家看长相思了。我是偏《曾许诺》的，以前看长相思小说的时候，就觉得阿珩女儿命太苦了泪来看看剧怎么样
1701433939# #一念关山配音要不黑通稿带上大名吧，刘诗诗任如意苦涩苦涩苦涩
1702114395# #刘诗诗任如意今晚大家继续审判一念关山，看刘诗诗任如意是否能保住内核，如孤狼一般肆意而行苦涩刘诗诗戏份
1701528127# #一念关山今晚谈恋爱的剧情都是无效剧情苦涩苦涩苦涩太丑了，师徒明晚能看到吗？
1698906424# #保持愉悦心情追剧爱你刘诗诗一念关山。反正是刘诗诗的一念关山，剧好才是什么都好，做到有效播剧
1701089580# #哈哈哈哈哈刘诗诗一念关山
1689654530# #刘诗诗
1689773106# #奇奇怪怪可可爱爱心
1695570696# #转发微博
1702900938# #一念关山超点大结局来了来了个为刘诗诗任如意第一次买超点赞赞赞
1701319740# #呜呜呜呜泪泪泪如果霍建华饰演一念关山
1692077982# #长相思楼下就是manner，特地走了200米去另一个楼买了瑞幸兰韵铁观音拿铁支持下表哥张晚意的商务笑cry夭玹冲鸭！
1696824469# #当时被惊艳到了心
1702174107# #刘诗诗人真好心
1701611637# #半真半假苦涩苦涩苦涩哈哈哈博主疯了，磕死一念关山刘诗诗任如意
1696067047# #哟哟哟甜的
1692029919# #笑cry
1695651599# #哈哈哈哈哈
1702086617# #刘诗诗戏份职场上女性角色本就不容易，支持刘诗诗维权！！！一念关山宁可毁剧也要捧丑男，别怪剧粉掀桌！
1695525402# #保佑好运🍀
1699186975# #好牛啊
1701273485# #刘诗诗一念关山
1700726125# #刘诗诗片场叫刘宇宁远舟哥哥刘诗诗片场叫刘诗诗哥哥心心心
1692198045# #美哭
1702259248# #剧里剧外都被一念关山师徒哭死泪泪泪守护刘诗诗任如意刘诗诗一念关山
1701075330# #好厉害！卷起来，一起看一念关山哇哇哇
1702911550# #苦涩苦涩苦涩刘诗诗如意此生五愿
1698247189# #还是聪明的
1698023086# #要多夸夸人，发现别人的好
1701619884# #刘诗诗任辛上线了刘诗诗超话刘诗诗任如意一念关山破万。你不会进高光的bgm，我教你
1701613063# #让开，一念关山男主带着bgm来抢人头了二哈二哈二哈刘诗诗一念关山
1700725954# #姐姐没驯服刘海但是驯服了我沙漠孤狼任如意
1702640431# #好棒啊刘诗诗一念关山
1695988634# #祝贺🎉
1701657580# #终于苦涩苦涩苦涩刘诗诗任如意刘诗诗任如意刘诗诗任如意刘诗诗任如意
1701533872# #刘诗诗刘宇宁吻戏“刘诗诗工伤”苦涩苦涩苦涩真的受不住了这么喜欢你自己上吧……myeyes！
1704427708# #刘诗诗摇滚歌姬好爱这张！！！刺激摇滚又风情万种哇
1702199811# #这小表情笑死了笑cry笑cry笑cry今晚七点来爱奇艺看一念关山doge刘诗诗任如意
1702086448# #刘诗诗戏份你们没有心！倒闭了！！！
1701517155# #刘诗诗任如意哇哇哇
1701175396# #哈哈哈哈好有梗刘诗诗任如意
1702379972# #把老鼠🐭和柠檬🍋都鲨了！刘诗诗一念关山
1696069595# #恭喜心
1701752521# #呜呜呜淮竹麻麻泪泪泪刘诗诗狐妖小红娘竹业篇
1703426625# #一念关山被骂癫剧冤吗最惨的还是观众苦涩苦涩苦涩冲着刘诗诗任如意去的，结果是什么啊
1691765686# #牛批@咕叽咕叽茶茶
1688648664# #生日快乐🎁🎂🎈
1696488865# #你是超棒哒心
1704342661# #刘诗诗一念关山
1694084649# #被男老师打破头骨女生父亲发声挖槽，故意伤害罪吧，危害社会的败类，坐牢去吧怒
1703435610# #刘诗诗任如意任如意啊苦涩苦涩苦涩太多的遗憾了刘诗诗演的很好
1702560925# #我心痛了苦涩苦涩苦涩刘诗诗任如意
1701320049# #好春心
1703045936# #愿平安🙏
1701744811# #刘诗诗任如意应该很喜欢笑cry笑cry笑cry刘诗诗狐妖小红娘竹业篇
1692075211# #哈哈哈哈允悲对比之下真的太寒酸了
1699063164# #刘诗诗杨紫赵佳丽合照各花入各眼，别相互辱骂了二哈粉丝所谓的好东西可能根本不值得一提
1704429773# #刘诗诗摇滚歌姬真的很不一样，百变刘诗诗心一念关山看起来
1703823821# #刘诗诗还是好好看苦涩苦涩苦涩
1692288744# #点评到位苦涩
1697981677# #跳的还挺好的笑cry
1701394962# #刘诗诗一念关山孤狼任如意哇哇哇
1701389689# #刘诗诗一念关山
1701181265# #一念关山镜头美感看着看着刘诗诗镜头没了，一直在等“我如意姐呢？？？”允悲允悲允悲
1703338003# #刘诗诗东方淮竹敬请期待心
1691844282# #缅甸旅游业苦等中国游客重返媒体人丧心病狂
1688782850# #呜呜
1699492543# #SVIP免费领SVIP体验卡免费领我成功领取了3天SVIP体验卡。快快点击即刻成为微博SVIP。去机型小尾巴、个性Flag、内容权益、动态头像、评论气泡等超多尊贵权益等你来体验！
1689861029# #这样的帅哥演的话，我会看剧……不想看丑男占了人设的光
1697337294# #加油
1701612345# #一念关山破万9996的热度啦！刘诗诗任如意的粉丝冲鸭哇哇哇刘诗诗任如意
1692132983# #兄妹梗好好嗑
1702140230# #哈哈哈
1702463432# #刘诗诗任如意心心心刘诗诗一念关山
1701011346# #刘诗诗一念关山小狮子好棒啊一起追一念关山任如意刘诗诗哇哇哇刘诗诗角色号删博
1700996188# #刘诗诗一念关山期待哇哇哇一念关山美女团建
1695493444# #功夫熊猫笑cry
1703170189# #刘诗诗粉丝正能量，冷静勿理，拉黑举报一条龙刘诗诗
1701445796# #明天继续加油(ง•̀•́)ง晚安刘诗诗任如意刘诗诗一念关山
1695885350# #汪顺中国游泳队加油💪杭州亚运会
1703426430# #一念关山被骂癫剧冤吗广场和评论里面的男主粉够癫赞赞赞赞
1704471283# #怎么p4画着浓妆打着唇钉还有神女的感觉悲伤
1701178275# #刘诗诗一念关山任如意女侠哇哇哇刘诗诗任如意
1701747163# #哈哈哈哈刘诗诗狐妖小红娘竹业篇
1702089277# #刘诗诗戏份刘诗诗任如意来看剧，结果发现阴阳剧本，天啦，女主实打实拍了打戏，结果正片放另一版本的替身！天啦！资本对刘诗诗任如意也太过分了你们公司倒闭了吐吐吐
1702055430# #晚安刘诗诗任如意……粉丝做不了多少，就跟你现在一样无能为力刘诗诗任如意
1701149458# #一念关山今日开播超级期待哇哇哇
1703337801# #刘诗诗东方淮竹杀青预告破6000万哇哇哇送走任如意，期待东方淮竹心狐妖小红娘竹业篇
1701620739# #一念关山破万
1695572895# #你很棒心
1701504466# #刘诗诗警告刘宇宁别让我笑想引用任如意教公主的台词形容这个热搜……。“滚！！脏！！！”。剧方别炒CP了恶心
1700837226# #真的么？
1702082267# #刘诗诗戏份刘诗诗任如意粉丝别捂嘴了，刘诗诗戏份上热搜了！一念关山是爆了，有很多剧粉。受了那么多次亏难得有人帮你还不赶紧维权苦涩苦涩苦涩
1701403860# #刘诗诗任如意刘诗诗任如意老公姐换我来演
1703209256# #哇咔咔刘诗诗
1700923968# #哇哇哇刘诗诗一念关山
1689437160# #言之有物，挺好，现在年头没几个会说的“演员”，采访都是支支吾吾嘻嘻哈哈
1701616849# #一念关山破万刘诗诗任如意
1695823541# #刘诗诗最美表演好好演戏，我喜欢看彩虹屁导演说刘诗诗演出了3分真7分假
1701395349# #刘诗诗一念关山刘诗诗任如意哇哇哇
1695903600# #叶诗文200米蛙泳冠军祝贺心感觉第一次认识她到现在好多好多年了～加油
1701503756# #允悲允悲允悲孤狼二号我哭死刘诗诗一念关山
1700725893# #刘诗诗片场叫刘宇宁远舟哥哥营销这种看起来就不配的CP，剧方你在找死二哈二哈二哈
1701562365# #允悲允悲允悲允悲刘诗诗任如意
1700970298# #刘诗诗刘宇宁混合双打无语死了！刘诗诗打戏牛哇牛哇打call打call打call
1701264449# #刘诗诗一念关山
1695872788# #你们很好的诠释了竞技体育的精神心
1690984548# #长相思唉，看小说的时候觉得璟可没用了，电视剧也演到了，未婚妻一直在，小幺跟他那会在一起跟偷情似的，我看小说的时候就可生气了，人大王姬哎……狗男人心眼多的很
1703428237# #刘诗诗期待杂志心心
1696986954# #好好看
1695615650# #封神训练营定档真听劝呀
1699341909# #努力打工加油挣钱，希望有天以品牌方的身份出现心
1702482597# #转发微博
1703336184# #刘诗诗一念关山最好的刘诗诗任如意心
1693923695# #给她都给她
1702259136# #祝贺刘诗诗任如意心刘诗诗一念关山
1702563763# #刘诗诗一念关山刘诗诗任如意绝杀！！！
1700562456# #转发微博
1702477802# #苦涩
1689352701# #这……不就是上瘾吗？改了主角名字还有点剧情，后面的剧情能拍能播？
1702126685# #刘诗诗任如意刘诗诗任如意戏份有效播出赞赞赞除了感情戏无感
1702650269# #刘诗诗一念关山笑死了苦涩苦涩苦涩
1702312982# #笑cry笑cry笑cry还好那会小不上网来看刘诗诗任如意心
1696765994# #真棒👍
1702380342# #刘诗诗一念关山冲！最后两周心心心刘诗诗任如意
1703410456# #一念关山编剧回应争议好好的大女主戏，资本改戏加戏搞得后期不好看，倒闭吧柠萌
1702876138# #老师们演的很好！观众入戏了赞
1703823192# #正片什么时候出来呀！哇哇哇想看@刘诗诗刘诗诗
1702617863# #刘诗诗说最喜欢的角色是于十三可怜的男二笑cry笑cry笑cry没有啥戏份
1701615505# #一念关山破万刘诗诗任如意刘诗诗一念关山
1694239456# #想养狗了苦涩
1701427310# #恶心，我今天刚说抖音有人评论“刘诗诗粉丝退到我身后，我是剧粉让我来怼黑子”这会就来抄热搜了苦涩苦涩苦涩不劝退就不错啦
1701659017# #刘诗诗美的突出哇哇哇一念关山新浪扫楼
1702463189# #刘诗诗一念关山
1702289941# #刘诗诗一念关山刘诗诗任如意打假咯！
1689557605# #亚运会支付宝的线上传火炬，开亚运宝箱，目前进展到“西亚东南亚东亚线”，我开到了“中华台北”“中国香港”“中国澳门”……总感觉怪怪的，难道8月15日亚运在中国仅指内地大陆吗？设计的人有点问题二哈二哈二哈
1702644756# #方逸伦评论不知道说什么，撒把耗子药吧🐭🐭🐭
1702781183# #刘诗诗说一念关山不是古偶忍了那么多谈恋爱，终于到大女主任如意的高光时刻赞太刺激了
1703687601# #刘诗诗为胡歌唐嫣新剧打call在看热播剧一念关山，喜欢大女主任如意哇哇哇一念关山
1701650584# #一念关山破万看刘诗诗任如意
1701177558# #刘诗诗一念关山看剧刘诗诗任如意
1703412678# #希望每位编剧得到应有的尊重，而不是资本乱改戏，剧粉无辜苦涩苦涩苦涩一念关山编剧回应争议
1702650059# #刘诗诗一念关山
1703573754# #刘诗诗任如意抽我打call打call打call
1703924284# #我投给了“刘诗诗任如意任辛💛任辛刘诗诗一念关山”~
1695473734# #转发微博
1696009340# #祝贺🎊
1704372401# #步步惊心里若曦是怎么死的心力交瘁内耗而死苦涩苦涩苦涩
1689515090# #哭哭，现今内娱无人能演霸业泪
1701148624# #刘诗诗一念关山来吧看剧
1700494261# #哭了泪泪泪刘诗诗一念关山
1702780930# #笑cry笑cry笑cry笑cry
1701788365# #祝贺哇哇哇刘诗诗任如意刘诗诗狐妖小红娘竹业篇
1701345479# #一念关山替身马赛克天啦，这就防爆啦？？？今晚要破万吗？一姐冲！一念关山冲！
1696246689# #哈哈哈
1702730979# #任辛！任如意！刘诗诗心刘诗诗一念关山
1700730865# #卧槽！卧槽！打call打call打call刘诗诗一念关山
1701444354# #好刺激啊，师徒快来哇哇哇刘诗诗一念关山刘诗诗任如意
1700893009# #一起看剧刘诗诗一念关山
1702224112# #一念关山辟谣刘诗诗打戏一剪没这几天的戏看的我心梗苦涩苦涩苦涩除了跟男主的对手戏，女主女配男配都挺正常的！继续看刘诗诗任如意！再坚持两周苦涩苦涩苦涩
1703170045# #刘诗诗粉丝正能量心刘诗诗
1701009687# #11.28来爱奇艺看《一念关山》看孤狼任如意刘诗诗一念关山刘诗诗角色号删博
1700530066# #你们怎么说服刘诗诗干这事儿的美女就是美女，举个牌也这么好看(｡･ω･｡)ﾉ♡i人刘诗诗哈哈哈，好期待一念关山呀，快播，我等着充会员呢哇哇
1696773553# #祝贺
1701761092# #奖励一姐刘诗诗任如意哇再给一姐十部古偶！
1689744504# #福宝真是从小可爱到大都早日回祖国心
1701603133# #哈哈哈哈哈哈操刘诗诗一念关山
1698990064# #美女就该千姿百态，别比较了都好看爱你爱你刘诗诗一念关山
1704430514# #你说的污不错
1689694675# #困了困了，下班累死了还在刘诗诗首页看到脏东西……多看看美女吧，晚安心刘诗诗
1689954079# #转发微博
1703898606# #允悲允悲允悲允悲
1702044941# #一念关山加戏男主加戏丑死了二哈二哈二哈二哈无语啊，谁在捧他嫁给他好不好😜回家自己一个人独享吧
1694231239# #哈哈哈哈
1688991434# #牛啊！剧好真的可以不靠流量，这部剧营销真的不行长风渡
1702874816# #终于超点啦！今晚让我们欢送刘诗诗任如意打call打call打call刘诗诗一念关山
1703483932# #刘诗诗东方淮竹来了哇哇哇
1701093050# #任如意好有意思啊刘诗诗一念关山
1701427136# #好美啊刘诗诗任如意苦涩苦涩苦涩刘诗诗一念关山
1703045967# #最好的刘诗诗任如意心刘诗诗一念关山
1688952689# #先转
1702640384# #呜呜呜这就走了啊泪泪泪一念关山安都副本决胜局刘诗诗一念关山
1701085286# #刘诗诗一念关山期待孤狼任如意刘诗诗任如意
1701622533# #刘诗诗任如意的粉丝好棒苦涩苦涩苦涩苦涩一念关山破万一姐值得心
1696662012# #哦健康平安心
1701360050# #靓丽的一抹红哇哇哇刘诗诗一念关山刘诗诗任如意@刘诗诗
1701403596# #好帅啊，刘诗诗任如意！老公姐哇哇哇刘诗诗任如意
1698248670# #转发微博
1702566861# #脸都不要了吐吐吐
1701439684# #刘诗诗边跳舞边走这热搜真的各舞各的，严重延迟苦涩苦涩苦涩刘诗诗任如意
1701185841# #哇！楠妃来了哇哇哇刘诗诗一念关山一起看剧刘诗诗任如意
1703257313# #怎么这么搞笑笑cry
1702441861# #我投给了“刘诗诗-任如意”~
1702521655# #刘诗诗一念关山来爱奇艺看刘诗诗任如意
1701183362# #呜呜呜呜刘诗诗任如意
1701016860# #晚安，明天继续冲赢牛奶刘诗诗一念关山加油啊，支棱起来啊
1696255773# #还是佛系一点比较好生病粉丝不要骂骂咧咧，也不要自己先入为主感到委屈。又不是刚粉上一个小透明，这是在娱乐圈混了十多年的一线女明星。只能说之前在唐人的十年，有好有坏吧，至少没有出来单干后的复杂情况。老实说17年后的剧没一个省心的失望要不找个靠谱的团队，要不找个短暂合作的资本。娱乐圈
1701007792# #仙剑三魔尊耶哇哇哇一起演戏一起追剧呀刘诗诗一念关山
1701009785# #11.28晚7点来爱奇艺看《一念关山》看孤狼任如意刘诗诗一念关山刘诗诗角色号删博
1695536342# #允悲
