1703482530# #这么一说突然感觉憨憨的awsl抱一抱
1701182583# #成毅超话电视剧莲花楼超话莲花楼的李莲花是为数不多突破个人英雄主义后，接纳自己、活出自己，在剩下的人生中逐步释放他人的角色，是一种对情结的全然接纳，这种母性的柔和看透世事的冷漠被淇淇拿捏的刚刚好，角色本身就是很出色的超脱个人英雄主义的中国禅宗式英雄，再加上淇淇的演绎。这个
1702743217# #电视剧莲花楼超话很感谢莲花楼这部剧，让我有了和我对象一起共享夜晚的时光，这段时间和他一起追，我的第九遍，他的第一遍，他看进去了，也喜欢上了这些角色。我想到以前我特别渴望能和父母一起看电视剧，但他们总因为我要学习把我赶走去书房，一个人待着写作业看书，我真的很渴望和亲密的人一起看
1702192521# #转发微博
1702952164# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1702280244# #成毅超话我们每个人都是大江大河、即将汇入大海，而不是一个杯子或者瓶子里的水，“阳”于河道，决定着我们的流向和宽阔程度；“阴”于河水，我们在河流流淌的过程中去适应、去填充、去跨越。。基于阴阳的调和，学到的东西就像山（人间古老的智慧）上流下的小溪、天空落下的雨滴、地底涌出的泉水，
1701878031# #谁能不爱呢awslawslawsl看一遍舒服极了
1701771367# #转发微博
1702997673# #成毅超话愿平安
1701055814# #希望他能找到相互珍惜的人，感受人生更丰富更有厚重感的一面，一定对他诠释角色非常有帮助。一定不要飘，稳稳走下去，去继续真诚体验人生的丰富吧抱一抱
1701679440# #淇淇眼神戏最丰富，亲亲要闭眼，所以淇淇才这么说抱一抱抱一抱
1700886464# #淇淇的生活里有太多要求，做不了自己，于是乎在戏里把所有内在都表现出来了，把舆论带来的伤害反向转化助力演技，我真的好爱太开心打call打call打call请多演戏好嘛淇淇！！！！！！！@成毅工作室
1701647744# #淇淇理解并且看得很透，能稳稳做自己抱一抱
1703001506# #哇好多人啊莲络人们晚安好梦抱一抱抱一抱心
1701858898# #看淇淇发博了太兴奋直接面煮坨了doge
1702828541# #电视剧莲花楼超话冒个泡我老公很喜欢，成功入坑，一口气连刷十集还不想睡觉doge
1701859852# #转发微博
1703117489# #电视剧莲花楼超话早上好～期待今晚一起看最终章抱一抱太开心
1704073329# #毅起前往2024！！！淇淇陪你到永远太开心抱一抱awsl心心心
1701861470# #你一直都很真诚地在做自己、在工作，也在教果果们真诚对待自己的生活、学习、工作，并享受当下每分每秒的快乐，你是我长大后唯一一个因为人品粉上的人，你是人，我知道，未来无论怎样，你都有权利过你认为幸福的生活，我是你老乡，是一名老师兼心理咨询师，我支持你的幸福观，果果们能有你也真的很幸福
1701012899# #今天把我的大拼图拼完了，给莲博基尼当背景板啦，今天我也有学李莲花好好吃饭好好娱乐好好学习哦电视剧莲花楼超话成毅超话
1703433133# #他真的看见了我们的存在，还鼓励果果，让果果的每一次见面都能被阳光照亮泪抱一抱真的粉了一个很好的人，很好的远方的朋友。谢谢你，成毅@成毅
1700406920# #好喜欢傅诗淇啊谁懂泪
1702455423# #我也是，喜欢李莲花，也喜欢淇淇。他们是有共性的
1703738798# #转发微博
1704023709# #电视剧莲花楼超话莲花楼yyds！！！！！元旦在老家的小电视里看到莲花楼的心情谁懂啊泪泪泪抱一抱抱一抱抱一抱
1701056074# #真的很感动，谢谢你呈现的李莲花和李相夷泪泪未来角色再见心心心
1701768527# #成毅超话他好乖啊哈哈哈哈哈哈哈话筒没电以后淇淇cpu烧了：“希望大家多多关注新浪微博”允悲允悲允悲孩子尽力了
1703432583# #成毅超话以目前我粗浅的理解，淇淇应该是enfp，淇淇迷迷糊糊的性格是非常n的。与此同时在拍戏的过程中有很多新想法想尝试，所以是外倾n（这里澄清外倾和外向内向无关哈），再加上情感丰富，没那么按照逻辑出牌，淇淇第二功能区是Fi。综上，淇淇是enfp。如果优势和劣势功能对调，那么淇淇偶尔可能也
1701788314# #他在陪伴果果们可爱
1701778560# #可爱可爱可怜可怜亲亲亲亲亲亲
1703167611# #跪了我也想要这个技能
1700919928# #一念心清静，莲花处处开🪷
1704066834# #2024年第一条微博电视剧莲花楼超话新的一年来了，我和以往最大的不同就是心中的阿尼姆斯有了具象化的陪伴：淇淇抱一抱感谢你的出现，新的一年毅起出发可爱太开心太开心成毅超话
1701878180# #救命根本看不腻
1701860808# #爱死了吃得苦耐得烦霸得蛮湖南人的DNA动了
1701238777# #哈哈哈哈哈哈哈哈真的很爱莲花楼
1701680780# #成毅超话跟普法宣传员一起，守护司法公正，捍卫司法权威成毅
1701389027# #这是一部隐喻象征很充沛的电视剧。反复咀嚼。越嚼越香。
1701736017# #最后两张鸡皮疙瘩起来了，从三个人，变成一个人
1701764857# #莲花！！！好好看！
