1696999324# #到底是谁说油女志乃……高街潮男的……给我笑的发癫
1698309557# #感觉竹叶的氛围好好，能感受到姐姐工作氛围的愉悦
1700209779# #又瘦又美又优雅的大美女谁不爱呢爱你
1698242665# #沈月微博配图当代文字狱……到底是谁这么容易应激这么喜欢审判别人一个字一个字抠字眼恶意解读歪曲别人，真够无聊有病的
1698927212# #真的太可爱了
1695953481# #如意红亲亲
1695914906# #定制的手镯52圈口的……大一圈……我麻了……戴上报看……我不适合带手镯我服了……小红书害人
1700908899# #好美好美好美
1702108734# #群像剧的优秀在于每一个角色都是独立闪闪发光的个体，每一个角色都是有自己人物逻辑是活生生的人！如果为一个人存在不停ooc。为一个人而歪曲所有的角色人物内核。观众不应该为个人私心买单，拒绝浪费扼杀全剧组人员的心血。爱奇艺转发刘诗诗微博
1700045812# #受不了了……忍了快一年没剪头发……成熟气质美女的梦因为冬天太冷懒得洗头破碎了
1695960652# #你们学校学生就这素质吗，侮辱女性荡妇羞辱学校也不管吗微笑
1702299920# #一姐接下来的剧我希望是这种类型的：《听见你的声音》《请吃饭的漂亮姐姐》……我死之前能不能梦一个刘诗诗拍一部姐狗跪了
1702209989# #小人得志，耗子药随亿包！！！
1697452233# #热血漫或者偏男频向的男性配角角色人均悲惨童年厌世灭世……当然男主是小太阳……同类背景下的女频文的女性角色，多是想要拯救同样经历的人，我还是比较爱女频的女性作者女性角色的温暖
1700134481# #看火影真的觉得好痛苦……太多死别了……比起生离分开你还知道那个人好好的活着没有你他也能活着好好的也能开始新的人生……但是死亡不一样留下来的太多太多痛苦了……海贼里面模糊化了死亡（除了艾斯）冒险的快乐我知道他们会一直在一起勇往直前有新的故事……火影带来的痛苦太多了
1697174972# #不爱听方大同的歌的人人生得多阴暗（我说的）
1697861101# #转
1695988328# #真服了有些男宝妈，天条莫欺少年穷，我还以为她的宝贝哥哥16呢少年，原来是36啊……还少年穷呢，又丑又low又可怜的小老鼠啊
1697358846# #看了淮竹的打戏片段……再感叹一次，不敢想象淮竹拍出来有多美，翩若惊鸿,婉若游龙，姐的身段气质真的太好了清丽无双，优雅太优雅了泪泪泪
1701195806# #一念关山男主裂开裂开裂开……不敢想象如果是霍建华怪侠一枝梅里的离歌笑和归海一刀……这又会是多经典的画面……女医明妃传里霍建华和刘诗诗的雪景共舞真的颜巅对我的眼睛非常非常友好，每一秒都是绝美画面……古偶真的不要让丑人演谢谢太折磨人了主要是刘诗诗太美了画面对比太恐怖了裂开
1700290088# #受不了一些粉丝的念绸癖……甚至发的精心挑选P的妈都不认识的安利图都绸的要命……还要逼人承认好看……真的发癫，又普又绸，我是来看女明星的不是来看整容硅胶脸的
1702007722# #内娱谁不说一句刘诗诗体面人大善人
1698994947# #舔屏舔屏舔屏大美女
1691383219# #蜜雪冰城的杨枝甘露，是我这辈子喝过最难喝的杨枝甘露，气死我了，那个糖不要钱吗
1701348816# #刘诗诗任如意刘诗诗就是🐮🍺，做不到刘演员这样就闭嘴
1688561353# #我心中永远的最爱，挞拔玉儿
1701769535# #我去，刘诗诗好美，任如意红红火火！！！刘诗诗任如意
1701776730# #出来受死微笑微笑微笑
1695357398# #一念关山滤镜听到没，让你给绸男加个美颜滤镜
1701345766# #靠……就这么没了……
1695280003# #本人梦女，姐得抱我微笑我实名羡慕了
1701746125# #谁被这流畅又优雅的打戏爽到了！！！是我！！！狐妖小红娘竹业篇杀青特辑狐妖小红娘竹业篇官宣杀青竹业你好好搞，我们如意红红火火竹业也会大爆！！！
1701754671# #我之前那么讨厌一家粉丝还是🐷菲佣，现在师徒热度蹭蹭蹭上涨，哎嘿，看到🐭🍵嫉妒发疯不开心我就开心太开心太开心太开心
1700824383# #我问你，杨梦露老师请不到吗，三流广播剧女主音加男主现代直播网红音你很喜欢吗微笑微笑
1701752017# #竹业的氛围真的好好，我真的太期待竹业篇了，全是美女帅哥对我眼睛友好泪泪泪电视剧狐妖小红娘竹业篇超话狐妖小红娘竹业篇官宣杀青狐妖小红娘竹业篇杀青特辑
1694163016# #事实证明，诗门永存，贱人自有天收，后续还会有报应的，知道你急，先别急挤眼挤眼挤眼墓志铭上记得刻字《莫欺中年穷》《莫欺老年穷》
1702119908# #不管是大女主还是群像，出彩就好，而不是扼杀演员的劳动成果，大部分观众都是因为刘诗诗而入山的，现在别太欺骗观众，柠檬做点人，自作孽不可活
1694166854# #鞠姐真的让人理解头发对美貌的重要性，很厉害
1688215730# #典了
1698306017# #我算是终于懂什么叫清丽无双了，迎面而来的美丽清新舔屏舔屏舔屏
1692358585# #全身上下最黑的地方是脖子，谁懂，粉底液要买两个色号了微笑
1688368084# #笑死我了
1689045193# #李国立导演你速速回归……受不了现在的导演了，镜头语言艺术不是怼大头就是ppt
1701162522# #姐姐姐姐我好爱你泪泪泪
1691405618# #我真的觉得很可怜啊刘亦菲粉丝……刘亦菲干爹学历学籍那点不清不楚的事他们避如蛇蝎这辈子不敢说话，只能追着刘诗诗不放人人骂我我骂刘诗诗，真的好可怜。。看到菲佣们挖空心思绞尽脑汁废寝忘食的扒刘诗诗的黑料，扒她的私生活、扒她的朋友圈、扒她的学生时代、扒她的老师、扒她的情感生活、扒她在镜头前
1698673060# #菲佣是不是有病啊，这都破防吗哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕
1704597144# #耗子药2024开年不到一个星期，洒泪三次，《我不卖惨》《刘宇宁哭了》《刘宇宁回应》《刘宇宁再回应》《刘宇宁采访回应》……。。【这一次我不反抗，但只有这一部剧】汗流浃背了老铁们裂开裂开裂开心疼后面跟他合作的花……
1701953563# #《女医明妃传》里面皇帝在敌国的待遇受到的凌辱战败被欺负的屁话不敢说各种羞辱……尼玛《一念关山》战败国皇帝被俘虏战败的还得送百万黄金皇子来当质子换皇帝，不是老铁，怎么战败国比人家战胜国的还高傲……男主居然敢砍别人国家的军旗可以对侯爷兵刃相向，老铁，你好牛逼，你太牛了，为了捧人逻辑也
1701090638# #刘诗诗角色号删博一念关山你是会宣传的，眼看着大众看不下去绸人，就放点姐的物料蹭热度，然后立刻放男宝cp向抬咖，谁有你能蹭啊又当又立离开女主无法独立行走只能靠吸女主血炒热度可爱可爱可爱一念关山刘诗诗一念关山刘诗诗任如意
1692761444# #你以为：和白月光修成正果男的：兜兜转转还是你最好骗
1690629729# #看到83粉丝发疯的样子，突然觉得，天道好轮回，笑死
1688304919# #转发微博
1701198257# #一姐，我唯一的姐，古装剧有你是我们的福气泪泪泪
1692453168# #十几年过去了，还在为热血漫流泪，我真的我哭死，我真的很爱海贼王
1701752637# #再给刘诗诗十部古装吧刘诗诗，古装的神泪泪泪
1701782429# #把一念关山第18集重温了一下，确实演李同光的演员演技比较稚嫩，可是那场他靠在师父身旁抬头望着师父流泪的场景真的挺打动人的……再加上钱文青老师的配音太太太加分了，那种卑微小狗的劲儿一下子就上来了，没开玩笑，真的，他说“天牢的火那么大，您疼吗”“鹫儿想你想的心都要碎了”的时候我都心疼流
1700194926# #鞠姐现在无论拍啥都像在拍糖水写真
1701344516# #刘诗诗刘诗诗任如意我狮我也，心疼男宝……心疼你🐴呢心疼，批好你自己的皮，狮子不需要你代表，神金，姐被骂的是没见你心疼，帮男宝讲话你比谁都积极，爱男的脚气你死了裂开裂开裂开
1688216689# #草了这个逼世界，社畜见不得这些微笑
1698578469# #华中科技大学男生恶意p图传播女生私密照片
1703390102# #期待淮竹
1695737885# #男主叫什么陈平安韩立……这种大众名字……然后一定有个后宫叫秀秀婉婉的……很符合我对起点龙傲天的刻板印象
1703157079# #爱看多拍爱你爱你爱你
1695955385# #哇好美的淮竹亲亲亲亲亲亲
1697984136# #好扎心，这句话
1701658670# #啊啊啊期待姐姐刘诗诗任如意
1692282184# #看到一些大大写的男主是干干净净恋爱脑的时候，我真的一点都磕不下去，心里只会有个声音发出讽刺的嗤笑
1703646988# #有些作者你再给女主取名娇娇软软糯糯暖暖卿卿试试看呢微笑微笑微笑给男主取名就差与天与神明与山川万物比肩了，女主，宠物裂开裂开裂开
1688561795# #不混粉圈，微博是垃圾桶，想骂谁骂谁挤眼挤眼挤眼
1694663597# #真正的酒心巧克力微笑
1701002190# #刘诗诗角色号删博我们如意像孤狼一样，专克下水道的老鼠，老鼠精偷别人的热度，偷别人的成就，偷别人的付出，你会有报应的微笑微笑微笑既要靠女人蹭女性热度上位，又怕女性出彩去打压模糊女性的付出，这种合作方我看哪个女主还敢拍他的剧，都知道柠萌是打压女性捧男宝的烂货啦，我们聚在这里是
1700134586# #这些人是不是有什么精神疾病
1702189046# #今晚小品要是真有科目三的话我是真的会觉得这个世界颠了
1704603005# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1701780358# #女王舔屏舔屏舔屏刘诗诗绽放的红玫瑰
1701007226# #刘诗诗和如意淮竹同在简直不敢想象竹业播出我会是多么快乐的小女孩，好的合作方是知道靠谁带来的热度，会尊重合作方的付出，是死磕刘诗诗两年也要合作的天选，是尊重女性的成就和尊重演员的付出单宣大女主的排面可爱可爱可爱期待淮竹如意红红火火绿意盎然打call打call打call
1694077731# #姐这段真的很女尊世界的皇的感觉，万能小说女主诚不欺我
