1701072349# #谁懂这一跪泪
1689602415# #刘诗诗超话泪刘诗诗蓝色长裙好优雅。一看到姐姐我心跳加速呼吸加快何况还是蓝裙救命好绝
1703401380# #一念关山编剧回应争议正常人都能知道在表达什么，看过剧的人都懂爱你
1695287638# #完全不同的风格～斯哈斯哈
1703121799# #姐姐和黄裙好搭！！刘诗诗
1693044414# #哦莫太可爱啦
1702829364# #吴露可逃超话泪吴露可逃。474天，终于等到～我今晚直接尖叫爆哭啊啊啊啊啊啊啊啊啊啊啊啊啊所以我并不讨厌等待的感觉，只盼着吴露能圆满些哇
1703062605# #黄裙真的美疯！刘诗诗
1688906667# #woo！！漂亮妹宝
1700465206# #期待期待～这是女大学生嘛
1689691148# #吴露可逃超话🐥吴露可逃。不是你1819连着两天放物料我要开始喊了啊馋嘴三搭三搭三搭三搭三搭三搭三搭三搭～三搭是不是快来了！！这么能捂那那些还没放出来的花絮呢剪掉的花絮呢啥时候放？他俩婚礼晚宴上放？
1699358842# #我们都会好好的抱一抱
1694767905# #喜欢姐姐分享日常～
1690217643# #吴露可逃超话🍑吴露可逃。蛙趣！！半夜惊现jeff好久不见的日常博！！ttttttttt！！太久不发日常给我一种上一次发还是在去年doge当时突然频繁更新的日常博暗戳戳显摆……
1688947172# #一个被窝睡不出两种人并不简单
1702026090# #好好好磊子哥也精准捕捉吴露可逃
1688490749# #我们还会有好多好多个一年
1697953030# #求夸夸的磊子哥
1689757785# #哇！！姐姐哇
1701710868# #辛光超话任如意×李同光。任如意和男主躺床上了我无动于衷李同光一跪一哭我心都碎了嗑生嗑死泪
1703353043# #辛光超话泪辛光。（请谨记：没有年上宠哪来年下疯爱你）。感叹一万遍辛光之间的羁绊，属实是仙品泪。就算你删删减减，两位演员都一次又一次守护住了角色的内核，戏里戏外的师徒都是极好极好的，希望真诚的人都能被真诚对待，真诚的人应该被真诚对待。你们真的，我哭死悲伤。刘诗诗任如意
1701405695# #距庆功宴（上一次公开合体）到今天已经458天了不断被遛永远期待这次能一起出席已经很知足了泪
1703666927# #刘诗诗超话哇刘诗诗任如意。说一万遍都不够姐好美悲伤悲伤
1695960534# #姐姐中秋快乐～
1688313965# #吴露可逃超话🍑吴露可逃。🐥宝宝们快回家快回家咯～多年以后，我120岁的时候接受记者的采访：“这位奶奶你长寿的秘诀是什么？”我掏出包里💚💜🉑🍑的照片颤颤巍巍地说：这辈子不看到她们结婚我是不会闭眼的。”
1703574622# #呜呜呜呜呜我哭任辛对鹫儿到底什么感情
1700578996# #好男大～
1703944469# #你们会谈吴露可逃
1695189445# #不愧是热恋姐泪妹宝尊嘟绝啦
1688404261# #吴露可逃超话🍑星汉灿烂开播一周年比耶打工人吴露可逃。还有一天星子开播一周年啦抱一抱抱一抱
1702632749# #好酷！！
1703516031# #真的博主太会总结了泪这是姐第一次站出来维护自己角色的精神内核泪希望真诚的人都能被真诚对待，真诚的人应该被真诚对待心
1704204817# #刘诗诗的晚安短信哇刘诗诗东方淮竹。希望收到姐晚安短信的都撤回因为我不是doge。所以接下来还有吗悲伤想收到姐的泪
1703465247# #吴露可逃超话哇吴露可逃。被狠狠拿捏苦涩苦涩
1689861480# #起猛了看到纯爱了
1704071831# #新年快乐～2024希望大家都好刘诗诗东方淮竹
1688960850# #啊姐姐的腰哇刘诗诗香奈儿品牌形象大使
1690770679# #姐姐～姐姐～
1691302496# #好清新好夏天！！
1702865904# #恭喜🎉好看～qeelin全球品牌代言人刘诗诗
1700475130# #她在发光泪泪
1696079025# #耶！姐姐的日常～爱看
1699505934# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐星汉灿烂·月升沧海！一起来推荐你心中的微光荣耀吧
1689764429# #刘诗诗超话哇刘诗诗发了五颜六色的蔬菜。一打开哇～姐姐发日常了！！哇～18宫格！！耶？原来是18宫格的蔬菜哈哈哈哈哈哈哈满足了毕竟姐姐发日常啦送花花她还是她还是那个可可爱爱热爱生活的姐姐抱一抱
1704023827# #月亮戒指💍火柴磊子哥农历生日好好好会谈吴露可逃
1695225480# #蛙趣
1691946162# #这眉眼呜呜呜色色
1694163939# #吴露可逃超话🐥吴露可逃。蛙趣什么什么什么什么爱爱爱……爱人？？。（收到姐的周边啦）
1699888810# #我嘞个豆！？有生之年终于又能看到了
1693478424# #磊子好酷！
1688961894# #吴露可逃超话🍑吴露可逃。现在的情况啊……啊……就是说……这个什么呢……啊是吧……就……这么个情况不说了你俩快给工作人员发工资一个人打两份工doge
1704333564# #辛光超话憧憬刘诗诗任如意打call常华森李同光。“圈子里有名的神枪手也会因为她失误”
