1694348405# #你听不到我的声音泪
1689576606# #居然还有第二弹，菌菇ls你太会了抓狂
1698129342# #太好啦又有综艺可以看了，期待薛副局长
1691929489# #像个花椰菜花环
1690555737# #多唱点多唱点
1691651832# #怎么回事，声音都甜起来了
1697532359# #还会有比你还用心的老板吗
1696651030# #泪我还想去啥时候还能再来一次
1690435969# #蜡烛
1701933886# #全世界都有自己的小猫咪都有自己的小狗狗，为什么就我没有！为什么！为什么😢
1695865133# #12306候补。12306我跟你拼啦！以前次次都能候补到票，今年咋啦！啊！我的票呢我的票呢我的票呢！啊啊啊啊啊啊啊啊啊发疯
1690083039# #这是什么好东西我居然现在才看到抓狂抓狂抓狂抓狂抓狂造型师加鸡腿
1694348636# #今天还是出道18年，他自己肯定更遗憾泪
1693382371# #头上有犄角！
1692485505# #0717兰州站
1690270037# #耗牛啊薛之谦
1699178895# #脐橙的打工日常。来点好消息吧，求求了跪了
1689511145# #薛之谦717生日快乐见字如面，今晚见
1693112418# #尊的很漂亮送花花
1700197885# #居然有三场！
1691880627# #太厉害啦抓狂
1696909099# #脐橙的打工日常。难受的想鼠感冒好累想趴着不动，咳得我眼睛都充血了。，要是能让我躺一天就好了
1698226748# #啊啊啊啊啊这个透扇！
1691931255# #小米也出折叠屏了?
1690550917# #哈哈哈哈哈哈哈
1691966799# #早安，执行官
1697381459# #好可爱锦鲤附体
1700117274# #趁着休息吧宇宙探索编辑部看完了，后劲好大，看的时候眼睛完全离不开屏幕，心里有很多想法，但是很乱描述不出来，但是有一点，被找到的那只驴最后去哪了航天员
1690286031# #薛之谦好牛
1692053167# #熟悉的画风！我好期待
1691996424# #我晚上去看看
1700453716# #脐橙的打工日常。又生病了跪了发着烧上班我真服了，我以前没有那么爱生病的啊，到底是上班的原因还是阳过之后的原因，一生病就容易想东想西，容易变emo赞还容易发脾气，而且昨天跟同事（半个同事吧，聊天我才知道人家只不过比我大两岁一个月存的钱比我工资都多，还是聪明好，能进好单位
1691395054# #嗯?你小子
1689593237# #是不是私藏的没发！抓狂
1693300832# #两个账号加起来一块钱开学季。我这个月到底买啥啊
1697357169# #脐橙的打工日常。连上七天的我为了应对后面的五天我决定开启省电模式，上班能不说话就不说话，每天按照肌肉记忆干事，只要不叫我就当个默默当个“哑巴机器”避免社交浪费电量，能坐着就不站着能摊着就不坐着看书锦鲤附体
1693205675# #东电承认超6成储存核污水放射物超标。现在装都不装了呗蜡烛傻呗
1691665133# #薛之谦超话薛之谦天外来物巡回演唱会。一只来自宜昌站的向日葵小薛🌻🐷。终于画完啦！收到嘿;-)
1697806171# #小恐龙！
1693188184# #接武汉返场抓狂抓狂抓狂我要在看一场
1693090360# #谁被帅晕了抓狂
1691967019# #十八年苦涩
1693480573# #写的词耶
1689494919# #超人小薛好可爱
1699853922# #没有转机！都是我的错觉错觉啊啊啊啊啊怒骂
1689547788# #爷的图图呢
1689484749# #717时长好评好想去生日场啊单身狗再来一次我绝对能自己抢到内场票
1694992434# #勿忘历史
1700453389# #你在外面喂鱼！我可看到了
1698147195# #转了想买
1688962390# #干什么干什么图9在干什么doge
1694349019# #好好休息才能开下一场，不要逞强啊感冒
1692836058# #日本核污染水下午排入海洋。呸，见不见啊！你们自己喝了行吗？别来祸害别的国家和海洋里的小鱼小虾疑问
1697846186# #好会画抓狂我怎么画不出来
1694516542# #泪
1689154872# #这是要能轮转个中国呀送花花
1703918934# #2023限定回忆。去了薛之谦的演唱会，如果再给我一次机会，我一定抢两场的票泪感觉就一场没看过瘾
1697356715# #天送花花赞
1694936456# #我要是能坐这么前面，我也发疯
1691247181# #湖北的天气稍微动一下都热，很难想象在舞台上又跑又跳的怎么忍住的作揖
1698983258# #期待薛副局长！
1697620587# #脐橙的打工日常。好焦虑，上班搞错事情了，跟老师讲了现在也没回我泪焦虑焦虑，工资延迟发我也好焦虑，延迟了八天！八天啊！这几天情绪太不稳定了，肯定是累的泪好焦虑啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊。但是不行不能焦虑，我要说我好幸运，一会老师回我之后肯定会告诉我没事！明天上班重
1689547366# #好漂亮苦涩
1693114065# #我国取得可控核聚变重大突破。虽然听不懂但是看完解释觉得好厉害啊作揖希望能成功
1701694695# #脐橙的打工日常。还是大大方方的好什么时候才能改变一下
1692571180# #好帅送花花
1690351971# #又惊喜空降，你也太牛了，劳模。
1691725135# #又凉了，每次都没热度抓狂
1700752251# #有没有什么祛痘方法啊薛之谦喵喵顺便教教我
1691413849# #多来点花絮我爱看收到
1690169146# #太可爱洛送花花送花花
1695304493# #又见高铁哈哈哈哈哈哈
1690552296# #哈哈哈哈哈哈哈哈
1695526480# #上支付宝领亚运点火证书拜托，谁还不是个火炬手了doge
1703578706# #我的微博播报2023，有的相伴真的泰酷啦！2024与我一起用超光影记录超影像！让我们继续携手在微博陪伴度过新的一年~
1692255090# #音乐节！送花花
1694785886# #音乐室最好的良药，心情不好就听歌
1695896209# #好咧！
1702191343# #脐橙的打工日常。喜欢下雨天，但是讨厌下雨的时候要上班晕。鞋子裤子全湿了还不能骑自行车走二十多分钟，我真健康啊
1694504497# #坚持见面一个多小时，还全权承担所有费用，真的很用心了
1691326567# #马一个8月5号的
1688977009# #我的上班摸鱼日常。趁着空闲，两分钟快速摸了一个雨中的玫瑰小薛🌹
1695617373# #来吧，武汉返场，广州三场，武汉才两场！
1700097494# #我来了
1696563219# #别太离谱哈哈哈哈哈哈哈哈哈哈哈
1699756774# #天
1702032204# #眼珠子好好看
1691930086# #珍藏北京八个机位的念
1690435434# #有些男的不要太恶心疑问。穿个裙子骑自行车，内衬比平常穿的牛仔短裤还长，那男的从旁边过，都跑老远了还回头瞄，你瞄你🐴呢疑问自己没长腿是吧，爱看别人的，再回头看小心被路过的车创亖，真他爹的晦气
1692001096# #下次我一定去苦涩
1698470628# #小米14粉的能不能出个玻璃后盖啊
1695203913# #这什么好东西！多发点多发点
1696862533# #都是粉丝，人家咋这么厉害冠军诶
1692571014# #天呐抓狂连唱三天
1703773219# #转一下万一呢爱你
1691907662# #脐橙的打工日常。今天上班路上骑自行车摔了一跟头，才知道《还珠格格》里面小燕子骑马裤子都没破，腿还流血受伤了，原来是真的会这样苦涩。摔车之后自己默默爬起来，火速逃离现场，当时就一个念头，不觉得腿疼。就觉得好丢脸，现在腿是真的开始疼了
1691419563# #脐橙的打工日常。呜呜，摸了一个拿着向日葵🌻的小薛，我觉得好可爱，可是现在变成打工人的多根本没有多的时间来画画抓狂准备明天如果有空，就稍微细化1..加上简单整个色吧
1696845170# #脐橙的打工日常。希望我的感冒能早点好，现在咳嗽咳的一句话都说不明白，你说就咳嗽就算了，还流鼻涕。感冒脱手套真的好麻烦。这个身体状况还要连上12天班赞今年支付宝的敬业福我要第一个扫到
1689415866# #天呐苦涩全国巡演全国加场
1698296535# #转了
1689520255# #苦涩苦涩苦涩苦涩苦涩淦
1696086694# #好我去睡觉了
1689384161# #单身狗呜呜呜呜呜呜写给我们的诶
1689586090# #好讨厌我现实生活中的性格，想把能在微博发疯的性格拿到现实来苦涩上班两周多了，到现在都混不熟，话也不敢说，刚开始也不觉得啥，直到在我后面一周来了一个跟我差不多大的女孩子，人家来了两天就已经混熟了，现在人家在我旁边聊的热火朝天，而我还是每天一个人呆里呆气的坐在那一句话不说，我的嘴巴
1689520280# #为什么我不在生日场抓狂抓狂抓狂抓狂
1702224023# #辛苦啦，晚安
1697272741# #蓝溪镇。以为蓝溪镇和罗小黑动画一样治愈的我真是太天真了泪第95话把我气的肝疼啊哇哇哇。顺便存些截图
1690083150# #啊啊啊啊啊啊啊啊啊啊啊啊啊
1696293101# #要异地啦
1698828572# #这啥时候的啊
1689058736# #这是什么好东西送花花太帅了
1690269709# #又跑山东去啦?薛之谦你好忙
1691548665# #早啊帅哥收到
1700611807# #时差不一样是好，不用熬夜都能看到更新微博了跪了
1696087079# #这是什么好东西送花花
1694990859# #辛苦啦，下一站再见
1698744356# #已经开始期待了虽然周五要上班
1699026149# #脐橙的打工日常。我是什么很见的人吗?。是时候去一趟韩国把睡觉进化掉了
1692859229# #日本核污染水排海正式开始。真的是犟种，日本每个时期都让人厌恶至极。第一个灭国的肯定是没脸没皮的日本鬼子蜡烛
1701528242# #也送我一个🥺
1704034197# #这大花袄我喜欢嘿嘿
1697456743# #连续上了八天了赞泪给我打一万吧
1698226902# #国家发改委回应2024年放假安排。我真的笑了，就九天而已，不知道的人还以为放一个月呢，口气真大。
1693053517# #飞船带我一个抓狂
1699262540# #摆烂式
1698565267# #啊啊啊啊啊啊好可爱
