1703518614# #7# #941# #0.027447390521492337
1704337200# #3# #14638# #0.014939451531995707
1702740961# #0# #603# #0.2105097737758122
1704682800# #3# #5798# #0.047276520714028394
1704679200# #3# #13792# #0.49253580457546436
1704443496# #0# #1107# #0.029121327393645414
1704178800# #3# #509# #0.35884037576626127
1704423600# #3# #23096# #0.017360430373402232
1704533460# #3# #15433# #0.14502557825387405
1702565113# #0# #257# #0.3406021434052725
1702535000# #3# #1242# #0.3429354528802708
1704592801# #3# #16067# #0.02326796196962314
1702721100# #3# #480# #0.020016825537370053
1703213412# #0# #127# #0.8520982599466056
1704424201# #3# #14661# #0.03275147448939795
1703666045# #0# #897# #0.010670531350577543
1702571387# #0# #108# #0.39364948359861107
1704423681# #0# #341# #0.0043856109709378
1703894357# #3# #16662# #0.0445642277694892
1703320034# #-1# #0# #0.006890451297042284
1702606682# #-1# #0# #0.04098239023374715
1702565975# #-1# #0# #0.005047866775957182
1704424380# #-1# #0# #0.02030598221821057
1704338314# #-1# #0# #0.3911085919635225
1703409763# #-1# #0# #0.017837323198587794
1703166657# #-1# #0# #0.004656101123845618
1702546631# #-1# #0# #0.03349113292278448
1703418119# #-1# #0# #0.1674466166826313
1703061428# #-1# #0# #0.24417286934934596
1704547930# #-1# #0# #0.15429186586496335
1703135198# #-1# #0# #0.006787847594813929
1703166248# #-1# #0# #0.13390383552169613
1702605867# #-1# #0# #0.027547611966027615
1703469636# #-1# #0# #0.007516551153562662
1703048195# #-1# #0# #0.011486762092570811
1704338866# #-1# #0# #0.06991909430795441
1704011101# #-1# #0# #0.4348759655152334
1703077738# #-1# #0# #0.7135653065100104
1702633119# #-1# #0# #0.0364959945411409
1702637070# #-1# #0# #0.005349903792283593
1702612189# #-1# #0# #0.23432181506424649
1703645211# #-1# #0# #0.00481814440741364
1703168036# #-1# #0# #0.014165575293050098
1704342068# #-1# #0# #0.004639809255814639
1704686844# #-1# #0# #0.005939012562066442
1704424273# #-1# #0# #0.02030598221821057
1704161082# #-1# #0# #0.6408352752240418
1702557678# #-1# #2# #0.03394575608634555
1704374574# #-1# #0# #0.03281466730231976
1704426399# #-1# #0# #0.02030598221821057
1703656295# #-1# #0# #0.6408352752240418
1702625146# #-1# #0# #0.030715439188281287
1703667871# #-1# #0# #0.004947489415980927
1703338035# #-1# #0# #0.016156763843434584
1702612775# #-1# #0# #0.013100004953829288
1703645300# #-1# #0# #0.005661833836664171
1704426472# #-1# #0# #0.004997354422937027
1703735888# #-1# #0# #0.4936653154025335
1704638410# #-1# #0# #0.255447710601529
1702563508# #-1# #0# #0.005529587440550754
1703048219# #-1# #0# #0.011486762092570811
1704338272# #-1# #0# #0.41629742526414415
