1702802611# #不然呢？
1700014521# #说实话，玩崩铁真的就是因为喜欢建模画风和美术风格，真的特别，二次元老师好就喜欢这种精美二次元的感觉
1695994237# #天呐………………我眼睛被美丽狠狠霸凌……账帕💓
1693371721# #卧槽大的来了
1690636857# #还说不是打野指挥的吗，打野指挥的让你们龙魂在前让你们卖打野一个人在龙坑一打五之后还捶椅子是吧，傻逼玩意
1694019795# #好喜欢这个事件，养小虫子做拍档真的好萌委屈对不起，就喜欢这种人和小动物的组合
1701375760# #把哥们难住了，是选鸭鸭一命呢，还是弟呢，还是克拉拉呢……原本寻思快到保底了，先把保底抽了万一呢烦恼3-1呢，结果彦卿+1……人真的晕了
1691724429# #？卡芙卡pv的居然是贝洛伯格博物馆吗，我还以为是新地图疑问虽然是公司的小兵这点到都是没错，但是有人说毕竟公司和贝洛伯格都信仰存护，我才想反应过来，倒也是！！（）
1696877664# #看了一下别人的龙丹+驭空buff+佩拉减防的17w伤害，我龙丹13w，就，也还可以了！！！
1690837908# #磕到桑娜了（？。而且也是娜说的桑是某天突然出现在的，所以第一个认识桑的是娜？
1697691079# #？
1699898586# #真的很恨很恨你。。。这就像你人生的缩影，不是吗
1691231465# #小妹怎么还是商人npc的
1695185774# #哥们，这一唱一和的咋个意思
1698645365# #下次还填非常简单.jpg
1693215553# #离谱，你崩铁最好是有那么多磕双开拓者cp的
1700505518# #大半夜画完画出来一看英雄联盟把秒表删了，给我吓晕…………
1693647286# #主播解说开团强度太高了，把弹幕吓死了，你们真是有福了！！粉丝也都快两年没听到主播直播开团bb了微笑微笑微笑微笑
1704440706# #以及你崩铁厕人也太多了，不小心没保存到图想翻一下帖子感觉翻了五分钟，到底多少人...
1695038228# #不是，哪来的那么多人疑问
1694317279# #百暴希儿都不一定暴击我真的服了
1697085800# #我天呐，萌，我亲死泪
1695790743# #本来没感觉的，这下有感觉了微笑你早告诉我是立花啊微笑
1700015970# #为什么那么多人难以理解真理为什么是医生不是博士。。。这很难理解吗，甚至官方发的时候都给答案了允悲
1693971267# #抢到了白露白嫖劵，但是广西没有联动用不了。微笑
1694671721# #你们公司的角色怎么都是有追加攻击机制啊那么好，那我为了托帕只能抽砂金了不是……
1702285157# #还行，银枝对托帕克拉拉组来说真的太好打了，就是我克拉拉练度太低了，遗器都是东拼西凑的……
1702643450# #星期日日配一开始听着想信长，但是后面开始就不像起来的，听不出来是谁救命…………
1694660924# #我去对哦，为了托帕我还得练艾丝妲😱😱😱😱加火伤的辅助……
1691568608# #dot队感觉就是一个讲究享受血条蹦迪的快乐感。（指自己血条蹦迪）你们的debuff咋不能叠加啊好难顶，虽然感觉打出来伤害很高又没有很高的感觉
1703271691# #因为画得实在是太可爱了，所以这边发一边努力我说不定是画毛茸茸的天才（并不是）
1703225399# #然后歪了一堆暴伤发现又把鸭鸭暴伤拉上去二十几点跪了
1703640959# #很多人根本不理解，是不是后面出剧情角色塑造好不好的问题，但是大部分人真的只是想要萨姆是单独个体，和是不是美少女还是谁皮套都没关系…………现在暴露出来萤和萨姆语音比9:1，喜欢的人谁看了舒服啊？
1694528975# #突然在想很多洋妞喜欢吃朗道弟和鸭鸭的cp该不会就是洋妞的吃骨科犯法心理吧……
1700013036# #今天上班难得好闲，崩铁能不能早点开，好急
1697018389# #我过主线：（疯狂截图托帕和账账）
1698507260# #其实看官方消息托帕自己说，账账是她喂了好多贵重物品才拐回来的。但是想想从官方一些细节来看，我感觉是没有那么简单的。账账和托帕其实是有种理念是一样的感觉……它不是单纯的帮托帕做杂事的“宠物”，而是更多的“商业伙伴”这种定位，对托帕那些工作其实也有自己的理解。倒不如说怎么可能单纯因为
1692161524# #我要这个…………好喜欢和人外小动物有羁绊的角色，不管cp还是cb都磕一口，谢谢你老米，之后多来点我给你洗地（？）
1702410581# #可恶，要不是饮月1+1了真不想抽了花火再接着抽饮月……我屯的石头啊……而且砂金螺丝咕姆又不远了呃啊……
1698727080# #真理医生，感觉你建模比立绘好看这是可以说的吗……………………立绘这个脸真的好崩溃。为什么大家先先批判衣服，可是立绘的脸明明比衣服难看啊！！！！建模脸可好看了啊！！！微笑以及我不喜欢他这个鞋……虽然明白你设计是希腊神话那种服饰所以是那种鞋，但是你这样搭真不好看！！
1693369847# #这次剧情有罗刹伏笔吗，卧槽，大的来了
1694347381# #人生第一次经历洗耳，钱包-150。也是第一次遇到把自己耳朵堵死的微笑差点丧失听觉（还是双耳）
1690728773# #说了以你水官方巨魔程度，哪天不背刺你不错了，还一天天搁着捧臭脚，造谣为了bg党改剧本造谣给角色加戏造谣声优带薪入组，就是不肯多骂一嘴官方，我真的服了你们百党了。动画烂了百没烂是吧。
1691211615# #萨姆：原著
1698145822# #才注意到托帕光锥里账账咬着托帕衣摆，我真的要萌死泪泪泪泪
1691505902# #没练景元这期深渊只能到这了……也不能说没练，遗器刷不出来我能怎么样啊！！！
1691154236# #在别的阵营里出现共同要素我会觉得哇还有这种设计，在银鬃铁卫上出现我会觉得好正常（草）（毕竟军队）
1694019709# #碰到银枝了（？）
1704007692# #阮梅卡池抽了50抽，一个版本活动奖励就赚回来了吃瓜瓜
1702041118# #受不了你崩铁ch一点，史无前例紧急开个1.6的v5测试，结果就是削了一点软妹的模拟宇宙秘籍，然后真理雪衣只是修改文字说明，我真服了爸爸了，就这点事把大伙都喊出来啊允悲滚吧
1698207988# #好喜欢藿藿的终结技名字，遣神役鬼看书
1704416554# #干什么啊，本来博识学会就已经比不上天才俱乐部所有人包括自己都认了，还要被说其实一开始垄断知识的才是博识学会，天才俱乐部传播，没被博识尊注视就是证明没有践行智识道路允悲有没有天理啊，人单纯不够聪明人瞧不上都不行啊允悲允悲太过分了
1704296867# #好喜欢教授的眼睛，深红感觉有点点棕？里面有一圈金黄色的，真的好好看单身狗
1690654303# #因为银狼用的希儿淘汰下来的量子套，所以攻击拉满但是生存率极低，把把打都暴毙，于是我在极其愤怒的情况下把一个量子生命防御套拉满了……
1699594852# #尊嘟假嘟
