1692186656# #微风
1704810176# #这辈子就算是捡垃圾也千万别带小学生写作业，会得抑郁症，衷心建议如果你不能陪你的孩子成长就别生，生了不养只想往培训机构一扔算什么父母！自己不想管却指望一年万把块钱就能成龙成凤算什么父母！天杀的
1689749500# #椒盐皮皮虾很好吃哇。来三亚也要去猫咖吗晕
1690515747# #打扮了一下
1694488063# #本人又开始内耗，因为一开始觉得下半年不会工作，我一开始没有那么认真的学习，想着后面还有很多时间，结果突然开始工作，到快考试了发现自己学不完了没有一次性通过考试的信心，同时工作也没有做好，真的就是上班的时候想考试的事，学习的时候家长发条信息过来我又开始烦躁。好想逃！！！！！抓狂
1694254824# #诺大的浏阳找不到一个人搓麻是吧！
1698654497# #最近的一些些live图你好
1694137901# #浅浅落后一下哈哈
1702211947# #老师好
1697394714# #失眠：此刻，只想混吃等死与不想混吃等死的想法在脑子里打架，本人焦虑到极点啊啊啊啊啊啊啊啊啊啊啊啊
1695717266# #明明小学生5:30才放学但非要我3:30来这里玩一个多小时手机到底是为什么？不理解也不尊重哦
1689839390# #omg冲个浪紫外线太强了吧泪
1697329091# #利燮的恋爱都去看啊啊啊啊啊啊啊啊啊啊啊啊！啊啊啊啊啊啊！利燮的恋爱
1697460649# #开心每一天鲜花
1698866486# #失眠到底是因为什么…咖啡吗…
1693473062# #奥本海默很好看，如果对历史和政治比较感兴趣的可以去看看，男主好帅啊害羞
1694147677# #本人的抗压能力真的很差，只要工作一点点不顺心就想逃避想辞职想哭，好想做一个快乐的收银员…
1701713116# #睡不着的原因是太贪心…老师好
1688556640# #坐高铁真的会看到很多中国父母教育的失败案例可爱我已经能看到那些小孩子长大会是什么吊样子了
1697395688# #真的挺神经的：睡不着➡️应该是喝了咖啡➡️买了瑞幸的咖啡套装✌️还送了杯子➡️那我去图书馆可以带自己做的咖啡了😄➡️明天图书馆不开门➡️明天我要上班烦烦烦➡️真的不想上班烦烦烦烦烦➡️不上班我真的会天天认真搞学习吗➡️好像不会➡️omg那我要被迫上班吗（真的一个白眼🙄️
1703418049# #merrychristmas～🎄
1693196131# #很凉快哦最近
1691152709# #新品有点茶的苦涩闻起来带点微微微微小的栀子花香
1694322828# #？我怎么了
1689353630# #qs小龙虾厨艺秀鼓掌
1690361860# #人生中第一次这么认真是在装电脑汗
1688638114# #来杭州看看留守肥猪
1694524052# #今天迅速调整好状态并告诉自己工作尽量做好，也别自己对自己要求太高，如果我做好了别人还不满意那就不关我的事了，果然今天一整个就是活力四射！以后微博又是快乐分享哈哈
1690448498# #我妈妈肯定是把我的伞暴晒了，这把伞本来是粉色的…
1695028657# #1:本人做的油焖大虾。2:饿了么卖萌。3:橙c美式和芬芬做的一模一样。4:免费三明治🥪。5:大板。6:康师傅青梅绿茶
1692530423# #这辈子最讨厌扫兴的人可爱
1696751402# #走路去上班走到一半下雨了啊啊啊啊啊啊真的背时拜拜
1696579941# #茶颜面包干好好吃omg！
1696048614# #中秋！
1694578374# #降温噜～我爱秋天
1698068198# #这辈子最讨厌父母的一种说教方式：我们以前都没有这么好的什么什么什么啊啊啊啊啊啊啊啊啊关我屁事啊，我妈妈一句婚纱照没必要拍那么好的，我直接炸了，真的很烦我的婚纱照我想在哪里拍就在哪里拍，我跟她说我就结一次婚我肯定要拍好点她还说我说话不好听。况且这婚纱照并没有上万…啊啊啊啊啊啊啊啊啊
1693926800# #今日：早起搞学习➕嗦美味粉➕上班第一天➕当红娘。我好快乐！！！！！！！！！！！！！！。（热衷于牵线搭桥害羞）
1701625675# #
1691824445# #想要丑鱼结果…
1696871497# #下班后和朋友聊聊天好快乐哦～🍂
1700578005# #随机四张图
1694894971# #纪念一下～
1687790270# #啊啊啊啊啊啊啊都去看长风渡啊啊啊，顾九思我太喜欢了，小狗找存在感亲亲亲亲
1690785401# #最近喜欢化淡妆
1696578814# #新鲜战绩，10:9血虐qs挤眼。（本人做成一杆非常完美的防守，可以和斯诺克媲美了）
1702205524# #人生真的很奇妙…上午还帮别人发喜糖，下午直接到骨科医院了
1696744026# #不是很懂，家长就这么在意这个A+吗？重要的难道不是学生自己能做对多少题目吗？非要A+那我不知道直接拿答案给她抄啊
1696516674# #没有人可以冷落美女！拜拜
1693644144# #化妆化到一半发现这个，紧急吃一粒过敏药抓狂
1694678430# #早上一杯米咖对噗噗有好处
1688222389# #今日安排满满哦。我放假啦！！！！
1690892344# #miniso的盲盒🉑️冲赞
1697394980# #我小时候真的是想做一个收银员，每天不要想事只要收钱找钱没有压力，现在也是抓狂为什么总是自己给自己压力真的好烦抓狂
1697732231# #大半夜重新看社内相亲我真的会疯啊啊啊啊真的会睡不着泪泪泪泪泪泪我也好想再谈一次恋爱啊抓狂抓狂抓狂抓狂
