1699327531# #哇好棒，人好看兼有侠气，音乐也配的不错
1693308511# #就是这样！保持这张脸，我愿意做姐姐的舔狗！！！泪
1694238512# #刘诗诗东方淮竹高清异域竹
1701052697# #电影咖那么高贵啊，怎么还找演破古偶的宣传挤眼
1704636582# #六个耗子给三水大师投了，接合作，莫辜负喵喵
1700265102# #皮肤很好。并没有，谢谢。不要尬嘿，我肥肤若凝脂，肌肤平滑，没有毛孔
1688954781# #老婆美送花花送花花送花花
1695946823# #刘诗诗东方淮竹刘诗诗生视频打戏路透，旋转小陀螺。
1698125554# #1—2ArmaniPrivé2023秋冬高定。3Armani2021春夏高定。4—6ZuhairMurad2023秋冬高定。7—8Valentino2013春夏高定。9—10ElieSaab2023高定。11—13GiambattistaValli2023秋冬高定。14AlexisMabilleFALL2023高定。15—16TonyWard
1688902157# #这也太🐮了！
1691237945# #不知道是不是因为姐太瘦的原因，让我感觉这套普通人也可以上身，我好喜欢这张
1703058610# #状态可以，长回一点肉肉了，很米
1701189906# #好喜欢如意的精神内核，是正真的大女主，博主我嘴替
1701415698# #呜呜呜呜呜呜呜我的任如意，好心疼泪
1695296604# #不长记性的我
1700918028# #61脸艳压了
1691965008# #被王一栩炸骗了，所谓天选也不过是一个商人炒作的噱头，🎍服化没配角有质感，妆容没配角精致，女主衣服还没有我在🍑宝买的几百块钱汉服有质感，粉丝提那么久的意见，愣是没有一个听进去。有些人说好看，那是一姐底子好，在这么寡淡连黑眼圈都没有遮住的妆容下还能好看，是她自己撑住了，而不是这个
1697392173# #请问这位清清白白堂堂正正的白莲花正宗主流粉，这么造谣说我骗散粉的💰买路透，是否要来给我报销，不多就几个w而已，毕竟你爱姐啊，为她花💰很值当。
1696496874# #刘诗诗东方淮竹刘诗诗狐妖小红娘竹业篇动起的淮竹
1704015127# #官方认证回看最多，唉呀怎么没我们鼠鼠
1697358944# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹刘诗诗白衣战损哭戏路透生图直出
1704084713# #不好意思又爱上了苦涩
1694608251# #欧米茄不愧是能把春楠的老太妆P掉的大牌，我爱的一姐回来了，审美真的好。
1704687180# #Tods无聊又无趣，，一个dnt就可代替，风格限制树太多，现在终于踹走了，今天又看到不一样的树舔屏
1689623185# #团队表面理也不理暗地里偷偷收藏
1702940849# #玛德越想越气，去你叠退钱！坚韧！！！
1701693706# #刘诗诗任如意硕鼠硕鼠无食我黍！！！。删尼麻
1701356692# #破万有自拍吧，任如意姐姐打call
1692095669# #所以工作室发黑图？
1704649825# #美妆V赏，我已为投出一票，快来为你喜欢的品牌点赞投票吧！为我的年度美妆好物打call！戳下方链接进入投票区↓↓
1700960468# #一大早气人，不会春楠那个老登又回来了吧
1691238846# #这脸这小腰这🦵，仙品😌，化妆师一看就不是🗡️楠春，真好😌，看来化妆师真换了
1698054307# #接离婚有什么好接的，离婚对她会有什么好处？这多年有几个在湾男哪儿讨到好处，而且她团队一团糟，真离婚出问题她还能好好拍戏吗？现在就希望老🐉好好在家带孩子，做个贤内夫，61好好拍戏赚钱无后顾之忧，如果保持每年拍戏，她跟老🐉也一年见不了几面。
1701670606# #好可爱，心软软的
1701658629# #刘诗诗诗你赶紧进组，你不进组我没有安全感泪
1694085006# #好的妆容，弱化了其他缺点，这次妆真的好送花花
1691755575# #老婆你喜欢谁化的
1701658469# #果然红气养人，真美啊
1699082192# #这套高定动态看起来还行，主要脸真的美抱一抱
1700829327# #除p11—12阿玛尼不是当季（p4替换了，弄错了），其他都是2023当季裙子，压一个明天红毯。。好好给你们老板选裙子，再选丑裙子试试
1691621959# #吃回扣很爽吧，什么时候带着你的盖子窝走啊，还有一群主流粉还在说冲商务，对艺人形象毁坏败坏品牌形象，难道不是毁商物冲商务吗，没有骨头的软🦶🦐，护室护雷护楠，就是不护刘诗诗，还美名其曰为刘诗诗好，呸！听着简直是要吐了
1693135549# #如今局面就是工作室和老🧟‍♂️的双向奔赴，活该
1690586238# #双熄艺人，今年最佳笑点笑cry
1699253186# #神图舔屏
1704432784# #刘诗诗摇滚歌姬姐姐抽我
1691845332# #只能说老姜丝好日子来哦，祝成功爱你
1699009162# #ElieSaab2023春夏高定。。压过春夏，但没压过套，觉得怎么样
1701091045# #这人设舔屏
1704086863# #二月二龙抬头，树姐和🐉有关的都非常有缘，所以二月二会官宣阿玛尼全球舔屏
1702886801# #看着像悬疑，恶女，女反，不像是警察，下个饼？
1704512948# #人家都有新剧了，你的呢？还不进组，欠粉丝这么多年的剧呢，别逼骂
1703086928# #唐泽雪穗！
1695637199# #台词越来越好了
1693740625# #不感兴趣，有这时间不如给⛰️配音白眼
1703128028# #哦莫哦莫，这脸这身材这肌肉线条舔屏舔屏舔屏
1700823835# #还有四天，如意就来了
1696065153# #刘诗诗东方淮竹很喜欢第二张很有神性
1701404448# #不知道的看一下刘诗诗任如意
1695815927# #导演说刘诗诗演出了3分真7分假反正我一直是被刘诗诗的演技征服的，两个优秀的人碰撞出不一样的火花，刘诗诗遇上了懂她的导演，希望刘诗诗和导演能再次合作。
1704194248# #好颠的精神状态，肯定不是我李挖光能有的doge
1703472783# #竹业篇滤镜黄不拉叽灰不拉叽，还雾蒙蒙的，基于杀青滤镜我调整了一点，也是黄色调，希望剧方能参考，正片别是杀青特辑那种黄雾蒙蒙的滤镜。
1702910961# #任如意殉国刘诗很好诠释了什么叫戏烂人不烂，任如意是最好的。
1702724723# #我又可以了，感谢邓辉，他才是最支棱的，通过他保住自己戏份间接保住刘树树的戏份。刘诗诗任如意
1701686716# #竹业明天杀青特辑打call打call
1700897903# #一姐要溺爱职黑了吗？已信莫辜负舔屏舔屏舔屏舔屏
1704353271# #正式封保持水平，别诈pian谢谢
1691694836# #有一种靠八字命硬闯娱乐圈的美
1702988220# #我推荐为2023微博QUEEN，希望她如满天熠熠星辰耀眼，永远发光永远心怀热爱。谁是你心中的微博KING和QUEEN呢，一起来推荐吧~戳&gt;&gt;
1701069697# #这个妹夫忙着找老花镜呢，别等他了，让让老人
1703427767# #老树断层第一
1700071915# #好爽
1701233648# #这才是真朋友有些敌蜜假朋友别再联系了
1704684399# #这个化妆师也且来！真好看紫色果然有韵味舔屏，没难鼻涕真好
1701650427# #原来叫远舟的都喜欢当小偷哇
1701346867# #一念关山替身马赛克刘诗诗任如意看一下我们任如意超帅打戏
1702359468# #接悬疑吧求求🙏，高智商反派女主
1703742096# #树姐🐮b
1696057202# #报一丝
1697848444# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹掀开红盖头的淮竹
1700464549# #刘诗诗刘诗诗一念关山上班生图
1704023835# #竹业不渝超话刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹那一天，我见过的最强剑客，握起了天下间最强的宝剑，却早已失了剑心。（跨年最后一波福利，直出，之前不小心收到🦖的了，剪一起发）
1691407227# #这是横店吗
1703513668# #刘诗诗任如意实绩空瓶图，需要自取。(有偏差的地方已更正）
1702802163# #耗子药我鼠鼠要直播了，看豆瓣er预测如何doge
1703647081# #好美的人好漂亮的妆，口播又更好了
1696906158# #看我宁直播帅图，看不迷死丫头你偷乐
1702389886# #一个预告
1697452523# #我去，刘诗诗好美
1696921546# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹好美好灵的淮竹
1690856808# #这个造型好看耶！70这个月要抬上来了吗？
1703066701# #也看看合作对象吧刘树树
1701264369# #一念关山破万全员跳女团舞今天直播，让我想到了冯小刚在酒桌上让苗苗跳舞。一些男的就喜欢把自己的一些酒桌文化带在每个角落吐，刘诗诗都说可以跳剧中开场的舞蹈，非逼着别人跳女团舞，而且已经表示不喜欢拒绝了，还逼。怎么弹幕刷让男的露腹肌，那男的咋不愿意露。男凝女生，恶臭味隔屏幕都被薰到
1702124207# #转首页笑话一下，哈哈哈哈哈哈哈哈哈哈
1695722804# #演得真的很好，狠狠共情了苦涩
1702130363# #大家好，我是李挖光。
1701859987# #已吻上，梦一个舔屏
1701138041# #泥塘活了
1697805685# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹搬运不能抹水印。视频找不回来了，将就看吧，我手真欠允悲
1700359110# #欢迎收看大型连续剧《婚纱店的诱惑之会消失insstory》。。黄毛胖丫头造谣成性每次回旋标，自打嘴巴事不少做笑cry
1701163015# #早知道我晚点剪视频苦涩
1704366776# #衣服发型妆都P好
1695378334# #首登银十，居然是KOLON推的，吹起来哇
1689224679# #姐，离开春楠你真的好美
1700468772# #内场真的，又缝了，这造型师到哪挑出这么丑又不合身的衣服。穿不了就别选，小吊抺胸不行吗？再者还有那么多不用缝的衣服
1689663598# #说一千道一万都不如换了一个春楠有力，下一步就是刘诗诗该换造型师了
1703127489# #很文艺，像清风
1694252777# #你好会说，而我只会说异域美人
1704034935# #再看早期路透，还是不能忍，女主穿的跟群演差不多质感的衣服，发包僵硬头发乱，给女主建议的衣服造型跑女配身上，王一栩之前扑街活该爱你，希望剧里少出现，最好没有
1690628474# #老婆真美，记得如意原音，还有别用春楠及他工作室的人了
1701505433# #豆瓣锐评“掀轿”。。不愧是任如意老公姐，创造内娱新词“掀轿”
1694319895# #台词这么好不要命了，去给如意配音！！！
1702129986# #好可爱，好想逗弄她怎么回事舔屏？
1696462481# #搬运注明来源或者水印，我哪次生气不是因为被抺水印且没注明出处，有些不要脸的抹掉水印后还加上自己水印，尤其又骂又偷好自为之可爱，不想再因为这种事情浪费口水
1692764711# #化妆师有陈陈的感觉，是陈陈吗？
1697365441# #刘诗诗狐妖小红娘竹业篇刘诗诗白衣战损哭戏路透
1703983407# #刘诗诗狐妖小红娘竹业篇刘诗诗东方淮竹狐妖小红娘竹业篇逐渐犯困的淮竹（跨年福利
1695533642# #刘诗诗东方淮竹再一则百万福利dogedogedoge，美不美.ps不许抺掉我的水印顶顶顶
1702356854# #喜欢这个，好喜欢这个！她真的好适合拍文艺片，不知道能不能接一个本子。好像悬疑也好适合，最近不是传悬疑本吗？
