1696436193# #做银亮色的梦单依纯的生活画簿
1687842763# #爱听DNA新歌的人有福了鼓掌
1703261629# #今天没在现场听到的现在赶紧来听听。
1688954400# #我为电视剧《我的人间烟火》演唱的回忆主题曲《想你时风起》今日上线。轻飔脉脉，想念翩翩。在诉说里为相遇和离别写下温柔的伏笔。我的人间烟火。。QQ音乐：
1699624572# #天凉加衣，风起听歌。双11惊喜夜
1690449531# #近日心情四则白眼
1700923577# #出发去做主线任务！单依纯的生活画薄
1702960093# #愿平安🙏🙏
1703322777# #单依纯的生活画簿之一日咖啡师体验
1703484000# #热爱前行，温暖奔赴。12月31日19:30，一起来更好2024江苏卫视跨年演唱会，共度跨年夜！微博跨年狂欢节
1691831051# #这个夏天看了很多次周庄的日落，唱了很多首好听的ost，还通过节目挖到了好多的宝藏剧，最重要的是能认识到许多的新朋友，和大家组成一个好玩的大家族，这件事情不止让我幸福一个夏天。。。要开始一段新的音乐之旅其实我依然是紧张的，但有打开我欢乐开关的Tia姐，合作过多次见面就倍感亲切的夏哥、毛哥，
1696089895# #山河锦绣，盛世中华心庆祝新中国成立74周年
1704038830# #2023的最后一个舞台，我们2024继续唱，继续爱！江苏卫视跨年你好2024
1702038603# #1230澳门见✌🏼
1692239400# #初心如歌，山止川行。。第30届东方风云榜音乐盛典，8月28日邀你一同开启。
1700816100# #尖叫之夜倒计时1天官宣阵容11月25日，我会在2023爱奇艺尖叫之夜唱什么歌呢🤔
1702824299# #是雪的问题，应该不是我的问题🤔。单依纯的生活画簿雪天照轮到我了
1689991374# #这场“封神之战”主打反转，观赛的心情主打反复doge战至巅峰
1695364200# #9月26日，一起共赴音乐嘉年华。微博音乐盛典第四日持续官宣阵容
1687691153# #在夏天遇见，在夏天告别一人一张青春校园主题照
1701404635# #1223。杭州。期待见面💜。单依纯PleaseMe演唱会
1698304972# #致敬英雄航天员！祝贺神十七发射圆满成功！
1690020864# #妈妈是我人生中的第一位，也是最重要的一位嘉宾，因为她是第一个教我爱，教我如何跟这个世界相处的人。长大后我经常留给妈妈的都是我离家远行的背影，这首《萱草花》，希望是我种下的一颗陪伴的种子，距离虽远，但心会很近。剧好听的歌
1699495200# #“多少春秋风雨改，多少崎岖不变爱。”。很荣幸能重新演绎Beyond乐队的经典作品《情人》，盼爱能带我们跨越阻碍，团聚此刻。BEYOND成军40周年纪念专辑。。QQ音乐。酷狗音乐
1693487293# #小美女小帅哥阿姨来咯一条plog告别八月
1691813133# #踮起脚尖，勇敢爱。剧好听的歌
1695736819# #
1691229600# #今天的“青春局”，谁说00后看过的经典少？中华小曲库+18G冲浪小能手，就没有我接不上的梗~剧好听的歌惊喜合唱舞台剧好听的歌
1695567096# #🔵🔵TD
1693228176# #你们在的地方下雨了吗？
1691914895# #随机迷倒几个女大学生妆点心动。
1692692792# #💜七夕快乐
1692784846# #以爱谱乐，音彻天地之间。10月4日D.N.A音乐节，我们佛山见。
1691550091# #沧海一粟，只愿与你依偎。很开心演唱七时吉祥沧海缠绵曲《余味》，一起领略这场缠绕七世的宿命轮回，用歌声找到爱的余味。
1689074852# #再看一看周庄的日落🌄微博手机影像年
1702009429# #🔊🔊🔊。加场！1222！
1698664346# #公主殿下请看。单依纯的生活画簿
1699156895# #双11惊喜夜嘉宾全阵容&nbsp;&nbsp;听说本次30&nbsp;
1694678406# #我的秋冬底妆优选，水润一整天，和卡粉说bye。。全新兰蔻水粉底。
1695005087# #勿忘历史，吾辈自强！
1701860106# #其实是眼睛里跑进了一片森林🌳。单依纯的生活画薄快乐冰雪季
1691928000# #七时吉祥沧海缠绵曲《余味》上线。句句不提憾，句句皆是憾。。从此身边无你，独留余味。。🎵QQ音乐。🎵酷狗音乐。🎵酷我音乐
1697975423# #用时三年，顺利赴约！。打卡星能量
1703237401# #茂盛的生长，那是生命的感召。
1696079983# #🟤🟤TD单依纯的生活画簿
1703296800# #不需要任何浪漫的言语，你我有着同样的默契，只要你相信，每个坚定的选择都会被宇宙证明。电影一闪一闪亮星星。酷狗：。
1695731922# #今天是⚪️⚫️TD。微博音乐盛典
1703779323# #今日份小卡📸单依纯的生活画簿
1702397682# #祭奠同胞，逝者安息。铭记历史，珍爱和平。
1703349970# #22🎂
1693017031# #战至巅峰2半决赛开战《又遇通天边路》战至巅峰
1704038770# #2024，分享新鲜事单依纯的生活画簿
1700818596# #每个孩子都蕴藏着无限潜能，让我们共同响应倡议，携手为儿童打造一个“童享友好”世界。让每个孩子都能在关爱和温馨的世界里茁壮成长，追逐梦想。让我们共同携手点亮儿童未来
1688782831# #战至巅峰2开播战至巅峰
1688617910# #分享图片
1688688272# #缅怀先烈，铭记历史，吾辈自强！
1691805602# #战至巅峰2半决赛席位赛兵来将挡，水来土掩，无论是水友赛还是半决赛席位赛都见招拆招努力战至巅峰
1692413140# #战至巅峰第三赛段评级有LOVE，不管顺风逆风，团战输出不停战至巅峰
1703344500# #
1700638672# #🌆单依纯的生活画薄
1702605795# #电影非诚勿扰3同名主题曲MV总说“非诚勿扰”，可在真爱面前，表达爱意的方式可能就是一句句关心的唠叨和一次次温暖的打扰。。很高兴能演唱电影非诚勿扰3的同名主题曲，一首温暖的歌送给温暖的你们。12月30日，让我们一起笑着跨年，笑着告别。
1690604440# #战至巅峰队越级挑战SCARZ忙打call忙偷师，应援团就位，梦之队——稳！战至巅峰
1699097367# #进货的一天🚛单依纯的生活画簿
1688118445# #单依纯超话拍了拍相册，掉出两张🧩。一条plog告别六月
1695997001# #刚刚我淋过的大雨……央视中秋晚会
1692455439# #今天晚安单依纯的生活画簿
1688303656# #做人最重要是开心今天很wow
1700452339# #🥛🥛🥛干杯！单依纯的生活画薄
1696903800# #虎鹤妖师录插曲《羽化》上线。离人故梦，牵挂难藏。。你指向的晚霞，是最美的风景。。。QQ音乐。酷狗音乐。酷我音乐
1702214095# #冒个泡🫧。单依纯的生活画簿2023不断更
1687658401# #新农人用数字化的方式展示美丽乡村，让更多人看到乡村的美食美景，点亮乡村幸福生活。和我一块参与公益答题和校趣跑
1702720801# #站上舞台，努力用歌声在人海激起回响，。是你们的热烈回应，让我成为舞台上瞩目的一颗星。。佩戴星宇系列星引力钻戒，。天然钻石的光芒在指间绽放，如星星般璀璨。。而夜空中，也有那颗专属于我的星星，。在音乐之旅中始终陪伴，见证我的每次闪烁。。以你之名定制星光blingbling周生生
1688810584# #有期待终会又相见。剧好听的歌
1703260806# #
1691645400# #9月2日，诚邀您来。剧好听的演唱会阵容官宣剧好听的演唱会
1703124002# #再见往事，奔赴未来，希望伴随着歌声，陈安、陈乐的向日葵花海会再一次盛开。电影怒潮正在热映中，一起做苍穹之下最勇敢的人。
1689386400# #成功上车教练的宝宝巴士！战至巅峰
1687613326# #今天舞台看了吗？爱你单依纯的生活画簿夏日降噪计划
1687601401# #旅途太长，说爱的时间太短。剧好听的歌
1698643098# #终于来毛雪汪做客咯！朋友聚会，快乐加倍耶耶耶
1703167664# #我好期待，你们呢🥳。单依纯的生活画簿
1690626519# #和毛老师再度合作努力唱首好听的歌，你可别哭啊。剧好听的歌剧好听的歌限定联名舞台
1695130219# #“单单”来迟。单依纯的生活画簿
