1691256721# #这两天在疯狂带娃中…。（新做的美甲💅那个黄色的腮红像小龙虾没咂干净的气💩）
1691497084# #拍完回家咯～整理一下等下就去剪视频哈。p1-3是橙子酱的面包店我们聊了好久好开心呀（还拿到了还没有上架的手机壳支架✌️）。p4是我准备去德基拍摄正在找焦急厕所结果被gucci的sa认出来发微信叫我去店里送了我七夕礼物哈哈哈哈。p5是我今天随手走进去的一家店冰淇淋好恰店主还送了我西柚冷萃喝像朋
1694610263# #每次回家都有这么一遭明天给大家整理衣服🔗！
1700131222# #今天打卡南工大咯！小宝好可爱很开心打call但是喂小猫被抓了二哈打了五针痛死我了（但是没叫）医生阿姨夸我坚强哈哈哈哈哈哈！
1687867577# #旅游穿的衣服🔗小帆今天买了啥
1691134770# #是谁收到了杰伦的票原来是我送花花
1702185607# #机智的女人就是平时出去玩周末这两天躺在家。给大家看看这礼拜都干嘛了开学季。和大学舍友聊了一下午吃了一下午。搜寻到啦很多圣诞气息。万象天地局部降雪❄️哈哈哈哈哈。闪亮的西瓜看完了心里空落落。这个牛肉粉特别好吃刨冰也是！。二刷西塔老太太怎么变得这么好吃了？？还是说景枫那家不行太开心
1693582734# #今天去苏州看婚纱了宝贝们泪本来想更新的砍价砍了好久哈哈哈哈明天见了！！
1697967190# #第二站！南财打卡成功！🏫遇到了好多特别可爱的小宝到时候视频见嘿嘿幸福的晕倒抱一抱（我开始剪视频了！今晚更新档口会迟到但一定会到！！）
1704187258# #在剪啦今晚有视频看嘿嘿
1700986549# #点了两杯拿铁！今天我要淦两个视频！！
1701003854# #难得的全身都有🔗火速整理了小帆今天买了啥
1703570219# #因为昨天睡前看了薛之谦吉隆坡演唱会的微博我做梦梦到演唱会他握我手了真实到我早上起床发现是假的把czy打了一顿然后在这里猛翻相册好想哭啊泪泪
1696646643# #天选之子…赶回来补拍婚纱照外景结果下雨了而且只有今天下！
1701763920# #小土豆🥔跟人店门口圣诞树🎄一样高怒骂
1699769996# #今天在整理旅游回来的东西家里太乱了然后发现我的毛毛帽可以摆摊了
1693037909# #p了三张给大家尝尝鲜。我还在等他们给我的精修成片555
1698164829# #衣服🔗和美甲💅细节图！最近实在不知道还有啥要整理你们直接问我再来添加！
1689354756# #
1698913918# #第三站！🏫。出发前最后一件事做完啦！。对啦今天攻略发不了啦明天发哦🕯️。（vlog我看情况发不发哦）
1687350725# #今天是半年内最崩溃的一天了感觉心脏都要到嗓子眼了生病
1690361023# #哇靠商务座咋那么宽敞
1692694059# #出门过七夕咯猜猜czy准备的啥吧
1701086050# #我再也不喝库迪了我几百年没失眠了拜他所赐今天早上六点多还没睡着作揖。但是我跟你们说这个茉莉奶白家的粉末针王特别好喝！！。我现在要去洗澡了感觉好困哈哈哈哈
1694698061# #小帆今天买了啥姐几个又来看看穿搭啦图5⃣️美甲也是你们问的～
1694752337# #睁眼第一件事就是买奶茶翻遍全南京所有门店终于找到有杯垫的！等了两个小时才送到泪我还想要不锈钢杯子到底哪里有泪泪
1700496721# #是谁的小猫这么可爱呀～～。晚安大家！
1698849220# #延吉&amp;长白山穿搭7选5！！
1702818129# #终于来了！！吃的特别饱我现在开始剪等俺
1701179580# #跑断腿了攻略拍好啦明天出～～睫毛教程也拍了最快明天发小号趴。今天休息一下勿蹲啦开学季。累到到家就睡着了泪泪
1689263007# #纯享版
1699282947# #这次是不是超快！小帆今天买了啥
1701264926# #九个小时…💔。终于剪完了没人说过做自媒体还要会搞这些呀。装b太累了哈哈哈哈。等会小抖见～
1693417513# #还几天没发汇报咯🫡。p1-2新染的头发正面照💇🏻‍♀️。p3大树小吃凉面香香🍜。p4特产站队！🎁。p5今天晚饭吃酸奶碗🥛。p6老门东芋泥碗🥣好贵啊这么小一杯24我晕。p7最近收到的最喜欢的礼物！（小宝在烟台海边捡的贝壳🐚给我做的相框照片是我在青岛拍的）。p8橙子酱家的新品美味😋。p9关
1692282785# #🥁大理。我刚从古镇回来今天更新哈我正在剪小
1698402493# #宝宝们今天视频审核通过但是发不了啦真的不是我想请假泪一早上起来就在剪了只能明天见咯微博更新一期plog看看～。p2在陪czy买鞋子他真的可烦人。p3我问了黄牛说25一颗结果排队十分钟就能买到谁再找黄牛！。p4时隔好久又在高丽苑吃撑了。p5一睁眼到了好多快递！（我下个月去延吉玩啦姐妹们）。p6谁家
1695047762# #耶！新的突破（以后我一定勤勤恳恳更新哈哈哈）今天🎁两个52！
