1701581874# #tm的笑死当韭菜当傻了爱慕五月天假唱鉴定
1699176375# #新买的电视投屏一卡一卡的，原来是定格动画
1704457017# #电影年会不能停吕子乔坐酒吧的味还是那么正宗！
1696399588# #一个歹毒却正义的祝福：爹味♂jj爆炸，爹味♀一个月来30天🐟精
1696823743# #开篇第一句我就受创
1704727269# #电视剧莲花楼超话笛飞声：我的娇夫李相夷心
1689596963# #这么萌好意思当反派？
1696601652# #以前：若想念是凋谢的云/乘着风也飘向你/。降落在你耳边低语/像沉默的打字机/满怀热烈情绪/写不出会别离太爱你。。。这是什么文盲作词？。现在：若想念是凋谢的云，。乘着风也飘向你，。降落在你耳边低语，。像沉默的打字机，。满怀热烈情绪，。写不出会别离太爱你。爱你爱你爱你好好听好洗脑
1694426069# #李佳琦就直播言论致歉有没有一种可能，李收了花西子对家的钱🙊
1691498332# #乙女游戏超话玩一天蝶毒结果就是被三绑走创死了，果断弃
1698771258# #中国表演看北影，世界表演看师范微笑
1696947921# #那么问题来了，我怎么样才能有一万块的工资？
1702993316# #我觉得在社交场合内向挺好的啊，侃侃而谈的“我来考考你”的油腻味难道很令人舒适吗？
1695612788# #凌晨两点还要用光刺我的眼睛伤心
1699585716# #天空一声巨响，本宫闪亮登场
1695394527# #分享图片
1698060412# #最近很喜欢妈味套装，有一种我要干死你和你有本事干死我的气势感。
1688129073# #傻逼玩意给我原地爆炸吐吐吐
1693214667# #燃冬前面：还可以。适合我这种不想上班的人看，挺逃避现实。。狗熊出现后：这很难评，我祝他成功吧。
1698383651# #毫无意义的内卷只会带来大量人力物力财力精力的浪费。是不是不发火把别人当傻子啊
1697086824# #以闪亮之名超话🧚‍♀️出现此美瞳纳入年度最佳。
1704292698# #生活是一个缓慢受锤的过程。但是谁在锤怎么锤要看清楚，可以报复，可以痛苦，但不能麻木。
1699279449# #为什么世界上会有签到这种东西！我恨！
1694531347# #李佳琦就直播言论致歉突然想到一个，会不会是李收了某些势力的💰来打击国内彩妆市场？当然国产的某些品牌确实在割韭菜🙊
1701685526# #分享图片
1704288248# #联名的风还是刮到了我这里，有点爱
1695122643# #花西子发声花西子的声明真的很像ai生成的呢爱你
1694619864# #以闪亮之名超话耐看的一套
1698315988# #进狱系男主播
1691326758# #苏妲己像fbb，这是可以说的吗，不过她的红色睫毛直接出戏火鬼王笑cry
1701529134# #pdd是你把我的信息卖给了dy还是输入法背叛了我？(;｀O´)o滚
1696956728# #“信达雅”
1696255197# #来过。。。物价劝退
1691998745# #这个可以，就是太贵了，有点吃艾丝可琳的感觉
1699722115# #我得到的不多，但是我付出的也很少。
1697200983# #今天是你的高冷学姐~
1703516882# #不用到处向别人证明自己，因为不是所有人都值得你浪费精力。但是，你要把真正的精力用在你的使命上，和别人无关，和良心有关。先是对得起自己，再是对得起信任你的人。
1688008723# #特喵的，破车一个月花一千多占本宫生活费的一小半了都你配吗？
1703596585# #在百度教育网页版被迫开会员，关闭自动续费既没有百度教育app也无小程序，苹果ID也查不到订阅记录。结果是需要在百度汉语取消订阅。这种人血馒头你是怎么吃得下去的？百度
1695483465# #天工你要不要看看你在说什么啊天工
1698562262# #没有午睡却放假休息的我belike死鱼一条。
1698595806# #陈丽君真的帅得我做梦都会梦到泪
1704534925# #形容气泡音：我去。嘴里有摩托。
1701792853# #豆包！你的回答还能自带换气声！我封你为继ChatGPT之后的男宠二号舔屏
1700302112# #那年在高速上堵着，油耗没了流泪叫救援又来不了。遇上一个路虎的小姐姐，她下车来问我怎么了，我说我没油了，走不了了。小姐姐说别怕，她掀开机盖咔咔一顿拆，好像在油管那里放了差不多10L汽油给我。说可以撑到前面服务区了。到服务区遇上了小姐姐也去加油，我才知道原来小姐姐的油箱也见底了。我给
1690723366# #斯皮尔伯格:peaceandlove……
1688142249# #applevisionpro苹果首款头显还得是你啊
1693054335# #以闪亮之名超话彩色女孩打call
1699193849# #我是i人，或许是e人，但我不是傻子
1695176287# #深夜2点逛淘宝：小缎带sp真漂亮！。上午10点逛淘宝：这是什么城乡结合部小短裙。。。
1695574175# #:大专可以升本科，本科却升不了大专，这下知道大专的含金量了吧
1696346068# #再听bts，还是那么青春洋溢
1703047635# #所有的性格里，懦弱是不值得出现的。它既在讨好别人，展示出所谓的无攻击性，又在敷衍别人，对待别人所谓的好，是来自于对他人和自己的不信任，恐惧。同时也辜负了自己，使人处于一种怨气冲天又假装忙碌的自我欺骗和感动之中。
1697130524# #我就说，学习可以带来好东西（瞳孔地震
1704272470# #薯片届也是卷起来了
1689001204# #来过，很凉爽，很美，下次不来了，包身工都没这么累开学季
1698052035# #年轻人，加油呦，卷完这一波，只有下一波，下下一波，下∞波啦
1701630292# #以前：哎能不能别推cbn了审美疲劳。。看完小陈不憨：(●'◡'●)春暖花开，奔你而来
1702545812# #这个月发了很多💰，感恩！
1701428758# #消费降级之💅🏻
1696954242# #卸载抖音后我的状态：读书的拟人最美丽，读书的拟人最优秀，读书的拟人最通情达理。
1702644549# #路边摊上，我问口水鸡怎么卖，老板娘说三十块一份。我指了指鸭肉，说这个呢？回也是三十，也可以拼着卖。我马上答应买一份。老板娘边打包，我看着旁边藕片，遗憾道也想试试，但是一个人吃不完。听罢老板娘爽快说帮我夹一点，于是我额外得到了半碗好吃的藕片！感恩！今天吃晚饭的时候坐公交遇到老同事，
