1697277605# #
1703523968# #吉隆坡的夜色勾勒『天外来物』的轮廓，为2023的漫漫旅途书写最终篇，感谢每一位谦友今年的奔赴，2024新旅程，下一站，新加坡站，开始找你了老师爱你！
1693757918# #星际执行官来到沈阳解锁了“限定新皮肤”——东北大花袄偷笑两日空降，不舍言离别，下巡定再见！下一站，成都走起举手.
1691942647# #从曾经的“终极梦想”，到圆梦后泪洒鸟巢的“轻舟已过万重山”，十八年的执着与努力，构筑成这圆梦的时刻，承蒙关照，感谢这三天到场的每一位，感谢你们陪伴一路同行，北京鸟巢，下次一定会再见！兰州，我们一周后见！
1699112481# #是想念，是奔赴，是履行约定，也是弥补遗憾，“天外来物”再次来到成都，感谢每一位新朋友、老朋友能赶来与相见心承蒙关照，下一站，温州，开始找你了！
1695203848# #光影由虚化实，层叠交错构筑星际遐想，。曲调唤醒感官，音浪翻涌燃起无限热情，。谢谢大家一路的陪伴与支持.心。薛之谦年度推荐歌手薛之谦天外来物年度推荐演唱会
1692000434# #薛之谦鸟巢演唱会收官鸟巢三场，圆满收官，感谢三位老师的重磅加盟，对于星际执行官来说，这是一个全新的起点，一定会再次相见，承蒙关照～
1694253605# #
1693726894# #幕后vlog一则📷一闪一闪亮晶晶✨为了维护发光的“触角”，星际执行官也是做出了努力的doge薛之谦超话
1698817525# #幕后vlog一则📷想要当好一名侦探可不是容易的事偷笑来看看薛神探解密的幕后故事吧～
1693824315# #被发现咯再来一遍打call
1690778510# #旷野草原，自由肆意，JOKER来到，以音乐唤醒盛夏的躁动，呼和浩特恼包音乐节下次见咯.👋
1694345316# #成都稍有遗憾，但他想要与你们相见的心从未改变，约定好下次，再来成都，我们一定要再见到彼此，且一定不会很久.心
1692254233# #跳跃的音符，牵动内心的向往，10月22日，淮安·龙宫音乐节，与你奔赴暮秋时节的音乐之旅赢牛奶.
1690129436# #任事物干渴，都褪去颜色，只有你是…蓝色、银色、绿色、黄色、红色、五颜六色偷笑星际执行官的多巴胺发色安排上咯全力以赴
1702220848# #掠光捕影，重塑未来时序，三日空降，蓄力无限可能🪐️承蒙关照，感谢来澳门赴约的你们，下一站，三明，开始找你了努力！
