1697095728# #都会过去的，烦躁的心情，。。还有努力也没用的事。
1693421821# #没有什么是过不去的对吧，人要一直往前看，过去的就让它过去吧，总会有好的那天的
1688578811# #过年时拍的清一清
1704378809# #好好呲的麻花
1701625933# #宋祖儿折腰。宋祖儿可以凉，但是要凉在折腰之后可怜
1690711850# #xxxHOLiC是什么憧憬
1699708995# #这也太美了吧！！！！
1702530264# #新代言！拍的好帅！
1693539807# #折腰。如果宋祖儿真的有问题，能不能播完再封杀，我这么多年第一次期待一部剧的播出悲伤
1701446778# #啊啊啊啊晞的粉丝见面会在南京，鱼粮的话剧（爸妈也去的那场）也在南京！！！啊啊啊啊啊恨自己不在南京上学，我今年去了两次南京，为什么不让时间巧合一些！！！泪
1689346428# #这期密逃绝密医院的柜子和第五人格的好像哈哈哈哈，这么一代入一点都不怕了，那个戴头套的可以想成爱哭鬼联动的杀戮天使的那个皮肤艾迪dogedoge
1696514107# #每次要离开家都很难受😣
1691423143# #问:有几个小狗勾
1701846274# #这只🐶每次来都在睡觉💤羡慕。这只也是好舒服。学
1696675034# #有一天我就想一直游，我想一直游到海水变蓝。
1704128075# #想谈恋爱，都敏俊那种类型的，悸动的心啊
1704854058# #咱也是一次性都过啦
1700191879# #买了双鞋六天了还没发货微笑
1704820020# #真的好喜欢飞机起飞时的超重感，感觉特别特别舒服。但是很讨厌下降的时候，耳朵特别特别疼😣
1692846534# #AllmylifeI'vebeenwaitingfor。I'vebeenprayingfor。Forthepeopletosay。Thatwedon'twannafightnomore。There'llbenomorewars。andourchildrenwillplay。oneday泪
1704820114# #二十几岁没谈过恋爱这个词条想干嘛悲伤
1689005296# #刷抖音看到南方人不理解，山东人才懂，真的好喜欢吃蒸豆角色色
1695990897# #你真的，每个省都没落下抱一抱
1693767740# #焦虑的睡不着泪泪
1695554765# #秋天也和你一起。
1701725989# #再也不喝咖啡了
1693894658# #刘亦菲我真的吃醋了我吃醋了啊啊啊他亲到了刘亦菲酸酸
1693366876# #好运来锦鲤附体锦鲤附体锦鲤附体
1696571659# #一周没见过太阳了，整个山东省都是这种阴沉沉的天吗晕从学校回家一路都是这样的天，在家也是，回学校这一路也是
1703336238# #为438万考研人加油加油，明年的这时候我就考了，可现在我连想考什么专业都定不下来，一想起这件事就焦虑的想哭泪泪泪
1698207858# #曾舜晞到达长白山DNA狠狠动了！！！泪泪泪泪泪
1699803583# #好饿啊，就不该为了减肥只吃一点泪可是现在刷完牙了再吃零食还要重新刷而且宿舍已经熄灯了舍友睡了不能刷了可是好饿啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊但是吃了不刷牙牙就坏了啊啊啊啊啊啊啊啊啊啊
1694759951# #教资必过求🙏锦鲤附体
1704449930# #恍惚间回到了大一
1700988260# #抱一抱
1703147270# #这点数算了八遍终于最后是零了干饭人
1693394884# #我好难过😔
1689443987# #啊啊啊啊啊啊啊啊我的白月光，我的汤小米泪在屏幕中竟然能看到你，哪一集我去看！！！
1689318660# #这学期成绩出来了，和奖学金无缘了，下学期加油吧泪
1687801929# #关关难过关关过。
1700986124# #看到了秦昊老师和杨超越的那个综艺切片，蒲熠星画了秦昊老师演的吴邪（我就是看沙海喜欢上秦昊老师的，觉得他特别特别有魅力，演技特别棒，把邪帝刻画的入木三分，用演技证明了帅是可以演出来的，真的好喜欢秦昊啊啊啊表白，他演的什么电视剧都好看，而且秦昊本身应该是非常喜欢他塑造的吴邪这个角色的
1691674341# #打卡一下
1704465678# #还有另一个朋友也是给她朋友圈从来不我她还说我是她好朋友另一个和她关系不好的人她都给我要做一个冷漠的人呜呜呜呜呜呜泪悲伤悲伤悲伤悲伤悲伤
1703913818# #告别2023写给自己的话过去一年平淡也幸福，新的一年更努力，加油，家人都平安健康
1703348577# #我真的好想能够回到过去
1693217334# #耳机突然坏了，笔记也忘拿了，水逆退散！！！
1703256161# #郑晓龙甄嬛传完整版在准备了到时候拭目以待，剪秋到底有没有翻食盒开学季开学季
1692786179# #我的错，希望能留下来，留在安委会，保佑保佑跪了跪了🙏🙏
