1694099724# #转发微博
1703928628# #心心可爱可爱
1691592547# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼。恭喜成毅《莲花楼》破万！！！给力给力给力。恭喜李莲花、李相夷，恭喜！。莲络人和IE就是最棒的！！！好剧好角色值得被更多人看见！！！。。感谢每一个人的努力和支持！苦涩苦涩苦涩。今晚我们接着创高峰！！！继续加油！！
1704598095# #成毅超话成毅莲花楼cy成毅李莲花李相夷。我们追随的不是艺人、不是演员，是成毅本淇。我们守护的，是一个为实现梦想，绝不放弃、绝不妥协、坚守底线的逐梦少年。
1694090766# #我正在玫珂菲彩妆大师的直播间参与福利抽奖！帮我助力即送你抽奖机会！直播标题20点成毅空降直播间可爱可爱
1692324671# #成毅超话成毅莲花楼cy成毅李莲花李相夷。喜欢成毅刻在骨子里的教养，印在心底的纯善，浸在眼底的璀璨，成毅，唯毅不可替代！
1702194153# #日行一善超话每日一善阳光信用我今夜跑尽这空无一人的街道，明天，明天起来后我要重新做人，我要成为宇宙的孩子，世纪的孩子，挥霍我自己的青春。
1700490324# #转发微博
1703254696# #我获得了微博之夜美好卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1689956601# #莲花楼定档7月23日红衣束发携剑来，剑意飒沓平恨事。这个暑假，跟小珂一起来看李莲花探案！转发本条微博，7月24日随机抽取三位粉丝送爱奇艺会员月卡～陪小珂一起畅快追剧！
1700914597# #恭喜莲花楼！恭喜成毅！鼓掌鼓掌打call心心
1704247761# #转发微博
1700229946# #转发微博
1691193062# #上到玉楼春的房间外，李莲花很快察觉木槿花开得很高，果然在木槿花下挖出玉楼春余下的尸体。原来玉楼春死因并非人杀而是蛇毒。现在的问题是：碧凰一人做不来这些，宾客中哪一位是同党？可当李莲花和方多病寻到碧凰时，她竟已悬梁自尽。众人猜测碧凰杀人又畏罪自尽？众人齐聚，方多病调转玉楼春屋内储物
1691555821# #莲花楼我的评分：星星星星星星星星星星。莲花楼太好看了！成毅莲花楼演技好棒，打戏行云流水，身身轻如燕，眼神戏好细腻，哭戏很棒！原音台词也好绝，天选李莲花！每次都能给粉丝带来不一样惊喜的表演！很棒！
1702528665# #过去的事，就让它过去吧，我们错过了昨日的日落，再也不能错过今日的日出，保持平衡的心态，以最美好的心情来对待每一天，每一天都会充满阳光，洋溢着希望。
1700146391# #成毅南风知我意cy成毅傅云深。前有古人胸有成竹，一幅姿态万千的竹便跃然纸上；今朝成毅深刻我心，我却无法勾勒出成毅万分之一的灵动；我恨自己没有天赋，悔自己没有勤学；悲自己画不出你的神韵，叹自己写不出你的美好
1690905572# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼。成毅的演技充溢着温柔的味道，像春之气息以阳光为轮廓。
1691337972# #李相夷帅气出场！打call打call心心
1695380369# #转发微博
1693919794# #底线杀青下班！
1704119197# #晚上好！可爱可爱
1702101256# #成毅狐妖小红娘王权篇cy成毅王权富贵。成毅既有阳刚之美，又有柔性之美，是演技与颜值的兼备者。成毅莲花楼|李莲花|李相夷｜狐妖小红娘王权篇｜王权富贵
1692025229# #王公公见国师竟有意在此地选址大为惊恐，连声说此地不祥。李莲花要杨昀春替他查一查工匠四人底细。发现单孤刀用这四人是为找母痋。莲花才道原来母痋就在极乐塔中，单孤刀安插他们入宫就是找极乐塔的。想找母痋，找到极乐塔是关键。次日一早，国师出发入内宫选址，莲花自想出门随行，单孤刀早等在屋外。
1703951658# #成毅超话和成毅点亮微博之夜cy和成毅一起定格2023。喜欢成毅刻在骨子里的教养，印在心底的纯善，浸在眼底的璀璨，成毅，唯毅不可替代！
1701791328# #成毅超话成毅南风知我意cy成毅傅云深。喜欢成毅刻在骨子里的教养，印在心底的纯善，浸在眼底的璀璨，成毅，唯毅不可替代！
1699608560# #转发微博
1700050056# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放成毅成毅莲花楼
1690126860# #李莲花从噩梦中醒来，往事已远。最近毒发越加频繁，无了大师算他最多再活十年，今年已是大限之年。只是必须寻到师兄下落，他要去一趟玉城。。被抛下的方多病耿耿于怀，带着旺福和离儿追踪而去，落脚小棉客栈。方多病跨进大门，就看到了带着“狐狸精”在客栈大堂吃面的李莲花，顿时新仇旧怨上头，两人较
1690499920# #goodgood心心
1695435659# #【饭修】小甜宝成毅李莲花李相夷
1696765589# #狐妖小红娘王权篇狐妖小红娘王权篇我来了，我来了！今晚太刺激了！拎包入住！可爱可爱
1689991587# #打call打call心心
1703072009# #转发微博
1694099842# #可爱可爱
