1701931212# #武运昌隆
1701241311# #陈情令知己忘羡都快2024年了🙃
1701581783# #小李小刘，岁岁年年✨。。就这样幸福的走下去吧！
1703145118# #我的微博播报哇塞！2023年我的微博阅读量达106.7万！太腻害啦！谢谢大家对我的关注～2024与我一起用超光影记录超影像！你也快戳&gt;&gt;
1704540739# #我们明年会在更大的舞台上，让大家看看我们打的有多好！
1703055230# #加油
1697383019# #确实吃瓜
1690375657# #啊啊啊啊啊我爱你啊啊啊啊啊啊！！！！
1697420773# #全华班被献祭。献祭nm，见不见啊这个词条，剑冢
1701709329# #我日你妈的大半夜的主队给我拉了坨大的，合着最后转会期我他妈的才是小丑🤡
1699098272# #EDG出列京东赢了，blg赢了，那么，亚运会的问题在谁，还在出列二哈
1688817320# #谁不爱白的狗香香软软的衣服呢兔子
1693232785# #啊啊啊啊啊啊啊啊啊好帅好帅好帅舔屏舔屏舔屏
1701095025# #操尼玛的捞批捞的转会期永远是这个比样子，便秘一样拉不出来憋不回去微笑
1700393540# #他超爱
1704535394# #这就是相公的娘子哆啦A夢花心
1698488278# #出生微笑
1700582658# #天才中单，明年赛场见！生日快乐
1692447108# #久哲卸任Hero主教练真的很亏贼
1698202423# #白敬亭何泓姗二搭爷青回方茴这次好好地抱一抱乔燃吧
1697647149# #妈生辰快乐🎂
1697549522# #drg对战boa。我们kpl要被毁了！！！！
1689402995# #于正少年权臣vs妖孽太妃。如果改成少年权臣VS妖孽太监，就有趣多了doge
1690900591# #想戒电竞，想过正常人的生活苦澀
1702649745# #一句钎狗钎九又有。复活吧我的迁就熊貓。老王我的cp活了
1698719376# #帅的要死
1699716049# #祝你好运
1698489800# #哥们你真的干净
1688911582# #BLG大家好，哔哩哔哩干杯🍻！比耶比耶比耶比耶比耶比耶比耶比耶比耶比耶
1694107502# #宫二看上去生育力很强的样子半夜不睡是我的福气舔屏
1704545667# #啊啊啊啊啊啊啊老公今晚你做1舔屏
1697797964# #降温说来就来了
1696863929# #甜蜜家园2前导预告公开。决定重温甜蜜家园1了親親親親
1701076424# #onelk超话不是不好哄，主要看谁哄，不愧是AD哥哥说很好哄的欧恩啊熊貓
1697726047# #EDG出列对不起但是真的很搞笑哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1703471002# #好喜欢
1688910331# #iG战胜JDG不斩无名之辈！
1701438330# #圣诞美甲。。怎么说啊姐妹们卷起来啊嘻嘻
1689311466# #无所吊谓了已经
1700582422# #许鑫蓁，生日快乐
1700931183# #妈的笑的想死允悲
1698134214# #副业：带货周边
1689155937# #卧槽魔法师真的来了舔屏舔屏
1697800185# #WBG稳稳的幸福这才瑞士轮第二轮，我已经要被各种词条笑死了允悲允悲允悲
1690376535# #0-4开局，五杀结尾，这就是elk！！！
1692079511# #LPL的神文，被抄袭了
1694569360# #是我没错了
1694704665# #宫二是忍者吗宫二你是戒过毒吗这还不上舔屏
1700271840# #假期愉快~
1699020227# #今年喜欢上你们真的是特别好特别好的一件事熊貓
1695291037# #送给沈凡的情书兔子
1697855756# #狗咬狗鼓掌
1693532633# #转发微博
1698580017# #信你
1691484597# #刘五杀其实，过完了这个夏天的。立秋快乐
1701311282# #完了，降温已经让我开始脱裤子拉屎觉得冻屁股了淚
1702913903# #求你们别跳那个逼科目三了微笑
1700393923# #BLG已放假不是，没必要啊。主队已放假很开心勿cue
1700971145# #2023LPL全明星我已为助力一次，快来和我一起为他加油吧！
1700219383# #活的親親親親親親
1701437924# #双鱼座其实是高级的猎手。什么屎盆子都往双鱼头上扣啊🙃
1699198580# #领取好运送花花
1691994294# #本人没错了
1691371697# #此路不通，祝你好运🌲
1699016415# #喜欢笑，喜欢预测，笑！
