1691982855# #我投给了“《莲花楼》”~
1689996887# #转发微博
1703086595# #锦鲤附体，我获得了微博之夜纯粹卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1701934689# #成毅自拍逐渐离谱cy成毅莲花楼。成毅，你是人间四月天，是我一生最爱的风景。cy成毅唐周
1696250521# #转发微博
1693059879# #我投给了“预感今天会很欢乐成毅cy莲花楼@成毅”~
1690418914# #成毅超话夏日环游指南超话星愿池追毅一起的日子，岁月缱绻，宛若初见。
1699154145# #我投给了“成毅”~
1695903788# #转发微博
1699589432# #微博视界大会奔赴热爱，荣耀前行。我正在微光荣耀入围作品中推荐莲花楼！一起来推荐你心中的微光荣耀吧
1703430136# #我获得了微博之夜简单卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1703688007# #我获得了微博之夜美好卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1694624535# #南风知我意我的评分：星星星星星星星星星星。不知风从何处起，不知云在何时归，与成毅一起在《南风知我意》中，探索独属于云深的浪漫。
1703168788# #微博网友喜爱人物。从来不知道思念也可以这样纯净，不必理会世俗的纷争；不必烦忧家庭的责任；不必计较现实的得失。成毅，我只是静静的想你，心里却有了满足和甜蜜。
1689996999# #转发微博
1692180312# #转发微博
1695966636# #超话星愿池cy成毅南风知我意cy成毅傅云深演员成毅才刚开始，未来可期！我们约定不变，与你一起努力前行！
1699755166# #微博视界大会微光闪耀，热爱前行。我正在微光荣耀入围影视角色为李莲花/李相夷荣耀推荐！为喜爱角色送出微光，助力TA的荣耀时刻~成毅67
1703688040# #我推荐《莲花楼》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品
1690553515# #转发微博
1703508694# #我获得了微博之夜美好卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1694599398# #我投给了“好看”~
1699881099# #哇哦~微博视界大会种子计划微光合伙人祝福我咯，收祝福，接好运！点击链接继续参与互动，下一次抽中的也许就是微光盛典观礼名额哦！
1695741858# #我投给了“事业型傅总成毅南风知我意cy成毅傅云深@成毅”~
1703508722# #我获得了微博之夜纯美卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1691115185# #成毅莲花楼cy成毅李莲花李相夷cy莲花楼。他的每一个角色都饱含着情感，成毅的演技便像一股灼热的火焰。
1694624516# #南风知我意我的评分：星星星星星星星星星星。南风知我意，温暖且如初。在这个繁华的世界里，我们都在追寻着那份属于自己内心的宁静。让我们跟随南风的脚步，跟随成毅的脚步，跟随傅云深的脚步，去感受那份温柔的力量，去寻找那个懂你、爱你的人。南风知我意，愿你的生活充满阳光与希望。
1703599238# #我投给了“成毅湖南卫视跨年晚会cy成毅成毅@成毅”~
1694432750# #终于定档了
1695481463# #我投给了“李莲花成毅莲花楼cy成毅李莲花李相夷@成毅”~
1694492344# #我投给了“南风知我意成毅南风知我意cy成毅傅云深@成毅”~
1704379780# #微博网友喜爱人物。我羡慕太阳，他能看见你灿烂的笑容，我羡慕月亮，她能注视着你安祥地入睡，我羡慕自己，因为我可以爱着你，可以时刻想念你，我的成毅大宝贝
1690345352# #转发微博
1699881070# #微博视界大会为热爱奔赴，我正在微光荣耀入围作品中推荐莲花楼！来参与推荐，共同见证它的荣耀时刻吧！成毅💚💛🥝
1693750714# #转发微博
1704457882# #成毅狐妖小红娘王权篇cy成毅王权富贵。成毅，翩翩少年，吾家成毅。不镂自雕，不扶自直。其心如月，其人如玉。振翅高飞，鹏程万里。
1701579540# #互评超话
1693659649# #成毅cy成毅莲花楼。枫叶被风拂起又掉落，入眼的是眉眼带笑的他，秋冬的温柔与浪漫集齐一身。cy成毅应渊帝君
1690301469# #转发微博
1692280123# #转发微博
1694615684# #我投给了“《琉璃》禹司凤”~
1701526378# #成毅cy莲花楼cy成毅。且借人间二两墨，道尽心中爱毅念；一两着笔现生淇，一两重彩剧中毅。cy成毅李莲花李相夷cy莲花楼
1702730379# #成毅狐妖小红娘王权篇cy成毅王权富贵。成毅莲花楼|李莲花|李相夷｜狐妖小红娘王权篇｜王权富贵成毅，想你，生活才有期待，有意义cy微博跨年开幕官成毅
1696859887# #成毅狐妖小红娘王权篇cy成毅王权富贵。成毅，你守护你的热爱，我守护你和你的热爱，我在星光里为你呐喊，最美好的岁月都与你有关。雷朋亚太区品牌代言人成毅
