1702519739# #1人泄露周海媚病历被行拘原来是医院工作人员泄密了
1696770093# #秋日童话喀纳斯其实这一次看到秋日童话这么美丽的一个景色，真的是很让人惊喜啊，有机会的话，大家都可以一起去喀纳斯看看
1696460531# #香奈儿发了王一博单人照香奈儿签约了王一博，属于双赢
1693023484# #李宇春在吴青峰面前cue田馥甄李宇春恕人也挺狠的，这是在说相声吗？
1703580777# #孙怡连手机壳都是穿搭孙怡向日葵睫毛哇哇哇！这是真人芭比吗？孙怡今天的路透也太像真人芭比了吧，活脱脱的芭比娃娃，美丽又可爱。
1692693593# #胡歌留学事件胡歌当年留学的事件，你笑过了吗？
1691931854# #沈腾用自己的语音包导航害羞了沈腾害羞捂脸万万没有想到沈腾都会害羞到了呀，看到这一幕的时候真是把我们整笑到了呀，这个真是太有趣了
1694440120# #范丞丞锁喉白敬亭现在就出发水枪版植物大战僵尸范丞丞和白敬亭两个人这么好玩的互动，真是把我看的都哭笑不得了呀，没有想到两个人原来是这么的整活了
1689213161# #好像也没那么热血沸腾定档这预告主打的就是一个搞笑啦，这么快就要给我们安排上来，就让我们一起从零出发魏翔新片被艾伦说滚滚滚滚滚
1697693284# #智能导盲犬首次亮相亚残火炬传递智能导盲犬能够给我们带来这么多惊喜，其实这一次能够看到首次亮相亚残火炬传递简直就让人觉得特别surprise
1697667209# #EXO变成CEO了每一个捍卫EXO名字的成员们都很不容易！EXO成员值得更好的！
1694830620# #侯明昊3D建模脸侯明昊再一次带给了我眼前一亮的感觉，我非常喜欢他的王也这个角色，满满的代入感，这五官实在是太精致了。侯明昊好适合演漫改剧
1689428248# #VaVa挂帅现场这个节目绝对是我看过的最帅气的一个节目，这种新元素的融合新曲风也是真的非常帅翻全场VaVa挂帅舞台
1694863735# #王OK李天责好想永远永远都这样最开心的大概就是今天可以看到王OK李天责这个超级甜蜜的合作舞台💗这个舞台里面的一些小浪漫真的让我感受到了空气中都散发着浪漫的气息
1703945275# #前女友说TT酒后施暴天啦原来这样呀？真的还有人相信大染缸里的小白花吗？
1695996057# #春城月亮更中秋中秋之际也是给我们带来很多不一样的惊喜啊，确实是这样的，不错，在这里也能让我们感受得到很多团圆时刻，银色的月亮如玉盘如明珠，挂在空中如诗如画，美丽耀人
1700201273# #假如谢危也重生假如谢危也重生那真的是太好玩儿了，所以我也特别想知道他到底是会有什么样的经历和一些新的感悟了呢
1702261585# #故宫闭馆下雪的故宫格外美
1694685739# #罗志祥以朱碧石身份作观光大使遭抵制这还能算是人吗？为了钱，什么都不顾了
1689762736# #钟楚曦新剧淡妆出镜清水出雕饰，钟楚曦是真的骨相美人吧，虽然妆容很淡但是气质优势忽然就凸显出来了awsl
1695885705# #十五年水晶婚幸福感满满的图奉上，真的超爱姐姐这种轻松感觉的状态，这才是嫁给爱情的样子呀~胡静水晶婚
1697667174# #鹿哈回应已改名现在的网红无所不用啊
1703840949# #苏轼名字竟然来源于马车其实我觉得爸爸妈妈要给孩子取名字的话，可以学一学了，在我们现实生活中有很多的事物都是可以用来取名字的，这也是不错的。宗师列传唐宋八大家
1701778281# #张若昀唐艺昕好甜张若昀红毯端水张若昀的现场图来啦！与《鸣龙少年》和《庆余年2》的剧组一起走红毯！期待雷鸣老师和小范大人！记得预约哦！
1690356699# #彭昱畅你人还怪好嘞彭昱畅真的是在这一期密室大逃脱里面把我的笑点给拉满了呀，拉着NPC不让走可还行了呀，而且还要保护NPC，哈哈哈，真的是看的出来他真的很害怕了呢，可爱彭昱畅这次守护npc
1695646766# #贺峻霖大学曾选修传媒与法律真的还是很喜欢贺峻霖的呀，所以我就能够来这个节目，也挺有缘分的一件事情，给我们带来一波小小的惊喜
1704002455# #小沈阳不要带假唱节奏希望大家理性对待，不要盲目跟风。2月2日合肥站演唱会，去听一场小沈阳绝对的实力的演唱会！
1699263925# #啜妮新剧演我余额状况演的还是非常真实的，我感觉自己的经济状况就是这个样子，作为一个打工人，真的是能省则省的呀啜妮新剧演我经济状况
1698739024# #林子烨回击郭敬明小四，这一部剧能好看
1703942655# #领克06Remix，15万SUV没有对手。看了很多车，一直都在看合资车，发现总是差强人意，要么是配置简陋，要么就是内饰太老旧，一直没有一眼相中的感觉。之前在汽车网站上闲逛，看到一个博主提了一辆领克06Remix，看到这辆车的瞬间就被种草了。前排座椅加热，循迹倒车，无钥匙进入等功能，能有的配置都有了，
1689415325# #魏大勋孟宴臣独爆魏大勋是你的快乐源泉吗？
1693448831# #乃万为尚雯婕新歌作词这次可以让我们等到了乃万为尚雯婕新歌作词也是特别的激动，而且乃万非常有才华，可以等到两位的合作呀！
1702626365# #林志玲马天宇合照两位的关系还是非常不错的，而且是磕到了这样的一份友情啊，也希望大家都可以继续的合作下去，带来好的作品
1695806815# #吴昕是穿了睡裤去巴黎吗喜欢穿什么就穿什么，没必要说穿睡衣吧
1703921964# #刘德华潜行中最后的白看了潜行这部电影之后，其实我觉得刘德华这一次给我们呈现出来的角色的确是非常的与众不同的角色，这么的亮点更加十足
1701759169# #杨鸣思思这是谁呀？我觉得我不认识呀，根本之前看都没有看到过呢，反正我是不太关心这个情况的呀
1697255248# #杨迪把吴昕拉黑了不是真朋友，不敢开这样的玩笑
1690436793# #敖子逸给蒋依依道歉敖子逸和蒋依依他们两个人终于和好了，上一期给我着急的，这一期敖子逸终于长嘴了，误会解除期待他们带来的合作。
1703656808# #武艺武星规划的商业版图就是说武艺武星畅想未来的样子真的没在演我吗，这盛世如你所愿，我愿意支持武家男团出道，商业版图到时候可别忘了我哈家务优等生
1702629838# #鸣龙少年哇塞，能够感受得到张若昀扫楼生图状态好好啊！酷帅在线，爱亖雷鸣老师。值得感受到了更好的魅力了
1698054541# #章子怡称分离不代表辜负或背叛离婚不代表辜负与背叛？这话说的，让人听不懂
1689556297# #陈妍希首档乡村振兴综艺把节奏慢下来，感受好生活
1696422923# #何运晨为胡明昊押上身家何运晨真的是太有意思了呀，其实这一次大家都很看好胡明昊，能够感受到他在这个节目上的表现，真的还是非常的不错的
1697971709# #于文文问微信撤回为什么要留痕迹其实也可以做到不留痕迹
1700035299# #秦岚学的阿拉伯语砍价用上了的确在这一次节目里面又是给我们带来很多的乐趣呢，秦岚这一次在砍价的时候，还真的是把阿拉伯语都给用上了呀，真是太绝了！
1701582982# #叶逸凡粑耳朵老公叶逸凡的确是对自己老婆很好的，而且真的是很宠老婆。看到这一次的《小满生活》感觉他真的是一个对老婆特别好的好老公！叶逸凡是什么当代好老公啊
1692597472# #王嘉尔在线催婚王嘉尔说李天责王ok不结婚说不过去看到王嘉尔这个催婚的时候，让我觉得还是蛮有趣的呀，其实我觉得氛围都烘托到这里了，不官宣的话真是说不过去舞台2023
