1697810933# #加油努力
1700385720# #看到bp就知道要输了笑cry
1702033744# #疯了？
1702124954# #最佳外援提名
1689958272# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1695970334# #不是，怎么趁我打游戏来表演这绝世好戏啊？？？来欺负我是不是？怎么没人通知我有这么精彩的比赛？？？
1701261245# #滚努力
1698127669# #可惜来的有点晚允悲允悲允悲
1703149157# #还蹬鼻子上脸了，所有好的东西都是你们这群cscpf做的？所有坏的事全是jsjj做的？我们闹着玩的呢以为我们真放过你们了？丨！
1696911457# #好萌…
1702721295# #我警告围脖惹了我们抖一上你们完了你们彻底完了太阳月亮疑问裂开吃惊嘘666偷笑
1690896794# #2023LPL夏季赛我已为WBG.TheShy加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的WBG.TheShy打call吧！
1695025452# #又可以每天看ob了，暖暖的，很安心，这种有家可归的感觉是一般人很难理解的☺️
1699173661# #谁让机器人勾正在q3的剑魔啊笑cry怎么这么幽默？想杀队友早点说笑cry
1701259990# #感觉寒国人确实喜欢80，奖惩录算纯异类
1698640016# #我们不用内讧啊，我一直以为wbg就像江苏吃馕本来就没有共同的粉丝吃馕每天都在互骂呀
1689475075# #2023LPL夏季赛2023LPL我已为WBG.TheShy加油助威！他是我心目中的最佳选手！快来和我一起为WBG.TheShy打call吧！
1699447227# #这是梦核吗请问，还怪潮流的good。
1698319946# #有的地方不识好歹笑哈哈就不点名了笑哈哈
1701611029# #以后都不许逼他剪头发了，我宁愿他长发及腰都不要他剪头发了，听懂的扣1
1699777691# #走远咯
1704341141# #你们这种莫名其妙找讲师发癫的都是受抚慰，当别人看不出来嘛允悲然后追着讲师讨饭吃，想让讲师用他们的大鞭子狠狠抽亖你们这些小件货
1703007256# #把简老师都喊出来了我的天，比做粉丝的资格的话她应该比现在百分之九十九的人都配吧。还有人说粉丝不如鞋皇做得多，滚去死吧你们！
1700030565# #嗯呐嗯呐
1704469330# #枣枣平常也是一个早睡养生的人，为了博🐎一笑也算是拼了，把这夜给熬上了！
1701413646# #你们虎扑来的贴吧来的鲨臂♂的，再来这里贩剑我会把你们全部铜丝，一个一个剥/皮/削/骨，让你们不得好4
1702428834# #额、、、云批是不是忘了，一个队好像得有六个人，嗯、、、咱们就是说、、、
1690002875# #TheShy茶百道迅速下单努力
1702975256# #刷到了露露那把玩上单璐璐的打野视角，这打野还注解了一些东西，和痴汉一样笑死我了，大家都来看
1702997889# #单杀了蒙多之后露露就瘫在椅子上然后特别撒娇语气地说“别玩那么好～”“玩那么好干嘛～”特别可爱
1701009368# #笑死我了
1698582891# #koro之前的edg上单，事迹有什么打胎出轨招嫖比赛摆烂被俱乐部雪藏，道德水平和虐猫一样一样的，不愧是edg来的，都是一样的出生。。今天饭堂其他主持都说ts实在没什么能开的了世界赛打得太稳定了这死人就说之后可不一定，然后说ts没打过厉害的上单所以不算啥，只有打ze/us才算数允悲
1694417135# #骗子大哥你是真的鼠了，你知道我这简介和id什么意思吗你觉得我像正常的人吗，这都敢复制也不怕瓢虫把你冲死我笑吐了。。谁被这个人骗我会骂人的我不开玩笑怒赶紧把它拉黑举报首页宝宝们可怜
1697618629# #捐赠天使橙露nim
1698931440# #你小子有前途
1699712531# #能不能别让粉丝网暴别人真可怕啊，但是你可能不会看，有这种粉丝真是不幸啊。
1699788325# #抽个人现在开始每天在中单旁边说你打的是msi你打的是msi你打的是msi你打的是msi争取洗脑成功
1692628339# #不要得罪拳皇
1702804095# #幸好你们退了，虽然露露很美很帅很可爱但是这小卡做的真不咋样，一拿到卡面上就有很多划痕！！！真的忍不了。背面边角还有损坏，我也挺佩服的，真不如自印的卡允悲
1699003818# #疑问
1699954181# #大姐都恨批捞了怎么还和我作对？让我们一起诅咒捞疲劳完蛋吧么么哒努力姥子经过万般措辞夸你们是世界上最强的队伍和经过严密考究这确实是你们采访里提到的话请问whathappened戳到你们哪个敏感点了？还是真抖m来了，就是想被我抽呢？
1696597673# #但是真的从贫🐻变得有🐻了
1700743361# #主播很会玩韦鲁斯吗微笑谁允许你玩的微笑
1700930151# #英雄联盟S13我已为WBG.TheShy加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的WBG.TheShy打call吧！
1692980705# #解说杯S4快来和我一起给加油，人气王非TA莫属！点击加油↓
1697517154# #带回去藏起来微笑
1697796985# #感觉批夹将冒泡赛无限延长了
1702250526# #我昨天和我朋友说，看到有人担心程璐休息半年跟不上职业强度，我细想一下觉得其实不太会。因为在他的职业生涯…本来完整打完的赛季就很少…18年众所周知…19年的无理由的轮换、21年的夏季赛…经历过很多不公，命运的局限尽可永在，不屈的挑战却不可须臾获缺，他从没有害怕过面对这些不断的挑战，尽管相
1690107977# #滚！
1702478913# #我虽然从没玩过这个游戏，但是我现在看小马玩怎么觉得这么好玩啊
1693503208# #哎呦又打起来了，尿不尽了尊嘟
1700729572# #需要告诉我？老赖可是法律规定的哦。你有自己的法律是吧？还是你不是zgr？怪不得，行走的50w别跑，等我举报你🤣
1703148202# #广而告之
1695868673# #我想睡觉啊但是论坛又不得不刷怎么办，我不刷岂不是少了很多乐子可是我很困泪泪泪
1702720645# #我给一些人的建议就是别关注我，也别看我，不要关注了又取关，我的号挺重要的，别害我的号
1695811256# #我求大家看，我真的很爱
1702314848# #教练是要选手请的，地下室是要选手住的，选手被线下anti是毫无作为的，选手黑热搜是漠不关心的，选手黑白流量都是要吃的，选手公益是要偷了的，基地设备是经常出问题的的，台球桌是半夜要玩的，去比赛的安全是不保障的，赛前是要拍广告的，杯赛奖金是不发的，锅是要背的，骂是要挨的
1693319096# #奖惩录嘴上一直说着哎呀我不想赢了一直赢要到王者了到王者就要排好长时间了，鼠标却点的武器鳄鱼奎桑提比赛三件套，我就问了你都选这几个英雄了你到底是想赢还是想输自己心里没数吗我请问微笑羞女不简微笑别被他蛊惑了
1702814986# #鞋子舔了俩小时不如泡芙说要举着程璐跑让我来得开心，萌死我了
1694533436# #剑姬美神降临
