1702058080# #我的蒸汽眼罩都快不热了我还没睡着，我清晰的感受到了温度一点点褪去。
1697723774# #和我同岁的哥今天订婚了，和一个认识了一个来月的人，一起都是不可思议的，全家人都很开心并且也掺杂着诧异，而我只知道我快乐自由的日子不太多了。
1701816027# #起床都洗漱完了外面还那么黑
1700829446# #起初只是个感冒而已，到现在已经花了小两千了，上班以后体质明显变差，健康太重要了。今天在医院还碰到了一个非常好的大姐，症状一样，因为医院系统坏了，检查拿药一直到下午才结束，我俩病怏怏的一起来来回回穿梭在医院中，一起边走边咳。
1698141508# #喜欢的小装饰
1699072375# #来奶奶家吃水饺，奶奶包的水饺超好吃。
1699887670# #德善狗焕现实也be了德善狗焕怎么能剧中局外都be呢，我现在又已经开始追剧了，以后看1988就没有安慰了。
1704593892# #一睁眼十点多了
1701263662# #早晨六点多出门上班，晚上九点多下班到家，这就是我的工作。
1704380650# #为什么说我没在学习呢，因为那是一本历史书，那时候巨烦那个历史老师，根本不可能学历史！
1700181427# #昨天手太冷了，还鼓针了，今天带了暖贴。
1700433335# #每天的日子没有任何盼头，天不亮就要出门上班，天很黑才下班回家。
1699370452# #每天早上六点多就要起床上班，今天晚上下班到家也六点多了，用了十几分钟随便吃了点东西就开始坐在桌子前填表格写教案，昨天写了半天的教案因为和领导的不一样，所以全部重改，完全按照领导前段时间的一个讲课教案写，一直到了十一点多才刚弄完，刚刚躺到了床上，这就是毫无意义又很疲惫的一天。
1700658480# #0713巡回演唱会正式启动疯狂心动，想去想去！！！！！！
1698660987# #不会做饭也不懒得做饭，只好煮面条了，我甚至可以一直吃，因为这是最省事的饭了。
1701523229# #室友送给我的香薰，拍的太有感觉了。
1701702119# #存live
1698482279# #刚好落在福上的一束光
1702385789# #上了一天班心情不好，回来刷抖音看帅哥看的心情很愉悦了。
1698409673# #加班刚结束，这一周又是上了五天加了四天班，今晚下了班还去家访了。
1702530595# #出门踩踩雪
1703944502# #白天的热闹退去，一切就像没发生过，像一场凌乱的梦。白天跑来跑去热热闹闹的，只想着快点吃席，在傍晚一切热闹都结束了，我和我妹走在回家的路上，她说到现在也觉得很不真实，咱哥竟然结婚了，不是在做梦吧。我也觉得像梦一样，白天也恍惚过，今天甚至都没来得及和我哥自拍一下，他们在台上举行仪式，
1700998469# #别让我咳了好不好
1702701757# #悲哀的是上班一年每天累死累活最后连房租都交不起🙃
1701793813# #可是一想到要上班我就很焦虑不想睡觉，我也想穿个喜欢的衣服，背个包包去上学，都是不允许的，天天的都没有坐牢自由。
1704648279# #想睡觉，但是脑子贼清醒，就像喝了十杯咖啡一样清醒。
1702036923# #能瞬间让我很烦躁
1704465696# #写了三个字就开始出汗了🙃
1704298521# #可以期待什么呢
1704116859# #这三天我们家就像过了春节一样，都聚在了一起，都说是过年的感觉。
1702616791# #如果这场大雪下在学生时代一定快乐的像一场梦
1704202418# #实况图真的太适合作为记忆收藏了，特别是仙女棒的实况图，我和我妹在外面挨冻的快乐夜晚。
1700099855# #扛不住了
1702188359# #真的好喜欢
1701094377# #抖音除了刷到停课就是帅哥
1698933637# #谁能拒绝蜡笔小新呢
1698155912# #好喜欢Live图，有种把记忆鲜活保存的感觉，但是只有微博和小红书可以保存live图，所以决定想起来就存一下，一次可以存十八张。
1698564737# #想喝瑞幸，但喝了晚上又睡不着。
1699900228# #疫情以后最害怕感冒了，感觉嗓子都要咳出来了，一直都没睡着。
1699025377# #大晚上的，隔壁在争吵，一开始是夫妻两个人和孩子争吵，后来又成了夫妻两人争吵，撕心裂肺的，哐哐的砸东西，隔着墙都觉得窒息。
1702170753# #在家里昨晚九点就睡了，今天早上九点多醒的，睡的太舒服了。
1703350199# #今天和笑笑一起翻了以前上学的照片，真的太多太多了，每一张照片我都能清楚的记得和它有关的事情，原来都那么美好。我是一个活在过去的人，总是时不时的把那些破碎的记忆拾起来，缝缝补补，那一切好像又重新来过。
1698930214# #我觉得好好喝
1702469449# #怎么还不停课！！！
1699156989# #昨天晚上十点睡的，今天早上九点醒的，在家睡的太舒服了。
1702902766# #今天早上的上班路，太滑了，滑到都拍糊了！
1703160346# #明明请假都扣我钱了还不给我假，什么狗屁工作能比我健康重要吗？！！！
1699195592# #周日有雨
1702905099# #新买的书，今天开始翻阅，不过现在真的很浮躁，看书看不了多久就开始坐不住，要慢慢改变。
1703846790# #今天早上
1701703786# #人与人之间应该是自然的认识。
1704813626# #很有意义的一件事
1700151132# #第四天晚上了，已经有三天晚上没大睡着了，甚至不到半小时就咳醒一次，今晚就咳到这里吧，真的不行了。
1701618851# #点了个外卖
1697709395# #刚才外面很好看，可是只能在教室加班
1704207793# #鼻子不透气，立刻吃药！
1704086375# #吃席坐小孩桌
1704645447# #真的很烦！！！
1701438352# #其实也并不饿，就是想吃点东西，最近太累太累了。
1702903023# #服了这个破学校，就知道扣钱！真的很恶心，我自己挣得钱为什么还要上交，恶心！！！
1699270063# #公开课还要写教案还要做课件，还是下班做，真烦人！
1702556346# #迷你
1699629358# #朋友圈看到聊城下雪了，我还特意拉开窗帘看一下，只有风。
1702222529# #怎么不停课
1702823384# #可是
1701001355# #看到这些文字一下子让我回到了过去，那个努力的我，那个对未来充满期许的我。可是现在并不是很好，一团糟。
1703944697# #喜
1697804785# #又加班了，最讨厌听讲座了，一周上五天，加了四晚上班了，今天这班上的是朝九晚八。
1703434991# #为什么要上班！
1699065756# #晒走工作上的晦气，晒太阳太舒服了。
1699458266# #终于躺下了，最近下了班都没时间刷手机了，虽然嘴上总是喊着要躺平要摆烂，但是只要有了可以努力的机会还是想拼尽全力的去试试，并不是想琴个多好的结果，只是我真的很享受为了一件事情为了一个目标去努力的过程，因为它会让颓废的我感受到动力。不过讨厌这个学校是真的，因为这个学校总是让人恶心寒心
1704519081# #回家喽耶
1703326122# #一小坨猫猫和染了色的天空
1702833833# #我服了，闭眼一个多小时到现在微笑微笑微笑
1703412975# #还是要继续吃药
1699617740# #买到了便宜好物，解决了我冬天眼镜起雾的烦恼，今天早上出门擦了一下，今天一天都没有起雾，带口罩也不怕了，到现在还是有效果！
1697897598# #落日余晖
1698146986# #红薯是洗澡的时候烤的，洋葱圈是洗衣服的时候烤的，豆浆是吹头发的时候烧水泡的，下了班没有一分钟应该被浪费。
1703001686# #现在晚上睡觉都有恐惧感
1703252094# #我弟在学校也吃到了饺子
1703077821# #我超爱
1700269763# #在家真的是睡了这周最好的一个觉，一晚上没醒！
1700106362# #白天的房间原来那么温暖
1702901141# #终于转正了，并且真的要开始攒钱了，工作一年手里真的一点钱没剩。从下个月开始攒，因为这个月除去部分房租，还要还花呗还有京东白条加各种月付，所以马上见底了，下个月开始一定开始攒钱！毕竟还想去西藏！
1697973953# #又到了看1988的季节了
1704292819# #好想好想好想去看海
1702638766# #非常想看莲花楼，但恐怖的又不敢看🫣
1702054974# #又熬夜
1700761481# #不是不想睡，是根本睡不着
1698753013# #坚持泡脚
1702994685# #今天下班后
1699795600# #又一次被锁在了外面，还是我俩，这次的原因又是不可思议，事情是这样的，我室友健身回来吃自嗨锅，之前吃的时候都是开着窗户，这次天冷窗户都关死了，而我已经躺在被窝里，突然烟雾报警器一直响说燃气泄漏，请立刻检修，给我俩吓得，也忘了自嗨锅这回事了，我拿了件衣服就跑出去了，出去关门的一瞬间我
1702397380# #🙃
1704654067# #三点了，我像报时的
1702625430# #大冰溜子
1702781424# #因为天气连着四天没上班，可是惠民的幼儿园周一周二依然停课，真的很羡慕，人总是贪心的，不是吗？
1699749408# #外面阳光真好
1702040546# #我自己的生活，为什么要接受世俗的审判，这个社会有太多我不能理解且不能接受的地方了。
1697760169# #今天孩子们来跑步，一会还要陪跑，太冷了我都穿上秋裤了。
1703232490# #冬至还是要吃妈妈包的水饺
1701614786# #照片多到九宫格拼图都放不下，去小酒馆的只好明天发了。
1703328267# #我爸回来的时候在垃圾箱里捡了一只小狗，带回来的时候冻的它直哆嗦，我妈说发到朋友圈里找个家，不管怎么说那么冷的天怎么能把小狗扔垃圾桶呢，太气人了！
1703523335# #我觉得我有上班焦虑症
1703076634# #服了
1699612752# #平平无奇的快乐周五罢了，还有就是0713终于出了新团综了，我的快乐终于回来了！！！
1703387002# #十年了只有郭敬明拍出了真的纸醉金迷现在依然很喜欢小四
1702721426# #今天下午出去试了一下零下十几度确实冷，不适合出门，比几个耶吧。
1704633396# #周末结束
1701003409# #我弟真的很厉害，我只希望他每天不用那么辛苦。
1702213760# #第二次一般，评分65。
1698327442# #现在勤劳一点，夏天快乐的穿小吊带。。还有怎么又开始长痘了，以前都是额头长很多，刘海可以挡住，这次直接下半张脸，长得很对称，还很疼！
1700134837# #加班刚下班
1702060222# #微笑微笑微笑
1701688460# #又加班了，不过今天早一点。
1704465429# #为了迎接它今晚我还特地收拾了桌子
