1701493107# #好听拥了
1700641021# #汗流浃背了吧舔屏
1699266649# #权志龙药检呈阴性。不信，发首歌听听看看实力怒
1691644223# #回来辽
1704126156# #一回西安跟他吗回家一样。每天排的满满的。新年继续活自己屏蔽所有npc和小丑。我们长长久久细水长流
1695921983# #确实
1703652743# #我我我我我我我我我！
1692353910# #笑死我了
1692500563# #好好好好好，好似
1700134105# #WBG英雄联盟超话。你知道的我们微博🐔一直是狗运队
1691686477# #让全世界都知道群友给我送了手办打call
1703949465# #分享图片
1691848872# #博德之门3超话下游戏ing。蹲几个萌新队友一起跑团爱你
1702636327# #看书
1690200271# #妈的八大碗总店。真nm香
1696855259# #学弟问我为什么大三大四的都不怎么高兴。我说是的，因为20级生性就不爱笑
1698998923# #跟不懂这张的人没什么好说的抓狂
1698533653# #我追过的第一对cp就是高湛和陆贞笑拥了，五年级抓狂
1697030233# #走进超市随意拿一瓶可乐。收银台轮到我付款再很拽地来一句再来包玉溪，没有就煊赫门。然后回去带给室友。是这样的
1702893157# #服了
1698864437# #一周目塔夫善线完结撒花。有多好玩。大表哥2玩到炸火车之前就扔下的人这破游戏从暑假发售到现在一周目我就整了二百小时，抛开其他几个多人档单人档一百三四个小时有了。你告诉我年度最佳王国之泪拿什么争。太困了，太困了，感想有时间再写。这应该是近十年体验最好的一款游戏了。感谢拉瑞安，我何德何能啊能
1699725234# #RISE一响WBG决赛登场
1694592032# #笑拥了
1688898639# #见老头清库存爱你
1702198735# #现在看有些人的文案好像我前几年青春疼痛文学。人一直会讨厌过去的自己那确实。笑拥了
1704365285# #服了。为什么组的局全在晚高峰还要在小寨。恨死钟楼跨年的没让人进包场看。抓狂抓狂抓狂抓狂
1701779057# #🥵🥵🥵
1703438329# #求求了我想去赢牛奶
1699705023# #WBG与BLG决胜局计划有变！总决赛！
1694329528# #转发微博
1691904628# #我宣布，开始上吊
1696135240# #华纳你的福气在后头
1701601351# #这个教室谁和我一样有品。速速相认抓狂舔屏
1693503120# #猫猫
1700038649# #转发微博
1699618220# #头像换成宋亚轩。别惹我怒
1703516046# #地地又道道地道地道地地道道
1691903673# #哥几点发新专啊舔屏舔屏舔屏舔屏舔屏
1696153414# #转发微博
1691686871# #博德之门3超话就是说来几个游戏搭子。周围的人都不感兴趣微笑
1698386918# #听不懂1989（Taylor'sVersion）的，没关系，每个人都有每个人的审美，在这漫漫人生路上，总会遇到与你志同道合的人和爱好不同的人，我们要尊重差异性。希望你未来一切都好。拱出去，没品位的
1696135191# #休着呢doge
1703581976# #魏晨《尘埃》千方百计分身情人DNA断了
1698254875# #博德之门？博德暖暖！
1693967003# #转发微博
