1693798639# #我妈可喜欢靳东了笑cry
1695717498# #哥哥太帅啦，我词穷啦罗云熙
1698316549# #我本来今天心情挺不好的，但是刚中了立牌我直接原地起飞彩虹屁彩虹屁彩虹屁
1699070360# #我的耶呀，怎么这么帅
1696512089# #莹心，是我的斗篷太旧了吗？泪泪泪
1704807272# #乌鸦坐飞机这个梗原来出自成龙历险记啊笑cry，才知道
1694582557# #额，长月烬明在天残优酷而且还是4月冷档期播的，长相思在日活很高的腾讯视频而且还是暑假播的占据了好多的播放优势。。。。比长月高不是很正常费解要是比长月低那不是得多丢人啊生病，长月要是在暑假播绝对会更高会比长相思高，呵呵
1703915737# #真纠结啊，易烊千玺开炮
1702905046# #新火盆hhhh我笑出声了
1703435441# #我推荐《长月烬明》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1693634904# #我嘞个去啊太帅了而且还是素颜
1687754707# #吃瓜吃的我忙死了
1697369726# #他真可爱打call
1699760278# #古风哥哥哇哇哇
1694001844# #罗云熙获首尔电视剧大赏杰出亚洲明星被偶像带飞的感觉真好，呦吼打call
1699706372# #帅拥了
1703397452# #我就说风中奇缘为啥胡歌不是男主呢，原来是他自己要演男二的啊，当初给我气的为啥刘诗诗在剧里选彭于晏不选胡歌
1696673345# #笑死我了，明天亚运会闭幕式了，我才想起来我开幕式都没看，开幕式的时候我正在外面和我哥吃自助笑cry笑cry
1698300508# #哥哥和家人玩好啊抱一抱抱一抱抱一抱
1689589854# #疼死人
1693674732# #哥你什么时候演双胞胎什么时候演双胞胎可怜
1702144589# #这么牛啊，第一次知道
1689992967# #暑假上的剧真的基本上全是古装，真的要审美疲劳了
1688557028# #光渊下架还是湾湾好
