1703673700# #会给自己撤，为什么旗下艺人不管不顾啊！
1698631846# #邓为超话💎邓为涂山璟💎修丽可品牌大使邓为。。睫毛是要迷死我们吗？我一个女生羡慕的不要不要的！。。
1703916402# #燃油费这么贵飞机烧的是什么油那为什么燃油费不直接提现在票价里？要单独拎出来呢？没理解！
1703753580# #2023那些对于热爱的回答热爱的东西真的可以一直坚持下去，只要坚持就一定能有收获！2024继续加油！
1702771107# #邓为超话💎邓为苏易水💎邓为仙台有树。。相思一卷，以云为笺，云舒时见你欢喜，云收时愿你安好。。。
1700089555# #帅就完了是吧偷笑
1700639507# #实时号测试善良的本能赋予更多人精神财富的同时，也时刻在提醒人们万事善为先。
1694929377# #邓为超话💎修丽可品牌大使邓为💎邓为长相思。。30+的姐姐，什么样的人没见过？能让我们一辈子第一次去追的只会是极品！不要怀疑我们的见识！。。
1704344227# #每日一善超话绿丝带阳光信用绿丝带每日‬一善。。不管外面的风雨，不管世事变幻沧海桑田，给生活一丝坦然，给生命一份真实，给自己一份感激，给他人一份宽容。
1703904077# #我在2元店都不敢这么买年轻不懂事啊！不知道黄金香
1699054624# #奥特曼奥特曼奥特曼
1702950993# #锦鲤附体，我获得了微博之夜纯粹卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1693202994# #邓为超话超话星愿池邓为涂山璟百看不厌@邓为D
1704043993# #和邓为点亮微博之夜💎邓为0226生日快乐。。“没有人可以规定风的形状，没有人可以规定你怎样发光”。𝒩ℴℴ𝓃ℯ𝒸𝒶𝓃𝒹ℯ𝒻𝒾𝓃ℯ𝓉𝒽ℯ𝓈𝒽𝒶𝓅ℯℴ𝒻𝓉𝒽ℯ𝓌𝒾𝓃𝒹,𝓃ℴℴ𝓃ℯ𝒸𝒶𝓃𝒹ℯ𝒻𝒾𝓃ℯ𝒽ℴ𝓌𝓎
1703461805# #杭州女子刷视频发现老公另有2妻3娃为什么这种男人的行为还停留在道德层面？这对三个家庭的伤害难道还不够大吗？
1703541939# #邓为超话💎邓为苏易水💎邓为仙台有树。。我希望自己有足够的勇气和运气。去见到命运里更多的不同风。也期待在未来的日子里。能够被这些涌动的气流雕刻成不一样的山川与河流。。
1702433746# #国家公祭日南京人民感受更深！勿忘国耻，吾辈自强
1698620945# #又来啦又来啦
1700519639# #邓为超话💎修丽可品牌大使邓为💎迪奥品牌大使邓为。。目光所至是你，心之所念是你，愿从新鲜感到归属感，还是你。。。
1694418912# #明星势力榜超话我为演员邓为签到
1702289508# #瑞幸咖啡师烂手之痛被标题吓到！然后开始反转！竟然是太干净了！厉害了
1695441361# #感谢老师的用心和坦诚，让我们感受到他的鲜活和热忱，也能看得到他的素养，还有一些些小心翼翼，让人有些心疼，别怕我们永远在@邓为D
1702677983# #邓为超话💎邓为苏易水💎邓为仙台有树。。“念念不忘必有回响若思念有声那么他一定听得见”。。
1698055040# #等到你二哈
1704254925# #每日一善超话绿丝带阳光信用绿丝带每日‬一善。。一个善良的人，就像一盏明灯，既照亮了周围的人，也温暖了自己，善良无须灌输和强迫，只会相互传播。爱物惜物，即是善行；勤俭持家，便是积德。心不欲杂，行善则真；心若欲杂，空行百善。以善启善，以善引善；以善育善，以善扬善。无
1704248206# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！本轮集卡数TOP40必得盛典门票，一起参与吧！2024纯真真好
1702046637# #邓为超话💎邓为苏易水💎邓为仙台有树。。快乐的方式有很多种，最直接的，就是见到你。。
1703389649# #十年了只有郭敬明拍出了真的纸醉金迷存在既有道理，就像这一桌菜，有荤也会有素，还有汤！
1703161203# #有人从中国乘飞机往韩国背大米是韩国带我们的大米回国吗？是觉得我们的大米好吃吗？我只知道韩国没肉没水果，连粮食也没了？
1697286041# #我想要
1702813547# #邓为超话闪耀时刻，赴星光之约，一起云参与一下举手腾讯视频星光大赏长相思
1702725534# #每日一善超话💎阳光信用💎每日‬一善。。一个善良的人，就像一盏明灯，既照亮了周围的人，也温暖了自己，善良无须灌输和强迫，只会相互传播。爱物惜物，即是善行；勤俭持家，便是积德。心不欲杂，行善则真；心若欲杂，空行百善。以善启善，以善引善；以善育善，以善扬善。无需言它，
1697704549# #都是黄钻doge
1697676897# #邓为超话💎邓为苏易水💎邓为涂山璟。。真是看不够，我们家真的是只有更帅没有最帅！越来越稳了。。
1700469715# #我投给了“邓为涂山璟dw迪奥品牌大使邓为”~
1695335116# #煮娱超话我为演员邓为签到
1697847801# #我投给了“修丽可品牌大使邓为dw向全世界安利邓为”~
1697375219# #热乎的
1703741174# #儿子诈骗30万母亲只愿退赔9000我能说什么？报应来的太快？还把儿子搭进去了
1702336244# #邓为超话💎邓为苏易水💎邓为仙台有树。。他的大早班每次都是紫色的海洋！要大降温了，注意多穿啊。。
1703662969# #每日一善超话💎阳光信用💎每日‬一善。。善中有乐，一路善行;善中有仁，日日善行;善中有孝，敬老善行;善中有爱，奉献善行;善中有心，笃志善行;善中有德，文明善行。
1701645858# #邓为超话💎邓为苏易水💎邓为仙台有树。。13既见君子，再难忘却，默默欢喜，惟愿君安。。。
1703489494# #我正在微博跨年狂欢节预约邓为，可以冲跨年晚会现场门票！快来和我一起参与吧！~
1698830545# #邓为超话💎邓为仙台有树💎邓为苏易水。。何止浪漫与爱，我口袋里的星星，眼中藏匿的银河，遇见你的那一刻，万箭齐发通通指向你。。
1703223148# #我投给了“邓为-涂山璟”~
1703466447# #2024元旦放假安排来了突然发现2023即将结束了！所有不好的都让它留在2023吧！
1702336575# #今天这大早班
1703750802# #年终奖十三薪十三薪那是稳定的，年终奖那是看心情的二哈
1696388313# #寻艺签到超话为演员邓为签到
1696212385# #我在森林驿站帮助了猕猴，获得了爱心和动物卡片。熊猫守护者们，快加入驿站一起玩吧！
1703025574# #邓为超话💎邓为苏易水💎邓为仙台有树。。你是山间清风，拂我一身铅华；。你是人间三月，尽作无数桃花；。你是琉璃似梦，扰我半生时光；。你是婵娟若水，濯我一世浮华。。身处漩涡之内，你依旧不忘初心，。坚守自我。。
1696136525# #明星势力榜超话为演员邓为签到
1700368712# #我会一直等羞嗒嗒
1704343407# #余额低于100元不能提现属霸王条款很多都这样，是一个社会现象了，还真有人叫这个真了！👍🏻
1698315077# #算是安慰安慰我们吧
1699266210# #颜一Elaine的红包哇！好运来袭！我抽中了的现金红包，你也快来试试手气吧，比比谁抢得多！
1700176211# #每日一善超话💎阳光信用💎每日一善超话。。慈善是有同情心的人们之间的互助行为，慈善是高尚人格的真实标记，滴水穿坚石，爱心美天下，礼发于诚，声发于心，行出于义。心存感恩之心，身行积德之善；从善者吾近之，从恶者吾远之；百年养善不足，一日毁之有余；行善不必人知，积德无需
1698188385# #转发微博
1703541981# #邓为超话💎邓为苏易水💎邓为仙台有树。。以诚挚之心，。领岁月教诲，。敬年少热诚，。愿将来胜过往，。永远热泪盈眶。。
1700194161# #邓为超话💎邓为仙台有树💎邓为苏易水。。我要使劲升级，我要卷死那一群女人！加油加油。。
1704091720# #新年快乐！万事顺意
1699751568# #想想都开心
1699923463# #每日一善超话微风阳光信用微风每日一善超话。。善良并不是软弱更不是退让，而是从不主动伤害别人，不会去纠缠不休，懂得适可而止。为人处世以诚相待，不欺骗，不撒谎。以诚恳善良的心去面对所有的人。做人首要的是要善良。
1695256593# #邓为超话💎邓为字母脸链💎邓为费加罗男士水彩大片。。你只管朝前跑，我们追的上，你只有越来越好，才是我们最终的渴望。。
1695433662# #邓为超话💎修丽可品牌大使邓为💎邓为费加罗男士金九三封。。真不敢想他杀青之后每天看不到要怎么熬啊委屈委屈委屈。。
1693571292# #邓为超话dw邓为长相思dw邓为茶朔洵世间因少年挺身向前，而更加瑰丽，周末愉快@邓为D
1701940712# #原来黄金是要按斤算的男孩偷卖家中31斤金条变现565万
1702046642# #邓为超话💎邓为苏易水💎邓为仙台有树。。今天肯定没月亮了，因为月亮的光辉都给你遮盖了。。
1701383649# #邓为超话💎修丽可品牌大使邓为💎迪奥品牌大使邓为。。6我爱的少年啊，他永远纯洁，我对他的爱也是。。。
1694226357# #邓为超话💎邓为💎邓为涂山璟。。来领人啦！每天最开心的就是从几个姐那搜刮来最新鲜的他心心心。。
1703055602# #圣诞🎄氛围已经很浓了！
1702607538# #好帅呀
1703201076# #邓为超话💎邓为苏易水💎邓为仙台有树。。我对你的爱意泛滥四起赤诚而热烈。𝓜𝔂𝓵𝓸𝓿𝓮𝓯𝓸𝓻𝔂𝓸𝓾𝓲𝓼𝓸𝓿𝓮𝓻𝓯𝓵𝓸𝔀𝓲𝓷𝓰𝓼𝓲𝓷𝓬𝓮𝓻𝓮𝓪𝓷𝓭𝔀𝓪𝓻𝓶.。。
1696549671# #煮娱超话为演员邓为签到
1701728739# #邓为超话💎邓为苏易水💎邓为仙台有树。。5你的微笑如阳光般温暖，你的眼神如星空般璀璨。。。
1697619386# #我投给了“邓为涂山璟dw邓为长相思”~
1699851556# #早晨两杯美式，中午一杯拿铁，或者一杯椰青美式，支撑我活一天
1695563449# #邓为老婆实时号测试我在吗？泪
1703482965# #终于知道工资为什么要保密了情商智商都是你自己的啊！虽然很扎心，可是情商不够也不是别人的错啊！也有喜欢干实事的领导不是嘛！
1698830294# #我要看新的泪泪泪
1703541798# #邓为超话💎邓为苏易水💎邓为仙台有树。。我们终其一生寻找的。应该是自己喜欢的生活方式和想成为的人。所以多走弯路也没关系的。花很多时间在路上也不要紧的。和世俗或是和别人所期待的不一样也可以的。只要你是在成为你的路上就够了。。
1694829752# #寻艺签到超话为演员邓为签到
1700382918# #每日一善超话微风阳光信用微风熊猫守护者。。真诚，是一个人的本性；善良，是一个人的天性。美丽的外表也许会打动别人，但真诚的内心更能感动别人；强势的语气也许会让人口服，但善良的行动更会让人心服。
1703802414# #邓为超话💎邓为0226生日快乐💎和邓为点亮微博之夜。。星星是众多奇妙无比的三角形的顶尖！宇宙的领域形形色色，相距遥远截然不同的物种却会在同一时刻注视着同一个东西！。。
1697104134# #今天的嘴角是不是压不住了doge
1702284995# #和男朋友一起住了5天，这真是....。。天爷诶，去男朋友那里住了几天挠成了这。样。。。这泼天的疙瘩谁懂啊本来想同居的。。这居不同也罢了
1696136774# #邓为超话🇨🇳庆祝新中国成立74周年🇨🇳与邓为同喜好时节。。这套妆造真的且看且珍惜了！期待新剧定妆！。。
1698025528# #他可是全靠眼神撑起了一个单薄的人物啊@邓为D
1703496984# #郑爽被法院公告又扒出来干嘛呐？她还能洗？我三观是正的！浪费公共资源啊这是！
1695863040# #邓为超话💎修丽可品牌大使邓为💎邓为李一桐吻戏。。回了趟北京干了不少事情嘛，拿秋衣秋裤了，好像换手机了哦doge。。
1701402679# #我的成长纪念我达成了1万粉丝成就，离不开你对我的支持，愿未来仍与你相伴，一起循梦而行，向阳而生！
1695988694# #同乐
1698304355# #点赞中国航天！祝贺神十七发射圆满成功！
1701038122# #邓为超话💎邓为仙台有树💎邓为苏易水。。5真的很喜欢看你笑起来的样子，可以一直一直看，一边傻笑一边看。。。
1695593256# #每日一善超话❤️阳光信用。。善因善业，恶因恶业，因果循环，千年不空！善言善行善心，才有善果！
1704351729# #微博之夜阵容官宣期待邓为
1700226624# #谢谢谢谢大家！第一次搞了6个100，最后谢谢大家小🐭支持！好人一生平安！顺道跟大眼晚安💤微博是我见过最有爱的地方，当然目前仅限于为丝姐妹👭
1699334328# #随手拍也不知道是不是换季，这两天乳糖相当不耐受！喝两天椰青美式吧！热美式一天喝三杯我是真受不了苦涩
1703408649# #每日一善超话💎每日‬一善💎阳光信用。。慈善是有同情心的人们之间的互助行为，慈善是高尚人格的真实标记，滴水穿坚石，爱心美天下，礼发于诚，声发于心，行出于义。心存感恩之心，身行积德之善；从善者吾近之，从恶者吾远之；百年养善不足，一日毁之有余；行善不必人知，积德无需他晓
1703335130# #自助草莓火锅水果我始终觉得原汁原味的吃新鲜最好吃了！目前没有想到二次加工过的好吃的水果了
1703595511# #我国北斗系统性能再次提升祖国越来越强大！身为华夏儿女我骄傲！
1700863505# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。世间的温柔皆如干净的云朵和你，所有的温柔眷恋都是对你灿若星辰的喜欢。。。
1701096168# #微博渔场我刚刚在的渔场捞到了3鱼币！运气爆棚，嘘~~
1700090232# #每日一善超话微风阳光信用。。保持阳光心态，积极面对人生。每个人，都沿着不同的轨道在活着，人生是一趟单程车，我们最应该做的，就是好好善待自己，珍惜今天，期待明天。
1696462253# #明星势力榜超话为演员邓为签到
1700436981# #邓为超话💎修丽可品牌大使邓为💎修丽可品牌大使邓为。。翩翩公子润如玉，皎皎空中孤月轮。愿以山河无恙为聘，换其一世安乐。。。
1698843964# #一分钟看纯享版邓为穿搭可以说我们钻石才有得福气吗？穿搭看谁家，我们家二哈
1703977989# #和邓为点亮微博之夜💎邓为0226生日快乐。。“我吐露心声，只想让世间万物都知道我喜欢你.”。"𝑰𝒋𝒖𝒔𝒕𝒘𝒂𝒏𝒕𝒕𝒉𝒆𝒘𝒐𝒓𝒍𝒅𝒕𝒐𝒌𝒏𝒐𝒘𝒕𝒉𝒂𝒕𝑰𝒍𝒊𝒌𝒆𝒚𝒐𝒖."。。
1702507223# #邓为超话💎邓为苏易水💎邓为仙台有树。。公子只应见画，此中我独知津，写到水穷天杪，定非尘土间人。。
1704145654# #和邓为点亮微博之夜💎邓为巴黎卡诗。。草木如书，素净如湖。向时间借一缕光影穿梭山林寻觅飞鸟的踪迹，寻到飞翔的翅膀亦是生机的回应。。。
1702165256# #邓为超话💎迪奥品牌大使邓为💎修丽可品牌大使邓为。。12你所清楚预见的、热切渴望的、真诚追求的、全心争取的，都会自然而然地实现。。。
1703653002# #我正在微博跨年狂欢节预约邓为，还有机会赢跨年晚会现场门票！快来和我一起参与吧~预约2024，让更好发生！
1699159884# #随手拍早起的鸟儿有虫吃，早起得人儿看日出
1704275017# #还缺点什么呢？
1703455441# #邓为超话💎邓为苏易水💎邓为仙台有树。。“心动不止，思念不退，爱意不落”。𝓗𝓮𝒶𝓇𝓉𝓂𝓸𝓇𝓮𝓉𝒽𝒶𝓃,𝓂𝒾𝓈𝓈𝓃𝓸𝓉𝓇𝓮𝓉𝓇𝓮𝒶𝓉,𝓁𝓸𝓋𝓮𝒹𝓸𝓮𝓈𝓃𝓸𝓉𝒻𝒶𝓁𝓁🌿。。
1698708933# #日常
1697545768# #我瞬间没了
1702907469# #我推荐为2023微博网友喜爱人物，TA如星星般耀眼，闪烁着谁都无法替代的光！你心中的微博网友喜爱人物是谁呢？快来微博之夜推荐TA，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1698047355# #明白了，以后要仙台有树和苏易水两个话题一起带
