1699101954# #天啊啊啊啊啊啊啊泪
1693873126# #转发微博
1700448345# #转发微博
1698743086# #终于！！！薛副局长！！！
1699191425# #🙏🙏
1699105401# #宝宝泪泪泪轻舟已过万重山，！！一直都在！
1691557084# #哈哈哈哈哈哈哈
1690785361# #转发微博
1695988737# #转发微博
1691931855# #可live！！！
1703673420# #我等一个广东老公看一下广东悲伤
1694954963# #转发微博
1703697645# #老公好帅啊
1692243387# #转发微博
1703337660# #哦
1699417614# #澳门！！
1691327980# #转发微博
1697892438# #啊啊啊啊啊啊
1703337418# #钱来
1697375240# #转发微博
1699799793# #合伙骗🐷，🐷宝也不要感冒欧，照顾好自己
1703337471# #大屏talk
1693824217# #宝贝来广州开一个星期吧苦涩
1692417311# #转发微博
1689525277# #转发微博
1693052039# #被刀了苦涩
1703254418# #委屈
1701521017# #我靠我靠澳门也要！！！！
1691992639# #表面：感谢薛之谦实际：吐槽工伤（不是）
1703423528# #转发微博
1697361710# #转发微博
1692243443# #啊啊啊啊啊啊啊啊啊啊正面！！！！！不允许没有人看过！！！！！
1699101849# #我的吗啊！！！！泪
1696087839# #哈哈哈哈哈哈哈哈哈哈哈笑不活了
1699333761# #我投给了“薛之谦”~
1692369903# #转发微博
1691941015# #转载了的微博图片泪
1692037343# #转发微博
1694945206# #转发微博
1699101920# #好酷！！！！
1687359954# #有！！！！！
1691769603# #一梦18年，终于在鸟巢实现了辛苦啦，我的宝，这一路很不容易谢谢你的坚持，你看啊，很多五湖四海的朋友赶到鸟巢来见证你梦想，人生能有几十个十八年啊，苦尽甘来了，我的大明星～这一路辛苦啦～
1696516767# #比心啊啊啊啊
1689134035# #薛之谦耶，～
1692462060# #转发微博
1701617668# #辛苦啦好好休息，澳门见咯
1703132969# #可爱🐷笑鼠我了
1694954912# #哇哦舔屏舔屏
1689672326# #好家伙！！！！很好！！
1695377249# #一切顺利！24号见打call
1691247278# #我的小薛宝贝抱一抱打call
1691053876# #我靠，是薛之谦嘛！！！！！
1699112604# #辛苦了，筒！！！我要vlog！！我要vlog！！球球了
1697941123# #好可爱的🐷，给我亲亲😚
1692116136# #转发微博
1687357904# #转发微博
1699580446# #支持坐等中午的火星
1693140977# #好可爱：！
1699103309# #我听见了你的声音啊啊啊啊泪
1698981327# #期待薛副局长！！！！抱一抱打call
1703906277# #有点内个呢
1700652875# #好的，望周知
1699090106# #薛老板的声音好苏抱一抱！！
1704118132# #姐妹演我！
1702816672# #老公！！！
1699245398# #哈哈哈哈哈哈哈还有体育竞赛
1694347250# #完蛋泪
1699184908# #绝,！！比佛ls请多发老师好
1691841185# #转发微博
1694371480# #转发微博
1693147548# #啊？？？哆啦A梦害怕
1702269206# #转发微博
1699796899# #啊啊啊啊好可爱
1688182557# #主打一个陪伴
1690351814# #哥，广州老师好
1691298586# #转发微博
1691925291# #8.13开场
1695396624# #转发微博
1699201984# #码住全程
1702867901# #宝宝
1700382872# #转发微博
1704038221# #我靠好帅啊啊啊啊啊啊
1699089420# #存个IP
1694264058# #转发微博
1694330007# #转发微博
1698256505# #好帅我的🐷抱一抱
1699571340# #一定看！！！你不睡觉的嘛！！！！赶紧去睡觉！！！！
1701525874# #见不见……
1699704618# #哈哈哈哈哈哈哈哈哈哈
1693313813# #转发微博
1694262682# #转发微博
1691331885# #？？哈哈哈哈哈哈哈哈哈哈哈哈
1698974299# #让他说！！！
1698489085# #“我开始找你了”。领到菌菇ls的应援啦haohao看！！！。有点恐高了我的天啊苦涩
1691289020# #薛之谦京都念慈菴品牌代言人喵喵薛之谦化身老师bgm
1691000034# #转发微博
1695103840# #服了……
1692509483# #啊啊啊啊啊啊啊悲伤
1691755984# #我本来应该一生无爱苦涩
1699702804# #哈哈哈哈哈哈哈哈哈哈哈还好有字幕
1702821046# #好好好
1699790931# #老公！去
1703336634# #好多人啊
