1703039828# #好有礼貌的一群小猫呀
1703622721# #你俩别紧急避险了，去打德杯吧。
1703953867# #第一次感受到和竞男的年龄差……老地出道那年宙斯才八岁，而我已经上高中了融化融化融化
1704449978# #非常幸福的，非常完美的23岁生日。
1703753441# #……伤心
1703589683# #求主播给个机会，让我上舰可怜
1704541149# #宝宝你是最勇敢的宝宝！！！我心碎了你是不是看到一些不好的话了🙃🙃🙃🙃🙃🙃苦涩苦涩苦涩苦涩苦涩苦涩
1703624220# #怎么评论没人提备香，我好爱时之恋人那个皮肤可怜
1703627164# #不知道昨晚睡前看了什么东西，做梦梦到胖彬彬被blgthx了，然后blg买了一个新的上单，忘记是阿乐还是谁，反正急得我想哭。原来彬彬在我心里如此重要。
1703989555# #换包了～满意兔子兔子兔子
1703742569# #太丑陋了
1704039648# #新年快乐！！！新的一年要开心啊我狗！
1703887965# #好
1704591998# #勋勋快乐杯
1703924998# #想和我家狗换换，他去上班我在家天天躺着。
1703888098# #交叉手宝宝！！！
1703167409# #第一个发明信片的小朋友值得奖励小红花……所以其他小朋友呢？
1703745863# #还挺温柔的这个作者苦涩
1703288762# #啊啊啊尺花の默契
1703953607# #小宙宙的年纪，不知道俺们老地也正常伤心
1703429057# #今晚很完美兔子
1702951891# #看了眼obgg，大家都在努力备战德杯。偶们blg连选手带教练都还在玩水，要是铜河小破船德杯就沉了希望大家骂轻点。
1704194414# #啊啊啊啊啊啊啊啊啊可爱识神小狐识神小狐识神小狐识神小狐
1702960996# #平安🙏
1703106063# #这是我能看的？
1703057820# #有种22年滔搏大名单的美干饭人
1703412150# #今天晚上做了匈牙利炖鸡和酸辣肥牛锅，事实证明我没有一点做西餐的天赋。成品可以说惨不忍睹了。
1702989812# #我行善积德就是为了看这个的苦涩苦涩苦涩
1704535508# #溺爱！！！
1703276950# #顶级ad的意识
1704293487# #啊啊啊啊啊有画面了
1703413069# #他俩也是偶遇……xs
1704030074# #看到你笑我也放心啦～多多磨合兔子狗宝我们明年见！
1704201714# #帅的傻的确认完毕
1703030395# #看20年和21年kk过生日的视频，当时和现在blg的几个差不多大，还是非常可爱的，现在在blg看着和几个小的都差辈了苦涩，一个是年纪大一些，一个是23年一年真的苍老（这词合适吗）了太多了吧。
1703586329# #主播什么时候出来让我看看1088烫的头。如果是春季赛那还得等一个月苦涩
1703463425# #去年手子进lbl的时候id是「可是回不去了」，这id来形容乱七八糟的凰人关系还真是贴切。当时天天在狗直播间看lbl，从中秋lqs发疯开始，这些人的精神就一个赛一个的不稳定，直到一级警报拉利己主义进自定义房间。而我当时的关注点居然是……。。一些成为纯杂的有迹可循委屈
1703229735# #期待一下2024捞屁捞第一豪华银河战舰的成绩嗷。
1703239256# #其实也挺有意思的，我的朋友里，阿佳是币子粉丝，土子是学妈妈，还有我的狗娘亲友是壳杂，明明大家所愿所想都不一样，但是因为都是很可爱善良的女孩子所以一直很和平相处着笑cry
1704275862# #卓哥，封你为lpl第二帅辅
1704515528# #我现在看四小碧还是挺顺眼的，希望我这种稳定的情绪能维持到今天结束鲜花
1704073022# #啊？hz真觉得输blg是上中野五五开然后全是下路问题啊？我惊了吃惊吃惊吃惊
1703513107# #原来rng要是赢了blg就对上wbg了……最爱看的一集笑cry
1704465160# #有没有人跟你俩说上班时间禁止谈恋爱的🙄
1703225835# #我的宝贝女儿怎么可以这么帅
1703280468# #再也不好奇去翻队友粉丝的微博了，全是恶意。ym出道，lpl首站苏宁，在滔搏贡献了职业生涯最好的四年，在京东拿了生涯大部分荣誉，兜兜转转也是老将，来到blg唯一希望的是你天天开心。回首向来萧瑟处，你甚至没有什么可回首的地方，那就只能此心安处是吾乡了。
1703246726# #杭州已经冷得我头疼了融化
1703890098# #才看到手子和勋讨论该不该九分钟买真眼，我轮流被他俩说服。。手子：九分钟买两个真眼是坏习惯。。勋子：你理解浅了，比一件400的装备作用大。。手子：你买真眼一直被对面排对面更肥了。。勋子：他排需要浪费时间。。手子：他本来就没事干，你放个真眼给他排。。。然后弹幕：不要质疑丞相的理解！！！！
1704552932# #抽我！
1704439006# #晒哥还不知道这是我们2024银河战舰的首发上单吗可怜万磊立生死状那种
1704541407# #knight卓定超话宝你今天把我帅晕了！！
1703773928# #天选blg粉丝喵～我一直是叔叔的信徒喵～
1703592207# #纯子前一局撞viper这一局撞guma，都是冠军ad什么时候撞狗啊……带我狗上上分苦涩
1704256678# #有点可爱了彬彬
1704605551# #韩国人：元彬玄彬金宇彬陈泽彬！！！
1703362579# #哈哈哈哈哈哈哈哈
1704192495# #我纯伟大
1703905909# #这什么啊吃惊吃惊吃惊
1704556296# #奈特9，你今天居然不直播来骗钱。
1704516072# #？头头？
1704201375# #原来波咪和薇咪不是ts的猫吗
1703861968# #勋子你滤镜比我深
1704375294# #已知。Jdg3:2tes。Jdg3:0ra。Ra3:1lng。求。Tes?：？lng
1703218645# #你们笑的话，我也会开心！意思是多发，爱看……
1704410674# #反攻号角吹起污
1703674440# #rng.狗宝的第一张奖状赢牛奶
1704597478# #我老凰怎么总是这种时候被鞭尸啊
1704331571# #彬子你的愿望好朴素
1703670864# #汗流浃背了，小哥哥们。
1704123705# #可爱的～好快乐的游戏
1703764425# #膏嬷居然会因为勋和手子互动破防……你们不是都有无所不吃的韩国老公了吗？
1703057907# #Cp脑是种没救的东西委屈
1704587110# #卓定没对不起过滔搏和京东，都是队史第一荣誉中单，更是滔搏全部荣誉的中单，但这两个超话里都把他当做仇人，那我只想说，对不起啊，他在对面就是那么强啊。
1704255581# #萌死我了苦涩
1703818465# #有种阅尽千帆以后，找一个人细水长流，却被迫卷进江湖纷争当中。捞屁捞版莲花楼上演！！！
1703553361# #要是遮住id我只想说此女太🍵了
1703862138# #啊？怎么就卖起来了揣手揣手
1704546197# #聪明的纯杂已经开始可怜
1704458607# #Kk不去微博之夜才是真的紧急避（头发的）险
1703152425# #竞厕的小仙女们，我手真不是你们嗑看牙的工具人……你们把卓定看成kanavi的共事一年的同事就行了，别太在意了。kanavi生命里的中单虽然就两个……但是我手的打野可以排排座fmvp都有两个了……
1702951245# #德云色评级。Edg都a+，我们rng只有a？
1704599506# #看视频还以为包揽前四了，那一波阿卡丽三杀也被剪进去了羞嗒嗒
1703064106# #们碧梨几是靠上野辅打输出的……双c只能带节奏……
1703773490# #啊啊啊啊啊啊啊啊啊啊啊啊虽然看不懂但好好笑
1704081302# #哈哈哈哈哈哈哈哈像一群长辈带个小孩给大家拜年
1704103089# #这两天的比赛总结下来就是。水水～眉眉～元气满满！！
1703755426# #414
1703230475# #突然纯爱了
1704600754# #我记得高考前大明给班里每个人都发了定胜糕苦涩一些很久很久很久以前的回忆
1703427071# #刷到视频说中国最辣在江西，江西最辣在萍乡……好奇有多辣了笑cry
1704274898# #小炮打妖姬成功，打的还是有皮肤的妖姬笑cry
1703587978# #看看其他鸡去
1703902091# #四小碧的23年述职报告：打了很多比赛，成长了很多。。我手的23年述职报告：赢了现队友八次。笑cry
1703523570# #一晚上我就改观了，勋宝宝好适合当老公（bushi……
1704550121# #这是什么？外套？递一下！
1703133513# #我的年度关键词↓
1703129014# #小麋鹿圣诞快乐🎄
1703071544# #大婶，球球你离大叔远点好吗。不做别人的公主做自己的女王不好吗融化
1704545023# #我们是1！吃馕
1703375008# #存一下
1704541380# #后知后觉，我们rng居然是德杯唯一赢了一局blg的！误会解除！！！
1704546886# #TAT
1704540314# #还真fmvp了
1703399462# #……虽然这剧一分钟都没看但我已经在扫荡loftag了
1704193053# #谁懂啊第一次当全华班粉丝好快乐（自动忽视23凰）
1704529378# #做针清了吗宝宝苦涩苦涩苦涩
1704264257# #相信奈特！
1703861990# #啊啊啊啊啊啊啊啊啊香奈儿宝宝！！
1704256839# #夹总真的很爱夹，我每条评论都会回，不回的就是被夹了。
1703507077# #哇，prince用了心之钢ez的皮肤吗笑cry，支持一哈。
1704454468# #？？？震撼我一整年
1704203952# #卧槽？！！！！还认识啊？？
1704292924# #今天的约德尔兄弟两小只真的萌死了
1703521610# #怎么还电话会议。。边社长别太迷人了
1704193246# #说起队内语音我真的一把辛酸泪，23凰因为赢得很少，基本赢一把bo3要剪两期语音，不然没素材发。刚去看京东比赛的时候很疑惑为什么赢了不发语音，原来因为赢得太多了要攒几局发一期融化
1704037688# #哥哥叫我努力生活！苦涩苦涩会努力拿更好的面貌面对2024的！
1703587208# #中野二人转
1703418994# #……既不像格温也不像赵露思……是怎么做到的
1703389806# #充满干劲的小碧宝宝们！！！
1704081211# #哈哈哈哈哈哈哈哈哈哈哈哈建议森森明报警
1703588598# #狗宝加油～
1703313630# #Per现在居然长这样？在edg的时候感觉胖不少……
1704417689# #一看闲鱼，德杯决赛票怎么翻两倍在卖啊苦涩
1704038783# #2024小碧请相爱！
1704080295# #2023大事记里有msi夺冠和心之钢。很幸福了兔子兔子
1703211761# #宝宝上大分了……泪目
1704030328# #注意身体！天天开心！穿上羽绒服！！！
1703377809# #好可爱啊我宝
1704027504# #剪头丑三天，没关系，我会溺爱融化
1703324005# #蹲在ad直播间那里听一点墙角，好卑微，好可怜苦涩没想到我有一天也会沦落至此
1704457743# #诀别诗～两三行～写在三月春雨的路上～
1704017770# #Letme但凡每天看看knightrank战绩都不会放妖姬的。
1704298005# #比赛也熟点吧宝宝萌
1704532767# #忍不住了。。
1704288509# #我纯居然不是队里rank最多的了苦涩彬彬昂昂请保持
1704549908# #勋勋可怜
1704022133# #汤圆宝宝，别轻易单杀手子，他记仇的。
1703127421# #有种以前qq养巨轮的感觉。但是单向舔狗版。
1703634301# #我的妈呀，震撼到我了壳壳子
1703115506# #早上起太早，在那看烂活小号发的人皇sky的自传解读，千禧年左右的国内电竞环境也太差了吧，之前看过什么若风乘地铁去拉赞助，跟sky那会儿比起来根本不算什么了。为了一百块的季军奖金跑到西安去打星际的比赛结果首轮就被淘汰，每天的伙食费就一块五，睡网吧仓库里训练，好不容易赢了5000奖金结果主办方
1704198716# #有李安电影的内核了
1703040479# #我叫你kanavi，你叫我wayward，咱俩各论各的干饭人
1704076342# #笑死我了，论坛的人永远脑容量只有一场bo5，马上就要有人说左手不会妮蔻了。夏决也才没过去多久吧笑cry笑cry笑cry笑cry
1704558454# #服了啊！网管我给后面那个戴帽子的付网费！！！
1703988474# #欧恩宝宝写的实用的礼物居然是彬哥签名照……我说别太爱了欧恩宝宝。
