1701822244# #TOPESPORTS超话。转会期没有你🍑早晚得凉
1701611812# #TOPESPORTS超话。🍑人三大美德。自由：直播主打爱播不播。有爱：虽然大家都是🥬，但是关系非常好。相信：主打一个相信
1704211289# #TOPESPORTS超话怎么说doge
1691768955# #京城大师赛超话。嘴大老师什么操作？
1690970614# #转发微博
1691335238# #京城大师赛超话。一人血书王勃霖多来几天，给点儿机会吧……。我真的很看好他……从公开赛开始就很期待……。来着一天……等于没来…………
1692892035# #京城大师赛超话。夸夸徐姐！夸夸陈彬！夸夸歪哥！夸夸干干！夸夸耀耀！！！！！！大家都很优秀！！！！。夸夸！！我猛猛夸
1690974495# #京城大师赛超话。ks:今天谁坐8？。jy：wbb坐8，你坐8能不能离我远儿点？。wbb:那我为什么坐8？。jy：那我热呀！。wbb：那我拿狼把你刀了，你出去凉快
1690890162# #京城大师赛超话。谁去幼师赛常驻doge
1701432566# #TOPESPORTS超话。实在不行，大黄晴天转辅助呢……………………
1702379854# #加油！！期待明年！干饭人干饭人干饭人
1690805094# #京城大师赛超话。JY：把直播间刷……的都屏蔽了，还有梅西，周杰伦……把那个樱桃布丁，不行，不行，樱桃布丁我不敢，你们刷吧。。真的很好笑哈哈哈哈哈还有刷JY的，把JY也屏蔽怎么说doge
1691043964# #舞台2023快来推荐你最喜欢的歌手舞台吧！
1702097427# #TOPESPORTS超话。为一个时代画上句号，续写新的传奇干饭人干饭人
1702521485# #TOPESPORTS超话。孩子又上线把名字改了哈哈哈哈哈
1692022531# #京城大师赛超话。《神秘嘉宾的真面目》。干干：所以荣耀就是突然出现在了yy。KS：我以为就是咱俩双排呢。KS：应该就是正好在玩儿看到我们就一起了。干干：这神秘嘉宾也太神秘了
1701597801# #TOPESPORTS超话。不是，明天估计真要结婚吧。今天猛猛官宣
1700237068# #jackeylove超话。生日快乐！！！
1701183909# #璀璨闪耀，热爱爆表~我在2023超话大赏pick了TOPESPORTS超话，快来和我一起为更多年度竞技注入热爱！参与还有机会获得999元现金红包哦！
1690957369# #是谁要带资进组演女主…我不说……
1692016284# #京城大师赛超话。哈哈哈哈哈哈ksssssss在pubg里被熊挠死了。一枪没开，伤害为0
1691416529# #京城大师赛超话。王勃霖真的很强，但是，咋总保警下呢。发言听感真的好苦涩
1690545794# #我求你苦涩求你们……赢
1690203845# #二手书超话。出原耽周边福袋，价格自定，绝对保值！。立牌，色纸，吧唧等等。可以许愿，剩的不多了
1702217026# #TOPESPORTS超话。来，跟我念，TOPESPORTS超话。Tao滔Bo搏，TES，🍑
1702015275# #TOPESPORTS超话。好好好，不是全明星之后吗？。这就宣了，那就一块儿吃饭吧干饭人干饭人
1700389426# #TOPESPORTS超话。最高的山，最长的河。真的…十年了
1691075913# #京城大师赛超话。抗推一民，赌一刀民，然后自曝双刀，有机会的苦涩苦涩苦涩
1693407272# #京城大师赛超话。牛肉干：我是吃刀守卫？我怎么不知道？。荣耀：哈哈哈哈哈哈
1692887491# #京城大师赛超话。心疼牛肉干，怜爱牛肉干。心疼ks，怜爱ks。心疼牛肉干，怜爱牛肉干。心疼ks，怜爱ks。心疼牛肉干，怜爱牛肉干。心疼ks，怜爱ks
1701315776# #转发微博
1701855488# #帅帅嘟干饭人
1701952989# #TOPESPORTS超话。别管，滔搏牌pxx，我先砍一刀
1702379325# #以后就是TES.Meiko辣！！！
1693238432# #京城大师赛超话。嘴大：我跳。WBB：我跳。CMJ:跳啥？我发言我直接跳。狂小K：啥？有你们什么事儿，我直接跳
1699839970# #转发微博
1691491675# #京城大师赛超话。王勃霖在直播间表示：。网断了，下次复盘。不要叫老师，名字大价钱取的。没有粉丝群，你们喜欢哪个主播我加他的群一起聊。没参加过什么大比赛，但是参加过中高考
1701619685# #TOPESPORTS超话。大家精神状态都有一些过于稳定了吧^^
1690907622# #2023LPL夏季赛我已为TES.JackeyLove加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的TES.JackeyLove打call吧！
1702359090# #看到五杀那一刻还是会愣住，原来过去这么久了呀酷酷酷
1700236915# #喻文波选手生日快乐！！！哇哇
1700241044# #生日快乐！新赛季加油！！！！！多打几年哇
1701777073# #TOPESPORTS超话。🍑人主打一个清澈好骗是吧…………。来都来了，一起吃两口呀？
1691431293# #京城大师赛超话。天猫精灵跳了个女巫，白天就把wbb毒了，哈哈哈哈笑死我了。wbb：永久关机。天猫精灵：好的
1702008090# #TOPESPORTS超话。滔搏的伙食很好的（粉丝需要担心的是他们吃太多…干饭人），住宿条件也还不错（放心，有🪟），大家伙的关系更是不用说，无论成绩如何，都会是一群关系很好的🥬
1696945499# #京城大师赛超话。所以…大哥不倒钩7出局了…………
1704114362# #TOPESPORTS超话嗯…春季赛加油
1692715909# #我的cp素尊嘟美帝
1692935544# #顺顺利利
1702620472# #❄️
1689424876# #2023LPL夏季赛2023LPL我已为TES.JackeyLove加油助威！他是我心目中的最佳选手！快来和我一起为TES.JackeyLove打call吧！
1691730089# #京城大师赛超话。别吵毛球看看我定的下周五去北京的票。去dss现场喽～。（有没有同一天要去的弹幕老师！可以一起）
1702219505# #你冰精彩的一天哇
1703087636# #TOPESPORTS超话。不是tes六周年而是TES六周年。TES要大写！！！
1691422995# #京城大师赛超话。11好像已经被打蒙了，笑死了
1697810513# #欧呦！可爱鼠了！！！！！
1701789260# #TOPESPORTS超话。老师，为什么不能让我们天水和松妹keria一起五个人开游戏呢？干饭人干饭人干饭人
1690737380# #京城大师赛超话。wbb荣耀连麦pk…简直了……。晚睡人的天堂………谁看谁知道
1703493736# #TOPESPORTS超话。猜你想听：《稳稳的幸福》哇哇
1704107564# #TOPESPORTS超话。“大龙报了去年一整年的恩”。我说，听懂这句话的都哭了………………
1701304136# #2023超话大赏火热进行中，我已为TOPESPORTS超话注入1点热爱值，快来一起为超话增加热爱吧！参与还有机会瓜分红包和实物大奖哦！
1692723242# #停看一周大师赛。血压真的有点儿高了……。现实中的高…睡不着了
1692792310# #京城大师赛超话。我艹，全对，哦莫哦莫
1702027037# #TOPESPORTS超话虽然总有人说谁谁谁走了，等着看回旋镖吧，但是队员（无论是以前的还是现在的）大家的关系都一直很好，战队内部肯定是很和谐的，不然皓哥结婚也不会有那样的伴郎团，团队氛围这一块儿你🍑一直遥遥领先
1704213815# #jackeylove超话。【已开】。评论抽个11.18。4号中午12点开。（🧣别夹了…真别夹了……)
1692401312# #京城大师赛超话。想做梦一样……苦涩
1700315483# #🐎
1692715132# #陈人李超话。唉，好磕…随懂……好磕哇哇哇
