1702361896# #最N车手竞速盛宴期待明年的赛事送花花
1698897534# #Perkz嘲讽Xiaohu和Yagao：他们就是两个菜逼。。。不过有一说一，阿P和Caps这俩人好像从来都不承认国产中单，比较吹韩国中单，AD方面确实是承认Uzi很强。。。英雄联盟s132023全球总决赛
1701420037# #理性讨论：明年这三个超级AD，哪个综合实力更强一点？。。英雄联盟2024LPL
1696751385# #EDG老岳直播透露：EDG买不起阿水，想要谈JackeyLove的需要拿出4kw，他和TES是养老合同。。。阿水现在是联盟最顶级的薪资水平了吧，应该没人能超过他。荣誉比他多的比他年纪大，比他年纪小的没他荣誉多。。。英雄联盟S13英雄联盟
1696647208# #同样是S赛前大满贯，为什么今年的JDG和18RNG人气水平差这么远，至少差两个档位吧。。。英雄联盟英雄联盟S13
1696145551# #阿水是不是天选之子，就今年韩国队状态来看上369和JKL也很难战胜，不过很大概率会拿下一局，但似乎也难逃输局。。。这波直接避免了一波大的。笑cry。。英雄联盟2024LPL
1704375337# #Xun：MD，这次左手在我这边了！。。Yagao：这次Ruler在我这边了doge。。属于是各有各的不服馋嘴。。英雄联盟2024lpl
1695118586# #周淑怡道歉后恢复直播火爆依旧，沉浸玩游戏直接无视弹幕。。。英雄联盟
1702979434# #大B主播如果一直躲韩国不回来，会影响孩子考公吗馋嘴。。孩子是韩国户口吗？糖小幽真舍得孩子去服两年兵役？思考。。英雄联盟Doinb
1701835614# #今近日TES经理郭皓结婚婚礼，阿水携女友五五作为伴郎伴娘出席。有网友偷拍阿水女友照片，角度离谱，五五被网络攻击，对此五五本人更新微博回应。。。个人建议网络评价不应上升到外貌攻击哦。。。英雄联盟2024LPL
1690205096# #我还是觉得大家应该多谈恋爱，尤其是家境尚可，心思纯良的女孩儿，在年轻的时候更要尽可能多见识到不同的男性。。。然后你就会彻底打破幻想，理解到自己对爱情的理解有多么天真，认识到自己对他人的期待有多么理想，认识到所有关系里人性中幽暗龃龉的面向，意识到自己长期坚持的精神信仰，对爱情的崇高描
1702000149# #涵艺又爆料TES的B计划Lvmao。。。TES粉丝表示要请个大师来看看风水是不是不好，给LNG开光的那个大师就挺不错。还有做梦梦到TES大名单的笑cry。。不过确实桃粉被遛麻了，年年转会期TES小明，今年又轮到Meiko。。。目前Lvmao确实没有工作，有没有可能TES下路轮换呢馋嘴。。英雄联盟2023lol冬季转会期
1703735731# #前英文流解说Kitty分享照片：太冷啦，多喝点热水。。。英雄联盟2024lpl
1695278263# #小杨哥邀请嘉宾涉猎的领域越来越多了，之前NBA的哈登请过来，这次是电竞圈的顶流Theshy。。。很难想象羞男在带货直播间的表现笑cry。。TheShy和小杨哥联动
1702610262# #网友热议：TheShy不打比赛对于LPL来说明显是后患无穷！。。各位觉得Shy休息，会对LPL有什么影响呢思考。theshy英雄联盟
1703553660# #签个主播当教练doge。。各位认为白云执教RNG有没有什么说法思考。。英雄联盟2024lpl
1703929240# #Meiko真的一年不如一年了吗疑问。。Meiko近四个赛季数据对比：KDA、分均插眼数据下滑。。。英雄联盟2024lpl
1702955667# #LPL转会期结束，各大俱乐部宣布最终阵容，六支全华班剑指S14！！！。。BLGWBGTESRNGOMGIG。。各位看好这个赛季的全华班吗？。你的评价是剑指S冠，臭鱼烂虾还是未来可期呢思考。。英雄联盟2024LPL
1699782324# #大龙团的这波，导播回放给到Faker镜头，不知道你们看出来没，大飞的压力是真的大。允悲。。JDG对战T1英雄联盟S13
1700379482# #所以今天的突破口，还得是大飞？。。S13总决赛比分预测WBG对战T1
1704339475# #BLG3-0NIP：下路状态奇佳把把线杀，BLG上下打穿横扫NIP。。。看来今年的大小王说不定真要重新洗牌了思考。。英雄联盟2024lpl
1701915786# #LNG经理左雾发文：人齐了！等官宣！。。阵容大概率是：ZikaWeiweiScoutGalaHang。。各位认为这只李宁怎么样呢？Tarzan将何去何从思考。。英雄联盟2023LOL冬季转会期
1697597258# #是什么原因导致Ale对于369这类上单的轻视？。。英雄联盟英雄联盟S13
1701763224# #如何评价网友认为是BLG是因为买左手，所以没钱续约Tabe了？。。英雄联盟2024LPL
1702363058# #LNG官宣Tarzan离队。。。好家伙真的走了，这违约金要付多少呀，本来以为会雪藏他，这下二等兵直接回韩国报道了，违约金一拿美滋滋，塔赞不会就等这一手了吧笑cry。。。话说李宁股票有没有被这小子干下来doge。。英雄联盟lng官宣tarzan离队
1703836262# #英雄联盟2024LPL。。Deft：LOL里面中路是最重要的，想去中单实力很强的队伍。。。韩媒国民日报发布KT下路Deft采访一文，原文第二部分内容翻译如下：。。Deft：最大的理由就是成就感，事实上今年完全没有感受到成就感。因此当想着能打得更好或更上一层楼时，成就感最大的队伍，以及我最能努力发挥的地方
1703060691# #各位认为Karsa之前本人下意识说“出国”和这次的GEN言论哪个性质更恶劣一点呢思考。。英雄联盟GEN不当言论
1704181847# #JDG的韩援真的一顶一的猛，据说转会期JDG还给Zeus报了价，那这两个韩援能换了谁思考。。英雄联盟2024lpl
1698707815# #LOL全球总决赛S8-S12的八强对战表，今年确实已经是最理想的对阵了吧？。。英雄联盟S13英雄联盟
1689840133# #我觉得恋爱中一些很小很小的细节，是真的能给人安全感的。。。好像和他在一起之后就是这样。任何时候我想看他的手机都可以看，哪怕一直拿着他的手机打游戏也没关系。对他来说，手机不是什么需要藏着掖着的东西，也没有什么不可以给我看的秘密。。。我们出去玩的时候，总是他拎着大部分东西，就算是我主动要
1703144794# #P﻿CS赛区CFO战队今日进行媒体见面会，并在媒体见面会发布了新赛季阵容。。。除上单Rest和下路Shunn外，前闪电狼、RNG打野Karsa；前闪电狼、SN辅助SwordArt；前NS、FPX韩援中单Gori加盟战队。。。希望能在世界上再见到他们。。。英雄联盟CFO公布新赛季大名单
1702005463# #JDG官博发文感谢TGA。。。不得不说京东上半年打的真不错。。可惜了，世界赛上打输了，败给了世界赛战术与状态最好的T1。。。不过也恭喜JDG获TGA最佳电竞俱乐部。打call。希望接下来JDG能为我们带来更好的成绩，继续证明自己努力。。JDG发文致谢TGAJDG获TGA最佳电竞俱乐部&nbsp;
1697871893# #369是不是为团队牺牲太多了，现在甚至有人认为他不会对线允悲。。英雄联盟S13JDG对战LNG
1695976960# #爆！DYS德云色理性分析亚运LOL失利原因，直言第六名去亚运就是碰瓷。微笑。。“你上了一个最强中单，但是上了俩第三，三个第六名的。主教练朱开甚至几个月比赛都没参与，人家韩国队召回常年在LPL的打野Kanavi，连Faker都不给上。”。。英雄联盟中国队铜牌五ban打野
1702610539# #网友热议：Theshy是电竞肖战？。。同样是本人没什么特别大的黑料，同样是因为粉丝导致被攻击，同样是工作被影响。。各位认为Shy从经历上来说是电竞肖战吗思考。。英雄联盟theshy2024LPL
1699017139# #最新战报：GEN几个人走着回家的笑cry。。BLG战胜GENBLG晋级S13四强
1697017673# #DRX跟WBG选手在基地大合照，所有人一脸笑容！。今年微博有没有可能拿到去年DRX的剧本。。英雄联盟英雄联盟S13
