1700872887# #刘宇宁宁远舟｜刘宇宁一念关山期待11.28，不见不散@摩登兄弟刘宇宁
1699573276# #打call
1703423061# #老大拍点新的呗？哈哈哈哈哈哈
1700453924# #打call
1690323625# #鲜花
1694842356# #打call
1704159018# #2024继续前行，越来越好！@摩登兄弟刘宇宁
1703760398# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！驾驭高能时刻一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1694842325# #心
1689584412# #心
1690644162# #心
1693288876# #刘宇宁最受欢迎男歌手恭喜老大@摩登兄弟刘宇宁
1704512704# #刘宇宁直播不见不散@摩登兄弟刘宇宁
1700263802# #打call
1695248043# #恭喜老大，获得年度推荐歌手鼓掌鼓掌鼓掌鼓掌鼓掌
1701749324# #鲜花
1693901632# #鼓掌
1699573263# #鲜花
1692452867# #心
1695767347# #打call
1688882654# #心
1704030166# #刘宇宁毛不易为啥唱这首歌刘宇宁和毛不易合唱的《走天涯》非常好听，创意十足，一起来听吧哈哈
1695348435# #和刘宇宁共享心声。微博音乐盛典期待舞台上的你@摩登兄弟刘宇宁
1695359849# #和刘宇宁共享心声‖微博音乐盛典优秀的刘宇宁@摩登兄弟刘宇宁
1701349228# #刘宇宁宁远舟｜刘宇宁一念关山继续追剧打call打call@摩登兄弟刘宇宁
1704092986# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1702192272# #打call
1694842299# #心
1691385247# #心
1702192249# #鲜花
1695767304# #心
1691103620# #心
1691288426# #哈哈哈哈哈哈
1702942364# #刘宇宁宁远舟｜刘宇宁一念关山宁远舟江湖再见。@摩登兄弟刘宇宁
1701144293# #刘宇宁一念关山‖刘宇宁宁远舟听歌、追剧打call打call@摩登兄弟刘宇宁
1701176778# #打call
1694842342# #鲜花
1701257283# #打call
1689584434# #心
1701144203# #刘宇宁一念关山‖刘宇宁宁远舟听歌、追剧打call打call@摩登兄弟刘宇宁
1701749351# #打call
1704182296# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1697685071# #携手并肩
1698207788# #心
1704045908# #新年快乐，新的一年，顺顺利利@摩登兄弟刘宇宁
1691878080# #心
1704233473# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1701490260# #刘宇宁脖子前倾宁远舟好红啊，来爱奇艺一起看一念关山吧
1701488137# #鲜花
1701749391# #刘宇宁官宣微博视界大会不见不散@摩登兄弟刘宇宁
1689812565# #打call
1695348249# #微博音乐盛典期待刘宇宁@摩登兄弟刘宇宁
1701176751# #打call
1689172675# #心
1704092961# #微博跨年狂欢节我已推荐我心中的2024跨年最佳舞台，快来为你喜欢的舞台点亮加油吧！
1704281734# #摩登兄弟超话举个爪，求个翻牌啦
1704046988# #刘宇宁哭了告别2023，告别宁远舟。。期待老大2024年解锁更多的角色
1689172706# #鲜花
1688995486# #哈哈
1693524519# #听老大介绍家乡的历史传承，了解更多的宝藏文化。@摩登兄弟刘宇宁
1689919625# #心
1694842312# #鲜花
1702192233# #心
1703046519# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！每周集卡数TOP30必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1696093566# #国庆快乐
1703046642# #我推荐《一念关山》为微博网友喜爱剧集，好剧集带来的感悟、力量和快乐是剧集之外留给真实生活的彩蛋。一起来微博之夜让好剧集感染更多人吧，参与互动还有机会赢大额红包和盛典门票哦！微博网友喜爱作品戳&gt;&gt;
1689812502# #心
