1695188082# #我没笑啊，嘴自己动的
1699013447# #画的汗流浃背了有点晕
1704096762# #我操我不行了允悲允悲lng是啥，不是液化天然气吗熊猫从来不认识什么lng啊
1695121582# #老师，给我们家学学的为什么难度这么高微笑
1695563479# #石油告诉我为什么室温23℃你要开26℃的空调微笑微笑微笑
1697629412# #么么哒
1700665805# #我服了
1692384029# #苕皮爱你
1701023163# #2023LPL全明星我已为助力一次，快来和我一起为TA加油吧！
1695790127# #xmm实🔥
1697000442# #还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！还我草莓三角派！泪泪泪泪泪泪
1695982821# #《其他》
1699251337# #是真的鼻子，我坐过
1702375772# #哇塞女王你好痞女孩儿女孩儿
1698648839# #我还以为是瘦版大馍哥吃惊。转载了的微博图片
1704178225# #买个八嘎cs蛮好的允悲
1702804000# #这个南通好玩的我🐤了两滴加油加油女孩儿
1693142379# #又搞又叫的，我服了妈妈微笑
1696511932# #鼠博你bt的有点吓人了吃惊吃惊吃惊
1691522101# #再也不玩ad了微笑。去上路搞个塔姆看谁不爽直接吃微笑
1696320244# #吓我一跳我释放忍术
1702574215# #脚好冷揣手揣手揣手看不到几个，打算三点再出来
1698216520# #又出现了哥
1695969925# #如同天上降臭鞋，真是人间找理解！
1699179414# #再见吧，我和学学先走了。你继续直播带货吧贱人，进个臭八强把自己瘟死允悲允悲
1698925129# #LNG京东有打折，我们老夹也能主场作战作揖作揖作揖
1699788746# #真是一场酣畅淋漓的评分啊！
1698579824# #我真服了牢底
1699788299# #JDG对战T1京东还是厉害允悲允悲
1701067442# #妖妇你想干什么
1701100155# #上学威龙
1697550763# #S13应援就看比心世界赛加油
1692263148# #兵荒马乱
1700745213# #2023LPL全明星我已为助力一次，快来和我一起为TA加油吧！
1699180164# #我操你们认错了吧我从来没看过什么lpl，一直说kpl的粉丝啊迁就无敌允悲允悲
1701597530# #我评论。
1697536447# #九号电动，启动！
1697638624# #兄弟萌加油LNG加油LNG加油LNG加油
1698931407# #天杀的厂家，又有瑕微笑
1703242980# #真没吃过青菜炒鸡蛋
1696768301# #无限火力玩的我想下个农。。生病生病生病
1699103313# #天才
1696176515# #为毛李飞都有榜一大姐跪了跪了姐姐们谁保养我一下
1691513967# #搞快点紧跟大时代捞公说话！@左雾君
1697525705# #集抗懂得还挺多
1699790086# #有意冒犯
1692763607# #一把都不会输➕男刀皮肤，猴子你好歹毒微笑微笑微笑
1703494478# #回来吧我的大币允悲允悲。我最骄傲的主播泪泪泪泪。历历在目的猴叫悲伤悲伤悲伤。还有给力的开团兔子兔子加油加油加油爱你
1700399937# #两头抽允悲
1699182061# #又尽力了哥允悲允悲有没有懂哥教一下硬冲上去被鸡蛋哥杀什么操作，4800太有含金量了允悲允悲
1700535868# #我去这么烧，厚乳你允悲
1692379973# #只能说成男更适合老学思考
1699539833# #诶妈呀，批李宁输一次我破防一次，现在直接把批李宁取关了后，发现我关注列表只剩下陶波一个俱乐部。。。
1692778245# #用了三年的鼠标电池在我打排位的时候突然没电了生病生病生病还是刚打赢团，去找电池回来直接点了。感觉我走的时候有被骂很多傻眼傻眼傻眼
1698221746# #太有才了
1696613517# #接下来要连上七天的我belike:
1702647302# #伤害你这个见人揣手
1700555281# #这个我真想要兔子
1700924322# #太有效果了哥
1695969071# #到！
1697606665# #LNG加油LNG加油LNG加油LNG加油LNG加油LNG加油
1697624476# #明天加油
1704192134# #老蝗虫给我笑晕了允悲你八嘎的滑板鞋打的臭不可闻还怕说吗，这么闲找噗主播给你家子涵补补课吧晕晕
1694277434# #【菜鸟驿站】您的快递【s13皮肤小小vn】通过中通包裹已到菜鸟驿站，请20:00前凭23-7-4396取件。
1704525591# #玛雅，回来吧我的牢币
1697723106# #可爱捏LNG加油
1692331641# #2023LPL夏季赛我已为LNG.Scout加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的LNG.Scout打call吧！
1695744980# #你想萌死我吗，朋友爱你
1699172842# #退网！
1693225818# #我操学大哥女孩儿女孩儿女孩儿
1692271153# #我有点难受允悲允悲
1694161979# #求求你们不要再嬷我老公了泪泪泪
1698674881# #急的舔猪脚了
1699172811# #哪个贱人干的微笑
1698632426# #我操一千大米。啊啊，啊啊啊，啊啊啊啊。舍不得把它关掉女孩儿女孩儿女孩儿。骂蝗积德了
1699683750# #批抖音听不懂人话微笑微笑微笑再推删了
1698579677# #微博开了吗疑问疑问疑问疑问
1695975146# #我要反思，已经看了那么多乐子，竟然还因为看不到更大的乐子而失望悲伤悲伤
1693318786# #心情
1703438140# #好好好刚打算睡呢，早八困死我算了围观围观。老登爆点金币兔子
1699185023# #学学你没事我就还好泪
1697541088# #嘎啦有点像我高中读课文。。
1696859926# #讨厌玩这个叫啥来着英雄的生病
1697211554# #欸，甜甜珂原来这样了
1691667821# #lng加油打call
1695972450# #英雄联盟中国队vs越南队。闹麻了，合影赞赞赞给力给力给力
1691990240# #泪泪泪泪抖妈你们人呢
1695975254# #是螂给的诱惑。。
1694960346# #傻逼英雄联盟天天打到红温，退出打开斗鱼发现大b十把就赢了一把舒服多了
1704012040# #我操你快删了吧允悲
1699790960# #都怪那废物教练与队友～
1697416444# #尊嘟假嘟，骚ez我立立立立立
1698405564# #哥几个心里有啥事和学妈妈说，学妈妈都给你们解决了，别再吓妈妈了作揖作揖
1699789510# #棒子失误大声喊叫，华子犯罪轻声尬笑允悲
1696920713# #光头也有月经
1692629799# #野餐在哪都是当宝宝的料女孩儿
1691584243# #lng无敌打call打call打call
1697694051# #很久没看到这种打法了，根本不经过大脑的思考，所有的操作都来自人类杀戮的本性，这才是最纯粹的战斗，真是一场酣畅淋漓对局啊。
1694920174# #狂封智力————😭😭😭
1695970988# #也算是做了一件好事
1696260121# #我不说你们能不能觉得我很火
1697088071# #一电瓶车创死
1704214949# #经济学窝鈤泥🐴
1698424781# #我还以为作物的头是p上去的傻眼傻眼傻眼
1693247585# #抽我微笑
1704005561# #加油抱一抱
1700978820# #这张画有点痞，又有颜值，就叫。。
1703162057# #有病啊谁问你这个了允悲允悲
1694778369# #大哥干嘛只针对我小雪雪傻眼傻眼你是我互关吧
1698658751# #我服了姐妹
1695902087# #肚肚痛痛2.0作揖给力给力
1704022223# #兄弟我人看啥了围观围观
1697107154# #LNG正式更名LNG九号电动谁偷我电瓶了
1692337505# #帅洗了女孩儿
1698937426# #俩颠公
1701236609# #两深金，，
1694578657# #tjsml
1698647709# #哈哈吃惊吃惊
1692209921# #这还不帅你们到底想吃多好的我不敢想
1694020540# #小锅锅你疑问
1699181148# #天杀的我家学学都不会笑了，老子要报警把你们这些菜逼抓起来
1700497738# #非本人意见，请大眼哥明鉴加油加油
1692623425# #想去抓主播结果被主播一球创飞太阳太阳太阳
1694134682# #为何如此幽默。。
1693650949# #集美上来两把尽力局，黑化了泪泪泪
1691589794# #又防窥屏又用韩语，太有节目了
1704091011# #我操我汗流浃背了今年先不搞竞了哈围观
1695970941# #太守今天再吹尽力我真要吐了，这妮蔻一坨屎给力给力
1695815242# #幽怨麦一个吧泪泪泪生病生病生病生病
1697126990# #baddie你最好回春生病生病生病
1701454612# #牢底你什么意思允悲允悲
1704478257# #看完德杯我已经淡淡离开了，，避免到时候太痛苦允悲允悲
1701688842# #我操你快删了吧
1691990440# #老公女孩儿
1693993574# #小哥哥你锋利的下颚线呢疑问
1697717719# #么么哒LNG加油LNG加油LNG加油
1691767476# #他好像在求救
1695969232# #集8⃣你素测弟吗
1699180847# #学学妈妈想你了泪泪这日子太苦了，出来让妈妈抱抱
1691855555# #首页爱看
1697088565# #两神经病
1692251446# #我宝宝特别棒
1695902014# #赢！
1694004663# #姐还是老的辣
1691669739# #举报这里有三个人在开黑王者荣耀爱你
1697795919# #鸡蛋别闹脾气了，你和大o把日子过好比什么都强
1698591600# #好吧孙子。。
1697473977# #吃去吧，别说话了孩子赞赞
1695092689# #真皇族来了傻眼
1693992915# #帅哥潮的不敢认
1692513662# #🆘
1697617662# #石油问我为什么有只兲
1700495618# #此人得罪了我们夹哥哥，荣获禁言七天套餐允悲允悲其转会期观点一律按xmm典型言论处理
1697786049# #大龙了，准备暂停！。多备点这个懂不
1697294557# #比个屁股
1697877677# #喜欢ban中单是吧LNG加油
1697880136# #李宁您好，以后这种活动我家学学就不参加了。她看起来不是很高兴，回家了也是挎着个p脸说李宁虐待她了，所以以后这种活动我们都不参加了，真的麻烦李宁您了谢谢你。天杀的老子这就报警把你关进去。让我这个当妈的有多心痛！我的孩子啊妈妈心疼你心疼的一整天都在吃饭
1695876613# #又尽力咯挤眼
1698937565# #Scout超话老公们我画的女孩儿女孩儿女孩儿
1697535920# #中路关羽无敌
1696589756# #天生自来卷
1700535945# #深井啊允悲允悲
1695977429# #查询蠊母智商
1698077102# #感觉整首都是bbh在唱傻眼傻眼
1704484439# #zz啥意思啊？纸张傻眼
1703844174# #我抽加油加油
1697535959# #2023全球总决赛英雄联盟s13我已为LNG.Scout加油助威！他是我心目中的最佳选手！快来和我一起为LNG.Scout打call吧！
1700415127# #深井，抽个集贸啊谁要你啊允悲允悲
1691832345# #gumayoubing衰
1694534502# #直接一脚
1695387309# #
1691941264# #大币解说杯撕逼好哈人
1697001458# #宝宝求关注
1695128272# #排到个厉害的辅助带我钢铁侠钢铁侠直接变成真金白银届的物资
1694599359# #李宁美工画的什么狗石疑问
1695973265# #月男你几个意思钢铁侠钢铁侠
1691731912# #2023LPL夏季赛我已为LNG.Scout加油助威！他是我心目中的最佳选手！口喉健康，信赖三金西瓜霜，快来和我一起为赛场上同样值得信赖的LNG.Scout打call吧！
1698484425# #好陌生的老摊傻眼傻眼
1695060219# #很困但想看看这把这么c到底能不能赢钢铁侠
1692283069# #们小宁宁有自己的男明星
1704198861# #心情畅游畅游。。转载了的微博图片
1693984778# #我说你先别当我老公了。。
1692519890# #季度允悲允悲
1702396930# #好喜欢柴柴
