1703431822# #袜子好可爱哇
1703953962# #嘻嘻
1697635318# #好想像他一样我学学学
1700134108# #吗的以前我都是喊男人老婆你是第一个让我能喊出来老公的人馋嘴老公让我屮屮舔屏
1700584512# #就是就是他们真的很欠骂泪
1697039634# #好可爱抱一抱
1695560455# #泪我造了什么孽啊
1698586277# #不是15年的照片已经是老照片了吗哆啦A梦害怕
1704769880# #🙏
1698386207# #册尼玛哆啦A梦害怕怎么这么像哆啦A梦吃惊
1698943723# #OMG傻眼
1696905391# #好酷
1696772425# #跪了
1699258833# #玛雅我一口一个亲亲
1701702001# #恐了
1700020829# #求求来点自拍吧老铁你这么漂亮别别浪费你的美貌啊
1698245495# #拜🙏
1697941776# #好酷哆啦A梦吃惊
1703734134# #累点低好真实笑cry
1695454755# #那不就是老师
1701946761# #差点焦虑衰嘻嘻
1696675329# #好想吃
1701676001# #哆啦A梦吃惊天才
1701614529# #每天爱你多一点点可怜
1697368288# #soga
1703400911# #想去苦涩
1699627619# #呜呜呜今天的网就上到这里为止苦涩
1698767332# #哇靠哆啦A梦吃惊
1702651698# #好我学
1701403419# #哎呦宝宝可爱的彩虹屁
1697684784# #羞涩这个词用的很好送花花特别可爱
1699507541# #好好好今天的网上到这里结束了苦涩
1697639974# #可爱死了谁懂抱一抱
1702438092# #希望你们说的都能成真的🤲我接🤲
1696686033# #一个小女孩轻轻的崩溃了
1698804994# #怪不得
1695378942# #质疑理解成为
1696570701# #戚成钢你真的该自己生孩子可怜
1694950200# #哈哈哈哈哈OMG太有才了所有封神er都不可错过的视频
1695850872# #一毛一样
1700217538# #香超你文员
1699296004# #码菜谱
1695534728# #眼睛亮晶晶的可怜
1701580638# #让我摸摸让我摸摸舔屏
1700111596# #这倒是真的
1695287389# #小狗好喜欢
1701618344# #好真实哈哈哈哈哈
1697870704# #球球了一定不要签太久我崩溃了伤心
1700319430# #我炒哆啦A梦吃惊哆啦A梦吃惊
1694777803# #好好看哆啦A梦吃惊
1698989997# #好漂亮舔屏
1698329263# #天哆啦A梦吃惊如果是女生真的想做她的狗苦涩
1698330214# #思念我的虚拟家乡和虚拟母亲
1699072846# #OMG左拥右抱的羡慕了可怜
1698316821# #天呐天呐我错过什么啊
1697713218# #哎呦真的像个公主
1698028991# #想去
1701879676# #宝宝亲亲
1701062729# #怪不得我爱上网
1697815793# #吃螃蟹用剪刀的确很方便舔屏
1700398185# #还有这种好事哆啦A梦吃惊
1704704428# #深不可测裂开
1701687115# #流泪了苦涩救救
1698767026# #跟人相处的时候没人感觉的到我是个烂人实际上我是个烂人
1698662279# #OMG痛死我了
1700192023# #别骂了别骂了
1695114021# #哆啦A梦吃惊
1696308312# #“众”这个字突然具象了起来泪泪
1699241028# #哈哈哈哈哈原来是这样
1704045484# #抓狂好好看
1696673279# #魔鬼
1694864719# #哈哈哈哈哈哈哈哈哈我笑的受不了了哈哈哈哈哈哈
1700058542# #次火锅次火锅彩虹屁
1703481605# #我是社畜抽我哇
1698108070# #如果电影里有这段哆啦A梦吃惊那他喊的那句都听我北伯侯的其实不是搞笑台词
1704728281# #生孩子就是为了让他伺候你们微笑工具人的确可以让你们养儿防老呢微笑
1695482268# #帅的很客观
1698940774# #懂了
1697592855# #被嫌弃的一生
1695696822# #笑的发癫泪
1696338924# #洒脱不了一点
1696423670# #抄了
1697958047# #哥哥你笑起来特别可爱特别甜嘿嘿😁冷起脸来又特别帅特别A好喜欢多多营业吧哥哥送花花
1697765214# #好好好
1698494415# #我擦我口水直流三千尺傻眼
1697944817# #我擦伤心
1695542680# #泥玛尊的受不了了哈哈哈哈哈
1699927490# #码
1702478351# #救命🆘怎么这么像狗狗啊
1702569317# #好像一个缩小版的房车哆啦A梦吃惊
1699508210# #OMG怎么这么漂亮
1701854197# #？
1696271449# #泪
1704426274# #我想干这个
1697695349# #帅的有点离谱了可怜
1698293084# #天呐感恩戴德
1696905612# #是滴哼
1703868596# #的确
1699252333# #请你转告元元他现在已经五十万粉丝了可以整个福利给大家泪虽然我们元丝不太给力但是俺们会和元元一起努力的呢打call
1694584286# #泪
1699870138# #好厉害
1696467920# #我追星可怜
1696389661# #zici
1700923103# #羡慕嫉妒恨哇
1700190000# #vocal晕晕
1697797036# #天呐天呐好想亲他嘴巴子哆啦A梦吃惊
1698774429# #人从众
1699614848# #我擦
1702986184# #身材好好哇
1700737190# #衰
1697642465# #正向肯定或激励➕自己本人对事情的想法➕更好的建议。我想老师的想法应该是(不识庐山真面目，只缘身在此山中)每个人对事情的看法都会不一样，所以集思广益才能最大化的得到共赢。同时，最重要的是，学生能真诚的在同伴表述自己的观点，光就这一点就很值得掌声👏(一些个人的想法
1696051571# #太开心
1701529827# #嗯嘟怎么了呢
1697696043# #身材和脸蛋都特别漂亮
1694511045# #尊嘟假嘟哆啦A梦吃惊
1695463806# #得瑟小比格
1697633074# #哥抱一抱
1701483207# #哆啦A梦吃惊
1704208836# #嗯
1703592655# #好吃😋
1697976857# #恋童癖都给我去亖太开心
1701498957# #我恨
1698679528# #好牛玛雅
1695194168# #抓狂臭老头我恨你
1696504055# #感觉这个思路其实也适用于大人之间的情感矛盾处理
1699102543# #哥哥悲伤
1699020272# #原来大家都一样
1697896038# #妙不可言舔屏
1698332637# #是么哆啦A梦吃惊
1700305700# #各种离谱
1697444293# #学
1702221218# #希望我自己若干年后还能跟我的朋友们一直保持联系能够聚在一起赢牛奶想想就是特别幸福的事情呀
1699413468# #嫉妒了劝删
1697190965# #可怜
1698836254# #我擦我真得服了现在更生气了啊啊啊啊啊啊有一点点崩溃
1696424594# #想吃😋
1697903228# #我就是个怪物肿么了伤心
1696610012# #右边是对的
1703000282# #我学
1695643841# #你们走开抓狂
1702998569# #好漂亮
1704469541# #呵呵
1698890866# #可爱可怜
1700213896# #特别特别牛比
1698888342# #确实
1704294504# #过完年再说吧
1699723233# #太好看了舔屏
