1696254627# #刘德华经典歌曲
1702559674# #刘德华出品舞台剧，大力支持
1692717628# #多伦多电影节宣布刘德华获特别贡献奖，将在9月15日颁发，他也是首位获得该奖项的中国电影人。据悉，本届多伦多电影节会在9.7-9.17举行，刘德华主演、宁浩导演新片《红毯先生》将亮相进行世界首映，并担任对谈单元嘉宾。实至名归！刘德华超话
1704193022# #刘德电影潜行真好看
1693922942# #宁浩刘德华时隔17年再合作期待刘德华红毯先生早日定档
1703676554# #12/29期待潜行
1693797568# #看到某些人粉丝到处诋毁刘德华，我真想不通他有什么资格诋毁，别人粉丝逃犯有他的多吗？电影方面一直配角，天天吹演技，演了一辈子也没拿过影帝。请你在诋毁刘德华时候看看自己偶像和你有啥资格在去诋毁？别人是半桶水，你偶像是什么？是被资本抛弃垃圾桶吗？刘德华是没有梁朝伟影帝多，但你的
1704801388# #像每年的香港电影去，大家如果多多少少去关注一下，总能看见那么几个三番开外的年轻演员，真的不是不用他们，是投资方不投，没人敢冒这么大的风险全是内地不认识的新演员，用那些知名老戏骨还能保底，就这样梁朝伟和郭富城的风再起时都能扑到几千万，盲目用新人真的要破产的。香港不止演员，导演也一样
1688186268# #周杰伦刚出道多次说他的偶像是刘德华，周杰伦最想合作的人是刘德华，我也期待他们合作。只是有的粉丝喜欢挑拨离间。
1704769067# #刘德华金手指你看了吗？现实中多一些刘启源该多好。
1704434170# #刘德华助力佛山
1696426873# #刘德华谈张涵予抓了自己20年莫斯科行动看咯不错，你们觉得刘德华饰演瓦西里最后双目失明，见到女儿是不是他的？
1704110468# #现在明白黎明为啥不演电影了，原谅我不知道他怎么红的。娱乐圈很残酷你没市场就会淘汰。这点票房？你会请黎明拍电影吗？
1693797739# #前晚晚李安为梁朝伟颁发威尼斯电影节终身成就奖，并致辞称：“梁朝伟得过很多奖项和荣誉，全部实至名归。梁朝伟获得过戛纳国际电影节最佳男主角奖，但没有获得过威尼斯icon国际电影节最佳男主角，这次获得威尼斯终身成就奖，也是弥补遗憾。这个奖是唯一亚洲演员获得的奖杯，意义重大。可以说华人获奖
1688047045# #刘德华还是那么帅，唱的不错
1703994657# #我转了刘德华电影金手指
1693797276# #四大天王刘德华、郭富城影帝最多，2005之前郭富城是不行但是之后影帝居然仅次于刘德华了，这是很难得的，虽然郭富城票房忽高忽低，但是没有影响他影帝数量。。。尽管黎明一直说他第一个拿影帝的，但是他忘了金像奖影帝也是影帝，准确说他是第一个拿金马影帝，也是至今为止就这一个。张学友虽然他的粉丝一
1692317320# #电影金手指全球定档发布会期待梁朝伟刘德华金手指
1704210210# #易建联刘德华终于在一起了
1704777078# #大年初一看红毯先生，刘德华内娱历险记。
1704527155# #王一博无名看了还不错，有为青年演员
1704093905# #潜行票房突破两亿
1704768333# #红毯先生内娱变形计期待春节档电影红毯先生
1704864288# #梁朝伟刘德华可爱得有点超过了看电影金手指今年一定行
1704802073# #有的演员三五年拍一部电影，有的过气了，有的沦为配角。有的身体扛不住。有的去世了。只有刘德华四十年如一日工作，人家别管红不红，但是身体能扛一年接两三部戏不是问题。演唱会开个十几场也释放一下压力。跟他同样的还有成龙，虽然他这几年名气不如以前了，但是还是很敬业的，这就是为啥他们成为官方
1700975872# #刘德华在华仔天地官网公开了父亲刘礼离世的消息，对于这一突如其来的消息，我们深感痛惜。刘德华，几代人的偶像，以其努力向上、积极进取的精神感染着每一个人。他的成功，无疑离不开他父亲的教育和影响。。刘德华作为娱乐圈的孝子，一直以来都把家人放在心头，对于父亲的离世，刘德华深感悲痛和不舍。
1688991746# #我不理解周星驰这个导演以及电影制片很神秘，电影《大话西游m》星粉都把功劳推成周星驰，说编剧，制片人都是周星驰幕后自己搞的，导演刘镇伟只是挂个名而已，但是到了《西游伏魔篇》电影上映被大骂卖情怀，而星粉们又解释说周星驰只是挂了个编剧的名而已，真正的导演是徐克，而新电影《美猴王》还没上
1688186503# #刘德华地位已经跟成龙不相上下了，参加颁奖典礼基本都是双C位，刘德华个人影响力在国内达到了华人明星巅峰。吴京现在来讲是不如这两位前辈的，我们不能否认吴京票房高，但不代表一切，主要是他还没红多久，作品还不够多，获奖没有，歌曲没有，如果吴京能保持到60岁以上不过气并且持续输出作品的话，那
1693840889# #刘德华为什么拒绝演姜子牙？刘德华为什么没有演过反派
1704469181# #新年看潜行2024一定行。
1703588049# #12/29期待电影潜行刘德华超话
