1695008041# #英特尔也是允悲十多年的命名体系说改就改
1702915082# #看看这五年拍的照片，还是去过好多地方的二哈
1687932305# #好强
1699199199# #哈哈哈哈哈哈
1689606768# #转发微博
1689588812# #吃不完根本吃不完裂开今年11箱了要命
1699942796# #
1691288938# #转发微博
1703550914# #6
1690933309# #转发微博
1697533733# #允悲
1694672607# #这可是中国自己的高级别任务机车唉费解
1689521494# #糟粕中的糟粕
1690720087# #比亚迪的单档竟然比DHTPRO还重
1700870425# #EG5和XBB的免疫完全不一样。八月份就有研究报告了。得过xbb后对eg5抗体水平都很低
1694525370# #什么垃圾wifi6100ms延迟带宽500Mbpsdoge现在双频wifi6都1800起。5G频段近距离延迟都是个位数
1688610118# #不愧是坦克300裂开
1695367469# #怎么下得去手的失望
1690715249# #...
1688915000# #华为突然挂了二哈
1702385359# #转发微博
1691034257# #PPT没用，要看实车二哈功率分流是理论上能源效率最高的方案，但是丰田的混动是又不省油又不省钱。动力还差
1694431587# #好可怕的码率
1690516964# #图1跟我武功山差不多允悲
1695367822# #？
1689525535# #图三，本i人现状：要出去玩了，好紧张好刺激好期待，啊，又有一点莫名的担心，然后疯狂刷攻略做功课！出门后：学会融入陌生环境真的玩的很开心，回家后：哇！家里好家里好！家里宅着也挺好！
1689753849# #现在发现混动上四缸对比三缸没有明显优势二哈四缸动力也没高很多重量重了，热效率也低了。
1702258568# #你是真正的英雄苦涩
1691231315# #哈哈哈哈哈
1694765857# #转发微博
1695443784# #转发微博
1689426853# #转发微博
1688588559# #关键小编完全可以选择不放出这条评论。他认为有把握碾压，却忽视了这个号的身份。
1698646367# #哈哈哈哈哈哈话锋一转
1700529713# #转发微博
1688282333# #转发微博
1698107223# #转发微博
1691326471# #好不容易脚不疼了，这几天又开始巨痒裂开WTF
1698749334# #转发微博
1697435437# #为什么只要5辆主战坦克？看不起我主战坦克是吧？doge
1699795192# #换电站对于蔚来来说，就是要以一己之力建设完成自家车主的中石油中石化二哈压力相当大，成本也是无底洞。链条脱一节就完蛋
1690441157# #哈哈哈哈哈哈哈
1697943270# #转发微博
1701049019# #沙蚺也会吃蛇哆啦A梦吃惊哆啦A梦吃惊哆啦A梦吃惊
1701679257# #转发微博
1690772689# #苦涩
1689497678# #开学季
1698713548# #笑死
1697673033# #哈哈哈哈哈哈哈
1693466814# #图库里十几万张图片，愣是选不出一张做壁纸二哈
1697079947# #首先租房就不行二哈没体验过搬家吧？智能家居一个不能装，电器也不能想换就换
1692849253# #牛逼。怪不得星巴克n年前就要手机号验证
1701386704# #哈哈哈哈哈哈
1703839186# #12月两大重要更新银河OS2.0和澎湃OS均已到位开学季。开开心心迎接2024啦
1691719301# #自己组了个保险方案doge支付宝真方便啊现在。不用跟保险公司逼逼赖赖
1688478032# #？？？属实没必要
1697705139# #太强了
1691060812# #转发微博
1697104629# #开了一万八千公里，下班路上这个油耗是极限了二哈星越l雷神hi·x油电混动版星越l
1697305379# #转发微博
1689591055# #一番大好き♡
1698037748# #牛批允悲
1697370310# #这牛肉也太棒了二哈
1697714669# #转发微博
1697199604# #转发微博
1688012856# #我投给了“以上都挺好的，建议通通”~
1690709316# #转发微博
1690942591# #加油加油开学季
1689335086# #画的比较保守哈哈
1690435361# #转发微博
1701778029# #苹果手机连个录音都没有，万一有点事情要证据怎么办doge
1700117332# #哈哈哈哈哈哈
1690894322# #哈哈哈哈哈哈
1691732527# #L2都毫无用处的话不如去开二轮电动车吧。
1698547498# #哈哈哈哈哈哈
1690176384# #沃日
1690335302# #哈哈哈哈
1696676284# #哈哈哈哈哈哈哈
1696070948# #转发微博
1687692964# #草
1695479506# #转发微博
1701574616# #哈哈哈哈哈
1693276458# #中控屏幕怎么碎的草
1694861105# #允悲别给我米招黑了
1695362280# #哈哈哈哈一边说不要给孩子吃预制菜一边自己在做预制菜
1689915016# #哈哈哈哈哈哈
1691636142# #哈哈哈哈哈
1702795503# #200万？？？一发导弹就比这个贵了
1689319940# #正常5天一罐二哈真的是无底洞
1694156552# #雷老板真的牛。如果小米汽车成功，他就可以功成身退了
1701952904# #doge只在每个高峰时候带N95(在办公室里也是）至今还没阳过包括甲流
1690807559# #我们和上汽合作的一个智能驾驶卡车调试两年了还不会出入库二哈笑死了
1699025192# #又续航焦虑了二哈周末最少要开60公里，油价下周二晚上降，周三才去加油能开到周三吗。。
1697338979# #转发微博
1694998628# #希望华为这个屠龙少年最终不要变成恶龙允悲
1694673403# #doge之前我说7999的mate60p贵，别人说小米都6499了。咱对比能控制下变量么
1696772238# #转发微博
1701090693# #真的土。。而且这玩意儿不是几个月前就火过一把了，最近怎么又翻出来了
1690338072# #没有互联网基础做个屁的智能化二哈没有工业基础做个屁的电动化。搞你的氢能源去吧
1689941539# #转发微博
1690937771# #那么牛皮吗
1693472214# #这还得看研发投入
1701145152# #大多数人都不是目标群体允悲政府企业采购先满足基本办公需求再说吧。
1688045490# #这帮人真是……
1700210750# #据说还挺保暖的doge
1691727744# #转发微博
1698639863# #以后她病了就给她安排上铺！
1689833709# #微博这ip归属地啥玩意儿二哈我怎么跑江西去了。你说我流量卡广州电信的卡也就算了，和江西有什么关系？
1688703188# #诈骗啊doge
1689737495# #假两难推理谬误了解一下doge
1691110657# #草
1691296777# #好强
1704330543# #东航这两年是真的不能坐了…
1687762515# #我周末公司手机直接免打扰doge这点工资谁跟你逼逼赖赖啊。不服开掉我
1698282661# #转发微博
1692448425# #强
1691391441# #我爱6doge
1690605675# #笑死
1702790100# #牛皮
1689555702# #帅
1688977709# #doge
1691379651# #转发微博
1689925893# #哈哈哈哈哈
1687829993# #卧槽
1690414695# #转发微博
1688091454# #哈哈哈哈哈哈
1701765011# #哈哈哈哈哈哈哈
1692250654# #我又想把我妈拉黑了开学季
1699710480# #转发微博
1698473954# #转发微博
1702344512# #可尔必思
1702741174# #？？？？淀粉肠
1687791716# #又一个没有对手
1703634026# #红红火火恍恍惚惚
1687793955# #生怕自己不爆炸
1703084887# #太拼了允悲
1691135186# #哈哈哈哈哈哈
1692229494# #哈哈哈哈哈哈
1703028636# #大尾巴超可爱！
1691733085# #转发微博
1696322476# #二哈一堆人拿个新华为/苹果一顿乱拍，照片偏色，过锐化，过饱和，构图，曝光三要素一样不管，然后下面都在哇好看！不愧是华为/ip15。又说不得不好，真受不了。只能说摄影还是只能小圈子自娱自乐，给懂得人看的
1700098037# #还挺好看的。。
1696224643# #我的回答是莹莹哈哈哈哈哈哈
1703136915# #哈哈哈哈哈
1700581295# #哈哈哈哈哈哈
1702911987# #6
1701131972# #转发微博
1695084425# #草
1702652336# #有猿星崛起的味道了
1697359523# #转发微博
1688817681# #好活，5-6个航空旅了doge
1697943963# #转发微博
1689655617# #找一个家里缺桃子的无锡人跟我们一起去阳山采桃子裂开被桃子淹没的无锡人
1694146074# #转发微博
1694139660# #哈哈哈哈哈哈
1688466706# #加油开学季
1694173816# #我好像用过这玩意儿
1689140218# #炼铜和白幼瘦是两码事二哈
1700028778# #下午茶开学季
1690283819# #？？？
1696254447# #？？这确定不是胃
1701666713# #转发微博
1701513196# #可爱
1694332206# #腹泻的蛇？？
1703669369# #汉堡王嘬翅尖哈哈哈哈
1697097037# #好绿啊二哈
1690779874# #现实中必须要承认我们舆论中一直把女性生育当作女性遇到工作生活不顺利的主因。比如几乎每年毕业季最稳妥流量最稳定的都是产假话题。把高学历尤其是名校女生找不到对口高薪工作的原因转到生育问题，叫好又叫座。长期下来，生育问题自然就能在网络上培养起一批固定受众。
1700741527# #是我数学没学好吗？2500亿估值，3000亿买30%？
1691381083# #奇瑞还好看一点
1699518841# #转发微博
1696150697# #llm
1688368935# #不看哪里挑战失败
1687750227# #草你要出多少种颜色啊
1697084379# #刚才刷到那条说要一辈子租房的doge
1689181372# #不太行二哈
1697759829# #转发微博
1689555954# #这个问题的男孩子感觉挺成熟的，很喜欢他这样一条一条的说出
1696406386# #转发微博
1693757651# #一个月100台二哈
1703416708# #转发微博
1687954947# #转发微博
1695052704# #好有趣可是好贵
1702477793# #美的和格力是没想到
1688728999# #齐活，贴纸和泡泡棒都有了doge。真不容易无锡就一家店有泡泡棒
1703258337# #哈哈哈哈哈哈
1687843107# #哈哈哈哈哈哈
1688842672# #评论笑死
1693563439# #史低了开学季
1691327476# #转发微博
1697358809# #和弦好棒
1688341171# #草
1696635453# #想润的快润
1701760672# #doge卖不掉的给吉利做赠品
1691032869# #抽我
1700319478# #太猛了
1694083700# #国际版是不是炸了怎么一直说我密码错误允悲
1701222977# #转发微博
1698843404# #好爽！！
1692878332# #转发微博
1690375055# #去查一下GB15082-2008汽车用车速表国家标准规范，表显时速是允许低于实际车速的。但是绝对不能高于doge
1700970298# #哈哈哈哈哈哈哈
1688036117# #允悲
1702470609# #哈哈哈哈哈哈骑脸输出
1701088485# #草
1703520293# #5亿那条裙子真好看！
1690981148# #合资车除了所谓的行驶质感已经没有什么拿得出手的东西了doge
1693725347# #吃瓜→→
1702810508# #倔强太倔强了
1688317472# #哇
1692669525# #哈哈哈哈哈哈哈
1696330147# #哈哈哈哈哈哈
1696651168# #初始化完的硬盘是怎么新加卷的？
1692864380# #上次看到个避蚊胺，名字叫99.5%避蚊胺。实际浓度个位数
1699532833# #哈哈哈哈哈
1701315151# #哈哈哈哈哈哈
1700625988# #好便宜
1694168973# #不懂这些老古董二哈
1689689142# #？
1694065199# #允悲
1699601563# #？
1702596773# #澎湃OS！！来了！！
1694083568# #yue
1699067185# #转发微博
1697469042# #遥遥领先草
1699533682# #二哈感觉在打自己脸呢
1704269381# #草
1703465020# #转发微博
1688458308# #二哈我姐怀孕胖了40斤还没侧切真牛
1704092064# #好可爱
1699593136# #像戴了个头盔
1703513185# #支付宝里这包点进去看了一下只要22块，仔细看了一下这他妈不是无印良品，是无印优品允悲我就说不可能那么便宜吧
1699028039# #去以后新家附近踩踩点。当年破钢铁厂厂房改造的真是不错二哈
1687773291# #转发微博
1690938611# #现在的网友都觉得自己高人一等呢二哈
1695619099# #只有果子有这烦恼。安卓存储已经便宜到512g根本不心痛了doge果子ROM和RAM真是贵的离谱
1694607773# #草
1701860233# #自研架构那么牛皮的吗？吉利浩瀚和CMA成小丑了？doge
1695261244# #3000多ma的电池加上传输损耗哈哈哈哈最后两个都没电了
1699185934# #二哈
1703041902# #→→
1694416615# #哈哈哈哈哈哈哈
1693918021# #草
1691117883# #画质感人允悲
1701909698# #饿饿
1694021279# #转发微博
1688450050# #两个-20%是啥情况
1695053269# #转发微博
1693903504# #转发微博
1700114107# #这竟然是小米独一份的功能吗？我都用了好久了
1689514368# #啊？最右
1702942737# #现代人的精神状态。允悲
1689141152# #讲个笑话，id3后轮用的鼓刹开学季
1690862651# #看过，真的一辈子记得
1689575446# #小日子还有点自知之明
1699918979# #涩涩才是生产力！
1694618386# #这牌子的硬盘盒据说质量贼差很容易烧硬盘允悲
1695697318# #平台宰客如宰瓜，溢价四倍网上发。自行下架好商家，诚信经营众口夸。
1689982632# #转发微博
1701792028# #那么江苏是不是可以喜提doge
1698569131# #米粉只关注产品本身。。。不好的地方，该批评就批评，这才是实事求是。那个群体就算了。。。。不说了
1696418198# #二哈逆优化
1693470132# #🌿
1698453602# #转发微博
1700059695# #男的也能做doge
1701677557# #如果TA还能给你正面的反馈，那可真是太棒了
1691043796# #？？？
1699847504# #这是经济实惠拒接忽悠型生活方式→→
1689481541# #转发微博
1697958451# #草
1701132884# #吃瓜二哈
1690436260# #转发微博
1698565508# #上完牌二手卖了。自己贷款换车
1691712779# #转发微博
1690428271# #很多傻逼是这样的。你好歹也看一下？
1701096037# #允悲好尬
1697846247# #二哈浪费一个周末
1700181386# #绷不住了哈哈哈哈
1690332318# #我超
1694074129# #噗呲
1700011890# #唉
1696435648# #赤藓糖醇的味道好怪。。还是放蜂蜜吧允悲
1687951434# #笑死
1695087275# #转发微博
1701307187# #哈哈哈哈哈哈
1703769443# #Zi5电池🌿允悲
1689937530# #P图太离谱了二哈
1691106808# #笑死
1694318627# #开学季4T固态白菜价了？
1690819126# #🌿
1694358574# #先帝创业未半
1687930356# #没有降级二哈去年换车今年换房。没有孩子就是可以为所欲为
1689736803# #好耶
1702613629# #哈哈哈哈哈
1697889869# #转发微博
1696955507# #浴血奋战的牛人
1694960234# #一个显示器。。？
1695871549# #doge
1689645070# #现在高级的电池已经能做到2000-3000次充放循环了。就算实际打对折也足够正常人用。电车最不用担心的就是电池寿命了二哈
1704085842# #胡子好难洗
1696407936# #牛批
1691252476# #转发微博
1702048873# #转发微博
