1699157975# #人都有年轻的时候，哈皮也是。
1688095431# #“一场饭局，没有血缘关系的温暖！”
1688701086# #“没有信任，没有朋友的行业！”
1703687582# #“TVB黄金时代的即视感，古天乐还是适合做反派！”
1704160902# #“《导火线》的影子，剧情却投了名状！”
1689217883# #“不外如是，每个人的成长都有浅浅的淤青！”
1695617662# #发布了头条文章：《17岁黄多多留学照曝光！穿吊带身材发育好，男同学单膝跪地疑早恋》
1688292466# #“潜龙在渊，振衣千仞冈，濯足万里流！”
1704793700# #【经典港片】一口气看完经典港片《赌神》
1692073567# #发布了头条文章：《否认跟毕滢结婚的张丹峰，暴露的是他不为人知一颗赤裸裸的贪心》
1703064118# #“软饭硬吃，刚正不阿的重案组之虎！”
1701859315# #分享视频
1702896367# #【张颂文】讲述谈自己的工作经历！
1688978237# #“孙俪的眼光非常稳，这才是职场剧该有的样子！”
1699363727# #在张震和吴彦祖中做选择确实是让人很为难
1704266044# #汪小菲新女友正脸照曝光，气质胜大s？。。近日，汪小菲与一位神秘女伴在机场的现身，成为了娱乐圈的焦点。这位女伴气质非凡，给人留下了深刻的印象。。。从照片中，我们可以看到这位女性穿着得体，气质优雅。她的出现不仅让人猜测这是否是汪小菲的新女友，更引起了广大网友的关注和热议。。。与大S的甜美可爱
1702108876# #“你原本美好的预想，可能会变成一团糟！”
1695617746# #发布了头条文章：《杨振宁102岁寿宴后摔倒住院，躺病床面容憔悴，翁帆挺孕肚照料》
1693810389# #发布了头条文章：《曝翁帆3个举止异常，穿金戴银疑获遗产，杨振宁弟弟道出婚姻真相》
1701953772# #港片中刘青云的吃戏能有多香？一人连吃八桌饭！
1690364165# #“吴孟达的眼神和脸，是经典片的标配！”
1704714268# #88年汉城奥运开幕式时期陈百强话题胡寅寅话题赵容弼话题西城秀树话题
1694323388# #发布了头条文章：《侃爷和新妻比安卡惹众怒后，金卡戴珊在海滩大秀身材，开心了一天》
1704372063# #比起金句和鸡汤，tvb的骂人教程更能给我提供情绪价值
1704157306# #为什么香港演员断层了？。香港不是没有培养过，但是80后这一批就很不听话，谢霆锋和陈冠希这两个钦点天王接班人，一个为爱走天涯，另一个为爱拍照片。。这也直接导致了香港电影进入21世纪后，逐渐放弃了《缘分》、《天若有情》这种青春都市偶像剧，转而找一群中年大叔拍无间道寒战这种警匪剧、职场剧。。
1703238924# #“还我的江湖梦，还我的徐凤年！”
1687920523# #“庙堂与江湖，理想主义的现实！”
1702109894# #“光温暖了白，白守护着光！”
1688801320# #“重注在身，唯有全力一搏！”
1702109248# #“一代儒侠史诗风格，自有其风骨！”
1702045593# #“梁朝伟的个人三部曲，港片的没落！”
1692772475# #发布了头条文章：《赌王家族大合影！何猷君紧牵奚梦瑶，63岁四太和60岁何超琼罕同框》
1695617579# #发布了头条文章：《Lisa疑首回应疯马秀，态度嚣张嘲讽网友穷，晒照近全裸惹争议》
1704875014# #【黎明】他性格和长相一样，说话做事绅士风度！
1688791381# #“这身心疲惫的辉煌，这冰冷且现实的生活！”
1695355097# #发布了头条文章：《郭德纲澳大利亚专场被骂，观众看一半就离场，曹云金的反应引争议》
1704334882# #“这剧情你相信是徐克导演的作品？”
1695029740# #发布了头条文章：《39岁白百何与好友聚会，被指全程烟酒不离手，手舞足蹈真性情》
1701343552# #“听闻爱情，十有九悲！”
1703063759# #“92年的票房之王，古装喜剧的崛起！”
1689131752# #“现象级电视剧，前20集封神！”
1688549296# #“胜利的旗帜，早已沾满鲜血！”
1689218177# #“那些在家不得宠的孩子现在都怎样了？”
1688978530# #“用青春之甜治愈高考之苦，每一代的年轻人，都不容易！”
1703063997# #“人物性格扁平化，古天乐与影帝失之交臂！”
1700056834# #发布了头条文章：《回顾：林志玲在日本被偶遇，变土变胖，对老公卑躬屈膝，现场情况曝光》
1693045052# #发布了头条文章：《德云社南宁专场结束，张九南带着老演员登台，老郭真是一碗水端平》
1687750129# #“这部剧的成功，完全得益于反派饱满！！”
1688700887# #“风暴漩涡的中央，另一面的高启强”
1688881997# #“寓言一则，芸生脸谱！”
1689049757# #“得救不是破了戒的狼吞虎咽，是觉悟！”
1689218475# #“一张蜘蛛网，蜘蛛弹奏着和斜音符！”
1703742737# #“他们朝夕相处，却终要分开！”
1704249022# #“除了他爹，他真的谁也不服！”
1702990039# #“食之无味，有多少周星驰噱头可以重来！”
1694253034# #发布了头条文章：《曝Lisa疯马秀彩排！5场票价250，仅穿三角裤，经理：吸引年轻女孩》
1689131803# #“因为一个片段，追完一部剧系列！”
1704372034# #比起金句和鸡汤，tvb的骂人教程更能给我提供情绪价值
1702989728# #“狐死丘首，最后一眼要给家！”
1701249895# #李晨说周淑怡是他心里的一姐我对象是公务员，我们结婚了。
1688700938# #“江湖，已经没有规则！”
1687750403# #魔鬼伪装自己的最好方式就是说别人是魔鬼
1701341616# #一一重现，tfai杨德昌大展月底开幕
1699100670# #压力给到LNG艹，这种让lpl等了10年的好事让李宁赶上了。，
1702109073# #“普通生活的写照，周星驰对孩子们的温柔献礼！”
1692964541# #发布了头条文章：《李易峰消失344天首露面，身材暴瘦憔悴不堪，给粉丝鞠躬眼眶红了》
1703238757# #“港片辉煌期的奇思妙想，回不去了！”
1695355259# #发布了头条文章：《撕破脸？王岳伦曝王诗龄教育规划后，疑被李湘取关，女儿账号私密》
1703072491# #【港片】怀念香港电影那个拼命的年代~
1692609064# #发布了头条文章：《李湘母女再回国，王诗龄在飞机头等舱自拍，和爸爸王岳伦拥抱团聚》
1704272837# #分享视频
1693918262# #发布了头条文章：《冯绍峰带儿子看灯光秀，4岁想想气质在线，牵手爸爸保姆像一家人》
1692335744# #发布了头条文章：《孙红雷移民澳洲，网友：你可以不相信他的人品但要相信他的嗅觉》
1703064219# #“他不朽且传奇，普通又执着！”
1687750295# #“人物分析，高启强和祁同伟完全没关系！”
1704801762# #范湉湉。周星驰《功夫》“舞女”。王家卫《繁花》“卢美林”
1703685388# #“刘德华、古天乐的对决，离经典就差一口气！”
1695455262# #发布了头条文章：《曝杨振宁106亿资产全给翁帆，2句叮嘱，彻底揭开翁帆“真正动机”》
1703742920# #“用血和酒染红的高粱地，原始的生命之歌！”
1694413583# #发布了头条文章：《富商徐威：与12年女友袁立分手，转身娶了张怡宁，全靠岳母撑腰》
1703064278# #“童年时代，刻骨铭心的港片系列！”
1693469805# #发布了头条文章：《张柏芝被曝婚讯后，女方深夜发文回应，孙东海默认，网友：又中奖》
1688881722# #“大气恢弘，一部山东人迁徙的血泪史！”
1703653977# #马明：“我不知道为什么又要斗”！Tvb
1699593496# #胡杏儿居然赢了？
1702972002# #“第一次觉得李安可怕，是看《色戒》。觉得害怕，不是那十分钟的床戏，而是因为电影里彻头彻尾的虚无一-爱情是荒谬的，友情是虚伪的，亲情是荒芜的，国家是四分五裂的，革命是似是而非的，革命者更是不可靠的..…只有性爱的快乐是真实的，而这唯一的真实恰恰又是不可说的。”一摘录
1688881712# #“不和睦的家庭关系，好多来自于越界！”
1699100831# #生活不可能像你想象得那么好，但也不会像你想象得那么糟。我觉得人的脆弱和坚强都超乎自己的想象。有时，我可能脆弱得一句话就泪流满面；有时，也发现自己咬着牙走了很长的路。——莫泊桑《一生》
1695206602# #发布了头条文章：《张婉婷开撕齐溪：绿茶太脏，丈夫为齐溪改情侣名，婆婆亦喜欢齐溪》
1695455861# #发布了头条文章：《3月拍摄，9月终止，张智霖撇清与JPEX关系，并追究对方侵权责任》
1693634316# #发布了头条文章：《三星长公主李富真与友人聚会，生图面色蜡黄状态差，离婚被讹百亿》
1702989735# #“港产无厘头，让我们抛开以前的大内密探！”
1689065924# #“从史今一路走来，张译证明了一个演员的多样性！”
1693470309# #李湘我已退休。。有一说一，她的业务水平是很好的。我个人认为，湖南卫视的女主人，至今为止，没有超越她的。。。至于说她精明势利，显摆黑料多，不能说是优点，但是在娱乐圈，风气就是这样。其他明星也没好到哪里去。。。她对女儿是真的好，是用心的在培养，说白了走高端局，总比一些拿女儿搞擦边的好。
1694844706# #发布了头条文章：《事实证明，嫁给大54岁杨振宁的翁帆，才是人生赢家》
1688292452# #“他没有改变世界，却逐渐让世界改变了自己。‍‍‍‍‍‍‍‍‍‍！”
1689065913# #“浓郁中式家族剧，慈不带兵，义不养财！”
1703913220# #“这些动作太专业了，以后的武打片做不出来了！”
1704888456# #突然get到张曼玉的美。一句“为什么非要年轻、没有皱纹才是美呢？人不是一定要美，美不是一切，美要加上滋味、加上开心、加上别的东西，才是人生的美满。”。“学会把世俗标准放下，譬如老，譬如美”。。所以老就老吧，有皱纹就有皱纹吧。毕竟坦率和松弛才是才是让自己最舒服的。张曼玉话题
1699593506# #马德钟咸猪手为什么没事？还有为什么都叫他马神？
1699160367# #“忽略地球引力，篮球版的《少林足球》！”
1703463382# #梁朝伟：我肯定更清楚自己的角色。。《无间道》中梁朝伟和刘德华的天台对手戏是修改调整过的，本来的剧情设计是两个人要动手打架，梁朝伟认为「突然间一动作，整个戏就散掉了，不如大家坐在一起，我先说一句，然后刘德华会说什么，大家这样对出来」。述事则如其口出，他真的是花心思雕琢角色和情节，也
1688529285# #“我们，都在身不由己的走着！”
1701248694# #“功夫和篮球有没有搞头？”
1703239228# #“你天下无敌，也无法阻挡时代的洪流？”
1688292210# #“每次他的出现，都是这部剧的华彩篇章！”
1701249629# #陈法拉在国外混不下去了？
1702893619# #“我们做香港段坤，好吗！”
1704161090# #“被辜负的安欣，被错爱的高启强！”
1704639605# #伊面饰演陈浩南的时候，现场给用笔画上的过肩龙纹身。栩栩如生，很好看。靓仔郑伊健
1687919996# #“编剧的嗅觉不错，让人会心一笑！”
1702895129# #分享视频
1703328837# #【黑社会龙城岁月】一口气看完港片《教父》
1699160312# #“风口上的猪，飞到了云彩之南！”
1704254286# #“都是血气方刚的年纪，别活错对活心情！”
1704339810# #“港片未亡，九龙往事！”
1695455924# #发布了头条文章：《花西子公关失败，李佳琦过往言论被扒，立场问题再惹众怒》
1699524754# #笑疯了。刘欢律师函来了哈哈哈哈
1703072043# #“开心麻花时代结束，喜剧里的一碗阳春面！”
1688707912# #“体制的的天堂，高启强的魄力与狡诈！”
1695816149# #发布了头条文章：《胡歌被实名指控，拍戏压断女主锁骨，只剩一点骨头连着，剧组封锁》
1691053868# #发布了头条文章：《大言不惭！自我封神之后华晨宇再曝金句“我的音乐是挑观众的”》
1702207017# #“愿我博览世界，你仍在原地等我！”
1694672094# #发布了头条文章：《不可思议！李佳琦风波不止，一年净赚18亿，总身价超50亿，快看！》
1704160886# #分享视频
