1688909632# #张琳给我买的哈哈哈哈哈哈
1699820841# #我感觉曾康欣好像我的女儿，每天我都要教育她一遍汗
1703767969# #明天下午两点见，我在对品，我号封到凌晨，今天也得早点睡。不然明天去不了场地！！！你们看预热把自己喜欢的款选好！！！明天开播直接拍就行！！全是好货
1698487434# #做ct去，肚肚太痛了单身狗
1689504366# #把我美晕了
1700004653# #✧(๑•̀ㅁ•́ฅ早吃点继续睡
1702993696# #Ok我要飞啦爱你想你们喔
1701425763# #ootd
1696081997# #早啊
1697465635# #我刚刚播了一个半小时呀！我先回南通路上，到南通了我拆会快递📦回去两个小时呀
1696147063# #胖虽然是胖了但是我的腰s曲线还是在的哈awsl
1702384195# #妹妹，想我了吗？
1701940143# #今天开心嘻嘻
1692880558# #我我我睡了14小时泪我现在出发上海到酒店了给你们播到上海两个小时哈！我到酒店吃七口辣色色
1702862236# #宝宝，看日出！！！🌅
1700566800# #我明天回来直播，这三天我发烂发臭了一下
1701225410# #房东阿姨插个队
1698054723# #好好好胆管胰管结石是吧好好好我绝对是孙悟空转世！因为孙悟空是从石头缝里蹦出来的，我哪哪都有石头！酷
1702734569# #今晚预约了spa，7点正好是国内10点，今天不播啦，这两天有狠狠的拍照，有空p完狠狠发比耶
1700474913# #如何拍出美丽的实况照片还原自己的美貌呢（详细版）
1699891780# #好好好今天来晚了没床了
1690864900# #化妆噜并不简单太开心爱你抓狂
1697646997# #好好好家人们，我现在躺的这张床，是我4年前，阑尾发作进急诊挂水躺的那张床，同一个位置，不同的毛病黑线
1690648672# #哈哈哈哈哈哈卡的飞起康龙康龙康龙枪
1695917173# #祝大家中秋节快乐，国庆快乐，阖家团圆，幸福美满，开开心心，快快乐乐，身体健康，万事如意，心想事成，爱你们哟心一人100拿去花亲亲亲亲亲亲
1689156272# #好美啊泪泪泪怎么这么美
1695466354# #卧槽他妈的也太吓人了完全不可控了已经我摆烂了我不知道咋办了费费小孙都不在我躲在包厢里不敢出去单身狗
1700997785# #少萝的衣服到了doge今晚。。。。。doge
1692295103# #卸妆出门按摩去二哈
1698206557# #这两天安排住院做手术了别担心哈亲亲
1696658546# #睡觉
1689922641# #起床了拍最后一套多巴胺了抓狂抓狂
1698241838# #我滴天啊，这么长的管子，从鼻孔插到胃里单身狗
1697223126# #这大傻子刷核桃刷15分钟了
1701515411# #这个左右脸对比好明显哈哈哈哈
1694596848# #昨天拆的冰箱我觉得太小了，4l都不够你们放在我直播间买的护肤品！我他妈给你们整个大的！20L的！够你们放全家的面膜和护肤品了！（满1999送嗷，不用为了这个冰箱去买这么多，我只是给想买这么多的粉丝送个好点的礼物嘻嘻
1699977539# #泪针眼挂不进水了护士说我胳膊挂肿了回血都抽不出了又得重打妈的我寻思最后一天了挂完解放了结果还得扎一次
1690542573# #已落地！
1695870189# #诺弟儿两边脸两个人啊
1692260623# #我在小号播哈（大号人多问题多）
1700649503# #顶灯只亮一半儿师傅来修修
1698833336# #睡到现在睡肚子缓解一点了我现在干嘛都得慢慢悠悠的，动作一大我就疼，说话都得轻声轻语的。让我再缓两天我再回来直播抱抱抱抱
1691704992# #这美瞳！！我爱疯！！新品！！！12号来买！名字是甜心少女灰！
1699616404# #我发布了：这身体乳如果不好用你骂我我都不带还嘴的！快手
1693044964# #变美咯变美咯色
1689933176# #呵，一天24小时根本不够用的
1694123437# #打卡初见成效了已经太开心
1695197697# #
1695736592# #这人是真傻逼
1698739719# #试用团的一些对比图，这个产品适合痘痘特别严重的人用，价格很便宜，11.11号来，试用团50人用下来只有痘痘不严重的姐妹觉得没太大用，所以总结出来适合痘痘很严重的宝子们！跟图中这种差不多的真的可以买一单，非常便宜！！痘痘很少的就别买了！美修成分全绿！敏感肌放心用！
1693984839# #卧槽！！！我一睡醒我收到许诺给的生日礼物泪这镜子躺在我购物车一年多了苦涩因为太贵了我没舍得泪
1702720808# #明天我们5个人准备去看鲨鱼！！！哈哈哈哈哈哈哈哈哈
1698496259# #不睡了护士给我灌肠来了这回我申请涂点油白眼
1702459748# #恭喜
1694327024# #我就说有好东西得给房东吧真会吃老铁
1692758408# #南通为什么没有七口辣火锅杯泪我好想吃好想吃泪
1701913840# #拒绝麻木，不做冷漠的看客！今天我希望能用自己微薄的力量引起大家对这一现象的关注，没有买卖就没有伤害，同时，我们也需要规范自己的行为。最后我想说，人最大的恶，源于无知。哈尔滨旅游狗是人类最忠诚的朋友网友建议哈尔滨取消狗拉雪橇快手
1689787656# #早知道一点就下播了！！！！我的直播回放没了！气屎我了！链接在这条啊！
1697610752# #芜湖，早呀，又素美美的一天●‿●
1703950695# #服了
1699556566# #又拍了一条卸妆滴鼓掌卖完货我肯定不熬夜了，晚安啵＾3＾爱你们
1691044677# #我要睡觉呜呜呜
1689321289# #我在晒背家银们
1700791539# #今天具体这个状态是昨晚洗完澡以后，用了寻荟记的喷雾喷了脸，以后抹了芮秀妍的油（真挺好用的，我让费费去找找，上脸一点都不油还软软的，不知道ks有没有店铺），当做了肌底液以后敷了一个面膜（买其他产品送的面膜不知道叫啥不认识）敷完面膜洗了个脸涂了凌博士的水乳，吸收彻底以后涂了凌博士失重面
1703235492# #好大儿忒可爱了
1698553140# #好消息来了，刚刚喝了几口米汤没有加重疼痛，问了医生可以喝果汁，一会再喝两条乳木果，如果我能拉屎能吃东西，就可以出院了，主要现在就是可能不排泄所以腹部绞痛特厉害，等我的火龙果汁到了看看怎么事儿抓狂成败在此一举了
1704039759# #2024让我们奔向更美好的自己！加油吧！！！
1691946401# #出发杭州抓狂
1698133936# #冬天到了给你们补贴了电暖宝酷贼贵贼可爱内胆给你们挑的好的外包装是绿色怪兽老可爱了先不给你们看，卖个关子dogedoge
1698040425# #心疼青姐。。。。
1692639818# #七夕快乐亲亲亲亲祝大家天天开心不要再垃圾堆里找对象爱你谈对象是为了开心不谈也是为了开心凡事你的开心最重要心
1698320297# #其实我也是近两年刚爱上的吃火锅，吃油腻的东西，以前还是米饭面条吃得最多，就这两年才爱吃的火锅，米线螺蛳粉之类的，果然垃圾食品大家要少吃
1698708702# #早呀，昨晚没有痛的睡不着，吃早饭啦太开心你们今天早饭吃的啥？
1701393944# #16年的举牌照。。死去的回忆。，。，
1698291126# #我老婆器官长得和别人不太一样还得在观察观察
1696575353# #在酒店买了套泳衣准备去玩会水
1690560343# #链接来了
1694949925# #太有心了泪
1690425795# #哥有体香
1691139712# #睡饱饱了(˵¯͒〰¯͒˵)
1702361510# #早呀亲爱的，我要去理发店了，好困哦，亲亲(´ε｀)♡
1691721215# #终于摘下美妆面具躺下了。。。这辈子没这么努力拍过预热。。也是回馈H55小🐟的真诚了。。。
