1687650898# #不爱若曦的都会被我暗鲨兔子兔子
1702908130# #一念目前看到39集，女子群像搞的不错，每个女性角色的性格、身份、经历皆不同，但都有自己的志向野心、胸怀格局，她们之间还惺惺相惜，能感觉出来女性的那种美好大气。
1700912092# #裙子好漂亮，颜色好清新。图搞多点。
1699251136# #最近物料拍的都好看送花花
1694012816# #古偶造型里，笋子头是我最讨厌的造型之一。古典美就该露额头，不露额头，失了韵味。当然有些女星额头太丑了，成了缺陷，不得不遮挡，是没办法的。
1700321456# #木质竟然能保存那么久
1691300917# #码
1695273044# #好米好米的任如意，想看打call
1703494444# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！快来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1694415191# #刘诗诗散粉超话。建议狮子说话的时候，不要重复黑子的话！不要重复黑子的话！不要重复黑子的话！。那种不自觉的想求人认同或者评判的卑微的倾诉欲请收敛一下。
1704424088# #不错。
1704109110# #好美呀，精华心灵
1701407948# #掺杂着恨意的嗜血感，一下子让人心血都沸腾了起来。昨晚最后一集，没人能不爱刘诗诗的表演。
1689436920# #一直不喜欢他面相。而且不止他，熊猫饲养员里有好几个男的的面相我都讨厌。他们谁出事，我都不稀奇，只是稀奇他们那么丑，有女的竟然能下得了嘴。
1700965515# #红裙动态确实无敌。不过摄影师换了吧。
1700914031# #这套动态好美打call
1692851245# #日本核污染水下午排入海洋日本这个无耻之国永远能刷新人类恶行的下限。
1704027519# #一念关山里《立剑》《还未曾》还有任贤齐那首都好听
1703338455# #任如意每一场哭戏要表达的内容都不一样，情绪层层递进，感染力超强。wuli一姐演技太牛了。
1702212241# #刘诗诗累到虚脱正片一剪没。作为演员，刘诗诗敬业、演技又好，单扛一念关山大爆，不愧是古装剧一姐。一念关山25、26集剧情高能，任如意师徒相认，查清皇后之死真相，死亡笔记再一次出场，只等后续开大。后面的剧情，可以说非常期待了。
1692505233# #粉圈整体素质不足，没有能胜任的，别招了，年底换个专业人员来吧。刘诗诗散粉超话
1691888859# #刘诗诗散粉超话。僵shi腿毛们别来这里撒野，我虽然看不得别人上升/回踩一姐，但你们僵shi和腿毛上升/起承转合一姐的次数又哪里少了。次次给一姐立莫名其妙的人设，拿着这个人设把锅扣一姐头上，以一姐的名义赶粉，你们是更令人恶xin的一个群体。
1695219273# #其实就是和有底线原则、内核稳定的人相处、共事，会省很多事。
1702566275# #任如意的自我觉醒。一念关山这部大爆群像剧，最爱的角色就是刘诗诗演绎的任如意了，智谋、武力皆顶级的地表最强女杀手。刘诗诗大美女演技那么好，要多拍古装啊。
1693216983# #立后废后单独下诏，妃嫔进位凑一批下诏，后的地位还是和妃嫔有壁。笑cry另外，第一次看武则天封后诏书，李治也太搞笑了，通篇“她很好，我离不开她，感谢她来到我身边，我爹都成全我们了，你们也成全吧。”写的跟言情小说似的。
1691855094# #一般不太成熟的早期作品都会很有灵气，因为作者下意识会从自己经历中找素材。落笔可能生涩，情感非常真挚。
1696408715# #北方的博物馆陈列最多的是冷幽幽的箭矢、枪戟、刀剑、铠甲等战场遗物或者陪葬，瓷器多裂痕、碎片，南方博物馆的藏品从宋开始丰富起来，超多精美且保存完好的瓷器和字画……宋的南渡就是分水岭。
1698406936# #刘诗诗散粉超话。步步惊心，越琢磨越喜欢前两集的改编，编剧设定的情节，不仅补足了原著逻辑漏洞，还赋予了剧版若曦极强的生命力，这是原著若曦所没有的。。。从整天坐不住，闲不下来，精力多到发泄不完到生命力消散，精神陷入抑郁，身体只能躺或者坐，动两步就腿疼受不住，前后对比，若曦的一生太令
1701181283# #刘诗诗影视号召力。演技好又有美貌，还有极强的影视号召力，在古装届处于统治地位，这还用问？top1的水平。
1700565522# #刘诗诗散粉超话。综艺还没播，有些僵尸能不能不要给一姐瞎贴人设或者是预设人设。一姐不是新人，现在的大环境下，笨蛋美人对她来说是什么好人设吗，就不分情况瞎往她身上套？。。希望散粉时髦们清醒一下，别被带着跑，综艺播的时候，大家看完自然能找到精准的宣传点。综艺没播，就直接期待一姐的综艺
1692667095# #刘诗诗散粉超话。七夕也不是啥官宣、办开机仪式的好日子啊。有没有时髦回答一下，为啥执着于七夕物料，是想磕cp吗？
1704026460# #祝刘诗诗和狮子们新的一年事事如意，新年新气象！
1698904652# #不认识这人，瓜挺精彩。
1702100012# #无数次祈祷爱奇艺给个马赛克功能，让我遮住他的脸，完整看一看其他角色的表演。他真的是剧里的一颗老鼠屎允悲
1701229096# #一念关山导演作品。导演镜头语言不错，很会拍人，刘诗诗在一念关山这剧里美貌无敌，演技超好。一念关山整部剧的剧情、配乐、造型、制作全部在线，质量很高，估计导演以后会大热。
1692329682# #离火运，压力无从发泄，精神疾病高发，人们情绪普遍不稳定，届时网上负能量会指数级增长。。。公众人物如果没有强心脏，无视网上言论，捂住耳朵过自己的生活，是善待自己的最佳方式。。。普通人的话，多读书，多与散发正能量场的人接触，找自己喜欢的事去做，哪怕是非常小的一件事，只要做了，就会产生愉悦
1695975810# #哈哈哈哈哈哈哈哈哈哈哈哈
1702973639# #一念关山原剧本剧的立意挺好的，刘诗诗演技也很好，她演的任如意算是近些年来国产剧里最好的大女主角色了。白月光角色+1
1702906564# #“江湖之大，有幸相遇，以黄花一朵，祝见者如意。”很高兴在这个冬天遇见了任如意，也希望在下个季节与你的新角色相逢～爱你，永远爱你
1692675954# #活的就是一个自在随性。不过挺难的笑cry
1702045347# #一念关山加戏。刘诗诗演的好，任如意大女主人设很吸引人，追的停不下来。整体上这剧作为群像戏还是不错的。
1697636180# #最可怕的，就是恐惧本身。
1692882669# #刘诗诗散粉超话。淮竹是小发髻，搭配少量发饰是很正确的做法。小发髻搭配太多发饰，容易遮住发型，显得发髻没结构层次，乱糟糟的，如果发饰颜色多，更是视觉污染（具体可参考恒星正在播的70）。。如果时髦觉得淮竹太素，想要淮竹发饰堆满头，可以向造型师提大发髻的要求。满头珠翠绒花搭配结构复杂、
1700475911# #天啦噜天啦噜一姐！！！
1701159098# #你说的好精准，赏赐一个赞。
1694435763# #捐钱、零坑位费助农……都是可以做的。运势下行的时候不要不舍得钱，要沉下心，多花钱做好事、实事，不然脑子太飘容易管不住嘴，人又受不住口舌是非，容易出大问题。
1693454191# #好米
1699024533# #刘诗诗散粉超话。第三套绝美造型。一姐这个妆容总给我一种无辜感，又美又带点茶，好像在说:老娘美的太轻松，尔等可以退下了。笑cry
1701326005# #哈哈哈哈哈哈我想笑，不好意思
1703588411# #最难嗑CP。一念关山大爆剧，刘诗诗演技封神，任如意帅炸天，也为观众带来了内娱少有的gb辛光cp，来一念关山看师徒gbcp，入坑不亏。
1696788761# #
1696408393# #码
1703597727# #茶系分类
1701051064# #优酷让刘诗诗粉丝常回家看看酷子很好用，可以看刘诗诗好多经典剧《步步惊心》《仙剑三》等。。刘诗诗的新剧《一念关山》11月28日（明天）晚上19:00就要在爱奇艺开播了。一起看起来打call
1689047650# #想吃蘑菇了
1694771405# #早上、上午、傍晚，工作好嗨皮，多多拍戏。
1698673894# #内页质量好高，最心水p7与p14。
1695384081# #唐朝没奏折，叫“劄（zha）子”
1697806148# #思考身体能量（多锻炼）；情绪能量（避免“战或逃”的焦虑状态，心态要积极）；心智能量（集中注意力，提高效率）；精神能量（寻找意义，生活和核心信念一致）
1695905792# #刘诗诗散粉超话。小贴士:。明天一念发布cp海报，对姐粉以及观众来说，肯定是大过节的吃了一坨翔的感觉。不过也不必在意，口舌是非是有，但cp海报热度并不大，劝退不了多少观众的，大家可以放心。。。时髦们想高兴点的话，可以搞搞任如意二创或者放点一姐单人路透，庆祝一下过节。其他的不必忧虑，一姐
1695008534# #观察了很多人的“自卑”之后，我发现他们其实不是自卑，是太把自己当回事。他觉得全世界都在围观他的丑态，复盘他碰壁的滑稽，从而也会乐于关注、嘲笑别人失误和狼狈。其实只要把自己当个屁，就会没有不敢干、不敢说的。记住“你不重要”是自信的第一步。
1688037181# #刘诗诗散粉超话一姐上次的高定时装周造型端庄大气，知性优雅，这次会是什么风格呢？迫不及待想看美人了送花花
1701089656# #刘诗诗演的真好，对任如意的期待值+10086倍。
1700368043# #刘诗诗散粉超话。征求以及汇总了一些散粉时髦的建议，发布《一念关山》剧播期间散粉超暂行规则:。。1.可以分析/剪辑剧里任如意的爱情、亲情、友情、事业等任意方面，但牵涉有其他角色时，得任如意本位；。。2.在散粉超发布的帖子默认可随意转载、搬运，作者如不愿意，可自行标注相关（如在帖子末尾标注
1693207410# #刘诗诗散粉超话一姐这组图今年啥时候拍的，造型简单，但气质与状态超好，本人最爱她这种feel了。。图源:autumnssss
1701187845# #刘诗诗散粉超话。到00:00，前六集还有20w+，20w+，10w+，10w+，10w+，10w+的在线人数。咱们可是原创啊，首播热度7148，爱奇艺年度第一，还是只有一个小开屏的情况下！！！！一姐扛剧能力太牛批了！！！
1696130485# #一个人赶一群，好厉害
1696777416# #下届亚运会在日本名古屋举办运动员们自带食物吧，小日本肯定会拿你们当核辐射食品的小白鼠的。
1693714084# #牛人笑cry
1699273162# #刘诗诗下车那段百看不厌来个腹黑角色吧，刘诗诗气场太适配这种表面温柔内心强势霸气的角色了。
1687615566# #刘诗诗散粉超话。好期待淮竹送花花黑衣造型超有感觉。
1701061384# #刘诗诗散粉超话散粉们看一下。一念播出期间，不怕黑潮漫天，就怕没人讨论、黑红俱灭，黑热搜有一个来一个，别抱怨，全部冲，全部正面输出夸一姐、任如意和一念关山。姐粉剧播期间主打横冲直撞，来一个冲一个，冲也要为一姐和任如意杀出一条道。
1702800979# #何炅刘诗诗是综艺新人刘诗诗很可爱，演技也很好，爆火的新剧《一念关山》很好看！
1689608580# #刘诗诗散粉超话。今天的视频里一姐真的美绝了，颜值重回2016巅峰期，自然舒展又大气温婉，美的沁人心脾。春楠之前化的什么妆啊，眉毛不会化，眼妆黑糊糊，腮红乱涂，口红老气，把一姐这个天然大美女化成四十多岁网红，也是服气他。也就一姐美貌底子硬，扛造，不然因为春楠那次水平不知道要出多少黑
1701358523# #刘诗诗好会演。
