1704352950# #这一幕前队下路也发过0.0。小林啊小林
1701660226# #拍下橱窗，都来给老纯画
1702434866# #喜欢的要死
1703039430# #太会画了
1700618230# #荣誉吧主
1688904315# #有的同担仿佛那个东亚虎妈，把自己生活中的不如意都投射到自己喜欢的选手身上开始怼天怼地，然而真相是你狗屁都不是
1703962992# #可是可爱
1699941364# #很养眼的三位
1701063387# #站着说话不腰疼的老哥哥一枚捏
1698754747# #好萌的QQ人和小白狗兔子
1702139527# #《水天大腿》，两位大腿是今年进过一次lpl决赛还是去了世界赛呢？控制变量这一套老纯和滔博、老纯和牙膏今年都玩过，不介意继续玩
1703228509# #不太懂世界赛都进不去的队伍这里有你上桌的份吗？还是说仁川巴黎冰岛合体就代表24年伦敦绿卡买好了？
1702805661# #我吃老师爱你试试看
1697835755# #安利给主页好美好美
1698927794# #离开得太突然了苦涩
1703657013# #傻子啊宝宝
1698756944# #我cp
1702552592# #小卷毛➕软乎乎的格子，很难不妈
1699941524# #红色也意外的适配夏安，好看
1702298204# #可惜见不到15skt全员
1698283909# #英雄联盟S13我已为JDG.knight加油助威，他是我心目中的最佳选手！共赴热爱你我同行全程见证每一份热爱。快来和我一起为热爱赛场的JDG.knight打call吧！
1690863659# #血脉压制❎实力gap✅
1703396441# #接一下收到
1700879761# #老纯相信改变会是好事，毕竟有些东家现在还不如某家一根...
1701440259# #chovy真的很适合打上单，中路就是最吃天赋的位置，你们随便说摊手
1697605883# #相信卓定
1689592340# #多多都瘦了
1701858065# #签运亚军不配上桌懂吗馋嘴
1689071023# #实情解释清楚就好佐伊卖萌
1701916894# #赵四
1697543338# #你也会有的！
1697508085# #回归msc吧哇赢下他们
1697435064# #我的地址是——
1697616176# #9纯嘿嘿哇
1703343204# #警惕人工智能晕
1703514067# #燃冬lck版
1697716187# #很想吃猪肉
1702565949# #集美你上吊23京之前有通知左手他被剔除出去了吗
1702895667# #神
1702433731# #转转
1689391085# #拜拜slay！！！！
1704477756# #共情能力很强呢
1702180949# #茉酸奶的薄巧➕妈咪做培根芝士蛋贝果😋
1690547964# #这个发型好看的要死，下一场加油
1700019923# #伯贤这么多年还是很帅啊
1699177225# #徐桑好好观看亲亲
1697562154# #2023全球总决赛英雄联盟s13我已为JDG.knight加油助威！他是我心目中的最佳选手！快来和我一起为JDG.knight打call吧！
