1702568382# #我投给了“成毅2023腾讯娱乐白皮书cy成毅成毅@成毅”~
1704549440# #我投给了“微博之夜加速器cy成毅@成毅”~
1697722488# #每日一善超话🌼每日一善🌼阳光信用。人生是一场拼争，每一天都在攀登…爬上了这一座山，越过了那一道岭，眼前又有一座峰…历尽艰辛不回头，拼争攀登不停步…天天都在圆那甜蜜美好的梦！
1701173735# #我投给了“成毅成毅老师未来的更多角色！@成毅”~
1697722604# #我投给了“李莲花成毅莲花楼cy成毅李莲花李相夷@成毅”~
1703339737# #我正在微博跨年狂欢节预约成毅，可以冲跨年晚会现场门票！快来和我一起参与吧！
1702395289# #我投给了“成毅2023腾讯娱乐白皮书cy成毅@成毅”~
1698042404# #每日一善超话🌻每日一善🌻阳光信用。向善是一种文明，也是一种光明。善良之举，需要人人拥有；善良之歌，需要人人唱和。让我们一起轻掬季风，淡挽流云，抚一弦清音，让幸福在平凡、平淡中盛开如兰，让善良之歌在红尘的原野里辗转悠长。让我们一起心存善良和大爱，微笑着，走过季节的轮回
1703339729# #微博跨年狂欢节可以预约成毅了！还可以冲跨年晚会现场门票！快来和我一起冲！~
1698982332# #好运不是天生的背运，也不是一两天形成的。所谓的一鸣惊人都有十足的努力和付出来支撑。不幸的人或许各有不同，好运的人，却有千篇一律的上进心和执行力。
1704607814# #每日一善超话🌿‍每日一善🌿阳光信用。一个人要战胜别人并不难，往往只需要付出比对方更多的努力即可。然而，勇于挑战自己的弱点并战而胜之，不断地超越自己，才真正是人生最大的挑战和最为痛苦的过程。提醒自己：不必总与他人较短论长，今天比昨天好，明天比今天强，这就是胜利。
1704727308# #我投给了“成毅狐妖小红娘王权篇cy成毅王权富贵@成毅”~
1696597525# #转发微博
1695976089# #每日一善超话🌸每日一善🌸阳光信用。应对失败和挫折，一笑而过是一种乐观自信，然后重振旗鼓，这是一种勇气心。应对误解和仇恨，一笑而过是一种坦然宽容，然后持续本色，这是一种达观心。
1698495762# #每日一善超话🌸每日一善🌸阳光信用。不要因为没有阳光，而走不进春天不要因为没有歌声，而放弃自己的追求不要因为没有掌声，而丢掉自己的理想。其实每一条都通往阳光的大道，都充满坎坷每一条通向理想的途径，都充满了艰辛与汗水！
1695394951# #每日一善超话🌿每日一善🌿阳光信用。平淡是天空的一片云，自然地飘着，轻松无牵绊；平淡是大海深处的一块礁石，默默地藏着，经历海水冲蚀却宠辱不惊；平淡是山野里的一朵小花，悠闲地开着，无妖艳之感却尽收天地之气；平淡是人生的一条尘路，就算风尘仆仆，只要我心澄亮，依然一往直前。
1698598177# #每日一善超话🌿每日一善🌿阳光信用。黎明前夕天黑暗，起床观看看不见，打开客厅灯再看，看到天空雾漫漫，云雾弥漫遮光暗，暗中透出亮点点，待到东方红日升，迎朝阳前程似锦！
1703079884# #每日一善超话🌼‍每日一善🌼阳光信用。鱼搅不浑大海，雾压不倒高山，雷声叫不倒山岗，扇子驱不散大雾。鹿的脖子再长，总高不过它的脑袋。人的脚指头再长，也长不过他的脚板。人的行动再快也快不过思想！
1699802839# #我投给了“傅云深成毅南风知我意cy成毅傅云深@成毅”~
1698937593# #善良是春日里的和煦微风，善良是炎热夏日的清凉饮品，善良是秋日收获的喜悦，善良是冬日里温暖的阳光。
1699452327# #我投给了“傅云深成毅南风知我意cy成毅傅云深@成毅”~
1699880605# #留住生命的那些善良。一个人的生命可能不被时间留住的过长，但是有些东西，一定要珍藏。留住善良，让善良发自内心。因为善良不是张扬，是在寂寞之中。善良虽在一时一事，但却是内心长期的积淀。有善的支撑、爱的信念、生命才会灿烂。
1702214267# #我投给了“成毅莲花楼cy成毅李莲花李相夷李莲花@成毅”~
1701503045# #每日一善超话🌻‍每日一善🌻阳光信用。鱼搅不浑大海，雾压不倒高山，雷声叫不倒山岗，扇子驱不散大雾。鹿的脖子再长，总高不过它的脑袋。人的脚指头再长，也长不过他的脚板。人的行动再快也快不过思想！
1699598490# #我投给了“傅云深成毅南风知我意cy成毅傅云深@成毅”~
1701412796# #每日一善超话☘️每日一善☘️阳光信用。人生从来没有真正的绝境。无论遭受多少艰辛，无论经历多少苦难，只要一个人的心中还怀着一粒信念的种子，那么总有一天，他就能走出困境，让生命重新开花结果。
1704116093# #我投给了“成毅狐妖小红娘王权篇cy成毅王权富贵@成毅”~
1703683363# #我投给了“成毅抖音美好惊喜夜cy成毅成毅@成毅”~
