1704024373# #相爱
1703086825# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1702993344# #我获得了微博之夜简单卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1699317621# #每日一善超话🎈每日一善🎈每日一善感悟正能量。。真情是干旱时节的一滴水，虽然只是那小小的一滴，却可以滋润一棵嫩芽，保持着那一份鲜活的绿，虽然只是那小小的一滴，却很难寻觅。
1697783898# #买买买🛍️买买买
1698754800# #彩虹呀
1703147443# #锦鲤附体，我获得了微博之夜美好卡，再努努力就能亲临现场见到我喜爱的TA了！每周集卡数TOP30必得盛典门票，一起参与吧！2024纯真真好
1702993297# #我获得了微博之夜真意卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1700982903# #邓为超话相爱邓为仙台有树相爱蓝色系的邓为。。我以为我看够了阳光，直到遇到你，才知我从未真的见过阳光。。
1697375896# #青春是红色的像燃烧的火焰像初升的太阳
1704468163# #2023微博之夜年度盘点火热进行ing彩虹屁小伙伴们快来参与推荐并分享你心中的年度大事件，有机会赢取微博之夜盛典门票哦！戳&gt;&gt;
1703122609# #邓为超话给你小心心邓为苏易水给你小心心邓为仙台有树。。人类对于浪漫的不可抗拒，让爱情奇妙得难以言喻🍒。。
1704468247# #我获得了微博之夜真意卡，偷偷告诉你本轮集卡数TOP40必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
1699839604# #微博视界大会角色闪耀，微光同行。我正在微光荣耀入围影视角色为涂山璟/叶十七荣耀推荐！来和我一起参与荣耀推荐吧，助力喜爱的影视角色绽放舔屏
1701412085# #邓为老婆实时号测试每日一试，不甘心
1704619844# #我推荐为2023微博网友喜爱人物，希望TA继续站在热爱的世界里闪闪发光！驾驭高能时刻一起来微博之夜推荐你喜爱的TA吧，参与集卡互动还有机会得盛典门票去见TA哦！戳&gt;&gt;
1704550057# #我推荐为2023微博网友喜爱人物，与光影共绚烂，与赤诚赴热爱，期待TA盛装赴约！驾驭高能时刻来微博之夜推荐你心中的微博网友喜爱人物，参与集卡互动还能有机会得盛典门票去见TA哦！戳&gt;&gt;
1703426191# #微博网友喜爱人物抱一抱抱一抱抱一抱邓为
1697529647# #想念小璟和十七
1703233547# #邓为超话给你小心心邓为仙台有树给你小心心邓为苏易水。。假如你是一棵仙人掌，我也愿意忍受所有的疼痛来抱着你。。
1703086788# #微博KING和QUEEN送花花送花花送花花送花花
1703999438# #爱慕爱慕
1702993377# #微博之夜。。🍳☕️🌈🍷🍊🥟🎐。又不赚走秀那份钱。干嘛吃超模那份苦
1704024365# #送花花
1700377072# #邓为超话哇邓为仙台有树哇邓为苏易水。。愿你在奔忙的日子里有所收获哇，愿你的努力配得上你的梦想打call打call！。。
1704468287# #我获得了微博之夜美好卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP40必得微博之夜入场券，冲一冲就能亲临现场为我喜爱的TA呐喊，一起参与吧！2024纯真真好
1699406742# #“邓为💎邓为苏易水”~
1699698022# #我每天都在超莱克和🐏耗之间犹豫徘徊😵‍💫😵‍💫😵‍💫
1699762997# #微博视界大会热爱·同行！我正在微光荣耀入围影视角色为我喜爱的涂山璟/叶十七荣耀推荐！你心中的荣耀影视角色是哪个？一起来为心爱的影视角色荣耀推荐吧彩虹屁
1699444170# #好帅的邓为
1704619983# #超强阵容集结，共赴微博之夜！提前来
1702993473# #我获得了微博之夜简单卡，偷偷告诉你每周集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！2024纯真真好
