1650668899# #人应有志，勤学，作事要有恒心。。曾国藩
1673321076# #转发微博
1671091303# #转发微博
1671633162# #普京是没脸来了！
1655583814# #『深圳男子投资股票亏损百万，妻子抛下儿女离家，竟想到众筹来还债』
1678527923# #转发微博
1671941232# #转发微博
1665070218# #读到：知识通则使人自由，半桶水则渴望放纵。
1652019610# #每当心里不够平静的时候总是想去看她的文字。安妮的书，一年一本，一年年地这样追看下去。曾经有好友告诫我说：远离安妮宝贝，你会快乐很多。我起初觉得她说的有道理，但随着年岁渐长，我越来越明白，我性格中阴郁的那一面，并不是因为安妮，并不是因为虹影，并不是因为周国平，并不是因为任何一个气质
1652366343# #2021年四季度，葛兰管理的中欧医疗创新重仓股有了比较明显的变化。其中，凯莱英被加仓94.95万股至284.73万股，晋升为第一大重仓股；迈瑞医疗也在四季度进入前十大重仓股名单；其余药明康德、药明生物、爱尔眼科、通策医疗等长期重仓股有了不同程度的加仓。。除此之外，葛兰管理的中欧阿尔法和中欧明睿新
1701012592# #转发微博
1675341528# #自信人间两百年。会当击水三千里。毛泽东眉批
1672057436# #转：最快的成功方法就是，保持对一件事情的专注，不停地重复，不停地深钻，只要看透时间的复利效应，每一个人都可以是一个小领域的佼佼者，怕的就是你在各个领域之间徘徊游荡。
1674760226# #吾家吾国热闹的假期，但愿你能为他的故事安静一小会儿，听听他的声音，记得他的名字心
1677312511# #人之贵在于有礼(理)有节。
1679075353# #转发微博
1671559661# #转发微博
1696313292# #顺德双皮奶色色色
1690039352# #转发微博
1698886525# #减仓科技股票
1672114292# #转发微博
1668587383# #转发微博
1673707330# #资金在大消费、大金融和新能源方面均有布局。『北向资金开启史上第三大单周净流入！开年9个天净流入640亿是去年七成多，意味着什么？』
1672903252# #A股三大指数今日集体走强，沪指收盘上涨1.01%日线四连阳，深证成指上涨2.13%，创业板指上涨2.76%。市场成交额超过8000亿元，行业板块涨多跌少，酿酒、电机、电池、光伏、能源金属板块强势领涨，商业百货、房地产开发板块跌幅居前。北向资金今日净买入127亿元。
1693705174# #转发微博
1650056183# #转发微博
1695896746# #今天是TCL成立42周年，回望来时路，TCL不忘初心，离不开众多合作伙伴、同事鼎力支持与付出！TCL愿与大家一起，向下一征程再出发！双节同庆，家国一心，祝大家节日快乐！
1686311285# #少赌，为善
1678885377# #零点乐队《一切会好的》
1658307341# #相声
1675875859# #晚安！：BackstreetBoys《AsLongAsYouLoveMe》
1675167148# #千秋岁·数声鶗鴂(张先)。数声鶗鴂。又报芳菲歇。惜春更把残红折。雨轻风色暴，梅子青时节。永丰柳，无人尽日飞花雪。莫把幺弦拨。怨极弦能说。天不老，情难绝。心似双丝网，中有千千结。夜过也，东窗未白凝残月
