1661496660# #官民对话，让我们受教了。
1639793778# #（2019）最高法行申11819号裁判要旨。1.息诉罢访协议属于行政协议。行政协议兼具“行政性”与“合同性”，是行政机关为管理行政事务，实现公共利益或者管理目标与公民、法人或者其他组织协商订立的具有行政法上权利义务内容的协议。本案中，大庆市政府委托大庆市信访法律服务中心（以下简称信访服务中心
1543707275# #更正，商知经梦姑。
1698482204# #仁寿县政府组织黑社会大佬邓学东、黑社会核心成员王勇等数百人强拆民宅。至今组织者逍遥法外谁来管？
1637678637# #证据真相政法队伍教育整顿法治中国（2020）川1402行赔偿初13-17号行政赔偿案件上诉至眉山中级人民法院，眉山中级人民法院裁定发回重审。发回重审案号（2021）川1402行赔初36-40号。赔偿义务机关提供了时文林镇余政府官员余勇的工作笔记以及数份党政机关的会议记录。工作记录显示，仁寿县拆
1568278998# #（2019）川1402行初241号案9月10日下午开庭，庭前书记员给了裁定书，因案情复杂，简易程序转普通程序，裁定日期9月10日。本案当庭宣判。结果，忧郁的大树败诉。。案子很简单，忧郁的大树向仁寿县自然资源和规划局申请宗地编号为2015-32地块有关拆迁安置房的相关信息，因为在该地块的出让合同中明
1602822016# #发布了头条文章：《履行法定职权之诉》
1611038519# #庹继光作为法学博士后，执业律师，其合法建筑被政府暴力强拆，为啥没有走司法诉讼程序维权，是不是看透了人民法院对于行政案件，受地方政府干扰，甚至为了维护地方政府的利益，违背法律人的底线，歪曲事实，枉法裁判。如眉山市东坡区法院在（2020）1402行赔初13-17号案件中故意歪曲事实枉法裁判。
1638676199# #愿所有法官们都向杨法官学习，守护司法公平正义。人民永远不会忘记恪守执业操守、守护司法公正令人尊敬的好法官。
1571305673# #省高院、中院、基层法院行政庭法官都应该向最高法的熊俊勇法官学习，不畏政府，公正公平裁判
1589829195# #
1661589540# #霍霍，一个字惨，两个字很惨，三个字非常惨。
1639903003# #哪一天我将鞋脱掉，是否会因减轻了鞋重会奔跑起来，洒脱起来......
