1579082355# #蔡英文声称这次选举彰显了拒绝“一国两制”国台办回应
1576124191# #女乘客进驾驶舱后续：机长被民航局撤销执照女乘客进驾驶舱后续：机长被民航局撤销执照民航局,驾驶舱,机长,执照,驾驶员（分享自
1636213591# #早有征兆？马思纯被曝将和张哲轩结婚，双方已见家长女方疑怀孕
1547815370# #大疆发内部反腐公告：涉案百余人预计损失超10亿元
1685251311# #转发微博
1539428934# #姜昆的老搭档，身在相声圈却比娱乐圈中的渣男更渣
1699854528# #李佳琦双十一销售额破250亿，中国电商市场见证新里程碑。行业消费者数字
1660987938# #俄空降兵俄乌战争回忆录《ZOV》第三、四章：演习变入侵，最混乱的一天-来自知乎专栏「海外时政评论」，作者:三幺哥（想看更多？下载）
1614568321# #苏宁再无实控人:深圳国资148亿接盘23%股份足球队停止运营
1637543952# #“亿万富商杀人案”重审宣判：20余年凶手现形记
1664121078# #一个俄罗斯家庭正在‘泪送’家里的男丁送去乌克兰战场
1576250068# #他把100多个情人安置在一个小区，所有的孩子都喊他爸爸
1695635755# #美国参议员林赛·格雷厄姆说：如果我们在乌克兰击败普京，世界将变得更加美好，需要的只是美国的军事支持而已。18个月里乌克兰收复了一半领土，却没有一个美国人死亡；俄罗斯经济正在崩溃，俄罗斯军队正在被摧毁，这是我们一项很好的投资。。。持有这种观点的美国人尤其是美国政客，会持续援助乌克兰直到
1593572753# #分享文案分享摘要（分享自
1543458666# #你还记得“天上人间”吗？创始人沉寂10年，200亿借壳重出江湖！快资讯
1586277701# #张文宏：复阳患者至今无一例人传人，因为病毒是“死”的
1615216759# #东海航空机长与乘务长飞行中互殴曾因机长带妻子进驾驶舱引热议
1542155226# #知情人士谈恒大与FF仲裁风波：贾跃亭动摇了双方的合作根基
1685006646# #表演艺术家郑振瑶去世，晚年患老年痴呆症移居澳洲，不回国办葬礼-今日头条
1634118277# #哈佛大学把“北京书院”改为“台北书院”？
1582975670# #霍顿：游泳是干净运动孙杨禁赛不会改变我立场
1583541413# #来自浏览器的内容
1611548301# #今年11月起，北京百万橙色临牌电动自行车将被禁止上路-今日头条-手机光明网
1581528919# #《被姜昆批被周立波嫌被叛徒骂，草根郭德纲凭什么在苦难中突围？》演员林志颖和他的同框常常被网友哪来调侃，因为对方比他只小一岁，两人站在一起，却像父子。
1617601941# #《曝天津津门虎得寸进尺，向足协提出了一些“额外要求”》天津津门虎虽然在足协要求的最后时限之内，“压哨”获得中超联赛的准入资格，但围绕着他们的争议一直都没有结束。
1668422009# #世界互联网大会，既非“世界”又非“互联网”只剩了“大会”
1613957156# #潘粤明为儿子庆生上热搜，董洁反被群嘲：“激吻门”后她怎么了？
1559657937# #
1562075860# #台湾嫌疑人叫嚣“不是中国人”西班牙法官硬怼
1558195019# #中超-于大宝凌空斩李可定胜国安2-1天海夺10连胜
1538025526# #王亚中律师
1583701775# #《普京将彻底告别俄罗斯政坛！没有普京的俄罗斯！中国该怎样应对？》俄罗斯硬汉，普京，在全世界的形象可谓深入人心。
1574166820# #朱炯：踏实踢球，在中国足坛太难了来自新浪体育竞技场专栏，作者。（分享自
1642271613# #『印度宣布15日解封！已实现群体免疫（第1434期)』
1653874911# #郑钦文：先做好自己不管对手是谁强大心境很重要
1553445442# #朱婷尽力了！全队最高分+连救赛点瓦基弗仍惜败中国1姐已丢2冠！
1607613918# #分享新闻图片：AirPodsMax耳机卖4399元，真是收“智商税”？（分享自
1693544470# #我上海人，嫁巴勒斯坦人，住300万别墅，生5个娃，阿联酋不能打胎
1537741932# #郭德纲称“德艺双缺，骚气熏天”的相声艺术家去世
1621764259# #甘肃山地马拉松事故21人遇难省政府已成立调查组
1695573980# #美越谈判被曝，或达成史上最大规模武器交易！俄罗斯一句话没说？
1693575419# #泰国前总理他信被特赦刑期减轻至一年
1576680892# #陈金飞360百科。
1537282073# #发表了一篇转载博文《转载“中国”这张名片，并非皇帝圣旨》
1577371604# #西班牙女教师另类教学，“裸体”走近课堂，学生吓得捂眼大叫（来自：
1585191692# #陈冠希为妻女拍照超宠溺Alaia玩滑板车乖巧软萌
1645234098# #武汉队已经联系不上蒿俊闵足协领导过问欠薪一事
1536835455# #楼下住户未搬离五楼楼顶挖掘机开拆
1677768877# #查尔斯做到了！梅根曾说没有任何人能剥夺她和哈里王子的头衔，因为这个头衔是伊丽莎白女王授予的，如果剥夺就是对女王不尊重，但查尔斯不听这些，他没收了哈里梅根的弗罗格莫尔小屋，这是女王生前当做结婚礼物送给哈里梅根的，查尔斯应该不想和小儿子和解了，如果哈里王子继续写新书评击王室，可能连头
1694227544# #美国男篮连续两届世界杯无缘决赛两届共输4场
1634027521# #赵薇夫妇又出事了！遭知名金融机构起诉，不久将开庭，史玉柱也牵涉其中！什么原因？
1683999872# #转发微博
1645536019# #谷爱凌发文回顾北京冬奥会：我度过了人生中最美好的两周
1657255228# #转发微博
1584670075# #新华社记者廖君被骂，网民错怪她了吗？
1585379208# #德普妻子被曝婚内出轨马斯克电梯亲热画面曝光(图)
1691284353# #父母亲的故事（1937——）十七、风流总被风吹雨打去
1581820135# #洪森赴港口迎接“漂泊邮轮”乘客：现在不是歧视的时刻
1702592366# #资本家的话能否相信
1602978934# #中国147分先生4-0霸气横扫，周跃龙轰2杆破百，英格兰赛豪取4连胜体育北方热点
1677058488# #土叙地震巨大伤亡的背后：被“特赦”的劣质建筑
1547182080# #转载三个德国人王严荣华新浪博客-原文地址：三个德国人作者：老白马的法律博客狄青比起艾森豪威尔、巴顿、蒙哥马利这些盟军将领，甚至比起古德里安、隆美尔这些纳粹军官，肖尔铁茨算不上出名。他出生于普鲁士军人世家，在29年的军人生涯中，他严守...-
1679305599# #马英九基金会：马英九赴大陆祭祖，3位姐姐1位妹妹都将同行
1608900356# #男子一年后发现中6744万大奖官方：兑奖仍有效
1541909087# #图片来源：每经记者王星平摄“双11”又来了！小编先做个调查吧：零点一到，“败家”男女们就出动扫货，马云那边则忙着破纪录：2分05秒，100亿！要知道，去年达到这个数字，用了3分01秒，前年用了6分58秒……26分03秒，500亿！去年是40分12秒，前年用了2小时30分钟。在数字刚跳到500亿时，马云便起身
