1638690677# #永远不能原谅日本鬼子！
1568423424# #不会，除非那个人用的香水是你买不起的！允悲
1647873580# #果然韩国人都希望总统卸任后进监狱哈哈哈哈哈哈
1640592840# #扩大化的傻逼指的是不是挖鼻鄙视
1568104269# #当面一套背后一套，果然是两面人摊手
1663645622# #波涛汹涌good
1697797336# #挖鼻挖鼻挖鼻
1639671681# #在加油站放火，应该不是普通的纵火罪吧，我觉得应该是危害公共安全摊手
1662646020# #不重点突出中国的黑暗中国人的无情中国农民的冷漠自私怎么能拿国际大奖呢！？挖鼻挖鼻挖鼻
1560614700# #街头政治搞大滴，香港准备变臭港了挖鼻挖鼻挖鼻
1645601817# #围观傻叉围观
1696252950# #花看半开，酒饮微醺
1553429685# #袁大爷造孽哦，给这群人吃饱了撑得慌笑cry笑cry笑cry
1559312485# #小龙虾没什么热量，还能为中国消灭入侵物种，必须要大吃特吃！嘻嘻
1645931593# #老六还是忘不掉花花哈哈
1628166933# #国乒女团vs日本女团中国队再添一金耶耶耶耶耶
1628479508# #东京奥运会闭幕式作孽啊，你看把狗子吓得………笑cry
1562972910# #厉害啊赞
1645805493# #死鸭子---嘴硬笑cry
1642477185# #坐等种子污
1651393133# #不止躺地上，还满地打滚笑cry
1672111946# #新冠肺炎更名为新冠感染弱弱问一句：这事有人通知新冠了吗？
1628927889# #七夕只想，不说
1642646298# #美国是一个邪恶的国家
1655221414# #南宁凤岭的晚霞照！。美得无与伦比，因为这是我们的家乡！。最爱的…。家乡…。和人……
1538489050# #这样的女记者要支持！赞赞赞
1647591741# #话筒
1668010721# #鲁某某已被刑事拘留说真的，自己的孩子受伤谁都会心疼，被别人家的孩子打伤了更是气不打一处来！作为孩子的父亲我都可以理解，去讨要说法也好，去指责谩骂也罢，都行！但是这个鲁医生千不该万不该去打一个孩子，这我就不能原谅了！怒幼儿园的小朋友没有分寸，打打闹闹很正常，可以找学校可以走法
1627982353# #央视把徽章抹掉了，这难道就是传说中的友邦惊诧？挖鼻
1655914266# #远方的阳光犹如吸引飞蛾的火焰
1648371335# #右边胡说八道，B52烧的是煤，B17才烧柴摊手
1565925802# #摊手摊手摊手
1645627102# #《论狗咬狗的必须性》笑cry
1639755617# #这个必须挂起来！怒怒怒
1643157341# #右边这话就不对了，应该说中国记者里有许多不是狗娘养的doge
1661790182# #Letgo拜拜
