1581140632# #挖鼻
1680916709# #黄酒怎么做才好喝黄酒用糯米(有地区称为江米)加酒曲蒸煮发酵制作，过程中不需要添加复杂的添加剂成份和专业的后期调制，是健康安全的粮食酒类，个人在家就可以做。。黄酒营养成分完全来自于粮食发酵，成份丰富人体易吸收。含有将近20种氨基酸，B族维生素群和有机酸，而且酒精度数低，女性也可以饮
1637196267# #小时候就很好奇，几个花人人都是谁。。。。。。
1694568540# #当地时间11日，利比亚东部当局表示，受飓风“丹尼尔”影响，利比亚港口城市德尔纳发生特大洪水，次日官方通报已致近3000人死亡，失踪人数已达10000人。。最新消息已经遇难者上升至5000余人。。。。因洪水发生在夜间，当地居民大部分在睡梦中，等他们醒来时候发现家周围洪水已经近3米深。。
1695256542# #职校女生称实习被安排为男宾洗澡以实习名头送往流水线。。。在学生毕业前最后薅一波。。。。这还满足不了有些人的胃口，按摩店里也敢送！。更为可怕的是，学生跟老师反映竟然毫无举动！学生一直拿学校当作家，把老师领导当作依靠，老师学校又在拿他们当作什么？。。哪里还有学校教书育人的样子
1683708116# #2023年普利策奖获奖者：美联社摄影团队。系列介绍：俄罗斯入侵乌克兰后几周的这些特殊又紧张的画面，包括新闻机构撤离后对马里乌波尔的破坏，那些因民用基础设施被袭击的受害者，以及逃离的乌克兰人的韧性。。专题摄影奖获奖者：克里斯蒂娜·豪斯。每一幅照片背后都有一个故事，具体可以参看这里：
1541637652# #对房子是用来住的最好的诠释和注解。。。。
1700455170# #霉霉演唱会超千人中暑一女粉猝死。。泰勒·斯威夫特(霉霉)在体感温度达59.3摄氏度的巴西里约热内卢举办巡演，演唱会不允许自带饮用水，演出开始前有约6万名粉丝聚集在体育场。粉丝为获得前排位置而提前数小时到场，而获得位置后往往因“害怕失去位置”而放弃取水。。视频显示，“霉霉”曾因高温中断演出，
1609650422# #校长：目前尚未统一口径。。。。
1674825113# #意外吃席场面集锦人生无处不意外……含高危动作切勿模仿！
1581569131# #挖鼻挖鼻挖鼻挖鼻
1701873247# #向华强在刘德华父亲葬礼上发言向太跟华仔的关系还是很不错的！当年李连杰在香港那段经历也跟向家有不少交集…………
1687674164# #链条崩坏背后平衡被打破了。。。。思考思考
1701251416# #男子住88元酒店后带走150元被子在云南大理，一男子住酒店后将房间的被子打包带走。。。。。。网友：小电视机幸免于难躲在角落里瑟瑟发抖。。。
1617189761# #思考思考思考思考
1703168463# #官方通报老人手术中遭医生捶打。官方通报“老人手术中遭医生捶打”：暂停涉事医生的业务院长职务，继续接受调查。。。医生食品餐饮老师……很多职业不是每个人都能干的。。爱尔眼科
1658307183# #挖鼻
1702625524# #鼠头鸭脖涉事方及责任人被罚706万一家主营学校后勤承包的专业公司，合肥郑州上海北京分公司多得是，这点罚款分分钟赚回来。
1700698742# #起底成都陪酒坠楼女孩所在KTV。网友：这类城市夜店，多少是有靠山涉黑的？又有多少是干净规矩做生意的？水面下还有多少未成年人在夜幕霓虹的掩护下在声色场所消磨稚嫩青春。。。。
1604568959# #窟窿究竟有多大竟然不得不挺身而出。。。。
1701772020# #股市印度孟买和上证指数2016年-2023年走势图对比，相比起来我们的股市明显稳定多了，情绪一直很稳定！。挖鼻挖鼻挖鼻挖鼻……
1700897351# #被爆武汉某司法鉴定所伪造亲子鉴定。。举报襄阳健桥医院贩卖出生证明的上官正义，再次举报武汉某医院、鉴定所与广州、深圳的中介勾结，从事非法代孕、调包血样出具虚假亲子鉴定，套取出生证明为来历不明的婴儿落户。。被举报伪造亲子鉴定报告、套取出生证明的武汉某鉴定所，表示已针对相关情况报警，“一
1699450230# #花旗银行退出中国员工补偿N+6。。没想到人生的第一个50w是因为被裁员拿到的……挖鼻挖鼻挖鼻挖鼻…………。。最近花旗银行在14个国家地区中退出个人银行业务。
1694503646# #学校通报女生遭多人殴打逼下跪打人者已转入专门学校。。新加坡鞭刑什么时候引入内地？地铁上老流氓，学校霸陵小流氓，虐待猫狗弱小动物的心理变态，网暴各种拳师。。。这些够不上刑罚的皮痒的人都可以用鞭刑处理！。中学女生遭霸凌双方家长已谅解鞭刑
1673226273# #发布了头条文章：《萨丽2023十二星座年度运程--摩羯座》
1656744630# #挖鼻挖鼻挖鼻挖鼻
1679147091# #海来阿木架子鼓海来阿木的歌。
1668914108# #挖鼻挖鼻挖鼻挖鼻
1634344425# #🙄🙄🙄🙄
1656460812# #挖鼻挖鼻挖鼻
1600855920# #泪泪泪泪
1619057045# #汗汗汗汗
