1536456181# #我唱的这首歌打败了全国9%的人，快来听听吧。>>(来自
1536463906# #我唱的这首歌打败了全国49%的人，快来听听吧。>>(来自
1533654664# #我竟然得了【记步狂魔，不运不愈症】，据诊断，只有带着微博去西藏旅行才能抚慰我的心！微博首个旅行治愈馆，专治一切疑难杂症，限时营业中！新福特翼虎喊你一起来测哦>>
1536413240# #我唱的这首歌打败了全国87%的人，快来听听吧。>>(来自
1536464653# #我唱的这首歌打败了全国43%的人，快来听听吧。>>(来自
1536494661# #我唱的这首歌打败了全国14%的人，快来听听吧。>>(来自
1537703404# #我唱的这首歌打败了全国26%的人，快来听听吧。>>(来自
1535969445# #我唱的这首歌打败了全国42%的人，快来听听吧。>>(来自
1538265980# #国庆节快乐
1545523783# #来我的主页看看我的精选照片吧
1536242399# #我唱的这首歌打败了全国71%的人，快来听听吧。>>(来自
1587250544# #没想到中国第一艘国产航母这么快下水！激动！。。
1537664421# #我唱的这首歌打败了全国39%的人，快来听听吧。>>(来自
1538282465# #我唱的这首歌打败了全国58%的人，快来听听吧。>>(来自
1587084445# #自中国宋代发明的纸币即将退出历史舞台！。。
1584693456# #【美国佬还真牛】美国的10艘医疗军舰已经开进纽约港，每艘船上有1000张病床，上面拥有所有的医疗抢救设施，每艘船相当于一个雷神山医院。没想到第三次世界大战就这样开始了，是人类对病毒的战争。美国这个储备，当真是打仗的架势啊，谁会想到会在军舰上建立这么多病房。明显就是为了远程作战时候的准备
1586825904# #影响全球的新冠病毒即将被终结！！。。
1583988557# #真正的武汉抗疫英雄是他！救了最多人！。。
1536576749# #我唱的这首歌打败了全国29%的人，快来听听吧。>>(来自
1538280004# #我唱的这首歌打败了全国46%的人，快来听听吧。>>(来自
1536565218# #来听听我唱的《小草》>>(来自
1553997027# #正在深圳IT领袖峰会聆听腾讯董事会主席马化腾演讲！
1536459878# #我唱的这首歌打败了全国64%的人，快来听听吧。>>(来自
1585352407# #太不可思议了：意大利疫情死亡人数竟然超过了中国！。。
1537880888# #来听听我唱的《迟来的爱》>>(来自
1586766671# #困扰中国人多年的城市户口问题终于要结束了！涉及教育、医疗、养老、就业等多个方面！全世界只有中国和朝鲜两个国家实施户口管制！！。。
1581034641# #武汉英雄永远的离开了我们！历史会记住你！中国人民会记住你！
1548116945# #微博航班，送机票喽！
1536412666# #我唱的这首歌打败了全国77%的人，快来听听吧。>>(来自
1550989602# #一年一度的“光猪跑”今天上午在北京奥林匹克森林公园举办！看点很多，人气很旺！
1583516940# #国内又诞生两个互联网独角兽公司，孙正义刚刚投了140亿！。。
1538109380# #我唱的这首歌打败了全国10%的人，快来听听吧。>>(来自
