1690818604# #冯巩的闺女？
1688047644# #就这水平还需要抗日么，分分钟让他们灭国啊
1699672597# #转发微博
1693670580# #这判决太坑了，资本主义的法院都不敢这么判吧dogedogedoge
1687332863# #改装的好棒👍
1703951833# #整个社会都应该减少形式主义doge
1687881618# #转发微博
1689862924# #转发微博
1689859633# #看多了看开了只能当个鸵鸟裂开裂开裂开
1698708483# #转发微博
1692799016# #今天这股市～真是～看完以为要开战了
1700137245# #转发微博
1702164606# #转发微博
1696244883# #现在的综艺节目真烂啊，没有点有营养的节目，都被资本控制了么？还是都给广电总局砍掉了白眼
1689690267# #如果能落实处理，让群众满意，才是时代的进步dogedogedoge
1697546454# #Ai定义广告吧doge
1696378215# #学校天天打卡，从根上就注定了形式主义会一直延续下去doge
1692623031# #不择手段的竞技有什么意义
1690989690# #怎样才能把这帮人送进大牢思考思考思考
1691643516# #转发微博
1694417467# #转发微博
1695512686# #本来就不是什么正经公司dogedogedoge
1688945724# #这种人还不是少数，用各种拍屁股决定的建议当政绩，耗尽人民的信任
1693408190# #动了某些人的蛋糕？
1697327043# #还问，账号不想要了裂开裂开裂开
1693521834# #转发微博
1698211955# #这叫融资么？这叫诈骗吧裂开裂开裂开
1687610815# #这不就循环起来了嘛
1688768930# #转发微博
1696905883# #尸僵都出来了还要给他下针嘛？
1687420903# #确实，推销的电话打过来直呼大名，个人信息他比你还清楚
1701761693# #哈哈哈没脸方便吧
1697369819# #转发微博
1691223663# #乱带节奏
1689691797# #被金钱蒙蔽了脑子裂开裂开裂开
1690991293# #哪还有什么市场经济
1698217646# #大年三十都不让休的话，这个年还是干脆不要过了吧dogedogedoge
1693908169# #国产三文鱼🍣终于有机会坦白了dogedogedoge
1690987159# #算了，明天大A股让他们看看什么是特大利空该有的反应dogedogedoge
1687147063# #转发微博
1688688399# #CoCo李玟《过完冬季》
1703468162# #是这样的红十字会嘛允悲
1694416977# #转发微博
1688548695# #强制金融公司退出导致出现资金集中兑付，不稳定的政策才是企业面临的最大的风险黑线黑线黑线
1691340788# #转发微博
1702641973# #转发微博
1699104988# #现在想贯彻了，证监会以前在干嘛呢裂开裂开裂开
1688467152# #和解了～是你们想要的答案么裂开裂开裂开
1689519770# #一个标题，一个好消息，一个坏消息，凑合着看吧，反正屁民也没啥发言权裂开裂开裂开
1688896002# #最近离谱的事件越来越多…是不是哪里出了问题吐吐吐
1691323636# #骗子集合了
1692623016# #我甚至可以预言A股先崩裂开
1696513099# #转发微博
1692627468# #一部剧里没一个正常人dogedogedoge
1688802960# #消费是刺激了，但是砖家并没有说钱从哪里来啊裂开裂开裂开
1688466905# #痞幼家缠万贯终究是守不住裂开裂开裂开
1693705465# #转发微博
1690205169# #不要发假广告了
1696178768# #允悲这种逻辑表达出来还是挺有意思
1694553509# #转发微博
1694165880# #就怕把他们的钱烧没了
1689859026# #某人洗干净脖子等着砍头吧
1692012274# #转发微博
1696909476# #都不敢开评论裂开裂开裂开
1697893422# #这脸皮不厚玩不转裂开裂开裂开
1691588055# #转发微博
1693787337# #流浪动物也来诈骗
1692887395# #转发微博
1688036734# #国标表示不用理会，该物质适合国人体质裂开
1692661130# #转发微博
1697494183# #转发微博
1690096396# #看看车企的联合声明吧，绝对不是屁民的市场允悲允悲允悲
1690989173# #任何一招，普通人都扛不住，也有可能快到普通人都看不见思考
1687214066# #世界怎么了，这么科幻吐吐吐
1689439910# #非要跟我玩SM，可我啥都不会，对方有点气急败坏裂开裂开裂开
1687390326# #再瞎说就要关小黑屋了doge
1691218750# #转发微博
1691568208# #转发微博
1692631013# #百度，没错的dogedogedoge
1688343492# #转发微博
1690750044# #要发就详细点，造谣是要入刑的dogedogedoge
1689137192# #特斯拉让利于民怎么给说成价格战呢？不要脸dogedogedoge
1692107823# #转发微博
1690719237# #浙江的又来收割？
1692623018# #资助了这么多外国友人，自己人也要适当照顾一下吧
1700661042# #哈哈哈说不过就拉黑垃圾人
1692623127# #转发微博
1690383083# #别发了
1691160503# #现在干什么都是遮遮掩掩
1693901148# #为什么电视局做不好，为什么电影做不好？为什么动画也做不好？都是因为没有好的剧本啊，现在这些垃圾剧情谁能看得进去？dogedogedoge
1689573900# #头条分析的很到位，建议湖南省委重新自查允悲允悲允悲
1703826913# #也挺好的，只是密度太大，缺少配套设施，玩过SimCity的人应该会有概念
1702741205# #名人名句
1704070935# #评论都进了沼泽裂开
1696539835# #国内成品油价年内第十涨原油价格都跌成狗了，睁眼看看吧
1699418693# #一天天的各种形式主义，老师也受不了，其他行业也是如此
1692627170# #转发微博
1696539302# #转发微博
1693446574# #转发微博
1698243632# #真的，从哪里可以找到这位制定调休的砖家？
1697933283# #你看判决结果，毙不了的dogedogedoge
1687081208# #为什么开启360杀毒软件，打开wps软件会卡成狗🐶？
1687610074# #复旦大学公布中国人基因图谱给国外所以这算不算汉奸行为…即便没有法律可以约束，就没有一个国家机构管理么裂开复旦大学
1701605061# #啥车啊，还能看到车主的行驶记录，个人隐私呢
1692370345# #转发微博
1687666555# #转发微博
1687464178# #确实让你找到俩煤气罐，不容易，就像评论说的，路上机动车多了去了，因为一起交通事故就要全停下来么思考思考思考
1693705547# #垃圾360，经常莫名其妙的给我安装屏保，能不能好好做个企业
1697450877# #环保限停产一刀切的政策也不知道什么时间能改善
1703131322# #他都不知道股市是干嘛的，怎么运作的，还让这种脑残发言doge
1697704939# #安全隐患动态清零～一个小时的动态还是一天一个月一年的动态裂开裂开裂开
1691223709# #转发微博
1696500116# #美方就一点责任都没有？
1694431229# #记录下历史事件吐
1687617235# #妈呀，这东西我家娃也能给掰断，还少不了一顿毒打裂开裂开裂开
1694507018# #自己给自己上枷锁哪有那么容易思考
1692623110# #别发广告了
1691326621# #骗子已经确认并被处理，给我解封
1694096228# #中国，稳中向好趋势一万年不变good
1693211994# #也不知道利好了谁dogedogedoge
1694880953# #转发微博
1693708820# #还是吃西药吧，价格便宜，见效还快
1691836373# #转发微博
1690217122# #头条分析的很到位，建议内部重新自查允悲允悲允悲
1703376663# #一张图证明我来过这里
1697352196# #减少过剩产能投资，政府支出多用在民生，改善百姓生活质量，让需求拉动经济
1693701964# #转发微博
1704016540# #评论都进了沼泽裂开
1689404363# #确实，在大A股，你要用一生去修行dogedogedoge
1688862225# #抵制垄断dogedogedoge
1696030264# #不用惊讶，小bug，后台会及时修正
1700776451# #屠呦呦为什么能获得诺贝尔奖，可以去了解下，只是靠传统中医么？中医药不应固步自封，老祖宗的东西很好，但是还需要科学发展
1693090319# #这是人干的事？裂开
1694148163# #啥玩意就给禁了goodgoodgood
1692626012# #哈哈哈就是这样的，屁民有什么办法
1698069367# #传销盘崩盘，看谁跑得快
1694047181# #问题是百度都这么垃圾很多年了，居然没有一个部门出来说话dogedogedoge
1691340222# #转发微博
1698192600# #喜迎油价大幅下跌🍾️🍾️🍾️
1692676358# #也不知道会不会有人被追责dogedogedoge
1690383232# #别乱发广告了，收不上钱来了嘛？
1688377707# #山大也学学整顿一下
1693902877# #你们人类是不是太闲了思考
1699350374# #啥🐔操作，玻璃心
1691329391# #转发微博
1694258327# #转发微博
1696033588# #分享图片
1699105344# #转发微博
1697548795# #各行各业都在割韭菜
1697719702# #再往上查查思考
1687061077# #哪里差？搜索引擎做广告我们领先20年dogedogedoge
1688780303# #这个评论很友善啊……哪里有问题，来怼，别缩起来
