1692281551# #周也长的真美但是演技也是真的差……孤注一掷里真的一到她就没戏…
1687785522# #舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏舔屏
1688444317# #不能我一个人倒霉😑
1690159139# #ϵ('Θ')϶
1688357651# #观孟有感：越强调钝感力的人，其实反而对别人的情绪感知最敏感，她清楚地感受到她自己表现迟钝点才能获得别人的喜欢，但这也从侧面印证她更在意别人的情绪反馈。反而周张他们好像和别人相处针锋相对，但是在表现出自己的情绪的那一瞬间，他们已经不在乎别人的情绪了。甚至彭他一直在表现自己的情绪，把
1692500014# #突然发现殷郊的扮演者是星落的男二爱慕当时恨不得他俩狠狠doi识神小狐
1690086413# #啊哈哈哈哈哈哈哈哈哈哈哈哈别太损了各位
1692934933# #日本人是最会装的，内心最阴暗but表面装的很礼貌很干净
1689468268# #哈哈哈哈哈哈哈哈哈哈哈哈
1690438750# #以前总觉得爱能捆绑女子，早就变了，和自己这一生相比，爱是锦上添花，不是命。别说男人的爱了，好像一个女人有人爱就是技高一筹，和一生比起来，和探寻自我世界比起来实在太微不足道。也许人生的终极命题还是人，但死后大家都灰尘。怎么活自己在这个世界上能留下什么，希望是我的爱而不是为爱而爱。
1686971529# #道路是坑洼的，重力是不可抗的，我的脸是耷拉的。总之郭嘉拨的款修的路是無駄的。
1690438942# #男人总会让女人陷入彼此轰炸，就像付闻樱和许沁，她们甚至并不是为了争夺一个男人的爱情，就会被迫成为敌对。好像不拉低一个抬高一个就不能分出派系，许沁挺可怜的，一个不入流的男人因为这两个女人的斗争一下子变成了自命不凡的英雄，真可笑。我更愿意相信她俩挣得是控制欲，而不是因为宋厌这个垃圾。
1695397010# #嘿嘿嘿还有一个水哦指定指定
1690080379# #因为很多人不知道：尊重别人才是最大的素质和素养。导演一定觉得这样能突出男主的牛和拽，但只会让别人看到他的低劣和下等。
1692955412# #怒
1693110801# #💦绝美
1688444193# #转发微博
1695378911# #闪现指定
1689300434# #哇哦哦哦哦哦哦哦舔屏舔屏舔屏
1689996955# #他不会真的以为这样很帅吧生病
1687674819# #书亦的新品好好喝啊
1689476466# #再买两杯奶茶买后@藤井树人
1689494173# #啊啊啊啊啊啊啊啊寻果泪泪泪
1689055727# #嗨张屿舸
1689059351# #外面车玻璃反光烦死我了一直晃姐的眼睛怒
1689052884# #焯！
1689998891# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1690091679# #让我闻流浪地球2流浪地球2流浪地球2
1688444006# #真丑啊白敬亭…
1688535478# #泪泪泪泪泪泪
1692452129# #瘦不了一点都瘦不了揣手
1687239233# #好甜啊泪谁懂啊，当时因为某节目组被恶剪，但真的是王子啊泪泪泪
1690120090# #好可怜……会有报应的
1690597636# #是你啊是你啊是你啊泪泪泪泪东北插班生的帅哥流浪地球2
1687586037# #憧憬憧憬憧憬憧憬
1689377725# #ctrl+delete
1687258850# #是他们让人无语啦赢牛奶本来就有人会对一些事情不感兴趣不去了解的，只要是人就有自己不熟悉的领域在，哪怕是比尔盖茨，同为普通人来说，基本上大家接触的都是普通事物，只要真的想总有一天就知道了。并且我不觉得他们知道了ktv也不是什么很值得骄傲的事，是他们的世界狭小啦姐妹赢牛奶！
1694818947# #做梦梦到看着张凌赫在和别人谈恋爱！马德！！！！今晚换我谈！！！！！
1692759431# #比心
1689055507# #哈哈哈哈哈哈哈哈哈哈哈哈哈哈
1687687049# #第一次男二女二人设都很好，却很反感🤢莫名其妙喜欢，莫名其妙拉扯，为了所谓的爱情，男的家族兄弟责任都不要了莫名其妙就黑化了，女的既得利益者，善良但是却不敢指责自己家里的错误。在男女主甚至配角人设都很好的情况下显得更无语了…前后转变莫名其妙的☹️
1690875121# #卡的刚刚好
1691806606# #这么差吗…………………………焯亏我压宝（这个小说其实还行，但是转世具体故事需要编剧自己完善，害）
1689129099# #最近变成猪精了不行不行今天开始减肥
1692427208# #弟弟的作用
1688538282# #为什么不卖汤泪泪商家姐恨你泪
1694667097# #校长赞了我的朋友圈好害怕
1688538167# #焯想吃这个鲍鱼的
1690081406# #这么多年在我爸的打击下也没有成为一个自卑的人，多亏了我妈妈。在我爸把伟人思想全部灌输给我弟弟的时候。我妈妈也把全部的爱倾贯给了我。以前总是被我爸打压之后，她都会拿一些小玩意逗我开心，说一些蹩脚的话夸我“哎呀这么好看的小闺女咋哭了”那个时候总是看穿她这些小小心思，觉得虚伪，其实现在
1688363750# #蔡徐坤照片不是我。爱豆能谈恋爱是我听过最好笑的笑话。也不知道是什么时候开始这种言论的！爱豆谈恋爱就去死👌
1689468805# #舞到娱乐圈的这种“真情侣”面前，背德和刺激感更强了舔屏舔屏舔屏
1690856301# #封神宣发已亖！现在都听本自来水的！！！
1689261659# #不愿再拉揣手
1691547308# #姐的第一杯流浪地球2
1692933690# #怎么可以自私得这么明目张胆…
1691337049# #啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
1689996673# #人生处处大特写可莉
1690768269# #呜呜呜也不知道还能在家陪几天包包泪泪我可爱的包包泪妈妈的宝贝泪
1690087369# #一旦陷入就会让女性内部陷入彼此指责的围城。“白纸”女性会自动因为一个不入流男人的伪尊重而产生一种奇怪的自我自证，被指责的“非白纸女性”也会因为被针对产生对本为女性的人一种厌恶情绪。从而忽视她们本身是无对立关系和情绪的，男的就享受这种，被自己一句话团团转。其本身却是个普通货色。
1688401570# #校长不在乎学渣
1688174986# #可怜
1687620010# #哆啦A梦害怕哆啦A梦害怕哆啦A梦害怕『普京指责瓦格纳负责人“叛国”』
1688302877# #哈哈哈哈哈哈哈哈哈哈站起来的猪
1692956526# #转发微博
1691650218# #一库奏！
1689060007# #“你不用美化我。”“我不怕！”“我没错！”“该帮忙我还是会出手的。”
1691300447# #打了个拉花喵喵（其实是用温水没泡开开学季
