1701160405# #梭哈a股试试
1700910995# #刚阿姨突然说在十一耳朵下面，脖子上摸到几个圆疙瘩，我赶紧也摸了下，确实有，黄豆大小，可以滑动，好像还不止一个。。应该是不疼不痒，因为我们摸了好久十一也没反应，有没有大手子知道这是啥问题吗。。打算明天去医院，又担心感染幼儿肺炎苦涩
1699536725# #什么值得买终于把这个手作冰山蜡烛价格打下来了！记得刚出的时候要一百多。现在只要2开头抱一抱。。🕯️评论里揪两个粉丝免费体验（要写评价哦🕯️
1701886385# #是有点幽默在身上的
1696941411# #这几天除了搬仓库以外，啥事没做全都在研究这个赛博朋克头盔了。。
1700061353# #阿姨说商场里有个儿童乐园，十一每天都在外面看其他小朋友玩，眼巴巴的，最近有活动，三个月畅玩只要800块，我一听也不贵啊！立马充值！。。今天阿姨就发来了好多个视频，希望他不会下周就腻了！我和阿姨说，一定要天天去，确保回本。
1700557291# #给娃买的画板。自己先玩上了开学季
1696859073# #我小时候曾经失踪过一次。。应该是我三四岁的时候，突然就不见了，我妈急的去喊了所有附近认识的人找我。。。忙活一个下午都没找到，这时有眼尖的大人发现家里装醪糟的瓶子空了，大家又重新回家翻箱倒柜，最后果然在放冬季被子的储藏间里找到了我——因为一次喝完一瓶米酒，我正满脸通红的醉倒在被子里做
1698921749# #哇哦
1701846952# #转一下这个，坐着真的干净很多是真的
1702042368# #哇这是我小时候吃的烧饼！现在宜昌好像都买不到了，当阳还能吃到
1698506470# #在老家无意看到了梦中情房！。被这个270度的阳台美到了！。感觉住起来肯定很爽吧？。。再一看价格，和上海比起来，这是不是白菜价苦涩
1698531975# #我眯着眼睛听血压都高了
1702132326# #恭喜
1699360456# #今天本来想在家休息一天的，结果中午发现我斥巨资买的户外躺椅到了！这谁忍得住啊。。立马就换衣服去仓库了，不得不说，700多的椅子躺着是真舒服，一边摇着一边晒太阳，美滋滋！。。来都来了，我就又开始倒腾我的书房，拆了十几个包裹，终于把这大桌子摆满了，大家看看效果咋样！开学季开学季开学季
1699800594# #无聊入一个能用魔棒控制的蜡烛灯。。哈利波特超话
1702386301# #越看越可爱！
1700910475# #这个有人喜欢吗？我正在纠结要不要上架允悲
1700404807# #恭喜
1701760490# #哇好帅
1696920127# #给十一买的得意同款扭扭车到啦。这个车还送了一个小书包。好可爱呀！！！！哈哈哈
1704118076# #才想起来之前去云南拍的照片，还有两套没发。。。这两套是在同一家拍的（图一到图六），但是不知道妆造还是哪里出了问题，反正成片有点一言难尽，和我的自拍很不一样……。。我改了好几遍，还是不满意，又不好意思再让人家改了，就想自己p一下，结果就连我的ps技术都抢救不了！。。当时还去了一个古镇拍写真
1699974176# #明天吧，要上的链接茫茫多，导致我一时不知道先上谁……那就打会游戏先！
1702531467# #重大突破朋友们！。十一终于可以不用扶东西自己站好几秒啦！。。就是还不会迈腿允悲感觉已经离会走路不远咯开学季开学季
1701784091# #之前有朋友问过我，为啥感觉我每天都能做好多事情。。我觉得这个分先天和后天原因。。。先天原因就是我精力很充沛，晚上睡8小时就能精神饱满16小时，不需要午睡，可以高强度工作➕打游戏，现在还多一个带娃。。。后天原因就是我觉得人要分清主次，抓大放小。。。比如我的爱好就是工作赚钱，那除了工作消息，我
